web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,data21,data22,image3
1775737821-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Vayan!!,Isabella M,"Nos atendió José un genio! Y fue súper amable! Comida deliciosa!! Lo recomiendo. La ensalada de wakame
Es deliciosa!!!",6 contribuciones,Escrita el 17 de septiembre de 2024,6.0,6 contribuciones,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Buen japones con platos originales.,Frederic,Una buena sorpresa! Japones original. Recomiendo. Hacen unos makis flameados que debeis probar absolutamente y muchas otras sorpresas.,11 contribuciones,Escrita el 4 de septiembre de 2024,11.0,"Vannes, Francia",Grupo Sibuya,Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Nos complace saber que disfrutaron de la experiencia. Esperamos que nos visiten pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.,Escrita el 13 de septiembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Muy buen trato y atencion,Daydream60009275951,"Sibuya como siempre buenísimo, el Maki Boroboro muy rico y Robert, el camarero que nos atendió super amable y muy atento. Gracias Robert!!",1 contribución,Escrita el 1 de septiembre de 2024,1.0,1 contribución,Grupo Sibuya,Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Nos complace saber que disfrutaron de la experiencia. Esperamos que nos visiten pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.,Escrita el 13 de septiembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,caro y comida regular,Traveler25043371098,"Buena, esta bien comida buena pero no es para echar cohetes. lo ponen muy bien en las opiniones y por eso fui. Pasable, para comer o cenar un poco caro.",2 contribuciones,Escrita el 27 de agosto de 2024,2.0,2 contribuciones,Grupo Sibuya,Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Nos complace saber que disfrutaron de la experiencia. Esperamos que nos visiten pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.,Escrita el 13 de septiembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Agradable experiencia.,Francisco T,Muy buena comida y muy bien servicio por parte de Mayte. Nos gustaron todos los platos y el vino blanco de la casa. Recomiendo Sibuya.,1 contribución,Escrita el 25 de agosto de 2024,1.0,1 contribución,Grupo Sibuya,Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Nos complace saber que disfrutaron de la experiencia. Esperamos que nos visiten pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.,Escrita el 13 de septiembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Experiencia genial,Alejandra d,"Ambiente tranquilo, comida estupenda y la atención de Archie maravillosa, nos hizo sugerencias de platos que resultaron muy buenos",1 contribución,Escrita el 25 de agosto de 2024,1.0,1 contribución,Grupo Sibuya,Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Nos complace saber que disfrutaron de la experiencia. Esperamos que nos visiten pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.,Escrita el 13 de septiembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737821-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Cena muy agradable y exquisita,Asun V,"Muy buena experiencia. Con el calor de Madrid, el poder disfrutar de una cena de calidad, tranquila y en un buen ambiente no tiene precio. La comida riquísima y el trato de Archie increíble. ¡Volveremos!",1 contribución,Escrita el 24 de agosto de 2024,1.0,1 contribución,Grupo Sibuya,Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Nos complace saber que disfrutaron de la experiencia. Esperamos que nos visiten pronto de nuevo. Un saludo. Equipo Sibuya I Madrid.,Escrita el 13 de septiembre de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1,,,
1775737800-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Totalmente recomendable!!,Montse Gallardo,Comida estupenda y servicio excelente gracias a Álvaro que nos ha atendido fenomenal y con un trato excelente. recomendados los famed rolls,5 contribuciones,Escrita el 8 de diciembre de 2024,5.0,"Barcelona, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c3/fb/40/montse-g.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Todo buenísimo,Cristina P,"Calidad/precio perfecto. Ariel nos ha atendido fenomenal. Un 10!!! Súper recomendable, comida y servicio impecable.",1 contribución,Escrita el 7 de diciembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Excelente sushi,Edith G,"La comida y el servicio eran excelentes. Antonio y Ariel fueron rápidos, eficientes y muy profesionales. Lo recomiendo encarecidamente este restaurante. Tienen un menú del día durante la semana, lo que es una gran relación calidad-precio.",10 contribuciones,Escrita el 3 de diciembre de 2024,10.0,10 contribuciones,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9c/6d/9f/edith-g.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Genial,Fiorella R,"La comida excelente, es de mis favoritos para comer sushi en Madrid. Y el camarero Ariel es un amor. Repetiremos segurísimo.",1 contribución,Escrita el 28 de noviembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Todo perfecto,Belén3,Hemos sido atendidos por Ariel y una maravilla todo. Un servicio excepcional y la comida buenísima. Calidad precio perfectas.,3 contribuciones,Escrita el 24 de noviembre de 2024,3.0,3 contribuciones,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,"Buena comida, mejor servicio",Melany Obregón,Servicio increíble de Ariel. Fue muy atento y nos dio las recomendaciones más sabrosas. Sin duda volveremos y esperamos que pueda ayudarnos de nuevo con nuestras decisiones futuras.,4 contribuciones,Escrita el 22 de noviembre de 2024,4.0,"Madrid, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Cena en pareja muy buena!,teresan22,"Ariel fue nuestro camarero, atento y muy majo con nosotros! Volveremos seguro! La comida muy buena, calidad-precio bien!",3 contribuciones,Escrita el 16 de noviembre de 2024,3.0,"Comunidad de Madrid, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,maravilloso,Carmen C,"Hemos venido mi novio y yo, y hemos quedado encantadísimos tantos con el servicio como con la comida, repetiremos seguro!!!",2 contribuciones,Escrita el 16 de noviembre de 2024,2.0,2 contribuciones,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Perfecto!,Anca G,"Todo muy bueno como siempre.
Hemos probado cosas diferentes.
Y Ariel nos ha atendido perfectamente.
Un 10 ………………………….",1 contribución,Escrita el 12 de noviembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/1a/ea/f8/caption.jpg?w=300&h=300&s=1,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Muy regulero,Jet55910,"Lamentablemente tenía expectativas elevadas y fracasaron. 
Muy regulero. 
Si te gusta el sushi de verdad no es tu sitio. Excesivamente condimentado y por tanto camuflado el sabor.
No lo recomiendo ni volveré.",38 contribuciones,Escrita el 11 de noviembre de 2024,38.0,38 contribuciones,Grupo Sibuya,Muchas gracias por dedicar tiempo a escribirnos una opinión. Sentimos mucho que su experiencia no haya sido positiva y nos encargaremos de abordar este problema con nuestro equipo. Esperamos que vuelva a visitarnos pronto y que nos permita superar sus expectativas. Un saludo. Equipo Sibuya.,Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Sibuya,Cristina Revelo,"Es un lugar moderno y elegante para disfrutar de sushi de calidad. Los sabores son frescos e innovadores, y el ambiente, impecable. Queremos agradecer especialmente a Arielo por su excelente servicio: siempre atento, amable y con recomendaciones. ¡Gracias, Arielo, por hacer la experiencia aún más especial!",9 contribuciones,Escrita el 11 de noviembre de 2024,9.0,"Madrid, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/18/37/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/41/5d/f3/caption.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Delicioso!,Sarah P,¡Ariel es genial! Su servicio fue atento y rápido! La comida es deliciosa! ¡Iremos de nuevo! ¡Pruebe el cóctel Sibuya! Vengo con mi familia e hijos.,10 contribuciones,Escrita el 4 de noviembre de 2024,10.0,"Pleasant Hill, California",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,La comida genial y la atención espectacular.,María B,"El sitio está muy bien situado, en Madrid centro, en una calle muy agradable la verdad. El local por dentro es acogedor y está muy bien decorado, muy minimalista. La comida está súper buena y el camarero, en nuestro caso Robert, súper amable. Lo único q mejoraría son los muñequitos de los baños, ya q no se entiende mucho cuál es chico y cuál es chica. Por lo demás, súper bien y la atención al cliente súper buena.",1 contribución,Escrita el 1 de noviembre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Siempre perfecto!,Alejandra A,"Siempre perfecto el sibuya, todo delicioso y Francesco encantador, siempre con una sonrisa y ayudándonos a elegir lo mejor. 

Muchas gracias por todo!",1 contribución,Escrita el 19 de octubre de 2024,1.0,1 contribución,Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/d4/d4/f0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/8d/79/b2/alejandra-a.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737800-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Muy bien,marta,"Nos gustó mucho , yo ya fui varias veces, mi marido la primera le ha encantado, volveremos sin duda y José un encanto de camarero . Nos a consejo y todo estaba muy rico",3 contribuciones,Escrita el 19 de octubre de 2024,3.0,"Madrid, España",Grupo Sibuya,"Muchísimas gracias por la recomendación y review que hace sobre nuestro local. Compartiremos su comentario con nuestro servicio para seguir ofreciéndole una gran calidad y atención. Esperamos tenerles pronto de vuelta, y que sigan explorando todas las opciones de nuestra carta. Un saludo. Equipo Sibuya.",Leer más,Escrita el 10 de marzo de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/4e/ae/fatima-sibuya.jpg?w=100&h=-1&s=1
1775737737-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d23443725-Reviews-Sibuya_Urban_Sushi_Bar-Madrid.html,Una grata sorpresa en la capital,Cristina S,"La comida espectacular, el local muy bonito y el servicio acorde al sitio... totalmente recomendable... como sujerencia... deberian tener las bebidas mas frias...",93 contribuciones,93,,Escrita el 21 de marzo de 2026,,,,,,,,"Ibiza, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bd/bf/44/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,0,,
