web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,data4
1775578044-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Volveré,ADRIANA B,Excelente día Emely nos trató de maravilla y otro chico pequeño la comida estaba 10/10 me parece que la decoración está increíble,Escrita el 15 de agosto de 2025,1.0,ago 2025,,,,,1 contribución,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/cf/09/1e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Muy buen sushi,Simon317,"Muy buen sushi y otros platos. 
Servicio necesita alguna mejora ya que nuestra camarera no estaba muy bien entrenada. 
Pequeña selección de vinos",Escrita el 15 de agosto de 2025,379.0,ago 2025,Calidad/precio,Ambiente,Servicio,Comida,"Zichron Ya'aqov, Israel",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,379 contribuciones
1775578044-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Excelente,Mafer C,"Muy rica la comida y los tragos. La atención muy buena por parte de los chicos Alejandro, Osiris y Emily. Repetiremos!!!",Escrita el 15 de agosto de 2025,1.0,ago 2025,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Experiencia increíble,Aldrimar L,"Vine con amigas para celebrar el cumple de una de ellas y la verdad que la atención de Alejandro fue muy agradable, los cócteles de orisis y Emily 10/10. 
Volvería a repetirlo sin duda! 
El barco de sushi fue increíble y divino.",Escrita el 14 de agosto de 2025,1.0,ago 2025 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/cd/2e/13/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Delicioso,Willmarys C,"Teníamos tiempo queriendo venir y sin duda repetiríamos. Atención amable, comida deliciosa y bien presentada al igual que los cocteles. Un 10/10. Gracias Emily, Alejandro y Osiris.",Escrita el 14 de agosto de 2025,1.0,ago 2025 • Amigos,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Encantada,Melanie G,"Excelente atención de parte de Alejandro, muy atento y amable… La comida exquisita, siempre volver acá es una nueva experiencia",Escrita el 14 de agosto de 2025,1.0,ago 2025 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Encantada,yeinnireth b,"Todo estaba muy delicioso, y la atención de Alejandro fue excelente🫶🏼 fue una buena experiencia.... Es un buen sitio ara venir con amigos o familiares",Escrita el 14 de agosto de 2025,1.0,ago 2025,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/cc/f2/68/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,1 contribución
1775578044-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Agradable noche,Mafer F,"increíble comida y ambiente agradable, muy rica la fusión, los sabores muy bien combinados, muy amables los empleados, repetiría 100%🫶🏻",Escrita el 14 de agosto de 2025,3.0,ago 2025 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,3 contribuciones,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a9/66/a9/mafer-f.jpg?w=100&h=-1&s=1,,3 contribuciones
1775577994-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Para volver,Agustín Antonio G,Un restaurante que nos gustó mucho a todos. La comida fue espectacular hecha con productos de calidad y buen sabor. Lo recomiendo,9 contribuciones,,9,Escrita el 19 de febrero de 2026,"Besalú, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,
1775577994-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Un lugar increíble,Noemí Ángela C,"Aquí se nota el cariño y la dedicación en cada detalle. La comida es deliciosa, todo muy fresco y preparado al momento. Platos abundantes.",3 contribuciones,,3,Escrita el 3 de febrero de 2026,3 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,
1775577994-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Merece la pena,ManoloBenitez,"Nos dejamos llegar por las buenas puntuaciones y fue todo un acierto. Comida de calidad, servicio excelente y muy buen ambiente. Un lugar para repetir y seguir probando toda su carta.",182 contribuciones,,182,Escrita el 26 de enero de 2026,182 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,
1775577994-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Gran tiempo en sakale,Kelly S,"Disfrutamos de la comida, los cócteles y el servicio eran geniales. Teníamos el barco de sushi que incluía entrantes y cócteles /. Alejandro nos cuidó!",4 contribuciones,,4,Escrita el 29 de noviembre de 2025,4 contribuciones,Mostrar original,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/de/4e/76/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,
1775577994-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Madrid 2025,dns,"¡Un lugar de sushi muy bueno, con un servicio excelente y muy amable por parte de Alejandro y Jesús!
El sushi es de alta calidad y muy delicioso. Muy buena calidad para este precio.",2 contribuciones,,2,Escrita el 28 de noviembre de 2025,Suiza,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,
1775577994-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Comida y servicio excelente,Belen G,"Todo buenísimo y el servicio excelente. Nos atendió alejandro , muy amable. Volveremos seguro!!!!!!! Además ubicación céntrica",1 contribución,,1,Escrita el 24 de noviembre de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,
1775577994-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Desajuste total con la gran cantidad de exámenes de un solo contribuyente,Racerman,"Mesas para 60, otra pareja en el restaurante, restaurante de sushi, sin empleados japoneses. Logotipos, sillas y mesas de Heineken, no hay Heineken disponible. Sushi de mala calidad, uno de nosotros estaba enfermo más tarde ese día.",26 contribuciones,,26,Escrita el 10 de noviembre de 2025,26 contribuciones,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,
1775577994-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Vale la pena visitar,Tara E,"La comida era increíble, un poco de espera, pero vale la pena! 
El lugar es muy fotogénico también

Alejandro y Osiris en la cocina",1 contribución,,1,Escrita el 7 de noviembre de 2025,1 contribución,Mostrar original,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/a9/e5/1e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,
1775577994-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Decepcion,gelekase,"Hemos ido por las buenas criticas. La comida nos ha parecido muy simple. Parecia todo congelado y muy salado. Igual no hemos acertado al pedir. 3 platos a compartir, 2 cervezas japonesas y 2 vermouts 58 euros. Por cierto cada vermouth 5 euros. Un vermouth de mercadona ( he visto la botella) que no llega a 3 euros. Me parece un abuso. Sin postre ni cafe. Esta claro que no repetimos",97 contribuciones,,97,Escrita el 1 de noviembre de 2025,"Tudela, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/9c/d1/43/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,
1775577994-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Super!!,Solana L,"Excelente servicio de Alejandro!! Muy simpático y muyyyy buena la comida 😊
Recomiendo 100%!!!!!!!!!😃😃😃😃😃😃😃",2 contribuciones,,2,Escrita el 1 de noviembre de 2025,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,
1775577994-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Todo muy bien,Helena D,"Todo muy bueno, buena ubicación y buen servicio de Alejandro y Jesús. Comida muy buena y buen precio, gracias!!!!!!!!!",2 contribuciones,,2,Escrita el 1 de noviembre de 2025,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,
1775577994-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Excelente servicio de Alejandro,Azu L,Muy buena calidad la comida. 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,1 contribución,,1,Escrita el 1 de noviembre de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,,,
1775577994-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,¡Sí!,Jaclyn R,¡Increíble! Lo pasamos muy bien. Alejandro y Osiris eran servidores encantadores. Recomiendo encarecidamente este lugar a cualquiera que busque sushi.,1 contribución,,1,Escrita el 29 de octubre de 2025,1 contribución,Mostrar original,,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,
1775577994-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,La mejor cena de la historia,Chelsea B,Rollos de sushi absolutamente impecables. Deliciosa sangría. Servicio maravilloso. Mis camareros favoritos eran Alejandro y Osiris. Gracias.,1 contribución,,1,Escrita el 29 de octubre de 2025,1 contribución,Mostrar original,,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,
1775577994-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"Buen ambiente, bien atendidos y la comida increíble",Laura C,"Personal increíble, comida deliciosa, buen lugar para ir con amigos a comer deli y pasar un muy buen momento.
Ponían buena música de fondo:3",1 contribución,,1,Escrita el 25 de octubre de 2025,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,
1775578029-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Cena 💯,Elena A,"Todo riquísimo especialmente el roll vulcano!!! Reservamos con un descuento de the fork, y ha sido increíble sin duda voy a volver aquí",1 contribución,1.0,Escrita el 27 de septiembre de 2025,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,
1775578029-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Cena riquísima,Teresa V,Hemos comido súper bien y estaba todo buenísimo y con mucha cantidad. Nos ha antendido muy bien y hemos cenado genial. Muy recomendado,1 contribución,1.0,Escrita el 27 de septiembre de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,
1775578029-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Feliz cumpleaños a mi,Sofía J,"Vine a celebrar mi cumpleaños con amigas y todo maravilloso. La comida deliciosa, la compañia perfecta y la música de muy buen gusto.
Gracias por los chupitos!",1 contribución,1.0,Escrita el 27 de septiembre de 2025,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,
1775578029-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Muy bien,MariaV,Hemos ido a celebrar el cumpleaños de mi amigas y ha sido un sitio cómodo con buentrato y un ambiente muy agradable y está todo bueno,1 contribución,1.0,Escrita el 27 de septiembre de 2025,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,
1775578029-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Genial velada distendida y divertida.,Belén M,"Genial!  Fuimos a celebrar el cumple de una amiga y nos encontramos con una atmosfera divertida, con musica sensacional y un. ambiente joven y divino. Cocteles de primera!! 🍸🥃",1 contribución,1.0,Escrita el 27 de septiembre de 2025,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,
1775578029-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Sushi delicioso,Irati G,"Comida y de calidad y de los mejores cocteles que he tomado en mucho tiempo. Un local muy agradable y con buena música. El personal super atento y simpático, en especial Alejandro, el mejor <3. Volvería sin dudarlo!!",1 contribución,1.0,Escrita el 23 de septiembre de 2025,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,
1775578029-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Una cena maravillosa,Noemí P,"Ha sido una cena genial, nos atendió Alejandro y todo un placer, muy atento y pendiente en todo momento. Repetiremos sin duda!",5 contribuciones,5.0,Escrita el 20 de septiembre de 2025,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,
1775578029-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"Ambiente acogedor, comida deliciosa, trato familiar y muy cortés",orianarosales,"Local pequeño pero acogedor, rica la música de fondo, a un nivel de volumen apropiado. Genial el trato del camarero Alejandro y súper ricos los cócteles de Emily. El trato de la persona que nos recibió apenas entrar podría mejorar pero luego hemos estado de maravilla. La comida… uff… pedimos el bento box 2, sabor a sushi occidentalizado, muy bueno, la presentación muy apetitosa y servicio rápido.
Genial!",5 contribuciones,5.0,Escrita el 13 de septiembre de 2025,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,
1775578029-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,La atención y la comida fue increíble,Mariana R,La atención de Alejandro y Emily fue estupenda! Es uno de mis sitios favoritos por el trato y por la excelente comida! Super recomendado al 100%,1 contribución,1.0,Escrita el 13 de septiembre de 2025,Hagan reserva que siempre está full,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,
1775578029-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Lugar super agradable…. Con excelente atención,Dinora T,Mi segunda experiencia en el lugar… es increíble la comida y la atención de emily como siempre super buena! 100 % recomendado por mi parte,4 contribuciones,4.0,Escrita el 6 de septiembre de 2025,,,Calidad/precio,,Comida,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,
1775578029-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,El mejor sitio de Madrid para pasar un rato agradable en buena compañía y una excelente comifa,Guss z,Increíble trato de Emely y como siempre la comida espectacular. Recomendado al 100x100 para pasar un rato agradable y con buena comida.,1 contribución,1.0,Escrita el 6 de septiembre de 2025,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,
1775578029-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Buen sabor!,Departure48552052243,"Sushi bastante rico, tenía muy buen sabor, las porciones bastante bien de tamaño, totalmente recomendado. Bastante económico también.",1 contribución,1.0,Escrita el 3 de septiembre de 2025,,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
1775578029-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Primera vez comiendo sushi en Madrid,Anabel D,"El sitio es súper original y tiene muy buen ambiente. La comida estaba súper rica y el trato del personal fue genial, los camareros Jesús, Alejandro y Emily fueron muy amables y atentos.",1 contribución,1.0,Escrita el 30 de agosto de 2025,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,
1775578029-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,la comida y el buen trato ofecido,ORLANDO G,"nos encantó la experiencia gracias a Alejandro y Emily, comida muy rica y servicio de 10, tambien la velocidad de atencion y llegada de los platos",2 contribuciones,2.0,Escrita el 30 de agosto de 2025,"Pedid el combinado de pollo, verduras, arroz chino y gyozas, esta buenisimo y muy bien de precio, gran experiencia",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,
1775578029-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Fantastica experiencia,Benedetta,"Todo super bueno , fantasticos cocktails y comida. Buena presentación y sobretodo fantastica atencion de Emely y Alejandro, gracias chicos por todo!! Super simpatico  enhorabuena !!!",11 contribuciones,11.0,Escrita el 28 de agosto de 2025,"Fantástica comida y sobretodo gran atención de Emily y Alejandro. La cocada recomendada 100% 

Gracias chicos !!!",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,
1775578013-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Excelente lugar,Maria L,Fueron muy acogedores desde que entramos por la puerta. Tienen platos fusión y muy buenos. En especial los machos wtf. La atención de Alejandro y osiris hicieron que se sienta más familiar.,4 contribuciones,4.0,Lugar perfecto si no tienes reserva pero queires buena comida,oct 2025 • En familia,Calidad/precio,Ambiente,Servicio,Comida,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,Escrita el 24 de octubre de 2025
1775578013-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,"El local, el personal y la comida increíble!",Deva R,"Me encantó el local, la decoración y el ambiente, el personal nos trató muy bien y la comida estaba buenísima, el barco de sushi increíble",1 contribución,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",oct 2025 • Amigos,,,,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,Escrita el 16 de octubre de 2025
1775578013-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d15124420-Reviews-Sakale-Madrid.html,Cenita y copitas,Carla D,"Emely y Osi súper encantadores, atentos y dedicadisimos !!! La gente de cocina los mejores, cocinan como los mismísimos dioses",8 contribuciones,8.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",oct 2025 • Amigos,,,,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,Escrita el 15 de octubre de 2025
