web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,position
1775833110-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Comida sabrosa y buen servicio,Pablo S,"Todas las opciones en carta son muy sabrosas, el personal es muy atento y están siempre a disposición de los comensales.",,"Muchísimas gracias por tu reseña, nos alegra saber que disfrutaste de la comida y que valoras la atención y disponibilidad de nuestro equipo, comentarios así nos motivan a seguir dando lo mejor, ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 6 de enero de 2026,Escrita el 8 de enero de 2026,1,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Excelente atención,Melissa C,"Lo recomiendo al 100%. El mejor sushi de Madrid, la atención muy buena y Jenny fue muy amable, nos ayudó muchisimo las recomendaciones. 👌🏼",,"Muchas gracias por tu reseña, Melissa. Nos alegra muchísimo saber que disfrutaste del sushi y que Jenny hizo vuestra experiencia aún más especial con sus recomendaciones y amabilidad. ¡Nos vemos pronto en Ichikani!",2 contribuciones,Escrita el 4 de enero de 2026,Escrita el 5 de enero de 2026,2,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Muy recomendable,beatriz d,"Comimos en familia, todo excelente!! Ningún pero...comida, servicio y espacio..100×100 recomendable,  nos atendió Jazmín,  un encanto",,"Muchas gracias por tu reseña, Beatriz. Nos alegra muchísimo saber que disfrutasteis de la comida, el servicio y el espacio, y que Jazmín hizo vuestra experiencia aún más especial. ¡Nos vemos pronto en Ichikani!",2 contribuciones,Escrita el 4 de enero de 2026,Escrita el 5 de enero de 2026,2,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Fantástico restaurante japonés,Pao C,"Fuimos a cenar por navidades. Comida fantástica y atención excelente de Lula. Los hand rolls son la especialidad y están fantásticos.
Repetiremos!!",,"Muchas gracias por tu comentario. Nos alegra saber que disfrutasteis de la cena de Navidad y que los hand rolls fueron uno de los grandes protagonistas de la experiencia. Transmitiremos tus palabras a Lula, seguro que le encantan. Será un placer recibiros de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",4 contribuciones,Escrita el 3 de enero de 2026,Escrita el 3 de enero de 2026,4,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Los sabores,ahuartemarin,Muy buena experiencia. Nos atendió fenomenal Jenny. Lugar muy bonito y agradable. Todo riquísimo. Muchas gracias!!!!,,"Muchas gracias por compartir tu experiencia. Le trasladaremos tus palabras a Jenny, le encantarán. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 1 de enero de 2026,Escrita el 2 de enero de 2026,1,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Comida deliciosa en familia,Fernando S,Hemos venido en familia con edades de 13 en adelante. Comida riquísima y la atención por parte de Lula ha sido excepcional. Volveremos.,,Muchísimas gracias por tu valoración de cinco estrellas. Nos alegra leer que disfrutasteis de la comida y del servicio de Lula. ¡Nos vemos pronto en Ichikani!,1 contribución,Escrita el 31 de diciembre de 2025,Escrita el 3 de enero de 2026,1,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Cierre de año delicioso,Felipe Torrealva,Ambiente muy bueno. Nuestra anfitriona Lula muy amable. Comida exquisita. Muy buena relación precio/ calidad. Volveré,,Muchísimas gracias por tus palabras. Nos alegramos un montón que disfrutaseis de la última cena del año con nosotros y que fuese bien. ¡Nos vemos pronto en Ichikani!,5 contribuciones,Escrita el 31 de diciembre de 2025,Escrita el 2 de enero de 2026,5,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Muy recomendable para un plan improvisado,Storyteller733823,"Comida elaborada en el acto, atención inmejorable, educación exquisita y trato cálido
Sitio muy acogedor, forma una mezcla maravillosa",,Muchas gracias por tu reseña. Nos alegra saber que disfrutaste de la comida elaborada al momento y del trato cálido y atento del equipo de Ichikani. Comentarios así nos motivan a seguir ofreciendo experiencias memorables. ¡Nos vemos pronto en Ichikani!,1 contribución,Escrita el 29 de diciembre de 2025,Escrita el 30 de diciembre de 2025,1,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833110-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Ishikani - Carlos,Ramon G,"La comida era absolutamente increíble! La variedad de sabores y texturas que se ofrecían era asombrosa. Carlos era un camarero fantástico. Atento, divertido y súper amable. Con todo, una experiencia increíble.",,"Thank you for your review. We are thrilled to hear that you enjoyed the variety of flavors and textures at Ichikani, and that Carlos provided such attentive and friendly service. We truly appreciate your feedback and look forward to welcoming you back soon. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 29 de diciembre de 2025,Escrita el 30 de diciembre de 2025,1,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,,,,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Cena en pareja,Alejandro G,"Excelente restaurante, con un trato y comida inmejorable. 
Fuimos atendidos por Jenny y todas las recomendaciones muy acertadas.","Muchas gracias por tu reseña, Alejandro. Nos alegra muchísimo saber que disfrutaste de la comida y del trato, y que las recomendaciones de Jenny hicieron vuestra experiencia aún más especial. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 24 de enero de 2026,ene 2026 • Parejas,Escrita el 26 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,"La atención de Lula, nuestra camarera, y gran cocina",Arancha L,"Lula fue excepcional con nosotros, un servicio impecable, de 5 estrellas. Gran profesional. La comida riquísima y muy recomendable.
Tan solo indicar que, la persona que nos llamó para reconfirmar la reserva, le faltó bastante delicadeza, saber estar, atención al cliente y profesionalidad.","Muchas gracias por tu reseña. Nos alegra muchísimo saber que disfrutaste de la atención de Lula y de la comida, y tomamos nota de tu comentario sobre la llamada de reconfirmación para seguir mejorando nuestro servicio. ¡Nos vemos pronto en Ichikani!",3 contribuciones,Escrita el 24 de enero de 2026,ene 2026 • En familia,Escrita el 26 de enero de 2026,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,3,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Genial todo,Julieta C,"Excelente trato, calidad de la comida insuperable y ambiente tranquilo y perfecto. Nos atendió Jenny, quien nos recomendó platos exquisitos y siendo muy muy amable.","Muchas gracias por tu reseña, Julieta. Nos alegra muchísimo saber que disfrutaste del trato, de la calidad de la comida y del ambiente, y que Jenny hizo vuestra experiencia aún más especial con sus recomendaciones y amabilidad. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 23 de enero de 2026,ene 2026 • Parejas,Escrita el 26 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Espectacular el sitio y maravillosa atención,Juan C,"Muy buena atención recibida por parte de Jenny, repetiremos sin duda.
En todo momento pendiente de nosotros y recomendándonos lo mejor","Muchas gracias por tu reseña, Juan. Nos alegra muchísimo saber que disfrutaste de la atención de Jenny y que hizo vuestra experiencia aún más especial con sus recomendaciones. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 23 de enero de 2026,ene 2026 • Parejas,Escrita el 26 de enero de 2026,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,1,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Espectacular,Sergio E,"Experiencia increíble, servicio (todos pero a nosotros nos atendió Carlos) impecable, y la comida inmejorable. Muy muy recomendable","Muchas gracias por tu reseña. Nos alegra muchísimo saber que disfrutaste de una experiencia increíble y que la atención de Carlos y del equipo fue impecable, junto con una comida a la altura. Será un placer recibiros de nuevo. ¡Nos vemos pronto en Ichikani!",2 contribuciones,Escrita el 21 de enero de 2026,ene 2026 • Parejas,Escrita el 22 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Barra estupenda para cenar,alejandra m,Cenamos en la barra y nos encantó. relación calidad precio estupenda! Y la atención de Jenny un 10:) Recomendado para una ocasion especial,"Muchísimas gracias Alejandra por tu reseña, nos alegra saber que disfrutasteis de la experiencia en la barra, de la relación calidad-precio y de la atención de Jenny, será un placer recibiros de nuevo para otra ocasión especial, ¡Nos vemos pronto en Ichikani!",4 contribuciones,Escrita el 18 de enero de 2026,ene 2026 • Parejas,Escrita el 19 de enero de 2026,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,4,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Espectacular,Antonio R,Espectacular. Solo por la atención y recomendaciones de Jenny merece la pena. Imprescindibles los hand rolls y el maki ebi crunch.,"Muchísimas gracias Antonio por tu reseña, nos alegra saber que disfrutaste de la experiencia y que la atención y recomendaciones de Jenny hicieron vuestra visita espectacular, y nos encanta que highlights como los hand rolls y el maki ebi crunch fueran de tu gusto, ¡Nos vemos pronto en Ichikani!",5 contribuciones,Escrita el 17 de enero de 2026,ene 2026 • Parejas,Escrita el 19 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",5,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Reseña,emilio g,"Heyker y Jazmin muchas gracias por atendernos, ha sido un gran servicio siempre atentos y pendientes a peticiones","Muchísimas gracias Emilio por tu reseña, nos alegra saber que disfrutaste del servicio y que Heyker y Jazmin estuvieron siempre atentos y pendientes de vuestras necesidades, ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 16 de enero de 2026,ene 2026 • Negocios,Escrita el 19 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Best japanese ever,Miguel C,"Nos ha encantado la comida, y Jenny ha conseguido hacer recomendaciones maravillosas. Muy buena atención y muy buen gusto 10/10","Thank you very much for your review, we’re delighted to hear that you loved the food and that Jenny provided such wonderful recommendations, we truly appreciate your kind words about the service and overall experience, 10/10, ¡Nos vemos pronto en Ichikani!",5 contribuciones,Escrita el 16 de enero de 2026,ene 2026 • Amigos,Escrita el 19 de enero de 2026,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,5,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Una gran velada,Alberto,Una magnífica opción. La comida es excelente y la atención del servicio y asesoramiento en cuanto a los platos y a las cantidades a encargar nos parecieron de diez. La relación calidad/precio excepcional teniendo en cuenta la calidad de los platos y su ubicación en una de las zonas más cotizadas de la gastronomía madrileña. Volveremos sin duda.,"Muchas gracias por tu reseña. Nos alegra muchísimo saber que disfrutaste de una gran velada y que valoraste tan positivamente la comida, el servicio y el asesoramiento en los platos, así como la relación calidad-precio. Será un placer recibiros de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",2 contribuciones,Escrita el 12 de enero de 2026,ene 2026 • Parejas,Escrita el 12 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,Leer más,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Excelente,Bego D,"Maravilloso lugar, comida, servicio y trato por parte de Ángel. Volveremos seguro. Recomendable y de mucha calidad. Hasta pronto.","Muchas gracias por tu reseña, Bego. Nos alegra muchísimo saber que disfrutaste del lugar, la comida y la atención de Ángel. Será un placer recibiros de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",2 contribuciones,Escrita el 11 de enero de 2026,ene 2026 • En familia,Escrita el 12 de enero de 2026,Ichikani M,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,2,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Cena en Ichikani,Emma A,"La experiencia fue increíble! Nos atendieron Jenny y Edward y no nos pudieron tratar mejor, dándonos las mejores recomendaciones. Sin duda volvería :)","Muchas gracias por tu reseña, Emma. Nos alegra muchísimo saber que disfrutaste de la experiencia y que Jenny y Edward hicieron vuestra visita aún más especial con sus recomendaciones. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 11 de enero de 2026,ene 2026 • Parejas,Escrita el 12 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,"Simplemente encantado, recomendadisimo!",Carlos V,"Buenísimo todo!!! En especial la atención de Edward y Jenny, volveremos y recomendarles seguro!! Destacar sobretodo la Ichikani Tower, una mezcla de sabores deliciosa y el Salmón Spicy Roll","Muchas gracias por tu reseña, Carlos. Nos alegra muchísimo saber que disfrutaste de la comida y de la atención de Edward y Jenny, y que la Ichikani Tower y el Salmón Spicy Roll fueron de tu agrado. Será un placer recibiros de nuevo muy pronto. ¡Nos vemos pronto en Ichikani!",2 contribuciones,Escrita el 11 de enero de 2026,ene 2026 • Parejas,Escrita el 12 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,Muy buena,Alejandra R,"Comida riquísima, sobre todo los nigiris. Nos recomendaron en todo momento lo mejor y La chica que nos atendió, Lula, encantadora. Repetiremos","Muchas gracias por tu reseña, Alejandra. Nos alegra muchísimo saber que disfrutaste de la comida, especialmente de los nigiris, y que la atención de Lula hizo vuestra experiencia aún más especial. ¡Nos vemos pronto en Ichikani!",1 contribución,Escrita el 10 de enero de 2026,ene 2026 • En familia,Escrita el 12 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833069-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,MUY RECOMENDABLE,Pau Pau P,Un sitio muy agradable para comer. Buena calidad y muy buena atención por parte de Jenny. Muy recomendable. Volvería!!,"Muchas gracias por tu reseña. Nos alegra muchísimo saber que disfrutaste del ambiente, de la comida y de la atención de Jenny. Será un placer recibiros de nuevo. ¡Nos vemos pronto en Ichikani!",3 contribuciones,Escrita el 10 de enero de 2026,ene 2026 • Parejas,Escrita el 12 de enero de 2026,Ichikani M,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3,Leer más,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,
1775833010-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d28215005-Reviews-Ichikani_Madrid-Madrid.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
