web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,image4,data20,data21,data22,data23,data24,data25
1775661657-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Buena comida buen vino,Isabelli E,"Muy buena comida, las mejores croquetas que ya he probado!  Excelente atención del mesero cubano! Recomendado al 100",4 contribuciones,4.0,Escrita el 6 de mayo de 2023,"Hola isabellitomaz1107, muchas gracias por dejarnos su reseña, nos alegra saber que disfrutó de nuestra comida y atención, trabajamos día a día para brindarles una buena experiencia. ¡Esperamos verla pronto!","Ciudad de México, México",Escrita el 25 de julio de 2023,Restaurante DCorazon,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/04/a2/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Buena experiencia,Alfonso M. A.,"El sitio es muy tranquilo y es un buen lugar para comer. Hay variedad de entrantes y principales, además de postres caseros. Variedad de vinos.

Hemos degustado huevos revueltos con jamón y trufa, ensalada cesar con pollo, tartar de salmón y hamburguesa pulled por, además de pedir unas tiras de pollo para la peque.

Todos los platos están muy ricos y bien preparados. La ensalada césar muy completa y bien alineada. Los huevos revueltos con jamón de calidad y trufa están deliciosos. 

Los platos principales también están bien preparados. El tartar estaba muy rico y la hamburguesa muy bien preparada con un toque especial.

Buena calidad y precio acordé a la zona.

Recomendable.",295 contribuciones,295.0,Escrita el 15 de abril de 2023,"Hola alfonso_menendeza, muchas gracias por dejarnos su reseña. Nos alegra saber que disfrutó de nuestra variedad de platos y que tuvo una buena experiencia con nosotros. Esperamos volver a verle en otra oportunidad!","Alcorcón, España",Escrita el 25 de julio de 2023,Restaurante DCorazon,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/d5/05/08/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/10/af/08/alfonso-menendeza.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Perfect!,Trip61726490458,"Excelente comida!! Lo mejor Yamil (el chico cubano) un servicio espectacular...
PD: las alcachofas imperdibles..",1 contribución,1.0,Escrita el 9 de abril de 2023,"Hola Trip61726490458, muchas gracias por dejarnos su reseña y recomendación. Esperamos verle pronto!",1 contribución,Escrita el 26 de julio de 2023,Restaurante DCorazon,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661657-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Buen ambiente,Juan Pablo G,"Buena comida y ambiente, todo fue muy grato tanto atención como comida recomiendo venir. Comida bien preparada y buen precio.",1 contribución,1.0,Escrita el 9 de abril de 2023,"Hola R1484MTjuanpablog, muchas gracias por dejarnos su reseña y recomendación, ¡Esperamos verlo pronto!",1 contribución,Escrita el 25 de julio de 2023,Restaurante DCorazon,,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,0,,,,,
1775661639-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Céntrico y rico,Naara P,"Nos pedimos una ración de patatas con salsas y estaban deliciosas tanto las patatas como las salsas. Además, tienen un amplio surtido de bebidas.
Volveremos!",1 contribución,1.0,Escrita el 22 de junio de 2024,"Hola 832naarap, Muchas gracias por tu reseña y valoración. ¡Esperamos verte en otra ocasión para que disfruten de las opciones de  nuestra carta!",Escrita el 22 de julio de 2024,1 contribución,"Pide la ración de patatas, está buenísima",Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Patatas espectaculares,Andrés,Me sorprendieron muy gratamente las patatas y la limonada. Fíjate que simple! Una pequeña maravilla en la plaza mayor.,9 contribuciones,9.0,Escrita el 22 de junio de 2024,Hola Andretxu_Ibarra Muchas gracias por tu reseña y valoración. Nos alegra saber que tuviste una buena experiencia con nosotros y esperamos poder verte en otra ocasión.,Escrita el 22 de julio de 2024,9 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Restaurante DCorazon,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Recomendable,María Elena,"Muy agradable y bien servido. El comedor es muy tranquilo y la temperarura perfecta, se está muy agusto. La comida estupenda y el servicio muy bueno",9 contribuciones,9.0,Escrita el 22 de junio de 2024,"Hola mar_amB1799HP, muchas gracias por tu reseña y valoración. Nos alegra saber que disfrutó de una buena experiencia con nosotros y esperamos poder verles en otra ocasión.",Escrita el 22 de julio de 2024,9 contribuciones,Una ubicación excelente y buena comida,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/d2/3f/cc/maria-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Precio calidad caro,eneri8413,"Precio calidad caro, el sitio es bonito y acojedor. La comida normalita para el precio que tiene. Pero volveria a ir por el trato excelente del personal. Enhorabuena a todo el personal.",9 contribuciones,9.0,Escrita el 29 de mayo de 2024,"Hola eneri8413, lamentamos que su percepción de los precios sea elevado, en DCorazon nos preocupamos por tener un equilibrio entre calidad y precio. Entregando un buen servicio y comida de calidad. Igualmente agradecemos su reseña y nos alegra saber que tuvo una buena experiencia con nosotros. ¡Esperamos verle pronto!",Escrita el 22 de julio de 2024,"Reus, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Restaurante DCorazon,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Decid NO al menú,teresaroca90,"Restaurante bien ubicado. En cuanto a la comida, nosotros pedimos el menú y la verdad muy flojo, raciones pobres y a medias, los huevos rotos, que se suponen con jamón, resulto que en el menú no llevaban jamón. De segundo el bacalao muy seco con un exceso de salsas pero las chuletillas de lechal estaban buenas. No creo que sea un mal restaurante, los platos que vimos pasar de carta parecían buenos, creo que tendríais que quitar el menú, es mejor ofrecer una carta que por lo que vimos en las demás mesas servís en raciones adecuadas y bien presentadas que servir este menú con el que, sinceramente, quedáis muy mal",5 contribuciones,5.0,Escrita el 4 de mayo de 2024,"Hola teresaroca90, lamentamos no haber cubierto sus expectativas. Sin embargo, le comento que nuestra opción de ""menú de mediodía"" es una opción más económica que cuenta con varios platos, por lo que las raciones son más pequeñas que las opciones a la carta. En DCorazon nos preocupamos por entregar un buen servicio y comida de calidad para nuestros clientes. Igualmente agradecemos su reseña por ayudarnos a mejorar y esperamos que puedan visitarnos en otra ocasión para puedan disfrutar de otras opciones de nuestra carta.",Escrita el 22 de julio de 2024,"Lleida, España",,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/dd/f6/ec/teresaroca90.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Mala gestión de incidente.,ALBERTO V,"Bocadillos y comida muy bien, local agradable y buen situado pero nos pasó algo que hace que no tengamos ganas de volver, pedimos unas cañas con limón y una caña doble y el camarero trajo las cañas con limón y una caña normal con la misma copa que las de limón.
Al decirle que se había confundido nos dijo que eso era una caña doble, como le insistimos que era una caña normal nos dijo que era nuevo y le iba a preguntar al encargado. Al final volvió diciendo que esa era la caña grande(obviamente no había preguntado), total que nos cobró mucho más cara la caña normal que las cañas con limón.
Creo que todo el mundo tiene derecho a ser nuevo y equivocarse pero se podía haber gestionado mejor esa metedura de pata. No me importa el dinero que pague de más pero se produjo una situación desagradable y al final me tuve que callar para no estropear mi jornada en Madrid.",1 contribución,1.0,Escrita el 12 de febrero de 2024,"Hola albertovD1903NM, lamentamos que no haya tenido una buena experiencia con nosotros. En DCorazon nos preocupamos por entregar un buen servicio y comida de calidad. Igualmente agradecemos su reseña por ayudarnos a mejorar. Esperamos poder verle en otra ocasión.",Escrita el 29 de febrero de 2024,1 contribución,,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Excelente,Macarena P,"Excelente atención al cliente de Amina, comida muy buena y precio asequible. 
Además, nos atendieron muy rápido",1 contribución,1.0,Escrita el 17 de diciembre de 2023,"Hola 629macarenap, ¡Muchas gracias por su reseña y valoración! En DCorazon nos importa entregar un buen servicio y comida de calidad. ¡Esperamos verle pronto!",Escrita el 20 de diciembre de 2023,1 contribución,,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Fatal,marga s,"Mal servicio. Pedimos pan y tuvimos que reclamarlo varias veces. Para la cuenta otras tantas, pagamos en efectivo y no nos traían en cambio. Hubo que reclamar el cambio varias veces, si quiero dar propina,  soy yo la que la doy y doy la cantidad que quiero, no que los camareros cojan la vuelta por su cuenta.
Comida acceptable",5 contribuciones,5.0,Escrita el 14 de diciembre de 2023,,,5 contribuciones,,,,Calidad/precio,Comida,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,0,,,,
1775661639-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Primera y muy buena  experiencia,Lidia M,"El local es muy agradable y muy acogedor . Tiene una zona de cenas muy bien decorada estilo cueva subterránea , buen ambiente y muy buena comida. Nuestra camarera ha sido Amina , encantadora muy pendiente a cada momento y muy simpática . 
Volveremos sin ninguna duda",1 contribución,1.0,Escrita el 28 de noviembre de 2023,"Hola lidiamN6888XJ,  ¡Gracias por su reseña y valoración! Nos alegra saber que tuvo una buena experiencia con nosotros y esperamos verle pronto.",Escrita el 20 de diciembre de 2023,1 contribución,,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e7/cf/6a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/ca/f8/f7/lidia-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Bastante bien,Erick C,"Buen y rápido servicio. Nuestra camarera, Amina, es súper maja, amable y muy simpática. La comida estaba riquísima pero un poco fría, pero muy muy buena",1 contribución,1.0,Escrita el 26 de noviembre de 2023,"Hola G2882VWerickc, ¡Muchas gracias por tu reseña y valoración! Lamentamos que tu comida haya estado un poco fría y agradecemos que nos ayudes a mejorar.",Escrita el 27 de noviembre de 2023,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Restaurante DCorazon,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Sitio agradable y buena calidsd,lauragC29CD,"Muy buena la atención de Amina, buen servicio y buena comida. Un sitio muy agradable. Postres caseros muy ricos.",4 contribuciones,4.0,Escrita el 26 de noviembre de 2023,"Hola lauragC29CD, ¡Muchas gracias por tu reseña y valoración!",Escrita el 27 de noviembre de 2023,"Madrid, España",,Restaurante DCorazon,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e3/e5/77/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,muy bien,Anna V,"Vinimos en 2021 y hemos vuelto! Amina una gran profesional. Hemos pedido huevos con trufa, espaguetis de calabazin y rissoto de salmon y muy bueno!",5 contribuciones,5.0,Escrita el 26 de noviembre de 2023,"Hola annavB4948YR, muchas gracias por tu reseña y valoración. Nos alegra saber que tuviste una buena experiencia con nosotros, ¡Esperamos verte pronto!",Escrita el 27 de noviembre de 2023,5 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Restaurante DCorazon,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/e3/9d/b3/anna-v.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Todo muy correcto,Jordi,"Todo muy correcto, Amina una gran camarera, la atención estupenda y un lugar muy bonito para ir en pareja, amigos o familia",1 contribución,1.0,Escrita el 26 de noviembre de 2023,"Hola jordipastorsanche, muchas gracias por tu reseña y valoración. Nos alegra saber que tuviste una buena experiencia con nosotros, ¡esperamos verte pronto!",Escrita el 27 de noviembre de 2023,"Matadepera, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Restaurante DCorazon,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Buen servicio y buena comida,aniuskacatalana,"Amina me atendio muy bien.comida buena. Precio correcto. En pleno cengro, localizacion excepcional.",6 contribuciones,6.0,Escrita el 25 de noviembre de 2023,"Hola aniuskacatalana, ¡Muchas gracias por tu reseña y recomendación!",Escrita el 27 de noviembre de 2023,catalunya,,Restaurante DCorazon,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e2/52/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661639-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,La atención recibida,Nieves B,"Este sitio es espectacular, la comida exquisita y el servicio buenísimo. Destacar la atención recibida de Amina, nuestra camarera, que estuvo pendiente de nosotros en todo momento.
Y como colofón helado de Violeta",1 contribución,1.0,Escrita el 25 de noviembre de 2023,"Hola 508nievesb, muchas gracias por tu reseña y valoración. Nos alegra saber que tuviste una buena experiencia con nosotros. ¡Esperamos verte pronto!",Escrita el 27 de noviembre de 2023,1 contribución,,Restaurante DCorazon,Ambiente,Calidad/precio,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e1/57/00/restaurantedcorazon.jpg?w=100&h=-1&s=1,,Leer más,0,,,,
1775661523-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Deliciosa comida,Ramón Francisco S,Muy buena experiencia en este restaurante.  Los camareros nos atendieron con un servicio excelente.  La comida estuvo espectacular.,3 contribuciones,3.0,Escrita el 16 de enero de 2026,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,,
1775661523-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Comida de buena calidad,Raúl D,Comida de calidad y excelente servicio. Restaurante tranquilo en pleno centro de Madrid. Decoración muy bonita y con comedores individuales.,2 contribuciones,2.0,Escrita el 19 de abril de 2025,2 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/a4/73/0e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/a4/73/0f/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,,,
1775661523-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Agradable ambiente,Sofia S,"Buena ubicación, fue una agradable sorpresa comer en el nivel inferior con 400 años de antigüedad. Comida excelente, con propuestas Españolas para todos los gustos, al igual que los postres. Buen servicio también.",4 contribuciones,4.0,Escrita el 15 de enero de 2026,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,Leer más,0,,,,,,,,,,,
1775661523-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,"Comida bien, pero no mucho ambiente",tinylass,"Habíamos reservado por Internet para un viernes por la noche antes de nuestro viaje a Madrid, pero era tranquilo cuando visitamos y no había muchas mesas llenas. El personal no hablaba mucho inglés, lo que nos pareció sorprendente para la plaza principal, así que fue un poco difícil comunicar nuestra orden. Pedimos tres entrantes y cuatro platos principales, pero uno de los platos principales vino con los entrantes; asumo un error de comunicación, pero no parecían entender, así que simplemente lo aceptamos. Comí croquetas de jamón para empezar que estaban muy sabrosas. Luego había horneado bacalao con puré de papas con trufa que de nuevo estaba sabroso, pero bastante pequeña porción en un plato pequeño. Tomé un brownie de chocolate de postre que estaba bien, pero parecía que le faltaba sabor un poco. 
Como era tranquilo y no parecía haber música, no había mucho ambiente, y hacía un poco de frío en la habitación también. También parecía haber bastante personal rondando esperando algo que hacer.",7508 contribuciones,7508.0,Escrita el 7 de enero de 2026,"Sheffield, Reino Unido",,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/d7/34/97/tinylass.jpg?w=100&h=-1&s=1,,,,,,
1775661523-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14117482-Reviews-Restaurante_Dcorazon-Madrid.html,Terrible comida,George A,"Esta fue una de mis peores experiencias. El lugar no es muy agradable. Nos llevaron bajo tierra de habitación en habitación hasta que terminamos en una habitación pequeña. Los entrantes estaban muy mal, llenos de aceite cayendo por el plato. 
El risotto de mi esposa fue probablemente la mejor opción que vino primero dejándome esperando el mío incluso después de que ella terminó. Cuando vi mi placa, inmediatamente me di cuenta de mi error estando allí, ya que la presentación fue terrible. Ni el peor chef podría ser tan descuidado. Apenas tomé unos bocados y dejé la comida allí. Por supuesto que no fuimos al desierto y dejamos la mesa. 
Traté de explicarle a la señora que parecía ser la dueña pero su comunicación en inglés era peor que la comida. Luego vino la camarera que trató de disculparse después de que fueron a inspeccionar mi plato. Por supuesto, me dedujeron mi placa de la factura. 
Lástima que no haya tomado fotos.",3 contribuciones,3.0,Escrita el 24 de diciembre de 2025,"Msida, Malta",,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,,
