web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,data17,data18,image4,image5,image6,image7,image8,image9,position,position2,image10
1779689194-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Buena sensación en todos los aspectos,Antonio M,"Un sitio cálido, tranquilo, muy buena atención del personal siempre muy agradables y atentos a todo cuidando al máximo cada detalle. Cada plato que pedimos fue una explosión de sabor en nuestra boca. El tiradito de dorada esta en mi top tres de platos. En fin una buena experiencia para una noche en Madrid",24 contribuciones,24,Escrita el 28 de julio de 2022,24 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/00/64/32/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/00/64/34/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/00/64/36/caption.jpg?w=300&h=300&s=1,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/00/64/37/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/00/64/39/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,,,,
1779689218-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Espectacular y lleno de sabor,FN A,"Simplemente espectacular de calidad, sabor y todo lo que hace sentirte bien. 

Muchas gracias por una noche inolvidable",20 contribuciones,20,Escrita el 27 de mayo de 2022,"Colonia, Alemania",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5e/fd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5e/fe/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5e/ff/caption.jpg?w=300&h=300&s=1,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5f/00/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5f/01/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5f/02/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5f/03/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/90/5f/04/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,
1779689218-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Increíble fusión japoperuana,Manu3C,"Aprovechando el fin de semana largo de San Isidro que vació (relativamente) Madrid, reservamos en Bacira, restaurante al que hace tiempo teníamos echado el ojo. Y no nos defraudó. Al contrario, superó con mucho las expectativas.
Según abrían a las 20:30 estábamos los 4 en la puerta, y ya desde el inicio destacar la amabilidad discreta del equipo. Atentos, no sólo te explican la carta, sino que te aconsejan con mucho sentido, como ese tiradito de lubina con vieiras que nos aconsejaron. O su advertencia de que quizá habíamos pedido un poco demasiado, pues efectivamente nos costó terminar y no nos quedó sitio para los postres, que merecen capítulo aparte.
No sabría qué destacar. La anguila sobre queso fresco, original y contrastes muy originales, el ya mencionado tiradito, o cualquiera de los platos de carne: el cordero, el pato o, especialmente, la panceta. Espectaculares todos.
Y los postres, un problema seleccionar. El lemon pie de los mejores que he comido nunca, y el tiramisú""deconstruido"" muy bueno. Dejamos la tarta de queso y la torrija para otra ocasión, pues hubiéramos acabado en el hospital. Cob todo, salimos a poco más de 30€/persona, incluyendo cervezas y aguas.

Todo perfecto, y si no tienen un 5 de puntuación es por un olvido con la panceta, que se demoró en salir, aunque nos avisaron dando opción a cancelarla. La próxima será 5 si siguen así.",119 contribuciones,119,Escrita el 17 de mayo de 2022,"Tres Cantos, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,
1779689218-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Buena relación calidad -precio  👌,Eva M,"Excelente servicio, sabores diferentes y calidad precio inmejorable. La torrija, espectacular, Repetiremos!",3 contribuciones,3,Escrita el 30 de abril de 2022,3 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/45/6a/9b/bacira.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/45/6b/1b/bacira.jpg?w=300&h=300&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,,
1779689218-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,"SERVICIO INACEPTABLE, NO ACORDE CON LA COMIDA.",enzo l,"Hemos ido hoy al restaurante y la verdad nos hemos sorprendido para mal con el servicio.

La comida muy rica que es lo más importante, en especial la sardina con crema, aunque muy ricos y tiradito vieira, panceta... Un pelín cara, pero muy buena calidad.

Sin embargo, el servicio ha sido horrible. Llegamos a las 15:30, pedimos todo de golpe porque la cocina cerraba a las 16:00, pero nos han ido apretando para que acabáramos cada plato que se lo querían llevar incluso con comida.

Quién es el responsable del servicio? Las dos chicas nos han tratado muy muy mal, mirándonos todo el rato con mala cara para que acabáramos pronto y queriéndose todo el rato llevándose los platos, diciéndoles varias veces que todavía no habíamos acabado.

Ni postre nos atrevimos  a pedir.

Las 15:30 es una hora normal a las 16:30 ya habíamos acabado.

Dejamos 1, 50 de propina y la verdad es que me arrepiento, porque no se lo merecen.

Como te pueden tratar así, cuando has dejado 72 euros en el restaurante?

Lamentable  y sinceramente me gustaría que el encargado viera esta reseña, incluso ponerse en contacto conmigo.

Dejo algunas fotos para que se demuestre que hemos estado en el sitio.

Con las expectativas que tenía de este sitio, el servicio me ha decepcionado muchísimo, no está para nada a la altura de la comida, de hecho es de los peores servicios que he tenido en mucho tiempo.
Bajo mi experiencia no vayáis más allá de las 15:00 porque os querrán echar pronto para quedarse libre.

Agradecería respuesta del restaurante, no ha sido nada justo dado el tipo de restaurante y el precio pagado.

Lamentable",30 contribuciones,30,Escrita el 20 de abril de 2022,30 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/1e/01/eb/bacira.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/1e/01/fc/bacira.jpg?w=300&h=300&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,
1779689218-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Espectacular,Gumersindo P,Espectacular! El maki de mar y montaña es insuperable! El personal muy amable. Local de referencia en madrid para los que les guste la comida asiática,23 contribuciones,23,Escrita el 19 de abril de 2022,"Pontevedra, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/7f/d2/b1/gumersindop2022.jpg?w=100&h=-1&s=1,,,
1779689218-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Excelente fusión mediterránea-asiática,segobriga,"Los platos estaban buenísimos, son raciones o medias raciones, el concepto es de compartir todos los platos y la verdad que estaban exquisitos, una mezcla de sabores deliciosa! Y la tarta de queso tremenda! La mejor que he probado nunca! Enhorabuena!!",20 contribuciones,20,Escrita el 14 de abril de 2022,"Segovia, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/04/21/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/04/21/f9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/04/21/fa/caption.jpg?w=300&h=300&s=1,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,
1779689218-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Comida con sabores diferentes,Maite,"Restaurante en Chamberí con decoración ecléctica. Pedimos ensaladilla con ají, sabrosa y original. Tartar de atún con pomelo, de excelente calidad aunque nos gustó menos el amargor de la fruta. Y de segundos rulo de cordero y albóndigas de carrillera que estaban de 10. 
Aspectos a mejorar: que pongan manteles (ya que no es barato) y alguna otra marca de cerveza,sólo tienen La Virgen, de grifo o botella.
Relación cidad/precio buena.
Buena atención y cantidades correctas. Nos hemos quedado con ganas de probar más platos.",55 contribuciones,55,Escrita el 9 de abril de 2022,55 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/28/f8/21/maitaza.jpg?w=100&h=-1&s=1,,,
1779689218-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Fusión de lujo,Mercedes972,"Local no muy grande, muy agradable y bien decorado. Personal amable y muy profesional. Carta original, caracterizada por la fusión de distintas cocinas en sus platos. Muy buena materia prima. A destacar, el tiradito de dorada con vieira, los niguiris de salmón, y las albóndigas de rabo de toro. Relación calidad precio más que correcta para el tipo de plato que elaboran. Un gran lugar para degustar distintas mezclas de cocina.",676 contribuciones,676,Escrita el 31 de marzo de 2022,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/8d/avatar014.jpg?w=100&h=-1&s=1,,,
1779689218-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Una joyita en Madrid !,Juanjo Vidal,"Restaurante acogedor (salvo que te toque en el planta de sótano) con una relación calidad precio muy ajustada para lo que ofrecen. 

La cocina es creativa, con una fusión asiática muy acertada. Materia prima de calidad que se transmite desde el primer bocado. 

De mis imprescindibles cuando voy a Madrid.",973 contribuciones,973,Escrita el 26 de marzo de 2022,"Valencia, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/35/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/36/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/37/caption.jpg?w=300&h=300&s=1,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/38/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/39/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/3a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/3b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/ad/bd/3c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/99/a6/e5/caption.jpg?w=100&h=-1&s=1,,,
1779689218-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Siempre un acierto,Irene c,"Fuimos por el cumpleaños de mi marido, y nos encantó. El tiradito con vieira super rico, la ensaladilla, la albóndiga de toro, los nigiris... todo!! Desde luego repetiremos.",16 contribuciones,16,Escrita el 19 de marzo de 2022,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,
1779689218-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,MI PRIMERA VISITA Y UN 10,MURSHARKTAPAS,"Primera vez que visitamos este restaurante en nuestra visita a Madrid.

Local con mucha luz y techos amplios que te hace estar relajado a la hora de comer, con un servicio muy atento que te ayuda bastante a la hora de combinar los diferentes platos de su cocina de fusión.

Todos los platos exquisitos, pero destaco principalmente la panceta glaseada y los tiraditos de vieira y dorada.

Seguro que repetimos.",10857 contribuciones,10857,Escrita el 15 de marzo de 2022,"Murcia, España",Calidad/precio,Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/92/f8/entrante-mousse-de-la.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/92/fa/entrante-mousse-de-la.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/92/fb/panceta-glaseada.jpg?w=300&h=300&s=1,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/92/fe/panceta-glaseada.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/93/01/alcachofas-con-foie.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/93/02/alcachofas-con-foie.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/93/03/niguiri-de-salmon.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/80/93/05/niguiri-de-anchoa-y-aguacate.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/34/30/db/jose-m.jpg?w=100&h=-1&s=1,,,
1779689218-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Gratamente sorprendente,PINOSO11,"Una grata sorpresa, nos encantó.
Cocina, carta y carta de vinos muy buena y original. Además cerveza La Virgen, fantástica.
Muy buena atención y recomendaciones, sinceras y sin abusar, sin afán de que te pases pidiendo para facturar. Se agradece.
Lo pongo en mi lista de favoritos sin duda.",29 contribuciones,29,Escrita el 14 de febrero de 2022,"Madrid, España",Calidad/precio,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/a7/62/ff/pinoso11.jpg?w=100&h=-1&s=1,,,
1779689218-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Inolvidable,Carmina,"Hoy he celebrado mi cumpleaños comiendo en Bacira. La calidad de la comida, incuestionable. Destaco el tiradito de lubina, aunque todo estaba delicioso con esa fusión nikkei y tradicional. Las croquetas, únicas de sabor y textura. 
La atención amable y superprofesional.
Y para terminar, los maravillosos detalles que han tenido: preparar croquetas para una croquetómana cono yo, aunque ya no las tienen en carta, y regalarnos unas trufas con vela de cumpleaños feliz incluida. 
Vayan y disfruten.",9 contribuciones,9,Escrita el 12 de febrero de 2022,9 contribuciones,,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,,
1779689218-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Una gran sorpresa,InmaID,"Excelente comida fusión asiática y mediterránea. Recetas muy sorprendentes de comida tradicional. Pedimos un pulpo con sobrasada espectacular, una bandada de bacalao  con una crema de orejones y pimentón riquísima y luego unos makis más normales pero muy ricos también.
De postre una crema de vainilla y mango , muy ligera pero tb muy rica .

Algo que no me gusto, como en la mayoría de los restaurantes últimamente, no hay mantel pero ni siquiera un mantelito individual para apoyar cubiertos y el pan. Yo se lo recomendaría , porque aunque es un ambiente informal creo que es algo muy simple y fácil de implementar para ganar en calidad.

El servicio muy, muy bueno!!!",52 contribuciones,52,Escrita el 9 de enero de 2022,"Comunidad de Madrid, España",,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,
1779689218-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,No es mi estilo de restaurante,pbdemelo,"Platos muy elaborados, algunos originales. De tamaño, algunos iban un poco escasos, sobre todo teniendo en cuenta que no es un lugar barato.

Las albóndigas me encantaron, la carrillera no estaba mal pero no me pareció espectacular.

Lo más molesto fue que, por la posición de la mesa, la camarera se metía en medio de los comensales para recoger los platos y cubiertos de enfrente, y fue bastante incómodo tenerla todo el rato encima.

No está mal, pero no es mi estilo y no es barato.",545 contribuciones,545,Escrita el 7 de diciembre de 2021,"Madrid, España",Calidad/precio,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/02/0b/8a/pbdemelo.jpg?w=100&h=-1&s=1,,,
1779689263-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Simplemente....INCREIBLE. Gran descubrimiento,Sergio C,"Cené en este restaurante recomendad por un Chef, ya que buscaba un sitio de comida rica, pero algo diferente, y a precio razonable.... Y fue un total acierto.
El restaurante está muy bien decorado y ya solo a la hora de reservar, te da la sensación de ser un sitio serio y bien dirigido
El servicio muy atento y sabiendo explicar muy bien tanto los platos, como el vino
Fuimos 2 personas y compartimos:
- Ostras ( en una salsa excelente )
- 2 Niguiris de Anchoa y Anguila con pico de Gallo ( increibles )
- Tiradito de Dorada con Viera ( y una salsita )...fue mi favorito...recomendación de la camarera
- Ceviche
- Carrillera de Ternera
- Postre: Torrija Caramelizada

Algo que me gustó, a parte de los platos, fue que se pueden pedir medias raciones...algo que hace que se puedan probar mas cosas

Tienen una buena carta de vinos a precios razonables

Calidad/Precio...sitio increible. Muy recomendable. Volveré seguro","Madrid, España",281 contribuciones,281,Escrita el 29 de noviembre de 2021,Calidad/precio,Servicio,Comida,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/7c/03/3b/tiradito-de-dorada-con.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/7c/03/70/ostras-con-salsita-especial.jpg?w=300&h=300&s=1,,0,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,,,,
1779689263-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,"Un: repetiré, sin dudarlo",Daniel R,"Hemos comido tres personas por la celebración de no se qué de una de ellas.

Fabulosa atención, los camareros muy correctos.

Hemos compartido medias raciones (algunos platos se pueden pedir por medias raciones). Nos las han ido sacando una detrás de otra sin solaparse, para que degustáramos sin presiones. 

Cada uno de los platos es una delicia. Los productos son buenos y las cantidades medidas. Puede que algún plato cueste algo más de lo que a tí te gustaría pagar pero lo compensas, quizás, con el precio de otros platos.

La siesta de después guarda relación la comida en Bacira.

¡Gracias!","Comunidad de Madrid, España",11 contribuciones,11,Escrita el 27 de octubre de 2021,Calidad/precio,Servicio,Comida,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/1f/50/e5/potxaismoylustrado.jpg?w=100&h=-1&s=1,,,,,,,,
1779689263-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Van sobrados,Guillermo S,"Pues eso, van tan sobrados que el camarero se permitió cambiarnos platos y el postre por otros que nos sugirió él. Todos buenísimos y una atención exquisita. Se te termina el pan y al instante ye lo renuevan, con el vino igual, pero sin resultar para nada molestos ni intrusivos. Se lo recomendaría a quien fuera.","Getxo, España",9 contribuciones,9,Escrita el 23 de octubre de 2021,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,
1779689263-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Otra vez increíble!!,javier j,"Hacia mucho tiempo que  no íbamos porque no vamos a menudo a Madrid, pero nos lo marcamos como obligación y otra vez nos ha vuelto a sorprender gratamente y a enamorar como siempre. Hasta el próximo viaje a Madrid que volveremos.","Zaragoza, España",24 contribuciones,24,Escrita el 5 de octubre de 2021,Calidad/precio,Servicio,Comida,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/a7/ff/fa/harrygeminis.jpg?w=100&h=-1&s=1,,,,,,,,
1779689263-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6865459-Reviews-Bacira-Madrid.html,Estupendo!,MdeMarbella,"Cuando llamé no había mesa pero me ofrecieron ir a primera hora y dejar la mesa a las 14,45. Encantadores. Aceptaron de buen grado un cuarto comensal imprevisto. La comida, excelente como siempre. Las albóndigas de rabo de buey dejaron a mi padre en trance, el steak tartare estaba fabuloso, los make de mar y montaña fantásticos y la torrija, inolvidable.
Nos marchamos a la hora prometida y con un excelente sabor de boca.","Marbella, España",86 contribuciones,86,Escrita el 3 de octubre de 2021,Calidad/precio,Servicio,Comida,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/eb/23/15/mdemarbella.jpg?w=100&h=-1&s=1,,,,,,,,
