web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,image4,image5,data21,data22,data23,image6,position,image7,image8
1776264674-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Cena,Pedro R,Excelente lugar y su atención es de primera. Volveremos ya que el pais nos dejó muy contentos y su gente amable,"Muchas gracias por sus comentarios. Esperamos verles en su próximo viaje a España. Saludos.
Eduardo.",2 contribuciones,2,Escrita el 21 de septiembre de 2018,Escrita el 10 de octubre de 2018,2 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,EXPERIENCIA SABROSA,Mura,"Muy buena calidad,  raciones muy acordes con los precios y personal muy simpático,  repetiré  en mi próximo viaje a Madrid.","Muchas gracias por sus comentarios. Será un placer atenderles de nuevo. Saludos.
Néstor y Eduardo.",38 contribuciones,38,Escrita el 20 de septiembre de 2018,Escrita el 10 de octubre de 2018,"Vigo, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Sigue igual de bueno,yyolanda222,"Otra cena maravillosa,
Los 4 que fuimos salimos encantados y seguiremos repitiendo.
Sigue siendo la mejor comida mexicana que hemos probado y el servicio espectacular...","Muchas gracias por sus comentarios y su fidelidad a nuestro restaurante. Esperamos verles de nuevo. Saludos.
Néstor y Eduardo.",8 contribuciones,8,Escrita el 18 de septiembre de 2018,Escrita el 10 de octubre de 2018,8 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,"Esto de mexicano, lo que yo tengo de suizo (nada)",oscar g,"Yo no se lo que la gente come aqui en europa como mexicano pero creo que este restaurant no representa a mi comida mexicana, sabor y presentacion una m...
Servicio del estilo",Sinceramente me parece que se ha equivocado de Restaurante. Saludos.,3 contribuciones,3,Escrita el 14 de septiembre de 2018,Escrita el 15 de septiembre de 2018,"Londres, Reino Unido",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Wow,antonioluis2018,Espectacular sin palabras gracias volveremos a probar más cosas nos encanto todo súper rico una verdadera emoción poder comer aquí,"Muchas gracias por sus comentarios. Les esperaremos con mucho gusto.  Saludos.
Néstor y Eduardo.",1 contribución,1,Escrita el 3 de septiembre de 2018,Escrita el 12 de septiembre de 2018,"Madrid, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,100% Mexicano,Iker O,"Si quieres disfrutar de una autentico restaurante Mexicano en el centro de Madrid a 5 min de la plaza mayor este es el lugar.

Pedimos 3 platos diferentes para compartir y estaban todos deliciosos. 

El trato de los camareros fue excepcional y en todo momento estaban pendientes de si todo estaba a nuestro gusto.

Muy recomendable para cenas en pareja.

Repetiremos sin duda.","Muchas gracias por sus comentarios. Será un placer verles nuevamente. Saludos.
Néstor y Eduardo.",70 contribuciones,70,Escrita el 25 de agosto de 2018,Escrita el 12 de septiembre de 2018,"Bilbao, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Gratamente sorprendido,Cristian H,"Ambiente agradable, mejor trato. Comida buenísima. Justiprecio.
Repetición segura. Su posición es TripAdvisor es absolutamente merecida.","Muchas gracias por sus agradables comentarios. Esto nos ayuda a seguir superándonos en nuestro servicio y la calidad de nuestros platos. Con mucho gusto les atenderemos de nuevo. Saludos.
Néstor y Eduardo.",1 contribución,1,Escrita el 19 de agosto de 2018,Escrita el 24 de agosto de 2018,1 contribución,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Buenisimo como siempre,yyolanda222,"Vivimos cerca de este restaurante y cuando podemos repetimos, todo muy rico pero si tuviera que quedarme con algo seria con el guacamole, las enchiladas y con las margaritas. Fuimos 4 personas y salimos todos encantados, eso si, no pudimos con tanta comida pese a estar buenisima. Pronto repetiremos. 10 sobre 10","Muchas gracias por sus comentarios. Nos alegra que hayan disfrutado nuevamente de nuestra cocina mexicana. Esperamos verles de nuevo. Saludos. 
Néstor y Eduardo.",8 contribuciones,8,Escrita el 18 de agosto de 2018,Escrita el 24 de agosto de 2018,8 contribuciones,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Caro,Guille,"Estuvimos tres personas para cenar y las calidades son buenas, ahora bien, el precio también, y si bien es cierto que como dicen a esto, los precios están en la carta a la entrada, lo que no viene en la carta son las proporciones y tamaños: bastante escasos.",Muchas gracias por su opinión. Saludos.,1 contribución,1,Escrita el 14 de agosto de 2018,Escrita el 17 de agosto de 2018,1 contribución,Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264674-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Mejor imposible 12/10!!,Aketza P,"Fuimos a cenar en pareja previo hacer reserva y fue todo espectacular. El trato exquisito y la comida excelente.
No tenemos nada malo que decir, absolutamente todo fue perfecto, desde la atención hasta los tiempos en servir, las recomendaciones.
Se ha convertido en nuestro restaurante favorito y cuando volvamos de nuevo a Madrid pensamos repetir sin dudarlo.
Os lo recomiendo 120%!!!","Muchas gracias por sus comentarios. Es nuestra misión el dar la mejor atención y calidad de nuestros productos. Nos encantará recibirles de nuevo. Saludos.
Néstor y Eduardo.",32 contribuciones,32,Escrita el 14 de agosto de 2018,Escrita el 17 de agosto de 2018,"Santurtzi, España",Tacos y Tapas,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/21/d9/79/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/21/d9/7a/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/21/d9/7b/photo2jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/ca/0a/d2/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,,
1776264659-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Uno de los mejores mexicanos de Madrid,Carlos M,"Caminando por La Latina nos encontramos con este restaurante y decidimos probar, al entrar una de las cosas que nos sorprendió es la decoración y el buen gusto que han tenido los dueños a la hora de decorarlo, no falta ni un detalle, muy bien cuidado. La comida esta muy rica, probamos los nachos, riquísimos, también probamos los tacos cochinita pibil (vienen 4 tacos cosa que nos sorprendió gratamente) y de sabor muy ricos, mi mujer probó quesadillas y también estaban buenas, de postres probamos una tarta casera de chocolate, de diez. El servicio es correcto, te aconsejan si tienes dudas y son profesionales, sin dudarlo volveré a cenar a este restaurante!!",3 contribuciones,3,Escrita el 13 de diciembre de 2018,,3 contribuciones,,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,
1776264659-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Perfecto para una cita,Carlos,"Fui con mi pareja, restaurante acogedor perfecto para una cita, sin ruidos de conversaciones que no te dejan hablar, y con una música ambiental que te hace relajarte
La comida buenísima, no había probado unos nachos tan buenos en mi vida, los margaritas también son muy recomendables, volveremos sin duda, un trato exquisito",2 contribuciones,2,Escrita el 10 de diciembre de 2018,,2 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ae/1d/b1/trail33743270365.jpg?w=100&h=-1&s=1,,,1.0,,,,
1776264659-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Nachos Increíbles!!!,Mariana R,"El sábado por la noche estuvimos cenando mi pareja y yo. Salimos alucinados. La comida está de muerte, su decoración es sencilla y elegante. Es un lugar tranquilo y acogedor. Sus nachos están se muerte!!! Si sois amantes de los margaritas, os recomiendo que probéis el de mango.",5 contribuciones,5,Escrita el 10 de diciembre de 2018,,5 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ae/19/45/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ae/19/46/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ae/19/44/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ae/19/43/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,0.0,,,,
1776264659-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Nachos y cochinitas espectaculares,Javier M,"Ayer domingo, decidimos darnos una vuelta por el centro y encontramos este lugar a una calle del Puente de Segovia y de la Plaza de la Paja. Nos llamó la atención la cuidada decoración y el ambiente acogedor del sitio. Ya en el interior, nos trataron muy bien y nos sirvieron unos platos cuidados al detalle y contundentes. Nos gustó mucho los cuadros, la música, la estética en general y la iluminación. Sin duda, el mejor mexicano en el que habíamos estado en mucho tiempo. Además, bien económico para el sitio en el que está y para la calidad y cantidad de su comida. ¡100 % recomendable!",1 contribución,1,Escrita el 10 de diciembre de 2018,,1 contribución,,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ac/e7/55/javier-m.jpg?w=100&h=-1&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,
1776264659-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Domingo mexicano,Mari,"Sin duda de los mejores restaurantes mexicanos de Madrid. Muy céntrico, en La Latina, genial la calidad/precio para la zona en la que está. Tiene una atmósfera muy cuidada y muy agradable siendo domingo. La comida está riquísima y muy bien presentada. La atención es fantástica. Volveremos pronto!! 💕",6 contribuciones,6,Escrita el 9 de diciembre de 2018,,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ab/28/9c/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ab/28/a0/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ab/28/9b/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ab/28/9a/tacos-tapas.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ad/26/7b/marikiwi.jpg?w=100&h=-1&s=1,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,
1776264659-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Buena comida pero precio excesivo,Alberto G,"Fuimos ayer a cenar el. Sitio muy bien decorado y un ambiente muy tranquilo y acogedor, el servicio muy amable carta pequeña y sencilla mucha variedad de tacos, como aspecto negativo el precio en especial las copas de vino blanco a 4 eurazos el resto de cena subió a 65 euros y los nachos muy buenos pero también algo caros, en general muy bien pero precio excesivo",19 contribuciones,19,Escrita el 1 de diciembre de 2018,,19 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ef/92/d9/avatar.jpg?w=100&h=-1&s=1,,,0.0,,,,
1776264659-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Buena comida mexicana,jareciom,"Buena comida mexicana, sobre todo los nachos con guacamole y los tacos de cochinita que nos recomendó el chico.
Merece la pena una visita.",33 contribuciones,33,Escrita el 24 de noviembre de 2018,"Muchas gracias por sus comentarios. Esperamos verles de nuevo. Saludos.
Néstor y Eduardo.","Salamanca, España",Tacos y Tapas,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 26 de noviembre de 2018,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1776264659-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Los mejores nachos,IlPiccoloBarboncino,"El local parece estar apartado del bullicio de la zona de la Cava Baja, pero no quiere decir que no sea igual de importante. Está bien decorado y la música, tranquila, relaja bastante. Uno está muy a gusto sentado en su mesa. No es un mejicano típico donde el silencio brilla por su ausencia. Aquí puedes comer y hablar.

Los camareros son muy atentos y amables, sobre todo Nestor que fue quien nos atendió. Siempre con una sonrisa en la boca hizo que nuestra velada pareciera más selecta.

Pedimos nachos para compartir, están deliciosos, probablemente los mejores que he probado, pero quizás el precio, 15€, es un tanto excesivo. De segundo tacos de pollo y de bistec de ternera con queso fundido (si no recuerdo mal así se llamaban). Son un acierto ambos pero mucho más sorprendentes los de ternera. En ambos platos vienen 3 tacos, que aunque parezca poco, junto con los nachos, acabas lleno.

Y para rematar, en lugar de postre, un margarita de tamarindo. No lo recomiendo, no porque sea malo, sino porque su sabor no es muy fuerte y extraño. A nosotros no nos gustó mucho, aunque esto es algo personal.

Pedimos la cuenta y nos dijo el camarero que si nos apetecía un chupito de tequila, a lo que no nos negamls. Nos trajo el tequila, la sal y la lima, como no podía ser de otra forma.

El precio ronda los 25€ por persona. Recomendado 100%.",754 contribuciones,754,Escrita el 19 de noviembre de 2018,"Muchas gracias por sus comentarios. Será un placer verles de nuevo. Saludos.
Néstor.","Madrid, España",Tacos y Tapas,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 26 de noviembre de 2018,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6e/54/c8/photo2jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6e/54/c9/photo3jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6e/54/c7/photo1jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6e/54/c6/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/45/51/19/ilpiccolobarboncino.jpg?w=100&h=-1&s=1,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1776264659-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Buena opción a precios moderados,Ana T,"Plan muy improvisado al estar por la zona y no tener fichado ningún sitio donde comer. 

Local bastante pequeño pero sin agobios. Mesas a distancias correctas aunque con un tamaño un tanto ajustado (comprensible y sin resultar incómodo).

El servicio muy bueno y atento. Nos explicó todos los platos por los que le preguntamos y nos aconsejó tanto a la hora de elegir como las cantidades. Muy agradable. 

Para cenar pedimos: 

* Guacamole: Bien en cuanto a sabor y cantidad. No diría que imprescindible (aunque no soy una fanática de los guacamoles) así que en una segunda visita probaría algún otro entrante. 

* Tacos de cordero barbacoa: Buenísimos! Fue una de las recomendaciones que nos hizo y eso que me echaba para atrás tanto que el sabor barbacoa pudiese ser muy fuerte como la mermelada de menta que lleva... y para nada! Todo un acierto.

* Tacos de carrillera al vino: Buenos también. No tan sorprendentes como los anteriores, pero no desmerecen. 

Los tacos vienen con una buena cantidad, por lo que el precio está bastante ajustado (unos 4€ la unidad). Al final la cena salió por poco más de 20€ por persona. 

Buena opción para comer tacos “algo distintos” a precios más moderados que muchos otros mex.",229 contribuciones,229,Escrita el 12 de noviembre de 2018,"Muchas gracias por sus comentarios. Nos alegra que hayan disfrutado de su visita y haya sido un éxito su experiencia. Saludos.
Néstor y Eduardo.","Madrid, España",Tacos y Tapas,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 26 de noviembre de 2018,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/58/c0/da/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/3c/9f/b2/ana-t.jpg?w=100&h=-1&s=1,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1776264659-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d8133293-Reviews-Tacos_Tapas-Madrid.html,Cena inmejorable,Carolina P,"Fuimos de cena un grupo de amigos y la verdad es que la experiencia no pudo ser mejor...la comida inmejorable, el ambiente agradable y el servicio super atento. Nos aconsejaría súper bien en cantidad y platos y los margaritas top.
Gracias por la experiencia, seguro que repetiremos.",5 contribuciones,5,Escrita el 11 de noviembre de 2018,"Muchas gracias por sus comentarios y nos alegra que hayan disfrutado de su experiencia en nuestro restaurante. Les esperamos de nuevo.
Néstor y Eduardo.",5 contribuciones,Tacos y Tapas,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Escrita el 26 de noviembre de 2018,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
