web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,data18,data19,image2,data4
1775577217-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy rica,Ganesh B,Muy bueno comida muy rica volveremos camarera muy amable muy buen ambiente para comida india calificaremos 100 % para comida n servicio,1 contribución,1.0,Escrita el 5 de abril de 2025,1 contribución,,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775577217-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Reseñas compradas???,AO,"Indio de barrio del monton. Regulinchi. Medio vacio, salvo por un puñado de  extranjeros paso por Barajas y que se guian por las opiniones. Sospecho que compradas.",10 contribuciones,10.0,Escrita el 11 de marzo de 2025,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,
1775577217-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Cenar decentemente con espacio para el crecimiento,Francis P,"El ambiente es acogedor, y el personal es amable, pero la comida no cumplió con mis expectativas. Mientras que algunos platos eran agradables, otros eran un poco sosos y carentes de la especia que esperaba. En general, es un lugar decente, pero hay margen de mejora.",1 contribución,1.0,Escrita el 11 de febrero de 2025,"Leeds, Reino Unido",,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,
1775577217-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Buena experiencia gastronómico hindú,Luis Lopez,Nos gusta mucho los restaurantes indios y hemos venido a este porque nos lo habían recomendado acierto total. Los platos están cocinados al momento y no están preparados y recalentados. Eso se nota y se valora mucho,16 contribuciones,16.0,Escrita el 2 de febrero de 2025,16 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,,,
1775577217-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,100% recomendado,Samir G,He estado viajando por España y he hecho escala en barajas madrid he ido a comer algo de comida india y he ido a Katmandú tandoori house order biryani and nan cheese y sale muy rápido personal amable que recomiendo,1 contribución,1.0,Escrita el 15 de diciembre de 2024,1 contribución,,,,,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,
1775577172-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Buen restaurante de cocina hindú,Julio M,"La comida estaba muy buena, lo recomiendo si vais por Barajas y os gusta la comida hindú, personal también muy amable",4 contribuciones,4.0,Escrita el 17 de marzo de 2026,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,
1775577172-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,"una chica maravillosa, gracias Laxmi.",Javier G,"Un espacio maravillo para comer divino y con excelente atención, que viva Nepal y su gastronomía, no dejen de visitarlos, rica sopa de pollo y chupitos de mango 🥭 volveremos",1 contribución,1.0,Escrita el 4 de marzo de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/9a/19/0d/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,
1775577172-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excellwnt,Carlos U,"La comida muy rico  te serviré Is excelente naan queso pomelo tila lasaña  naan the queso i like the dios 

M",1 contribución,1.0,Escrita el 25 de febrero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
1775577172-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente,Mundo Extraño E,La mejor comida en Madrid barajas arrozz biranyi el Cordero muy delicioso me gustan los servicios y la atención muy rápido,2 contribuciones,2.0,Escrita el 23 de febrero de 2026,2 contribuciones,,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775577172-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Kuba K.,Kuba K,"Samara versura, nan queso, pollo tikamasala, barido de mango, pollo tanduri y cafe americano, todo delisioso!",4 contribuciones,4.0,Escrita el 22 de febrero de 2026,"Warsaw, Poland",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
1775577172-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Extraordinaria experiencia culinaria nepalí que soñamos repetir,mgr0ma,"Somos de Argentina y nuestra familia es fanática de la comida hindú. Hemos visitado muchos restaurantes del estilo en diferentes partes del mundo, pero pocos (o ninguno) nos causaron una impresión tan buena como este. Vinimos por primera vez en 2019 y, desde entonces, soñábamos con regresar. Volvimos y comprobamos que la intensidad de los sabores es increíble; la comida es absolutamente auténtica, ya que el lugar es atendido por una familia nepalí. ¡Extraordinario!",63 contribuciones,63.0,Escrita el 5 de febrero de 2026,"Rosario, Argentina",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,
1775577172-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Hoteles en Madrid,Kandy P,"Al ser de Birmingham nos vemos como conocedores del curry. Tomamos el pollo al birio con salsa de madras. Fue excelente. El pan de nana de ajo era genial, justo el tamaño correcto. Nuestra comida con 2 cervezas llegó a menos de 40 €. Muy recomendable a cualquier Brummies que pueda estar en la ciudad.",8 contribuciones,8.0,Escrita el 31 de enero de 2026,8 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,Traducido automáticamente,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/56/88/d6/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,
1775577172-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy rico,Julio P,"El mejor restaurante indú de todo Madrid.
Muy buen servicio en mesay la comida excelente, os recomiendo ir, muy rico.
No te lo pierdas",1 contribución,1.0,Escrita el 17 de enero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,
1775577172-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Cena,Héctor A,"Muy buen servicio muy amables!!
El pollo tikamasalah muy rico y el
pan de queso riquisimo. Las empanadillas de pollo es muy buena raciones",1 contribución,1.0,Escrita el 17 de enero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,
1775577172-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Cena de estilo nepalí,Carlos C,"Comida excelente y trato muy agradable y familiar muy recomendable, los camareros son encantadores, uno de mis sitios fijos para ir asiduamente",1 contribución,1.0,Escrita el 15 de enero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,
1775577172-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Riquísimo,Luis F,Muy rico y recomendable el pollo en su mero punto y a muy buen precio 🙏,1 contribución,1.0,Escrita el 13 de enero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,
1775577172-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,La comida muy rica,german,"Recomiendo el tikamasala con pollo, pan con coco, pan de queso, arroz con coco, entrante mixto.
El restaurante con un hambiente muy acogedor y los trabajadores súper amables.",2 contribuciones,2.0,Escrita el 10 de enero de 2026,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/2d/14/94/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,
1775577172-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,"Visitar este sitio, merece la pena",jhon,"La atención super buena, el servicio excelente, y la comida espectacular. 
He pedido arroz de coco, un buttle pollo, y panes de queso y coco, la verdad super rico todo, y los platos super rápidos.
Me lo he comido todo de lo bueno que estaba.",2 contribuciones,2.0,Escrita el 10 de enero de 2026,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/2d/14/3e/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,
1775577172-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Cena,Mateo P,"Cordero tikka masala, naan de queso, arroz basmati, chupito de mango. Muy buen servicio y la comida estaba muy buena. Restaurante muy recomendable.",1 contribución,1.0,Escrita el 9 de enero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,
1775577172-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy rica,Pierre P,La buena comida india redtaurant en barajas manteca de Madrid pollo naan queso batido mango muy delicioso me gusta mery mucho repetiré,1 contribución,1.0,Escrita el 9 de enero de 2026,1 contribución,,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,
1775577200-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente,Alexder J,Me encanta la comida india tikka masala y pan naan con queso la camarera es muy amable y amable y recomendaría,Escrita el 11 de diciembre de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,
1775577200-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente comida en barajas,Patel M,Tenemos escala en barajas Madrid aeropuerto buscamos la comida india en google y encontramos este lugar los servicios son excelentes la relación precio cantidad fue buena disfrutamos durante toda la cena repetiremos y recomendaremos,Escrita el 17 de noviembre de 2025,2.0,2 contribuciones,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1775577200-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Sabrosa parada durante la escala,CORNELL E,"Tuve una corta escala en Madrid y decidí probar algo de comida india aquí. Pedí biryani y queso naan, ambos salieron rápido y estaban llenos de sabor. El personal era muy amable y Recibimiento que hizo la comida aún mejor. Un buen lugar que recomendaría si estás de paso.",Escrita el 22 de agosto de 2025,6.0,6 contribuciones,Mostrar original,Traducido automáticamente,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,
1775577200-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente,多杰 勇,Thali es muy agradable nan kali es muy bueno!Buen Servicio actitud camarera es amable y agradable el Servicio es muy rápido Recomiendo,Escrita el 11 de agosto de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775577200-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy recomendado,Edurraiba Rodol... M,"La comida deliciosa, trato super amable,  la velocidad en la que preparan los platillos es muy buena, el sabor espectacular",Escrita el 8 de agosto de 2025,13.0,13 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/0d/02/05/avatar.jpg?w=100&h=-1&s=1,,,,
1775577200-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Muy rica,lucky l,Increíble comida india en el aeropuerto de barajas Servicio increíble personal amable repetiremos recomendable para deliciosa comida w,Escrita el 29 de julio de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,
1775577200-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Cena en Katmandú Tandoori House,Yusuf B,Esta es una pequeña joya de un restaurante que sirve deliciosa cocina india / Nepalí. Disfrutamos mucho del vindaloo de pollo y biryani vegetal. Una buena taza de té caliente redondeó la comida muy bien.,Escrita el 15 de julio de 2025,2.0,2 contribuciones,Mostrar original,Traducido automáticamente,,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,
1775577200-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,@ttop in madrid ?,Namaraj S,Indio y nepali resturante todo bueno comida pollo tikka masal naan de queso pollo balti  naan de queso batido mqngo higly recimended,Escrita el 30 de junio de 2025,1.0,1 contribución,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,
1775577200-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Todo Bueno,Sher Bahadur B,muy Bueno comida y Bueno precio cerca de aeropuerto barajas Madrid pollo tikka masala naan de queso batido de mango higly recommended,Escrita el 30 de junio de 2025,2.0,2 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1775577200-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Volveremos,Biraj R,Este restaurante ofrece una excelente comida El momo de nepal indio es el mejor naan queso ajo muy sabroso que recomendaremos para la próxima semana ll repetir,Escrita el 25 de junio de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,,
1775577200-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Rico,Sonam T,La escala en barajas la cenamos allí y fuimos pidiendo todos los platos populares como pollo tikka masala naan queso,Escrita el 25 de junio de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,
1775577200-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Delicioso,Sanjay Y,La buena cantidad amd precio reatio es excelente el servicio es rápido y muy amable pedimos comida amd salió en poco tiempo la comida es deliciosa,Escrita el 25 de junio de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1775577200-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente,Manoj N,Excelente buen servicio rápido el personal era rápido y amable pedimos y llegó en poco tiempo bien seguramente repetiremos de nuevo,Escrita el 25 de junio de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,
1775577200-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Recomiendo,RoHn V,Delicioso la comida indian pan naam von queso arroz kashmiri pollo sekwa amd garlic naam volveremos ien barajas 100 percent recommend,Escrita el 12 de junio de 2025,1.0,1 contribución,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,
1775577200-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Delicioso,Som S,La comida india es una de las mejores comidas indias de Barajas Madrid Me encanta la comida pollo tikka masala queso naan y arroz cachemira a probar,Escrita el 12 de junio de 2025,1.0,1 contribución,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,
1775577185-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Lugar increíble,Thibaud L,"Increíble lugar y comida. Gente amable. 
Rezlly buen cordero korma y verduras fritas. 2 patxaran ofrecido al final era muy suave",ene 2026 • Amigos,1.0,1 contribución,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,Escrita el 7 de enero de 2026
1775577185-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Comida,Nicolas B,Muy buen restaurante. El servicio era perfecto y la comida era genial. La crema de mango y el patxaran muy a menudo; ).,ene 2026 • Amigos,1.0,1 contribución,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,Escrita el 7 de enero de 2026
1775577185-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Buena cena,Álvaro C,Buen restaurante con comidas abundantes en relación al precio y sabores tradicionales. Los camareros son muy amables y nos invitaron a chupitos de mango,ene 2026 • Amigos,3.0,3 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/21/32/ad/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,Escrita el 4 de enero de 2026
1775577185-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Buena comida,Excursion51374483947,"Toda la comida está genial, el biryani está muy bien y el precio también. Agradezco mucho la atención al cliente y el trato, aparte las instalaciones están muy limpias y todo lo hacen muy rápido.",ene 2026 • Amigos,2.0,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/21/32/3c/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,Escrita el 4 de enero de 2026
1775577185-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12488993-Reviews-Kathmandu_Tandoori_House-Madrid.html,Excelente sitio,Patricia R,"La comida es espectacular y el trato increíble. Es un sitio al que merece la pena ir, muy recomendable si estás en Madrid.",dic 2025 • Amigos,1.0,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,Escrita el 30 de diciembre de 2025
