web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position,position2,image,image2
1775728027-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,La atención,Jose H,"Genial la atención de Barbara hace que uno se sienta en casa, os felicito por tener tan competente personal",Escrita el 30 de diciembre de 2023,Agradecemos el comentario y la visita! Hasta la proxima!,1 contribución,Escrita el 30 de diciembre de 2023,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728027-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Buena experiencia,Explore14228421962,"La carne de las hamburguesas de la mejor que he probado, en el punto perfecto. Muy buena atención de Irma, que nos trató cordialmente desde el inicio.",Escrita el 30 de diciembre de 2023,"Nos alegra escuchar esas palabras, gracias.",1 contribución,Escrita el 19 de enero de 2024,steakburguer l,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Todo Magnífico !!!,Juan S,La experiencia ha sido genial. La comida genial y la atención aún mejor. Pedimos hamburguesa y una carne para compartir. Todo ha estado excelente,Mil gracias,3 contribuciones,Escrita el 10 de abril de 2024,Escrita el 22 de abril de 2024,"Madrid, España",steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,3,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,REPETIREMOSS,francisco c,"Increible Hamburguesa y carne de la finca todo una experiencua,  trato excellente!! Ensalada de quinoa de 10!! Volveremos",Gracias Fran esperamos volver a verte.,7 contribuciones,Escrita el 6 de abril de 2024,Escrita el 22 de abril de 2024,7 contribuciones,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,7,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Excelente,Miguel U,"Comida deliciosa, precios un poco elevados pero la calidad merece la pena.
Nos atendió Myriam siendo muy acertiva en sus sugerencias y recomendaciones",Muchisimas gracias.,1 contribución,Escrita el 27 de marzo de 2024,Escrita el 22 de abril de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cena con amigos,tomy R,"La primera vez que fui al restaurante recomendado por un amigo. El restaurante muy elegante y un ambiente super agradable. 
El servicio muy agradable por parte de Myriam y su compañera.",Gracias por la visita.,7 contribuciones,Escrita el 27 de marzo de 2024,Escrita el 22 de abril de 2024,7 contribuciones,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,7,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cena con amigos,David R,"Segunda vez que voy y como siempre un ambiente agradable y la comida igual de exquisita.
Nos atendio Myriam quien estuvo atenta en todo momento.
Recomendado 100%.",Agradecemos su comentario y que le haya gustado el servicio por parte de nuestra compañera.,2 contribuciones,Escrita el 27 de marzo de 2024,Escrita el 22 de abril de 2024,2 contribuciones,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,2,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Todo muy bien,José Ramón S,"Muy bien atendidos por Marcos, un buen Profesional, amable y atento. Las hamburguesas son fantásticas, recuerdan mucho a las de US.",Gracias.,1 contribución,Escrita el 26 de marzo de 2024,Escrita el 22 de abril de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Las risas con las camareras,Juan M,Muy Buena comida sobretodo las hamburguesas aunque mejores camareras barbara y miriam. Volveria sin ninguna duda a repetir,Muchísimas gracias!,1 contribución,Escrita el 23 de marzo de 2024,Escrita el 24 de marzo de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,cuando quieres que salga todo perfecto,Javier Romate,"la mejor Hamburguesa de Madrid, con diferencia.

Local muy bien decorado y el servicio muy bueno. Volveremos seguro, esta vez con la familia","Nos alegra que te haya gustado la experiencia. 
Os esperamos con los brazos abiertos.",5 contribuciones,Escrita el 19 de marzo de 2024,Escrita el 24 de marzo de 2024,5 contribuciones,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,os recomiendo la hamburguesa Brutal de carne madurada.,,Leer más,Leer más,5,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Sitio muy cómodo para comer.,Samuel G,Espacio abierto por dentro y sillas cómodas. Buena atención al cliente. Los burgers de muy buena calidad y grande selección de opciones.,Nos alegra escuchar que todo estuvo a su gusto.,1 contribución,Escrita el 26 de febrero de 2024,Escrita el 7 de marzo de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cena,Eva C,"Una cena muy buena. Nos ha atendido Barbara, ha sido muy atenta y amable. Trato de gran calidad y cercanía, volveré sin duda",Gracias por el comentario y sobretodo agradecemos su visita.,1 contribución,Escrita el 11 de febrero de 2024,Escrita el 7 de marzo de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Perfect,Jen,"Súper a gusto, nos atendió el chico pelirrojo (majísimo) y todo lo que comimos riquísimo, sobretodo la tarta de queso!!",Gracias por su comentario!!,10 contribuciones,Escrita el 3 de febrero de 2024,Escrita el 7 de febrero de 2024,"Asturias, España",steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,10,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Buena atención,Alicia P,"La atención espectacular, nos atendió un chico pelirrojo muy majo. La comida muy buena. Volveremos seguro!!!!!!!!!!",Esperamos veros de vuelta!,1 contribución,Escrita el 3 de febrero de 2024,Escrita el 7 de febrero de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,1,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Burno,Andoni L,Excelente servicio del camarero pelirrojo. La carne muy buena y el ambiente estupendo. Recomendable 100%. Todo muy bueno,Graaacias de corazón!!!,1 contribución,Escrita el 3 de febrero de 2024,Escrita el 7 de febrero de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Comida buenísima y atención estupenda,Mikel V,"La comida estupenda, nos atendió el chico pelirrojo y super majo y atento, atención de 10! Sin duda recomendable al 100%",Hola!!! Agradecemos de corazón su comentario y su visita.,5 contribuciones,Escrita el 3 de febrero de 2024,Escrita el 7 de febrero de 2024,"Pamplona, España",steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,5,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775728013-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Muy agradable,Cristina A,"Todo perfecto. Bárbara fue muy rápida, muy amable y atenta a todo, gran trabajadora. Recomiendo la hamburguesa de pollo y trufa.",Muchas gracias,1 contribución,Escrita el 28 de enero de 2024,Escrita el 29 de enero de 2024,1 contribución,steakburguer l,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775727951-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,ALEJANDRO EL MEJOR,Dreamer35339747996,Alejandro ha estado atento a todo y ha sido muy amable con todos. Hemos comido increíble y volveremos. Muchas gracias Alejandro,1 contribución,Escrita el 28 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1
1775727951-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,ALEJANDRO EL MEJOR,Alvaro G,"Toda la comida excelente, recalcar el buenísimo trato de nuestro camarero Alejandro, atento y amable en todo momento, de 10!",1 contribución,Escrita el 28 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1
1775727951-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Excelente camarero,Correo B,"Muy buen servicio, en especial el camarero Alejandro. Gran profesional y muy amable en el trato",1 contribución,Escrita el 28 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775727951-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Muy buen servicio de Cocina y Mesa.,BEny  P,"Excelente trato de los camareros, eramos 12 personas y rápidamente generaron la mesa para poder cenar a pesar de que el local estaba lleno. Sin duda muy recomendable.",1 contribución,Escrita el 15 de marzo de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1
1775727951-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Comida en familia,Paolo M,Excelente servicio de Melani e Ingrid! Muy buena comida y ambiente. Recomendado!,11 contribuciones,Escrita el 7 de marzo de 2026,11 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,11,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1
1775727951-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Los mejores Hamburguesas y bistecs de Madrid,Jana T,La comida es absolutamente increíble. Vale la pena. El personal normalmente no habla inglés.,4 contribuciones,Escrita el 24 de febrero de 2026,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,4,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1
1775727951-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Cobran hamburguesas que no has pedido. Vergonzoso.,Javier B,"Trato vejatorio por parte de la encargada del día 18 de febrero de 2026 a las 18:04. Me han cobrado una hamburguesa que yo no había pedido y esta encargada se ha negado a ayudarme indicando que en el momento de pedir la comida no era su turno y no podía hacer nada. Cómo es posible que un restaurante sea incapaz de asumir su error y compensar al cliente? Vergüenza
Exijo la devolución del importe a la tarjeta cargada. Es lo mínimo que pueden hacer.",7 contribuciones,Escrita el 20 de febrero de 2026,7 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,No entréis. Cobran hamburguesas que no se piden.,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,7,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1
1775727951-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Fabulosa comida! Excelente servicio,Priscilla Ryan,¡Si quieres una hamburguesa de verdad! ¡Entonces aquí está el lugar! ¡No pidas sangre y obtendrás la hamburguesa perfecta! ¡Un poco rosa pero sabe increíble! Los nachos son impresionantes! Gran lugar para comer! Personal encantador,225 contribuciones,Escrita el 20 de diciembre de 2025,"Hampton-in-Arden, Reino Unido",,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,225,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/05/d9/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/41/ba/d7/adypris.jpg?w=100&h=-1&s=1
1775727951-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Grandes hamburguesas,shafiq507,"Grandes hamburguesas, tamaño fácil de personalizar de la hamburguesa. La carne en sí tiene un sabor excelente. El servicio también es genial.",19 contribuciones,Escrita el 9 de diciembre de 2025,"Rijswijk, Países Bajos",,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,19,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1
1775727951-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Comida rica y buen servicio,Explore45325629115,"Hemos estado cenando un viernes por la noche, todo genial. No teníamos reserva y aún así nos han atendido muy bien.
La comida muy rica,  hamburguesas muy jugosas.
Y Natalia nos ha atendido muy bien. Volveremos.",1 contribución,Escrita el 28 de noviembre de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1
1775727951-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Bonito rollo,Robert M,La comida y el ambiente era encantador. Ingrid y Natalia eran muy serviciales y amables. El error inicial con mi pedido se corrigió rápidamente.,2 contribuciones,Escrita el 22 de octubre de 2025,2 contribuciones,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,Leer más,0,,2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1
1775727951-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Muy bueno,Discover30546965530,"Buena carne, buena calidad, buen ambiente, somos del barrio y venimos muchas veces porque es un sitio que está bueno y es muy cómodo.",1 contribución,Escrita el 18 de octubre de 2025,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/70/b5/35/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1
1775727951-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Camarero,David M,"La atención y el trato recibido por Fer excelente, muy atento a todo y se agradece, volveremos pronto además la comida estaba rica",1 contribución,Escrita el 6 de octubre de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1
1775727951-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Está bien,Sarah E,"Si usted está buscando un bocado rápido para comer y Servicio rápido. 

Pros
 -mucha elección en el menú. 
 -no es caro en absoluto, a un precio muy razonable. 
 -no ocupado y mucho personal. 
 - Menú de códigos qr. 

Desventajas
 -la comida es media, sin sabor. 
 -No lo recomendaría, pero está bien para uno solo. 
 Gran ubicación. 
 -No hay música en el lugar tan tranquilo.",51 contribuciones,Escrita el 29 de agosto de 2025,51 contribuciones,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,51,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/f3/a1/79/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1
1775727951-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d3599952-Reviews-Steak_Burger_Luchana-Madrid.html,Calidad al precio que ofrecen.,Jorge S,Una buena hamburguesería con una calidad muy aceptable. Las hamburguesas baratas no son hamburguesas. Aquí te cobran una calidad que se nota. Por lo tanto he vuelto a menudo.,16 contribuciones,Escrita el 8 de agosto de 2025,"Alicante, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0,,16,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1
