web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,image3
1775582337-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Gran descubrimiento,Guide44773285989,"Ya he venido varias veces, menu de pasta muy bueno, postres mejores, y buen servicio, además que la segunda bebida o el café son económicos.
 El pan del menú lo hacen ellos igual q las pizzas que están buenísimas.",1 contribución,Escrita el 15 de octubre de 2025,,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,
1775582337-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Muy bueno,Sunshine30097184409,"Es un sitio muy acogedor y agradable. Las pizzas que pedimos eran buenisimas. Tomé de postre tiramisu y es francamente bueno, ademas te lo llevan en una cafetera pequeña muy original. Todo el personal es agradable y simpatico. Nos atendió Andres. Muy amable y atento. Muchisimas gracias por la buena atencion y excelente trato.",2 contribuciones,Escrita el 11 de octubre de 2025,,2,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,
1775582337-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Sin duda volveremos,Irene H,La comida muy buena y el servicio muy amable. Recomiendo la pizza carbonara de huevo poché y los spaghetti al pesto. La gallete esta excelente,1 contribución,Escrita el 10 de octubre de 2025,,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,
1775582337-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,LO MEJOR DESPUÉS DEL CINE,Giorgio B,"Vivo en el barrio de Salamanca, en zona hay varias pizzerías “empujadas” por el marketing, yo no soy socio, ni influencer solo cliente habitual de Pastamore y les digo que la pizza (fina)  es excelente y hoy probé el tiramisú, muy bueno, mi compañera y yo lo compartimos y le dimos ocho de puntuación. Ni hablar del servicio, excelente sin mencionar a nadie, todos son buenos profesionales.
Inés&Giorgio",29 contribuciones,Escrita el 10 de octubre de 2025,,29,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/98/a5/58/giorgiob505.jpg?w=100&h=-1&s=1,,,,
1775582337-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Comida muy buena y muy buen trato,Alberto M,"Comida muy buena, rápido y un servicio atento y muy amable. Dayana fue nuestra camarera y es muy agradable y atenta. Volveremos!!",1 contribución,Escrita el 10 de octubre de 2025,,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,
1775582289-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Gran Pizza,David O,"Primera vez en Pastamore Alcalá y la experiencia fue muy agradable. Desde el primer momento, la atención destacó gracias a Diana Carolina, la camarera que me atendió. Fue muy amable y cercana: antes de recomendarme nada, se interesó por mis gustos y me preguntó qué tipo de pizzas suelo preferir, si me gustan más cremosas, con mucho queso o con sabores más intensos.
Después de escucharme, me sugirió probar la pizza carbonara, y fue todo un acierto. La pizza estaba muy bien equilibrada, con una base crujiente, una salsa cremosa y el toque perfecto de bacon y queso. Se notaba que la recomendación estaba hecha con conocimiento y pensando realmente en lo que podía gustarme.
Además de la calidad de la comida, el trato de Diana Carolina marcó la diferencia: atenta sin ser invasiva y muy profesional. Sin duda, volvería tanto por la pizza como por el excelente servicio. Una experiencia muy recomendable.",1 contribución,Escrita el 12 de marzo de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,0,,
1775582289-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,10,Germanico G,"Muy buen trato , rápido , exquisito el personal y la comida de 10 repetiremos sin duda",1 contribución,Escrita el 28 de febrero de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,0,,
1775582289-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,VE AQUÍ TRAE AMIGOS,Saeed S,Una de las mejores joyas escondidas de madrid,1 contribución,Escrita el 24 de febrero de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,0,,
1775582289-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Comida encantadora,Trem M,"Estuvimos en Madrid por cuatro noches y vinimos aquí dos veces - amable, buena relación calidad-precio y la comida era deliciosa. Fácil de encontrar también - estar situado cerca de la estación de metro",15 contribuciones,Escrita el 20 de febrero de 2026,15.0,15 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,0,,
1775582289-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Mucha amabilidad y profesionalidad de los camareros,Angel Luis S,La comida excelente y bien precio. Las alcachofas con huevo las mejores que he probado,4 contribuciones,Escrita el 20 de febrero de 2026,4.0,"San Bernardo, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,0,,
1775582289-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Super bien nada malo,aleexx j,"Fuimos en san valentin, pedi reserva muy justo y aun asi me intentaron hacer un hueco y lo hicieron, super amables, la comida riquisima y el precio es bastante bueno nada malo la verdad por decir",2 contribuciones,Escrita el 17 de febrero de 2026,2.0,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,0,,
1775582289-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Volveremos todo estupendo!,Lucia L,Super amable Tiana Carolina estaba todo súper súper rico era la primera vez que íbamos y nos reservaron un huequito súper rápido fuimos en san Valentín y estaba todo súper lindo con globos de corazones el baño súper limpio y muy bonito también y la comida inmejorable volveremos!,1 contribución,Escrita el 17 de febrero de 2026,1.0,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,0,,
1775582289-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Muy buen establecimiento y opción para cenar.,Jaione M,Una comida de alta calidad y un servicio de nivel. Felicidades a todos el equipo y nuestra camarera Diana Carolina. ¡Volveremos!,1 contribución,Escrita el 17 de febrero de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,0,,
1775582289-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Riquísimo todo en un ambiente acogedor,David Corral,"Espectacular todo loq pedimos, la comida está increíble, a su correcta temperatura y en cantidad correcta. La atención es excelente, pero Diana Carolina la llevó al siguiente nivel. Repetimos seguro.",5 contribuciones,Escrita el 17 de febrero de 2026,5.0,"Comunidad de Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,Creo imprescindible reservar.,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c1/3a/9a/david-c.jpg?w=100&h=-1&s=1,,0,,
1775582289-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Experiencia súper satisfactoria,Georgia F,"Nos ha encantado el restaurante, la comida y la atención. Pedimos las alcachofas, estaban súper ricas y bien preparadas. También pedimos dos pizzas, la Piamontesa y la Caprichosa, ambas muy buenas y con una masa excelente. Gracias Luis y Diana por la atención🤗 volveremos seguro!!!👏🏻✨",1 contribución,Escrita el 2 de febrero de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,0,,
1775582289-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Un grato momento,Macarena,"Nuestra experiencia ha sido muy grata, nos atendió Jocelyn y fue súper atenta en todo momento, desde preguntarnos si era para compartir hasta traernos aperitivos y hacernos saber que podíamos incluso si gustábamos repetir. La comida ha sido muy buena. Gracias por la experiencia volveremos sin duda.",6 contribuciones,Escrita el 1 de febrero de 2026,6.0,6 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,0,,
1775582289-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,La comida y la atención perfecta……………….,Paca B,Nos atendió Diana Carolina y fue un amor en atención y profesionalidad. Nos recomendó un cambio de plato y fue un acierto.,1 contribución,Escrita el 31 de enero de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,0,,
1775582289-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Comida y trato inigualable.,vic,"Todo perfecto,como siempre que hemos venido. 
Sobre todo y destacar la atención de Diana Carolina. 
La comida fabulosa.",2 contribuciones,Escrita el 31 de enero de 2026,2.0,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,0,,
1775582289-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Una cena maravillosa,Andrés B,Era la primera vez que veníamos. Diana Carolina nos ha atendido y ha hecho de nuestra cena una velada muy agradable. Volveremos pronto,1 contribución,Escrita el 30 de enero de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,0,,
1775582289-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Un lugar muy agradable y tranquilo con platos riquísimos,Sergio A,"Muy recomendable, tranquilo y la comida muy rica. La galleta al horno es lo aue más nos sorprendió y el tiramisú, riquísimo. El personal es muy profesional, simpático y amable, gracias Diana Carolina por atendernos tan bien!",1 contribución,Escrita el 30 de enero de 2026,1.0,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,0,,
1775582319-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Pizzas y tequeño,Gustavo L,"Muy buena la comida el ambiente y los precios
La atención excelente no demoran en servir
Nos atendió la señorita Patricia
Excelente todo",1 contribución,Escrita el 6 de noviembre de 2025,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,
1775582319-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,"Delicioso sabor, grata atención",Gilcarly A,"Siempre regreso a este lugar, no solo
Por el sabor genial de su comida, por el ambiente que hay, sino que también por la amabilidad de la señorita Patricia!",2 contribuciones,Escrita el 5 de noviembre de 2025,2.0,No duden en pedir la pizza 4 quesos y cebolla,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775582319-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Comida y lugar,maria gabriela c,"Les recomiendo pedir los tequeños y la pizza BBQ y la carbonara muy rica.
Quedamos satisfechos en cuanto a la comida y la atención🙏🏽✨
Nos recibió la amiga Patricia muy amable 🫂✨",1 contribución,Escrita el 5 de noviembre de 2025,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,
1775582319-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Elijan pizzas no se arrepentiran,Michel M,"Muy rica las pizzas esta vez decidimos probar la carbonara y la bbq
Todo delicioso como siempre 
Y fuimos bien atendidos por la señorita Patricia 🙂",4 contribuciones,Escrita el 5 de noviembre de 2025,4.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1775582319-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Impresionante comida italiana en Madrid,Jorge R,"Tuvimos la Pizza Cochinita Pibil, una de las mejores pizzas que hemos probado en cualquier parte del mundo. También tenía el Spaghetti Carbonara que era igualmente bueno. Nuestro servidor, Patricia era muy educado y amable e incluso nos trajo una bebida después de la cena en la casa, que era una forma agradable de terminar la noche. Recomiendo encarecidamente Pastamore a cualquiera que visite Madrid.",2 contribuciones,Escrita el 4 de noviembre de 2025,2.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,
1775582319-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Cocina italiana auténtica en Madrid,TLB,"Siempre es un placer volver a Pastamore, la calidad de los platos, la ambientación y el servicio combinan para dar una experiencia inigualable. Patricia y todo el equipo se esmeran por hacer que los comensales tengan un rato muy grato. Muy recomendable!!!!",9 contribuciones,Escrita el 3 de noviembre de 2025,9.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/9f/15/db/tomilistrani.jpg?w=100&h=-1&s=1,,,,
1775582319-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Provolone al horno exquisito,Jet10627975093,"Todo genial,  el servicio fenomenal  y muy rápido, la próxima vez contaremos mas y seguramente será mejor..............",1 contribución,Escrita el 1 de noviembre de 2025,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,
1775582319-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Cena Riquísima,Mishell,"La atención de Diana y Andrey ha sido excelente, comida y  postres, riquísimo todo! La decoración súper bonita, ambiente agradable. Hemos pasado un momento estupendo!",5 contribuciones,Escrita el 29 de octubre de 2025,5.0,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1775582319-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Tienes que venir!!!,Gabriela B,"Diana Carolina nos brindó un excelente trato, desde que llegamos fue sumamente servicial y sobretodo agradable. La comida estuvo deliciosa!!!!!",1 contribución,Escrita el 29 de octubre de 2025,1.0,Diana fue espectacular y la pizza está a otro nivel,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,
1775582319-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Que rico todo!!,La Oficina,Todo super rico; la pizza carbonara con el guanciale espectacular y la ibérica estaba increible con la burrata fresca! Super recomendado !! Nos atendió Diana Carolina una mujer encantadora y muy simpática!! Muchas gracias por todo!!,1 contribución,Escrita el 26 de octubre de 2025,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1775582319-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Repetiremos sin dudas,Mario A,"Genial la comida, rapidez en el servicio y muy atentos con nosotros. Era el cumpleaños de nuestra amiga, y sin decirles nada nos sorprendieron con velas en el postre. Completamente recomendable . Nos atendió Diana Carolina, un encanto 🫶",14 contribuciones,Escrita el 25 de octubre de 2025,14.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1775582319-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Cena con amigos,Fer,"La comida increible, y la atención de Diana Carolina no se queda atrás. Una experiencia fantástica. Recomendado el pollo alfredo y el pollo crunchy",2 contribuciones,Escrita el 25 de octubre de 2025,2.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1775582319-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Pizza de cuatro quesos con boniato,Yeli F,Cenamos pizza de cuatro quesos y boniato y estuvo deliciosa. El boniato le da una suave sabor dulce al queso gorgonzola. Nos atendió Diana y nos dio un servicio excelente. Muy recomendado.,1 contribución,Escrita el 25 de octubre de 2025,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1775582319-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Fantástico!,Mario C,La comida excelente y el servicio también a un precio muy asequible. Nos atendió Daiana y hemos estados muy cómodos y bien atendidos.,1 contribución,Escrita el 25 de octubre de 2025,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,,,
1775582319-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Sitio para volver,Maria Belén G,"Me gustó mucho el sitio la comida, te ponen aperitivo, la mantequilla que te sirven con el pan es adictiva muy rica, además te invitan un chupito.
La atención muy buena de Diana Carolina nuestra camarera, muy recomendable.",1 contribución,Escrita el 24 de octubre de 2025,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,
1775582305-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Italiano con encanto,Paul Po,"Local con ambiente muy agradable, buena comida y rico Aperol 😋 Probamos el canelón de ragú, la pizza New York pepperoni y el tiramisú. Todo muy recomendable",9 contribuciones,9,,Escrita el 22 de enero de 2026,,,,,,9 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/db/7c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/44/db/7d/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1
1775582305-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Muy bien!,Sandra P,"Muy bueno todo. Postre tiramisú muy original. Atención de Diana Carolina muy bien. No esperaba mucho y me ha sorprendido. Si puedo, volveré.",8 contribuciones,8,,Escrita el 20 de enero de 2026,Calidad/precio,Ambiente,Servicio,Comida,,8 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/41/1e/a8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/41/1e/a9/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1
1775582305-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18480953-Reviews-Pastamore_Alcala-Madrid.html,Menú mediodía,Francisco Salva... V,"Atención, calidad y sabor, muy recomendable",6 contribuciones,6,,Escrita el 19 de enero de 2026,Calidad/precio,Ambiente,Servicio,Comida,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1
