web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,position2,image,data15,data16,data17,data18,image2,data19
1776250196-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Masa crujiente todo fresco y casero,Juan S,"La mejor pizza que hemos comido en muchos años. Masa crujiente de verdad, todo realmente fresco y casero. Los sabores de cada ingrediente se aprecian de forma diferenciada. Lugar tranquilo y agradable con un servicio sonriente eficaz y muy amable. Lassagna de carne muy buena, y todo muy rico a precio muy razonable.",1 contribución,Escrita el 7 de diciembre de 2024,1.0,Ideal para coger la pizza y tomársela por ahí. Pero también para sentarse dentro tranquilamente y disfrutar de los sabores.,,Calidad/precio,Comida,,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,
1776250196-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Increíble escape de tapas!,Heather A,"La comida y el servicio era increíble. Particularmente me gustaron las pizzas redondas de corteza fina. En algún momento, puede enfermarse de tacos regulares y querer solo una buena pizza italiana vieja! Este es un lugar para parar seguro.",2 contribuciones,Escrita el 27 de noviembre de 2024,2.0,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,
1776250196-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,La mejor pizza de Madrid,Magaly Sanchez R,"Me detuve con mi hermana y tenemos un excelente almuerzo
Tengo una pequeña ensalada y compartimos una Pizza Redonda “ la Ruculona”
Delicioso 
Ambiente A +
Atención amable de su dueño Alejandro 
Y 
Assistant Mara

¡Muy recomendable! 

Gracias Alejandro","Filadelfia, Pensilvania",Escrita el 27 de noviembre de 2024,5.0,,5 contribuciones,Calidad/precio,Comida,Mostrar original,Servicio,Ambiente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/39/98/a9/caption.jpg?w=300&h=300&s=1,,Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,
1776250196-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Increíble todo,Lisbeth Y,"Una pizzeria increíble con mucha variedad de comidas, con personales increíbles y amables. Lugar muy confortable y decorado con libros ideal para todas edades. Todo increíble",1 contribución,Escrita el 24 de octubre de 2024,1.0,,,Calidad/precio,Comida,,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,
1776250196-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Buen servicio y alimentos,Inspiration674232,Excelente sabor y servicio! Muy buena la calidad de los alimentos y buenos precios. El servicio del gerente muy amable!,1 contribución,Escrita el 23 de octubre de 2024,1.0,Pizza diabola recomendada,,Calidad/precio,Comida,,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,
1776250196-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Muy buena pizza por el precio correcto,ingco s,"Encontré LaPizzaTeca de camino del Museo del Prado a la Plaza Mayor. Personal muy amable, excelente servicio al cliente. Se acomodan a los hablantes de inglés, el restaurante está muy limpio y tiene un ambiente agradable. Pedí pizza por rebanada, 3. 50 cada uno. Deliciosos sabores y coberturas, y el pan y la corteza tiene la cantidad perfecta de crujiente. ¡Dale a este restaurante tu negocio!",3 contribuciones,Escrita el 2 de octubre de 2024,3.0,,,Calidad/precio,Comida,Mostrar original,Servicio,Ambiente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/af/07/45/caption.jpg?w=300&h=300&s=1,,Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,
1776250196-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Increíble,marygrey m,¡Increíble! Servicio extremadamente amable y agradable. Deliciosa pizza y ensalada. Perfecto. Espectacular. La corteza era increíble.,1 contribución,Escrita el 26 de septiembre de 2024,1.0,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,
1776250196-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Pizza al estilo cubano,Travel53745431665,"Excelente comida, excelente música cubana , ambiente acogedor y amable. No solo que comí en este lugar dos veces, sino que incluso bailé allí.",2 contribuciones,Escrita el 22 de septiembre de 2024,2.0,,,Calidad/precio,Comida,Mostrar original,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1776250151-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,¡Muy bien!,Trip16707356503,Maravillosa pizza y el personal era tan amable! Gritar a Julia y Alex,1,,,Escrita el 13 de abril de 2026,1 contribución,Calidad/precio,Comida,Servicio,Ambiente,Mostrar original,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/f1/1b/8c/caption.jpg?w=300&h=300&s=1,,Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,0.0
1776250151-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Pizza muy buena,David felix C,Estás pizzas son tan divinas. Alejo es muy querido y Homer sus pizzas es siempre una buena opción. El servicio es estupendo.,2,,,Escrita el 27 de febrero de 2026,"Logroño, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,0.0
1776250151-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Una delicia familiar,David,"De verdad las mejores pizzas familiares de Madrid, muy buenas, la masa es súper rica, crujiente y la gente del lugar te hace sentir en casa y siempre atentos un lugar 10/10 siempre",1,,,Escrita el 21 de febrero de 2026,"Ciudad de Panamá, Panamá",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,1.0
1776250151-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,La calidad de las pizzas,xavierfespinosa F,"La mejor pizzería de la zona Centro con diferencia, Alejo un crack haciéndolas, un servicio de diez y una amabilidad máxima",2,,,Escrita el 18 de febrero de 2026,2 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,Que disfruten de unas buenas pizzas,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,1.0
1776250151-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Friendly Pizza Place,Kenneth G,"Gran pizzería. Gente amable. Un montón de opciones de pizza y disponible por pieza. 
La pizza vegetariana era excelente. Bonita corteza fina crujiente. Buena selección de cerveza.",17,,,Escrita el 11 de febrero de 2026,17 contribuciones,,,,,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,1.0
1776250151-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Superó nuestras expectativas,David I,"Fuimos sin muchas expectativas pero salimos gratamente impresionados, estuve cenando con mi hija y la verdad es que cenamos de maravilla. Unas pizzas de calidad, con una masa exquisita y un trato familiar y muy cordial",11,,,Escrita el 8 de febrero de 2026,11 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/65/e1/e6/caption.jpg?w=300&h=300&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,1.0
1776250151-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Pizzas increíbles y un trato que te hacen querer volver a Madrid,María,"Hemos estado dos días seguidos en esta pizzería y salimos encantadas. Ayer ya nos gustó muchísimo, pero lo de hoy fue todavía más especial. Llegamos tardísimo, casi a las diez de la noche, agotadas, y sabiendo que cerraban a las once. Aun así, Mare nos atendió con una sonrisa increíble desde el primer momento. Le contamos que veníamos de Asturias, que ya habíamos estado el año pasado y que el día anterior nos había encantado… y nos dijo un “por supuesto” que lo dijo todo.
Nos preparó una mesa sin ninguna prisa, nos atendió de diez y nos hizo sentir como en casa. Da gusto encontrarse con gente así cuando viajas. Y Arturo también fue encantador.
Las pizzas están buenísimas: masa perfecta, ingredientes de calidad y sabor espectacular. 
Volveremos seguro cada vez que vengamos a Madrid. Gracias de verdad, Mare y Arturo, por hacerlo tan fácil y tan agradable. 🍕❤️",18,,,Escrita el 11 de enero de 2026,18 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,1.0
1776250151-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,De las mejores pizzas de Madrid,rabuos,"Está cerca en el centro, pero apartado de la actividad, de modo que se puede comer en paz sin el barullo que hay por ahí. Tienen libros, sobre todo para niños, para hacer la espera o la comida más amena. Recomiendo especialmente la Margarita.",170,,,Escrita el 7 de enero de 2026,"Madrid, España",Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/bb/77/2e/rabuosporelmundo.jpg?w=100&h=-1&s=1,1.0
1776250151-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Buena Pizza,Christopher P,"Personalmente, disfruté mucho de la pizza margarita que comí y el empleado fue muy amable. También me gustó que la pizzería estuviera cerca del hotel donde me hospedaba.",7,,,Escrita el 26 de diciembre de 2025,"Imperial, California",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,1.0
1776250151-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Excelente experiencia,Diguila,"Pizzas buenísimas, lugar muy agradable, chef y camarera super buena onda y profisionales! Muchísimas opciones de pizzas, casi la misma cantidad para vegetarianos como para carnívoros. Productos de calidad, riquísima masa y excelente atención. 👌",1,,,Escrita el 25 de noviembre de 2025,"Málaga, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,1.0
1776250151-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Buena pizzería,Mihai P,Comida genuina. Muy sabroso. Sencillo local pero muy servicial. Buena comida. El personal es amable y multilingüe.,6,,,Escrita el 30 de octubre de 2025,6 contribuciones,,,,,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,1.0
1776250151-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,La mejores pizzas de Madrid 🫶🏽,Angelo P,"⭐️⭐️⭐️⭐️⭐️
La Pizzateca 🍕

Un lugar increíble donde no solo se come bien, sino que también se vive una experiencia genial. Alejo, el dueño, junto a Artury y Mare hacen un equipo de diez: atentos, simpáticos y con una energía que te hace sentir en casa desde que entras.

Las pizzas son una locura —masa perfecta, ingredientes frescos y ese sabor auténtico que solo sale cuando se cocina con pasión. Además, el ambiente del local es acogedor y lleno de buena vibra, ideal para ir solo, en pareja o con amigos.

Cada visita a La Pizzateca se siente especial. No es solo una pizzería, es un lugar donde se nota el cariño en cada detalle. ❤️🍕",6,,,Escrita el 19 de octubre de 2025,6 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/73/80/5d/caption.jpg?w=300&h=300&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,1.0
1776250151-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Bonita cena relajada aquí!  ¡Buena pizza!,edmondite,"Disfrutamos de nuestra cena aquí - el personal era tan acogedor! Sentados justo al lado de la estantería así que en realidad miramos algunos de los libros. Tuvimos una deliciosa ensalada y pizza Carbonara. Es pizza de corteza fina. No pensé que nos lo íbamos a comer todo, pero estaba tan bueno que terminamos comiendo todo!",1236,,,Escrita el 1 de octubre de 2025,"edmond, oklahoma",Calidad/precio,Comida,Servicio,Ambiente,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/31/7c/e6/edmondite.jpg?w=200&h=-1&s=1,1.0
1776250151-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,"Parece un poco para llevar, pero las pizzas son de primera calidad!",Trip11555009519,"Lee las opiniones de Tripadvisor sobre Reina Sofia Art Gallery, que se encuentra a pocos pasos. Decidió probarlo y estuvo a la altura de todo el bombo en las críticas. La zona de estar en la parte trasera del restaurante es pequeña y sin pretensiones, por lo que sus primeras impresiones serán un poco negativas. Pero inténtalo. El personal es muy amable y acogedor, la comida es excelente y los precios son bajos. Tuve la napoleatana que era genial.",1,,,Escrita el 27 de septiembre de 2025,1 contribución,,,,,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,1.0
1776250151-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,¡Uno de los mejores restaurantes de Madrid!,Jessica C,"La Pizzateca es un lugar fabuloso para conseguir pizza en Madrid. La comida no solo es fantástica, también lo es la gente. La corteza regular es delgada, crujiente y sabrosa y la corteza libre de gluten también es bastante buena. Además, el restaurante está abierto para viajeros cansados en horas más tempranas para que no tenga que esperar a las aperturas habituales más tarde. En general, un gran lugar para conseguir pizza muy buena.",3,,,Escrita el 8 de septiembre de 2025,3 contribuciones,Calidad/precio,Comida,Servicio,Ambiente,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,1.0
1776250185-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Cuartos apretados,Scott H,La pizza era bueno con mucha variedad. Un espacio bastante pequeño tan muy apretado. El servicio fue excelente. Nuestra camarera era muy amable y servicial.,3 contribuciones,Escrita el 18 de mayo de 2025,3.0,,,Calidad/precio,Comida,Servicio,Mostrar original,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,,Traducido automáticamente,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1776250185-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Pizza altamente puntuada,maria l,"Excelente pizza! Corteza perfecta. Delgado con crujiente. El propietario Alexandro era extremadamente 
Amistoso. Vino a saludarnos. Recomiendo encarecidamente cuando necesite un descanso de tapas.",1 contribución,Escrita el 6 de mayo de 2025,1.0,,,Calidad/precio,Comida,Servicio,Mostrar original,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,,Traducido automáticamente,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,
1776250185-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Pizza artesana exquisita!,Inma D,"Buscábamos pizza auténtica, no una pizza pegote de franquicia, y salimos encantados. Probamos tanto la pizza en porción como la redonda hecha al momento con una base exquisita que no te deja pesado y unos ingredientes de primera. La atención también muy buena.Volveremos!!",1 contribución,Escrita el 7 de abril de 2025,1.0,Reservar porque el local es pequeño,,Calidad/precio,Comida,Servicio,,Ambiente,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/8b/95/d6/caption.jpg?w=300&h=300&s=1,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1776250185-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Lo mejor,Irene A,"Soy Irene, pasé por recomendación y no me llevé ninguna decepción. Todo excelente el trato la comida, genial. Los dueños muy agradables.",1 contribución,Escrita el 27 de marzo de 2025,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,1.0,,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,
1776250185-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Gran joya de un restaurante,Regina N,Terminamos en el Prado y nos encontramos con esta joya de un restaurante de pizza. Fantástica pizza y tenía una gran lasaña vegetariana también. Un verdadero negocio familiar y el servicio de Alejo y Mare fue amable,"Montreal, Canadá",Escrita el 25 de marzo de 2025,1.0,,1 contribución,Calidad/precio,Comida,Servicio,Mostrar original,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,,Traducido automáticamente,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1776250185-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Comida deliciosa y servicio maravilloso!,Grace B,"Pasé por allí mientras visitaba y estaba tan impresionado! La pizza estaba deliciosa, y la lasaña de verduras — recomendada por la encantadora señora que me sirve — era increíble. Ella era increíblemente cálido y servicial, haciendo toda la experiencia aún mejor. 

Gran precio, comida fantástica, y el personal tan amable. Sinceramente, no es una mala palabra para decir — ¡mi mayor recomendación de Madrid!",1 contribución,Escrita el 25 de marzo de 2025,1.0,,,,,,Mostrar original,,,1.0,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,
1776250185-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,GRAN HALLAZGO PARA PIZZAS DELICIOSAS E INTERESANTES,Jean P,"Hacía frío y llovía en Madrid. Mi esposa y yo estábamos buscando un lugar para comer y relajarse. Vimos esta pizzería y pensamos por qué no. Qué suerte que hicimos. Hay unas 5 o 6 rebanadas diferentes de pizza listas para calentar y comer. Todas ellas interesantes combinaciones. Sin embargo decidimos ir con recién hecho. Tomó un poco de tiempo, pero valió la pena. Fresco, corteza fina, mitad queso, mitad margherita y delicioso. Mirando hacia atrás cada uno dijo que habría sido divertido probar las diferentes rodajas para los diferentes gustos. 
$ 23 . 50 1 pizza, 2 cervezas, 1 coca",5 contribuciones,Escrita el 23 de marzo de 2025,5.0,,,Calidad/precio,Comida,Servicio,Mostrar original,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,,Traducido automáticamente,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,
1776250185-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Finde en Madrid,Juan Andrés,"Pizza muy rica con ingredientes frescos , elaborada en el momento . La lasaña de verduras muy rica también. Los dueños son muy amables. También pedimos una porción de pizza de champiñones con salsa de trufa y muy rica también.","Gran Canaria, España",Escrita el 22 de marzo de 2025,61.0,,61 contribuciones,,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/6a/84/0f/caption.jpg?w=300&h=300&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/c7/ad/3d/avatar.jpg?w=100&h=-1&s=1,
1776250185-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Un lugar muy recomendable,Manuel F,"Excelente comida y el servicio también. Te sorprenderá la calidad de sus pizzas y el precio muy razonable.
Sin duda un acierto",1 contribución,Escrita el 1 de marzo de 2025,1.0,,,Calidad/precio,Comida,Servicio,,Ambiente,,1.0,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,
1776250185-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,Increíble,FarAway09024601073,"Este sitio es increíble, la comida es exquisita, cabe un grupo muy grande y te tratan muy bien. Por eso yo les doy esta gran nota que se la merecen con creces.",1 contribución,Escrita el 23 de febrero de 2025,1.0,Pedid pizza con cebolla y vereis estrellas.,,Calidad/precio,Comida,Servicio,,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,
1776250185-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2086638-Reviews-La_Pizzateca-Madrid.html,El mejor italiano que conozco!,MS S,"El mejor sitio para comer pizza, lasaña...postres
Todo, absolutamente todo es excelente. La comida un 10, el trato un 10, como en casa! Volveremos. Nos ha encantado.",5 contribuciones,Escrita el 23 de febrero de 2025,5.0,,,Calidad/precio,Comida,Servicio,,Ambiente,,1.0,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/56/6e/23/ms-s.jpg?w=100&h=-1&s=1,
