web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,data19,data20,image3,image4
1775832802-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Excelente precio-calidad tanto para cena con amigos o cena romántica,Juan Manuel S,"Excelente opción, con un muy buen ambiente tanto para una salida en pareja como para una cena con amigos. Productos de excelente calidad y el servicio aún mejor. Atendido por sus propios dueños, lo que le da una atención al detalle y un toque de calidez que no es fácil encontrar. Nos encantó la comida. El aguachile y la entraña fueron nuestros platos favoritos. Pedirlos! Seguramente volveremos pronto!",1 contribución,1.0,Escrita el 5 de mayo de 2024,1 contribución,Entraña y aguachiles los mejores platos para nosotros! Reservar que suele llenarse.,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,
1775832802-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Súper comida,Amauri G,"Súper, me encanta el lugar. La comida está fantástica y los platos muy bien elaborados. Regresaría mil veces más.  Gracias",195 contribuciones,195.0,Escrita el 3 de mayo de 2024,"La Habana, Cuba","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1775832802-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,"Comida de 8,5 …, trato de 10",mykolapiz,"Debo ser honesto y lo primero es valorar la comida, estaba todo bueno, pero no exquisito , yo le daría un 8,50 de nota y destacaría los Rollitos de Primavera Marroquíes y el Aguachile de Zamburiña y Camarón.
En cuanto al trato les doy un 10 sin ninguna duda, trato cercano pero natural y sin hacerte la pelota, te hacen sentir super cómodo.
Precio medio, ni caro ni barato, nosotros cenamos 3 personas por 82 euros entre los 3.
Recomendable? Al 100% lo recomiendo.",84 contribuciones,84.0,Escrita el 20 de abril de 2024,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,
1775832802-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Almuerzo,Joaquin M,"Fui con mis amigos argentinos, somos todos gastronomicos  y la pasamos super bien. Un lugar muy lindo, buenos precios. Super recomendable",2 contribuciones,2.0,Escrita el 13 de abril de 2024,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,
1775832802-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Rincón gastronómico en madrid,Tomas Castro,"Sitio muy pintoresco en el barrio de chueca. Servicio excelente. Hemos optado por la entraña y la corvina como principales, los arancini de entrantes y el postre excelente, helado casero del día (queso crema y salsa de arándanos) increíble. Realmente volveré sin dudas en mi próxima visita a madrid, muy recomendado!",3 contribuciones,3.0,Escrita el 13 de abril de 2024,3 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/db/7a/7a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775832802-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Comida deliciosa y hermoso ambiente!,Maria F,"Probamos varias entradas, platos y postres. Uno más rico que el otro. El ambiente súper agradable y la atención un 10. Vale la pena conocerlo!",2 contribuciones,2.0,Escrita el 1 de abril de 2024,"Buenos Aires, Argentina","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,
1775832802-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Super,Santiago C,"Acudimos con la familia, recomendado por amigos. El lugar es pequeño y muy lindo, la atención es muy buena. Para compartir al centro flores de calabacín y mejillones. De segundo ají de gallina y corvina. Todo de maravilla, dejen que los recomienden. Un 10",1 contribución,1.0,Escrita el 31 de marzo de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775832802-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Bifee de carne..vinos argentinos...,CUKIMADRID,Atención impecable..ají de gallina...sus carnes...vino argentino...sus postres.....super recomendable..además sus precios son muy competitivos....volveré seguro,31 contribuciones,31.0,Escrita el 10 de marzo de 2024,MADRID,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/0c/40/6a/cukimadrid.jpg?w=100&h=-1&s=1,,,,
1775832802-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Repitiendo,IldeMalaga,"Muy bien, como siempre. Comida distinta y con muchos sabores a descubrir. 
Cuando volvamos a Madrid  volveremos a comer ahí.",156 contribuciones,156.0,Escrita el 28 de enero de 2024,Málaga,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b9/8c/b5/ildemalaga.jpg?w=100&h=-1&s=1,,,,
1775832802-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,"Comida excelente, lugar hermoso y buena ubicación",Micaela S,"El mejor restaurante de Chueca, dueño argentino, comida exquisita, atención de 10.
Recomendación entraña con patatas, ñoquis al pesto y burger! 
Buen ambiente y servicio de 10",1 contribución,1.0,Escrita el 27 de enero de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,
1775832738-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,,,,,,,,,,,,,,,,,,,,,,,
1775832738-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Sitio con encanto,Viajes,"Sitio con un encanto especial, en parte por su ubicación y en parte por su carta. Camareros que aconsejan la cantidad de comida y la elección de plato. 
Ofrecen agua filtrada y chupito de limoncelo.
Baño limpio.",8 contribuciones,8.0,Escrita el 1 de marzo de 2026,Mundo,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,
1775832738-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Interesantes elecciones pero nada realmente notable,Jason W,"El Social tiene un sitio web chic bien presentado que genera una gran expectativa utilizando ingredientes biológicos. El lugar estaba ocupado cuando llegamos a las 8 aunque otros sí consiguieron una mesa sin reserva. Para los que no comen carne, solo tiene el 40 % del menú con más opciones en los entrantes que en la comida principal. El mejor plato era el calabacín y queso de cabra que era novedoso y muy sabroso. Las bolas de bacalao estaban bien pero no tan buenas como las croquetas ofrecidas en Madrid. Las gambas tempurah ( 8 ) con col rizada crujiente salieron bien un poco aceitosas. La lubina como principal era un filete de calidad, pero el lecho de coliflor suave era demasiado sutil, así que llegó más suave. El personal era excelente y declaró que 4 platos eran suficientes, lo cual fue apreciado. La pequeña mesa auxiliar traída para detener el desorden de la mesa fue una excelente idea. Con dos copas de vino y una oferta de tenedor llegó a 60 euros, lo suficientemente bueno para un come moderado. Hay cientos de restaurantes en Madrid y esto probablemente estaría en el 50 % superior, pero no en el 25 % superior.",683 contribuciones,683.0,Escrita el 27 de febrero de 2026,"Utrecht, Países Bajos",,,,,Mostrar original,,Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/5a/3d/f1/jason-w.jpg?w=100&h=-1&s=1,,,,,
1775832738-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,"Gran restaurante, buena comida, buen ambiente, visita obligada en Madrid. Comida muy única con sabor especial.",eyall2il,"Vinimos en base a una recomendación pero la realidad era mucho mejor. Comida muy única, muy buenos propietarios, excelentes precios. Ve a comer allí si visitas Madrid. No te arrepentirás 👍💪🥂",119 contribuciones,119.0,Escrita el 11 de febrero de 2026,"Tel Aviv, Israel",,,,,Mostrar original,,Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,
1775832738-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Cuando menos te lo esperas...,Julián N,"Excelente comida y excelente servicio. Es pequeño, pero muy acogedor. Recomiendo muchísimo el guacamole y el burger de cordero.
Muy recomendable en relación precio calidad.",1 contribución,1.0,Escrita el 5 de febrero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,,
1775832738-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Maravilloso lugar.,Happiness46756753203,"Se come ESPECTACULAR
Comimos carne, pastas, mejillones, todo estaba excelente, la entraña una locura, los fettuccini caseros con pesto como volver a la casa de la abuela, los calabacines rellenos con quesos de cabra una maravilla y el guacamole de entrada, uno de los más ricos que comí en mi vida. La atención es muy pero muy amable y el lugar es super cálido. Precios accesibles y felicidad garantizada.
No dejen de visitar este lugar, atendido por sus dueños que merecen todo el éxito.",1 contribución,1.0,Escrita el 26 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,
1775832738-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Gran descubrimiento en el corazón de Madrid !!!!,Agustina d,"Lugar excelente , servicio muy profesional y simpatico!!!
Comida riquisima desde los entrantes hasta los postres!!!!
Super recomendable !!!",7 contribuciones,7.0,Escrita el 24 de enero de 2026,"Puerto Real, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/30/f3/66/agustina-d.jpg?w=100&h=-1&s=1,,,,,
1775832738-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,El Social es un lugar divertido con buena comida!,DenverDweller2,"Volvimos a El Social para una segunda visita y nos pareció excelente como siempre. Me encanta la comida y el servicio. Es un lugar divertido con comida genial y algo inusual! Teníamos rollos marroquíes de primavera, pescado crujiente y pasta, entre otras cosas.",19 contribuciones,19.0,Escrita el 31 de diciembre de 2025,"Denver, Colorado",,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,
1775832738-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,"Lugar cálido, personal increíble, comida deliciosa",Barbara G,"La mejor cena que tuvimos en los 5 días que llevamos en Madrid. El lugar era cálido, el personal era atractivo y la comida era deliciosa. Tuvimos a Fernando (espero que haya acertado) y era el MEJOR. Tenemos las croquetas de bacalao y patata y el satay de pollo, ambos muy buenos. Y los filetes peruanos de pollo al curry y percha también excelentes. Fernando hizo sentir toda la experiencia como si estuviéramos comiendo en casa de un amigo. Definitivamente me encantaría volver antes de irnos. Me alegro de haberlo encontrado una noche. Muy recomendable.",57 contribuciones,57.0,Escrita el 27 de noviembre de 2025,"Pueblo, Colorado",,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,,,
1775832738-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Una experiencia única para tu paladar,Maria D,"Restaurante acogedor perfecto, para probar una variedad de comida diferente. 
El menú es una loca diversidad de platos, desde pequeños compartibles hasta platos principales, cada bocado es una explosión de gustos",110 contribuciones,110.0,Escrita el 4 de octubre de 2025,"Fort Lauderdale, Florida",,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/58/34/42/i4454bfmariad.jpg?w=100&h=-1&s=1,,,,,
1775832738-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Ex eller y muy recomendable,Manuel H,Excelente Servicio y comida. Muy recomendable. Tenemos el pescado y las costillas y compartimos el pastel de zanahoria de postre. Muy contento con la visita.,1 contribución,1.0,Escrita el 13 de septiembre de 2025,1 contribución,,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,
1775832738-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Pésima opción,Adventure06939004223,"De todo nuestro  día en Madrid, sin duda lo peor.
Tartar de tomate que no era tal, simplemente tomate sin sabor cortado a trozos grandes. Ensalada, en la que faltaban ingredientes, solo cogollos empapados en una salsa incomestible y costillar con sabor a cerdo sin cocinar, enmascarado en una salsa indescriptible. Para colmo, nos ponen una tapa de entrante, cortesía de la casa, que nos quisieron cobrar porque era tradición. En resumen Pésimo",1 contribución,1.0,Escrita el 10 de septiembre de 2025,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,,
1775832738-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Muy Social en Madrid,akajudithchalmers76,"No habíamos reservado, pero como los británicos comemos antes que los Españoles, nos arriesgamos a las 8 de la tarde para cinco de nosotros. Nos dieron una cálida bienvenida y sentados. Cuando se estableció, éramos de Manchester, comenzó una conversación sobre fútbol, sobre todo porque tenemos una fidelidad dividida en la familia. 
El menú está en un código QR, todo cocinado por encargo, así que puede tener una espera, pero llenar su tiempo con una buena selección de cerveza , vino nachos y dip - se olvidó de pedir la receta que era encantador. 
Tuvimos una variedad de filetes, pescado y pollo, todo magníficamente cocinado y muy sabroso. Recomendamos a fondo , sí se lo recomendamos a una pareja en nuestro hotel.",124 contribuciones,124.0,Escrita el 27 de agosto de 2025,"Manchester, Reino Unido",,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/95/avatar021.jpg?w=100&h=-1&s=1,,,,,
1775832738-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,No te lo pierdas !!!!!,Stephen F,"El Servicio fue fantástico en cuanto entraste por la puerta, la comida era excelente. Una gran experiencia en Madrid. Rollos de primavera marroquíes seguidos del bistec. 
Buen vino y cócteles 😊",10 contribuciones,10.0,Escrita el 26 de agosto de 2025,"Brisbane, Australia",,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,
1775832738-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,"Buena comida, buen ambiente",Rafaé1974,"Hola. Excelente y coqueto restaurante en la zona de Chueca (creo) de Madrid. Comida riquísima y original, difícil de encontrar en otros sitios. Trato amable y ambiente tranquilo y fresco. A recomendar.",27 contribuciones,27.0,Escrita el 5 de agosto de 2025,"Córdoba, España",Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/b2/71/c5/interino.jpg?w=100&h=-1&s=1,,,,,
1775832738-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,¡Una pequeña joya!,Einon_E_Mouse,"¡¡¡Qué excelente hallazgo!!! 

Pequeño restaurante en la zona de Chueca de Madrid con un interior elegante y acogedor. 

El servicio fue excelente de principio a fin. Amable, acogedor y eficiente. 

El menú es pequeño pero excelente. Se ofrecen pan, salsas y agua por un cargo de entrada muy pequeño. Compartimos un entrante de lo que sólo puedo describir como un rollo primavera gigante que estaba excelente. Los platos principales fueron panceta de cerdo sazonada y cocinada a la perfección y una hamburguesa de cordero, nuevamente bellamente presentada y realmente buena. 
De postre una tarta de queso casera para compartir. 
La comida era excelente y la relación calidad-precio excepcional. 
¡Un auténtico hallazgo en Chueca! 
Una auténtica experiencia de 5 estrellas.",1022 contribuciones,1022.0,Escrita el 10 de julio de 2025,"Gales, Reino Unido",,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/46/b8/f8/einon-e-mouse.jpg?w=100&h=-1&s=1,,,,,
1775832784-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Restaurante encantador,A W,Merece una calificación muy buena a excelente por la comida y el servicio. Platos interesantes - la mayoría eran suavemente sazonado y muy agradable. El servicio fue excelente y amable. La Tempura de Camarón era excelente. Le daría a este restaurante un 4. 6 calificación donde un cinco es fantástico y 4 es bueno y vale la pena ir.,2 contribuciones,2.0,Escrita el 23 de octubre de 2024,2 contribuciones,,,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1
1775832784-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Hermosa comida de cumpleaños en el restaurante más increíble!,Natalie McLoughlin,"Uno de los mejores restaurantes que he visitado en el extranjero en mucho tiempo. El servicio fue impecable, el personal más acogedor y fantástico que realmente hizo nuestra visita tan especial. Al descubrir que era mi cumpleaños durante la comida, estaban tan ansiosos por ayudarnos a celebrar y hacerme sentir tan especial con champán y velas de cumpleaños de cortesía. La comida estaba deliciosa y nos fuimos completamente satisfechos con cada bocado. Muy agradecido de haber encontrado este lugar increíble y de haberme sentido tan bienvenido dentro del restaurante. Gracias por una experiencia increíble! Volveremos 💜",55 contribuciones,55.0,Escrita el 18 de octubre de 2024,"Liverpool, Reino Unido",,,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/d2/c5/f7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/d2/c5/f8/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/d2/c5/f6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/00/f0/b4/caption.jpg?w=100&h=-1&s=1
1775832784-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Muy bueno,Jazz T,"Juntada en familia en este pequeño restaurante, nos dejamos recomendar por la camarera. Todo resultó de 10, guacamole y flores de calabacín. De plato principal entraña y corvina con puré de coliflor. Super delicioso todo. De poste mousse de mango. Lo recomiendo",1 contribución,1.0,Escrita el 15 de octubre de 2024,1 contribución,Consejo:,Reservar,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1
1775832784-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Si vas a Madrid tenés que comer acá!,Celeste A,"Excelente servicio! La entraña increíblemente rica!!! Los Arancinis un sabor único! El postre sublime. Un lugar para volver. Ambiente cálido, y servicio muy atento. Claramente volveré!",13 contribuciones,13.0,Escrita el 6 de octubre de 2024,13 contribuciones,Consejo:,Preguntar las sugerencias,,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b8/76/19/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b8/76/1a/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b8/76/18/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1
1775832784-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,MUY BUENO,Gonzalo R,"Muy buena atención.
Platos buenísimos. Postre casero, muy bien elaborado.
Ofrecieron una mesa mejor que la que teníamos para estar más cómodos.",2 contribuciones,2.0,Escrita el 4 de octubre de 2024,"Madrid, España",,,,,,,,,,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1
1775832784-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,El mejor resto de Madrid,Sebastian R,"Estuve 2 semanas en Italia y en España. En ningun lugar comi como comi aca. Excelente comida, todo lo de la carta es riquisimo y la atencion es excepcional!!!",1 contribución,1.0,Escrita el 3 de octubre de 2024,1 contribución,,,,,,,,,,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1
1775832784-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Increible,Universidad I,"Local pequeño en chueca, comida casera y muy elaborada. Atención de primera. Déjense aconsejar por los camareros, comida con sabores con mucha personalidad. Lo super recomiendo",2 contribuciones,2.0,Escrita el 19 de septiembre de 2024,2 contribuciones,,,,,,,,,,,,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1
1775832784-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d17636280-Reviews-El_Social-Madrid.html,Comida bien presentada,GerardoBP,"Restaurante tranquilo con platos curiosos. Algo dura la entraña. Bien los rollitos. Bien los langostinos en tempura verde
La tarta de zanahoria está muy buena, pero le sobra la especie de leche condensada súper dulce que le ponen
Tenía poca gente",699 contribuciones,699.0,Escrita el 6 de septiembre de 2024,"Madrid, España",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/5e/4c/6c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/5e/4c/6d/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/5e/4c/6b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1
