web_scraper_order,web_scraper_start_url,data,data2,data3,data5,name,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,image4,data16,data17,data18
1776251300-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Hispano/Alema,Juan Luis López de Munain Fernández,"Buen trato,  amabilidad por parte del servicio.
Muy buena materia prima. 
Se nota la mano Argentina en la Brasa, y un ramalazo charrua.

Suerte.

Saludos.

Jon .","Muchas gracias por tu comentario, lógicamente no os merecéis menos después de habernos elegido entre tanta oferta, esperamos volver a verte pronto!!!!
Un saludo
Equipo Mu!",,,1 contribución,Escrita el 17 de noviembre de 2021,,1,Escrita el 8 de enero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Agradable,Maribel R,Buena atención. La camarera muy amables. La comida muy buena. Mi marido es argentino y se la tomó muy agusto. Precio equilibrado,"Muchas gracias Maribel por tu comentario, que bueno que hayan disfrutado con vuestra visita a nuestra casa, deseamos volver a tenerlos pronto entre nosotros.
Un saludo
Equipo Mu!",,,1 contribución,Escrita el 11 de noviembre de 2021,,1,Escrita el 15 de noviembre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,100% Recomendable,Romina B,Fui a cenar con amigos y la verdad quedé muy contenta con el servicio. La comida es muy rica y con precios accesibles. Para los amantes de la carne/parrillada tienen que ir. Yo volveré seguro.,"Muchas gracias por tu comentario, tu recomendación y sobre todo por tener ganas de volver.
te esperamos!!!!
un saludo
Equipo Mu!",,,2 contribuciones,Escrita el 9 de noviembre de 2021,,2,Escrita el 15 de noviembre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Comida espectacular,Maria N,El sitio es estupendo . La comida está buenísima y tiene un precio muy asequible. Amantes de la carne no duden en venir !,"Muchas gracias por tu comentario  y tu recomendación, deseamos volver a verte pronto entre nosotros.
un saludo
Equipo Mu!",,,"Madrid, España",Escrita el 6 de noviembre de 2021,1 contribución,1,Escrita el 15 de noviembre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Muy buena carne con excelente servicio,Mauricio B,"Es muy buena parrilla, tienen muy buena carne, buen precio y el ambiente es muy agradable. En esta ocasión Emma y Gustavo nos atendieron de maravilla","Muchas gracias Mauricio por tu comentario, es muy importante para nosotros recibir vuestra opinión para poder mejorar cada día.
un saludo
Equipo Mu1",,,"Pekín (Beijing), China",Escrita el 31 de octubre de 2021,11 contribuciones,11,Escrita el 15 de noviembre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Exquisita la carne y la atención.,marianela andriolo,"Hola estuvimos almorzando el 22 y 24 de octubre de 2021,exquisita la comida el asado ni que hablar  ,somos uruguayas y estamos acostumbradas a comer carnes muy buenas de Frigorifico Tacuarembó Mag Frig. Se los recomiendo muy buena ubicación y precios .","Muchas gracias por vuestro comentario y mas viniendo de expertos en buena carne, es muy alentador.
un saludo
equipo Mu!",,,6 contribuciones,Escrita el 29 de octubre de 2021,,6,Escrita el 15 de noviembre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0
1776251300-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Super recomendable. No se queden sin probar la mejor carne Argentina. En el local sobre calle Victoria lo mejor de lo mejor.,Noelia S,"Mejor lugar , mejor comida, la atención impecable súper recomendable. El mejor plan para disfrutar de la más rica carne ARGENTINA","Muchas gracias Noelia por tu comentario, que alegría ver que te ha encantado todo, es el mejor premio que nos puedes otorgar.
Un saludo
Equipo Mu!",,,1 contribución,Escrita el 28 de octubre de 2021,,1,Escrita el 29 de octubre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Mi experiencia,alanis michel a,"Buen sitio, muy ameno para estar en familia y amigos👌🏼 Buen lugar, cerca de casa e ideal para cuando sales de trabajar.","Muchas gracias por tu opinión, nos encanta que contéis con nosotros para realizar diferentes planes lo importante es que volváis!!!!
Un saludo
Equipo Mu!",,,1 contribución,Escrita el 28 de octubre de 2021,,1,Escrita el 29 de octubre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251300-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Excelente relación cálidad precio.  Muy bien ubicado.,Daniel M,"Excelente atención , ambiente cálido , y calidad de los productos.   El personal atento , para hacernos sentir como en casa.","Muchas gracias por tu opinión Daniel nos encanta ver que valoráis la relación calidad precio porque lleva un esfuerzo muy grande  por nuestra parte y es muy grato que eso llegue a vosotros.
Un saludo
Equipo Mu!",,,1 contribución,Escrita el 28 de octubre de 2021,,1,Escrita el 29 de octubre de 2021,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,Leer más,,0
1776251287-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Atendimento genial,Mayara Cesila,"Hemos ido con un grupo de amigos en un sábado y todo perfecto, la comida muy rica y el atendimento ha sido lo mejor","Muchas gracias por tu comentario, que bueno que te haya gustado espero que volváis pronto!!!
un saludo
Equipo Mu!",,2.0,2 contribuciones,Escrita el 17 de marzo de 2022,Escrita el 18 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Calidad /Precio mejor imposible,Maria José S,"Muy buena comida argentina  y muy barato en el centro de Madrid. Empanada buenísima, una de las mejores que he probado.  El personal muy agradable, nuestra camarera Emma super atenta y simpática. Volveremos sin duda","Gracias Mariajo por tu comentario, justamente nuestro emblema es la relación calidad/precio y que te haya parecido lo mejor de nuestra oferta nos hace ver que dimos en la diana.
Un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 16 de marzo de 2022,Escrita el 18 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,
1776251287-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,"Menú, muy buena relación calidad-precio",Raquel F,"Comimos de menú. Está muy bueno, la carne muy rica. Y el trato, estupendo.
Lugar muy recomendable en pleno centro","Muchas gracias por tu comentario Raquel, la relación calidad/precio es nuestro principal objetivo, que bueno que lo valoréis así.
Un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 9 de marzo de 2022,Escrita el 11 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Muu,Marta,"Excelente servicio! Me encantó,comida muy rica,muy bien situado y un personal increíble. 100 de 10 muy recomendado 👌","muchas gracias por tu comentario Martuki, que bueno que todo te haya gustado nosotros trabajanos cada día para eso
un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 7 de marzo de 2022,Escrita el 11 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Todo magnífico !!!,Wendy Camila G,Nos ha gustado mucho la experiencia la comida muy rica y la atención excepcional muy buena la relación calidad-precio definitivamente lo recomendamos y volveremos muchas gracias,"Muchas gracias Wendy por tu comentario, que nos digáis que pensáis volver nos llena de alegría con tanta oferta diferente en el centro de Madrid, os esperamos ansiosos !!!
Un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 6 de marzo de 2022,Escrita el 7 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,
1776251287-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,DE PRIMERA!,JOSE IGNACIO C,"Mejor aún que nuestra última visita, años atrás. Un menú completo, abundante y de excelente calidad. Buenísimo el vacío y su punto. Muy cordial atención. Volveremos!","Muchas gracias por tu comentario José Ignacio, que bueno que después de tanto tiempo hayáis vuelto y os parezca que todo sigue bien eso nos ayuda mucho a ver que vamos por buen camino.
Un saludo
Equipo Mu!",,44.0,44 contribuciones,Escrita el 6 de marzo de 2022,Escrita el 7 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d5/e1/6b/jose-ignacio-c.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Excelente atención y buen sabor,George Aguilar,"La comida deliciosa. Pedimos el menú y todo súper rico a un buen precio. Quedas bastante satisfecho. La carne jugosa!!

La atención excelente por parte de Emma, nos dio sugerencias bastante acertadas","Muchas gracias por tu comentario, nuestra razón de ser es la relación calidad/precio y nos agrada mucho que lo valoréis.
Un saludo
Equipo Mu!",,6.0,"Puebla, México",Escrita el 6 de marzo de 2022,Escrita el 7 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Excelente servicio y calidad de sus platillos,Jorge Luis C,"La mejor Carne de toda España y la atención de la señorita Emma fue el toque final para una cena inolvidable, recomendado al infinito por ciento","Muchas gracias Jose Luis por tu comentario, sobrepasa nuestras expectativas y nos hace sentir muy orgullosos. Deseando volver a verte pronto
Un saludo
Equipo Mu!",,6.0,6 contribuciones,Escrita el 6 de marzo de 2022,Escrita el 7 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Comida argentina de calidad,Kevjoeam,Sitio increíble. Comida muy rica y bien de precio. Atención excelente. Lucas el camarero el mejor que he visto en mucho tiempo.,"Muchas gracias por tu comentario, que os sintáis bien atendidos es algo en lo que hacemos mucho hincapié, ya que nos elegisteis entre tanta oferta que menos.....
Un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 28 de febrero de 2022,Escrita el 3 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,
1776251287-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,⭐,Pilar G,"Sitio espectacular! Hemos estado comiendo con la familia y lugar super recomendable, la comida excelente y el personal maravilloso, destacando a Gabriel que es el chico que nos ha atendido.
Volveremos sin duda","Muchas gracias Pilar por tú comentario, saber que vas a volver nos encanta y por favor cuanto antes!!!! jaja
Un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 27 de febrero de 2022,Escrita el 3 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Muy recomendado.,Marina G,"Increíble experiencia, todo está buenísimo. El personal expectacular, destacando a Gabriel, una persona increíble.","Muchas gracias Marina por tu comentario, que tu experiencia Mu! haya sido increíble es lo que mas nos gusta, cada día abrimos nuestras puertas para eso.
Un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 27 de febrero de 2022,Escrita el 3 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Super bien!,beatriz h,"Genial.  Relación calidad precio inigualable. Por sólo 13,50 comes un menú genial, carne , una empanada , ensalada super buena. La atención del personal tb muy buena, rápidos y muy simpáticos. Emma, nuestra camarera venzolana súper!!","Muchas gracias Beatriz por tu comentario, la verdad que la relación calidad/precio es algo en lo que nos fijamos mucho.
Un saludo
Equipo Mu!",,1.0,España,Escrita el 26 de febrero de 2022,Escrita el 3 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,
1776251287-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Recomendable,Francisco M,"Excepcional, la comida genial y el trato excelente, a precios muy asequibles, totalmente recomendable, gracias por vuestro servicio","Muchas gracias Francisco por recomendarnos, eso nos ayudará a crecer y a seguir mejorando cada día.
Un saludo
Equipo Mu!",,2.0,2 contribuciones,Escrita el 26 de febrero de 2022,Escrita el 3 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Comiendo donde los vecinos🇨🇱 🇦🇷,Melissa P,"Excelente servicio, muy buena atención y riquísima comida. Grato ambiente para compartir y charlar hasta de fútbol jaja","Muchas gracias Melissa por tu comentario, nos encanta saber que tu experiencia Mu! fue tan agradable.
Un saludo
Equipo Mu!",,2.0,2 contribuciones,Escrita el 24 de febrero de 2022,Escrita el 3 de marzo de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,0,
1776251287-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d13510945-Reviews-MU_El_Placer_de_la_Carne_II-Madrid.html,Excelente Servicio,Héctor Martínez,"He ido con mi familia y la comida está muy buena.

Pero lo mejor la atención de los camareros, en especial un chico que se llama Lucas. Muy atento y muy profesional, mi familia se ha quedado encantada con el.

Seguramente volvamos a ir y lo recomiendo al 100%","Muchas gracias por vuestro comentario familia! esperamos que volváis pronto a visitarnos y que nuevamente os llevéis un grato recuerdo.
Un saludo
Equipo Mu!",,1.0,1 contribución,Escrita el 20 de febrero de 2022,Escrita el 22 de febrero de 2022,caberna666,Leer más,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,
