web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,position,image,image2,name,image3
1775471824-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Discriminados x un encargado clasista,Rodrigo M,"El sitio muy chulos y bien decorado con una buena atención y servicio, lo único malo es q al buscar sitios petfrenly  pensé q no sería una molestia ir con mi mascota lo cual a la ora de esperar mesa al señor encargado  según dijo el perro para las otras mesas podía ser una molestia , nos encajonado en una esquina en una mesa muy pequeña deja do pasar a 3 parejas q estaban esperando después de nosotros a mesas mucho más amplias y con más sitio y su excusa fue q estaba esperando una mesa para q estuviéramos más cómodos ( lo cual es mentira ya q una de las parejas anteriores recibieron una de 4 personas y eran solo 2 ) sinceramente creo q al encargado el tema perros no le gustaba para nada un trato pésimo y decepcionante de su parte .
Es lo q quiero pensar y no q fuera x tener rastas xq eso ya sería discriminación y tener un encargado racista y clasista en un sitio así sería muy decepcionante ! Un poquito más de consideración y menos discriminación q estamos en 2024 no en el 1900 ( sorprendido un trato así de un señor mayor )",1 contribución,Escrita el 12 de octubre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,1 contribución,
1775471824-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Extremadamente insatisfactorio.,Stephen W,Personal excepcionalmente grosero. Las instrucciones para confirmar la reserva te llevan al lugar equivocado. Promedio de alimentos - nada como el marketing.,18 contribuciones,Escrita el 12 de octubre de 2024,,,,,,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,,18.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,"Petersfield, Reino Unido",
1775471824-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"PARA UN BUEN FILETE, ESTE ES EL LUGAR PARA IR...",Doktor B,Buen restaurante con buena carne de carne y patatas fritas. Servicio amable. Ambiente tranquilo. Lo recomendaría y volvería de nuevo.,345 contribuciones,Escrita el 19 de septiembre de 2024,,,,,,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,Traducido automáticamente,,Leer más,0.0,,,,345.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/80/ed/a4/doktorb69.jpg?w=100&h=-1&s=1,"Zurich, Switzerland",
1775471824-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Gran lugar para comer - bien vale la pena una visita,Guide717163,"Qué hamburguesa increíble, todos coincidimos en que las hamburguesas eran fantásticas, sin duda recomiendo y volveremos. El queso de trufa en Truffle Melting Cheese Dry era impresionante. El personal era genial también - muy recomendable",6 contribuciones,Escrita el 14 de septiembre de 2024,,,,,,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,,,6.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,6 contribuciones,
1775471824-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,,,,,,Explora ahora,Descubre Hiroshima,Descubre por qué a los viajeros como tú les encanta Hiroshima,,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,,,,,Patrocinado por Hiroshima Tourism(HIT),,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a4/aa/02/caption.jpg?w=400&h=400&s=1,,,
1775471824-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,La carne supera a la ficción,Davidillo80,"Si te gusta este rollo , te va a encantar . Hamburguesería de las que molan. La carne está espectacular. Pedid la de 250g Angus madurada. No os arrepentiréis. Por cierto, los nachos espectaculares.  No asustarse con los precios de la carta. Merece mucho la pena.",15 contribuciones,Escrita el 10 de septiembre de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,1.0,,,,15.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/44/4c/76/david-r.jpg?w=100&h=-1&s=1,15 contribuciones,
1775471824-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Excelente experiencia en familia,Matías B,"Excelente opcion para cenar en familia. Muy buena calidad de comida, precio razonable, excelente atención , calido el personal y rapido el servicio.",1 contribución,Escrita el 31 de agosto de 2024,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,1.0,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,1 contribución,
1775471824-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,La hamburguesa más seca que jamás tendrás :),Nelly Marie Z,"Horrible! Esta fue la hamburguesa más seca que he comido en mi vida. Traté de quejarme, pero no había camareros, y cuando tratamos de contactar con ellos (agitando y levantando las manos) simplemente nos miraron y se dieron la vuelta. 

Mala comida cara y mal servicio.",1 contribución,Escrita el 16 de agosto de 2024,,,,,,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,1 contribución,
1775471824-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Excelente Comida,Ele N,"Excelente!! Para los amantes de las hamburguesas y mucho más!! Fue una experiencia muy agradable, tanto en atención, como sabor, calidad y prestigio!! Realmente quedé encantada y muy agradecida con Jhonny!! Los recomiendo 1000%",1 contribución,Escrita el 13 de agosto de 2024,,,,Confíen plenamente en la calidad del lugar!!,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,1 contribución,
1775471805-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Pésima experiencia,Ampa0402,"El trato por parte del encargado de las mesas fue de lo peor, nos trató con una prepotencia increíble. No nos quería dar la mesa que habíamos reservado.
De remate la carne estaba seca e insípida.
No volveremos!",21 contribuciones,Escrita el 12 de enero de 2025,21.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/66/b8/23/philr3358.jpg?w=100&h=-1&s=1
1775471805-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,En colaboración con Hiroshima Tourism(HIT),,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,
1775471805-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Excelente,ana M,"Sitio súper recomendable! El trato de los camareros muy bueno, y la comida excepcional.  Si te gustan las hamburguesas, este es el sitio... y la carne increíble! Volvemos!",17 contribuciones,Escrita el 4 de enero de 2025,17.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7b/69/70/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1
1775471805-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Excelente,gabriela p,"Excelente la atención de Melvin 
El lugar también excelente 
Melvin nos atendió. 10/10
Todo estuvo genial! 
Graciaassssssss",1 contribución,Escrita el 2 de diciembre de 2024,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,
1775471805-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,El servicio de Melvin,Eduardo  M,Muy agradable nuestro camarero Melvin. Un rato agradable pese a la multitud. Con la reserva sin problemas de espera y comodidad aceptable.,1 contribución,Escrita el 1 de diciembre de 2024,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1
1775471805-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"Buen servicio, buena comida",Lucas M,"Muy satisfecho con el servicio, el camarero muy amable (Melvin). La comida al nivel esperado. Muy buena experiencia, recomendable siempre.",1 contribución,Escrita el 1 de diciembre de 2024,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1
1775471805-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Buena comida,Carla Alexandra D,"Las hamburguesas son su especialidad, muy buenas, las recomendamos al 100%.
El trato ha sido muy bueno por parte de todos los camareros.",1 contribución,Escrita el 1 de diciembre de 2024,1.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1
1775471805-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,,,,,,,Explora ahora,Descubre Prefectura de Hiroshima,Descubre por qué a los viajeros como tú les encanta Prefectura de Hiroshima,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,Patrocinado por Hiroshima Tourism(HIT),,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d4/06/8d/dsc-0685-largejpg.jpg?w=400&h=400&s=1,,,
1775471805-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Excelente comida!,Mire R,"Excelente servicio de melvin, y excelente comida, muy buen lugar ubicación y sabores. Me gustó el restaurante , muy bueno todo!",1 contribución,Escrita el 29 de noviembre de 2024,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1
1775471805-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Excelente,Alanood A,"La comida era genial, pedimos guacamole con patatas fritas de nachos y hamburguesa de queso derretido, estaba muy sabroso.",1 contribución,Escrita el 29 de noviembre de 2024,1.0,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1
1775471805-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Comida deliciosa !,Juan Sebastian T,Excelente comida ! Espectacular servicio junior gran mesero la comida es espectacular encantadora y de excelente calidad ! Recomendados !!!,2 contribuciones,Escrita el 27 de noviembre de 2024,2.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/38/5a/f0/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1
1775471805-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Gran comida y ambiente,Jason R,"Vinimos de vacaciones para los Estados Unidos y tuvimos una gran cena. 

Melvin fue fantástico junto con el resto de la tripulación. La comida con mucho mejor de lo esperado y recomendaría absolutamente amigos y familiares para venir a visitar.",1 contribución,Escrita el 27 de noviembre de 2024,1.0,,,,,Mostrar original,,,,Traducido automáticamente,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1
1775471805-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Gran cena familiar,J R,"Excelente lugar - el servicio era genial - camarero era Melvin - nos cuidaron, la comida era buena! Bonito ambiente, y la pinta de cerveza era delicioso.",1 contribución,Escrita el 27 de noviembre de 2024,1.0,,,,,Mostrar original,,,,Traducido automáticamente,Leer más,0.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/38/56/1b/caption.jpg?w=300&h=300&s=1,,
1775471805-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,,,,,,,Explora ahora,Descubre Hiroshima,Descubre por qué a los viajeros como tú les encanta Hiroshima,Este contenido está patrocinado por Hiroshima Tourism(HIT). Ves este anuncio porque su contenido es similar a contenido que tú has mirado antes. Puede que el patrocinador haya pagado para promocionar contenido en Tripadvisor.,,Patrocinado por Hiroshima Tourism(HIT),,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/a4/aa/02/caption.jpg?w=400&h=400&s=1,,,
1775471805-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,¿Por qué Melvin no es gerente?,Alan R,Muy buena la comida y excelente servicio de Melvin. Los alimentos estaban muy buenos y en muy buen tiempo para servirse.,1 contribución,Escrita el 26 de noviembre de 2024,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1
1775471805-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Melvin debe ser gerente.,Companion37637754430,Las costillas estaban deliciosas y súper suaves… además Melvin nos atendió muy amable y sus recomendaciones fueron deliciosas,1 contribución,Escrita el 26 de noviembre de 2024,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1
1775471805-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Eres el mejor Melvin,Potencia T,"Melvin es el mejor, buen servicio y cuenta chistes muy buenos. 
La comida está increíble, el sabor indiscutible. Sin duda es un lugar altamente recomendable",1 contribución,Escrita el 26 de noviembre de 2024,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1
1775471805-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Gran servicio!,Elena V,"Almuerzo con amigos exigentes muy hambrientos. ¡Gran servicio! ¡Buena comida! 
Definitivamente vendrá de nuevo. 
Gracias Melbin.",3 contribuciones,Escrita el 26 de noviembre de 2024,3.0,,,,,Mostrar original,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0.0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/72/avatar054.jpg?w=100&h=-1&s=1
1775471705-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Good Burguer,Espelo,"Hamburguesas muy buenas trato amable, eficiente y rápido.",7 contribuciones,7,Escrita el 3 de abril de 2026,7 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1
1775471705-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Cosas a mejorar,Coso R,"La comida bien, muy bonita la decoración y el servicio muy atento, ahora la decepción ir a los aseos, estan penosos, puertas rotas, sin cerrojos, sin señalizar..una pena.",38 contribuciones,38,Escrita el 3 de abril de 2026,38 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,,,
1775471705-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Este lugar tiene muy buena comida.,Dewayne V,Decidimos probar este lugar para la cena. Nos sorprendimos cuando tuvimos que escanear un código QR para acceder al menú. Como en los días cívicos. Mi esposa pidió las tiras de pollo y la patata al horno. Dijo que era más que suficiente y muy bueno. Pedí a los chefs filete con papas fritas. Mi comida estaba perfectamente cocinada y era muy bueno. De postre partimos una rodaja de tarta de queso y no decepcionó. El servicio era bastante bueno.,739 contribuciones,739,Escrita el 22 de marzo de 2026,"Pittsboro, Carolina del Norte",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c0/22/76/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c0/22/75/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/58/34/18/caption.jpg?w=100&h=-1&s=1
1775471705-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,"PESIMO, NOS PIDIERON PEDIR EN INGLÉS",Maria Antonia Oneto Veny,"¡PÉSIMO! Ir a un restaurante de Madrid y que ni haya camareros que hablen español, es de traca. Nos dijeron para pedir en inglés…¿desde cuándo nos debemos de adaptar en un restaurante en España? ¡ES INDIGNANTE!
El plato de pollo ranchero, decepción total, pollo demasiado hecho, seco, el boniato con mucho queso. ¡Plato súper empalagoso! Y para rematar pedimos postre y no nos lo trajeron y ¡nos querían cobrar! Suerte que nos fijamos y nos corrigieron ¡NO LO RECOMIENDO PARA NADA!",117 contribuciones,117,Escrita el 22 de marzo de 2026,"Mallorca, España",,,,,,,,,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bf/de/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bf/de/b8/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/3b/d6/fb/maria-antonia-o.jpg?w=100&h=-1&s=1
1775471705-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,El mejor,Miguel Angel F,Es el mejor sitio donde como muy muy bien en Madrid. Las hamburguesas son increíbles de sabrosas. El local limpio y ordenado.,2 contribuciones,2,Escrita el 8 de marzo de 2026,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1
1775471705-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Trato,Víctor U,"Lucas tuvo un excelente trato conmigo, ojalá todos los meseros fueran igual de amables que él. :)",1 contribución,1,Escrita el 27 de febrero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1
1775471705-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Lugar agradable y relajante,Irene M,"Ambiente encantador, la comida era muy agradable, servicio amable y rápido. Patricia fue muy atenta y todos disfrutaron de las comidas. Era muy razonable precio con buena elección y grandes porciones.",2 contribuciones,2,Escrita el 11 de febrero de 2026,2 contribuciones,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1
1775471705-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,¡Terrible! Evitar a toda costa,RyanM31,"El servicio fue absolutamente impactante de principio a fin. El personal era poco atento, poco servicial, y nos hizo sentir como un inconveniente en lugar de clientes. Por si fuera poco, después de comer los alimentos, ambos nos sentimos enfermos, lo que es completamente inaceptable. Esto ha arruinado nuestra experiencia y nos ha dejado muy preocupados por la higiene y las normas alimentarias. No volveremos y no recomendaría este lugar a otros.",240 contribuciones,240,Escrita el 18 de enero de 2026,"Nairn, Reino Unido",Mostrar original,,,,,,Traducido automáticamente,,Leer más,0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/a6/avatar077.jpg?w=100&h=-1&s=1
1775471705-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Comida siempre sabrosa,Temo,Comida sabrosa. . . excelentes ubicaciones con la ciudad. . precio corresponden a la calidad. . personal amable. . pero cuando a veces el tiempo de espera es demasiado largo. . Rocas de diseño de inodoro🔥,48 contribuciones,48,Escrita el 2 de enero de 2026,"Tiflis, Georgia",Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/1d/06/db/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/1d/06/da/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/a4/d4/e8/caption.jpg?w=100&h=-1&s=1
1775471705-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12581722-Reviews-SteakBurger_Gran_Via_16-Madrid.html,Penoso,Enrique G,"No lo recomiendo, nos pusieron en una mesa en la parte baja que es el paso a los lavabos , en una mesa alta de piedra que parecía donde sacrifican antiguamente a los animales para hacer las carnes, un lugar tenebroso y con mucho frío. Con  respecto a la comida la carne estaba muy dura y escasa. Por poner algo bueno las patatas fritas muy buenas, pero el resto muy normal y caro para lo que ofrecen",1 contribución,1,Escrita el 2 de enero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1
