web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,image3,position,data15,data16,data17,image4,data18,data19,image5,image6,image7,image8,image9,image10
1776247548-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Gran descubrimiento!,Lorenzo P,"Fuí con amigos y todo fué perfecto, todos los cocteles buenísimos, las recomendaciones de los vinos perfectas y cada plato mejor que el anterior.

Volveremos",3 contribuciones,3,Escrita el 16 de febrero de 2022,,Calidad/precio,Comida,Servicio,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,"La mezcla perfecta entre tradición, fusión y sabor",PeterBarris,"Comida excelente, servicio impecable. Los postres lo mejor de la comida, junto con la tortilla gallega y sus bocaditos egoístas! 100% recomendable",18 contribuciones,18,Escrita el 16 de enero de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/95/c4/c8/peterbarris.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Una experiencia maravillosa,manuelglezseoane,"Servicio excelente, comida exquisita y una experiencia recomendable para cualquier amante de la gastronomía. 

Un restaurante para disfrutar.",3 contribuciones,3,Escrita el 16 de enero de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Buen servicio y deliciosa comida,Rodrigo L,"A pesar de no tener reserva un viernes, lo cual es muy concurrido en este y otros restaurantes, nos acomodaron en una mesa disponible. El mesero fue muy amable y colaborador, cosa que aprecio y reconozco mucho. La comida deliciosa, realmente de buen sabor, temperatura y presentación. Un sitio para ir si pasan por Madrid. Ahora el tema de los precios… si quieren comer bien y de buena calidad pues hay que estar dispuestos a pagar por ello. O pueden ir a algún sitio por la plaza mayor…","Bogotá, Colombia",57,Escrita el 15 de enero de 2022,57 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/de/8d/bf/caption.jpg?w=300&h=300&s=1,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/66/f1/b0/caption.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Sitio y comida espectacular,Jennifer G,Sitio y comida espectacular. Toda la cocina y el servicio cuidado con detalle. Todo un acierto con platos originales y buenísimos.,24 contribuciones,24,Escrita el 6 de enero de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ff/3e/74/jennifer-g.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Decepcionante,mapejo,"Me da la impresion de que alguien fabrica ""opiniones"" sobre este sitio, todo el producto es mal recalentado, o sea, con sabor incluido. Las raciones ridiculas con un precio de restaurante michelin, hace frio dentro, o sea, no volvere seguro. Ojo esta es mi opinion, solo eso.","Madrid, España",35,Escrita el 9 de diciembre de 2021,35 contribuciones,Calidad/precio,Comida,Servicio,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Un total acierto,Silvia S,"En primer lugar podría destacar el trato muy profesional a la vez que cercano, sus platos inmejorables el aguacate impresionante y la carne un punto de plancha perfecto al igual que el sabor, pedí un postre ligero y la recomendación fue un acierto, sin duda volveré y recomiendo la visita.",9 contribuciones,9,Escrita el 8 de diciembre de 2021,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Productazo. Platos originales y de calidad.,Laura C,"Qué decir de Morgana. 
Platos de calidad, se notan sus raíces gallegas y su toque fusión con otras culturas.

Producto rico, sabroso, bien cocinado.

Para repetir 7163498326497 veces más.",España,4,Escrita el 7 de diciembre de 2021,4 contribuciones,Calidad/precio,Comida,Servicio,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Perfecto. Tarta de queso espectacular,Sergio,"Pasamos una estancia estupenda, las recomendaciones de la carta del camarero muy acertadas. Platos novedosos con muy buen producto. La tarta de queso… a otro nivel!","Zaragoza, España",6,Escrita el 6 de diciembre de 2021,6 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/88/67/43/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/88/67/44/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/88/67/45/caption.jpg?w=300&h=300&s=1,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Espectacular sitio en madrid,Nuria L,"Uno de los mejores restaurantes calidad precio de la ciudad. Servicio increíble. Súper rico el pulpo, la tarta de queso de lo mejor que he probado , gracias !","Madrid, España",57,Escrita el 19 de noviembre de 2021,57 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/6a/ce/46/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/6a/ce/47/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/6a/ce/48/caption.jpg?w=300&h=300&s=1,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/85/c1/7f/nuria-l.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Excelente comida y ambiente.,Aziiza M,"Estaba lloviendo y entramos en el restaurante sin reserva, nos trataron estupendamente y el ambiente es muy jovial y distendido. La comida buenísima, pedimos ternera, pulpo y tortilla y nos llevamos una grata sorpresa ya que la calidad era excelente y cocinado con cariño. Solo puedo recomendar el sitio.",1 contribución,1,Escrita el 31 de octubre de 2021,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,nos dejaba boquiabiertas,sienna b,"Un capricho pero vale lo que cuesta. Primero, los platos son obras de arte y los camareros demuestran pasión por la fuente gallega de la comida!
Hay que probar PUERRO “QUEMADO”","Madrid, España",40,Escrita el 23 de octubre de 2021,40 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/e1/24/62/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/e1/24/64/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/e1/24/65/caption.jpg?w=300&h=300&s=1,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,,,
1776247548-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,GALLEGO SIN MÁS…,isimazo,La comida está rica pero tampoco me sorprendió. Viendo los comentarios iba con expectativas altas y se quedaron en bueno…. Servicio correcto.,"Madrid, España",160,Escrita el 23 de octubre de 2021,160 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d6/33/18/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d6/33/1b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d6/33/1c/caption.jpg?w=300&h=300&s=1,,Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,
1776247511-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Una joya,Sandy L,Fantástica comida y vino. Servicio atento y buena relación calidad-precio. Sin duda volveremos con amigos. ¡Prueba el filete de atún!,4,,Escrita el 7 de noviembre de 2025,"New York, New York, United States",,Calidad/precio,Comida,Servicio,Ambiente,Mostrar original,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/aa/9b/53/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/aa/9b/54/caption.jpg?w=300&h=300&s=1,,,,Traducido automáticamente,,,Leer más,0.0,,,,,,
1776247511-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Recomendable,Isabel F,"Todos los platos tipicos gallegos que tienen su toque innovador. Muy bueno todo, súper recomendable. El.postre de tres texturas de chocolate muy original y riquísimo",2,,Escrita el 11 de octubre de 2025,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Excelente resto en Chueca !!,Ricardo G,"Comimos excelente, todos los platos que pedimos de primera. 
Primero una brioche gratinada, luego mejillones buenisimos, el pulpo cocinado impecable y de postre torrija de dulce de leche. 
Para regresar sin dudarlo",14,,Escrita el 17 de septiembre de 2025,"Pinamar, Argentina","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,¡Excelente! Regresaría,RiverS7470,"Opciones de platos diferentes con fusión de sabores creativa y asertiva que complacen desde el paladar más simple hasta el sofisticado. Los mini croissant de atún, el pulpo a la brasa, mejillones al curry laksa, filloa de rabo de vaca, y el rape negro, todos exquisitos!. De postre, el torrija…. valió cada gramo de caloría!. Servicio 10, limpieza 10, tiempo en todo el servicio 10.",5,,Escrita el 6 de septiembre de 2025,"Carolina, Puerto Rico",,Calidad/precio,Comida,Servicio,Ambiente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/07/bb/35/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/07/bb/36/caption.jpg?w=300&h=300&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Muy buena comida. Gran revelación para tan poca promoción.,jala400,"Excelente comida, con mezclas y fusión de varios tipos de comidas de varios países. Muy fresco, menú basto pero no abundante.",22,,Escrita el 9 de agosto de 2025,"Villahermosa, Mexico","Pidan las entradas dd picaña con caviar,
Los tomates con aguacate y la crepa rellena de rabo de toro!!",Calidad/precio,Comida,Servicio,Ambiente,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Excelente comida y tranquilidad a un paso de la Gran Vía,Humberto M,"El local es pequeño, pero acogedor. La atención fue personalizada y rápida.  La comida excelente. La tarta de queso fue muy buena.  El pulpo también excelente, en su punto, muy suave y sabroso.",18,,Escrita el 3 de julio de 2025,18 contribuciones,,Calidad/precio,Comida,Servicio,Ambiente,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Maravilloso restaurante pequeño con buena comida,Bondsammax,Cenamos aquí nuestra última noche en Madrid. Habíamos considerado cancelar pero decidimos ir y no nos arrepentimos. Compartimos los tomates adobados con mango guacamole primer plato. Mi esposa disfrutó de su pez monje a la parrilla con arroz de coco y le gustó mi pato.,561,,Escrita el 19 de junio de 2025,NE US,,,,,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/63/92/23/bondsammax.jpg?w=200&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Increíble!!!!!,ezzzzzz,"Sinceramente, una de las mejores comidas de mi vida! Somos de Nueva York y viajamos mucho, pero este lugar es de primera. Pedimos todos los lados más el filete de atún a la parrilla y pulpo. Las tortas de chocolate eran parte ratón parte fina estructura húmeda. La sal y el aceite de oliva eran toques perfectos.",8,,Escrita el 14 de junio de 2025,"Nueva York, Estado de Nueva York",,,,,,Mostrar original,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2a/24/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2a/24/ba/caption.jpg?w=300&h=300&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Realmente disfruté de este restaurante,matt n frank,"Gran comida que disfrutamos mucho. 

Los sabores eran agradables y ofrecían un pensamiento creativo en torno a mezclarlos. El servicio era ligero y discreto, que realmente se adaptó al espacio. 

Solo da una propina al equipo, trata de comer en los platos tú mismo. Tratar de comer el pequeño croissant cargado en un pequeño zócalo no fue fácil.",739,,Escrita el 27 de mayo de 2025,"Brighton, Reino Unido",,,,,,Mostrar original,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fc/9e/b3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fc/9e/b4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/fc/9e/b5/caption.jpg?w=300&h=300&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/77/60/a8/caption.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Promete mucho mas de lo que es,luca delloro,"Restaurante bueno sin despuntar. Sitio con decoraciòn desalineada, sin mucha luz, sin mantel, con musica demasiado alta. Camarero latino sin mucho tacto, como si estubiera en un  restaurante de menu y barrio. La brioche ultra salada pero interesante. El bocadillo muy bueno. Patatas asadas mal cocinadas, apelmazadas y sin sentido. Pulpo muy bueno pero crema de patata fria. Atun a la parrilla muy bueno pero crema de base fria. Excelente tarta de queso. Gasto medio 31€, correcto. Un sitio donde se nota que los dueños no lo estan controlando como deberian.",16,,Escrita el 3 de mayo de 2025,"Castelldefels, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0a/a5/ad/luca-d.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Riquísimo gallego en Madrid,Constantino Quero,"Espectacular propuesta gastronómica. Si buscas un gallego en Madrid, es la mejor opción. Riquísimos platos como el brioche de cocido gallego o el pulpo a la parrilla. Esta en el famoso barrio de Chueca, en pleno centro de Madrid.",159,,Escrita el 2 de marzo de 2025,"Madrid, España",Mejor reservar,Calidad/precio,Comida,Servicio,Ambiente,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/28/96/b5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/28/96/b6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/28/96/c4/caption.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/28/c7/e1/tinoconstantino.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Muy bien.,fegaher,"Magnifica propuesta.
Sorprende la interpretación de platos de siempre con un toque e ingredientes orientales.
Magnifico servicio. Magnifica comida.
Equipazo!",30,,Escrita el 23 de febrero de 2025,"Colmenar Viejo, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Best,Nikolai Stratmann,Fue una de las mejores experiencias de pescado y marisco que hemos tenido. Creo que el resto en el menú es delicioso también. Eso fue de primera clase. Podemos recomendar este restaurante 100%,3,,Escrita el 9 de diciembre de 2024,"Ravensburg, Alemania",,,,,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Una de las mejores experiencias en Madrid 😊,Adventure13846954195,"Una de las experiencias más increíbles que tuve. 
Comida súper deliciosa, auténtica deliciosa específica. Probamos casi el 80% de la carta de comida satisfecha 100% El servicio fue genial, el personal increíble y profesional 10 de 10 . Muy recomendable 👌 😊",1,,Escrita el 15 de noviembre de 2024,1 contribución,,,,,,Mostrar original,,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247511-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,GALICIA EN MADRID,Medias Raciones,"Impresionante la cocina que hacen y el mimo que le dan. Producto gallego con sabores muy TOP.
Los entrantes me parecieron estupendos tanto el croissant de atun como el brioche de cocido.
El trato espectacular y muy profesional. 
Van a dar que hablar en madrid",155,,Escrita el 2 de noviembre de 2024,"Madrid, España",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/fd/5f/bf/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/fd/5f/c0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/fd/5f/c1/caption.jpg?w=300&h=300&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7b/15/80/caption.jpg?w=100&h=-1&s=1,Leer más,0.0,,,,,,
1776247535-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Restaurante sobrepreciado.,Jesus F,"no es que se coma mal. Es una cocina original de fusión gallego, asiático. Muy de moda. Pero el restaurante está claramente sobrepreciado. No es tampoco un restaurante de producto sino más bien de elaboración. En todo caso, no se entiendo que un restaurante de 60 euros por comensal comas sin mantel y en una mesa en un pasillo.","Cizur Menor, España",49,Escrita el 16 de diciembre de 2023,49 contribuciones,Ambiente,Calidad/precio,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,Leer más,0,,,,,,,,,,
1776247535-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Buena cena de gastronomía gallega,miamar,"Restaurante de cocina gallega de vanguardia. Pedí varios platos:
- Tomates marinados rellenos de guacamole de mango
- Rape negro con huancaína peruana y arroz de coco
- Tarta de queso San Simón

Las cantidades me parecieron más que correctas. El plato de tomates marinados me gustó bastante, el de rape negro me pareció más soso si bien el arroz de coco tenía un sabor llamativo y para acabar la tarta de queso fue el broche estupendo (y contundente).

El servicio fue rápido. Hay un par de turnos en la cena, de 20:30 a 22:00 y de 22:00 al cierre.

La cuenta total con la bebida fue de unos 47€, bastante correcta.",Madrid,584,Escrita el 21 de noviembre de 2023,584 contribuciones,Ambiente,Calidad/precio,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,Leer más,0,,,,,,,,,,
1776247535-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12316948-Reviews-Morgana_Restaurante-Madrid.html,Desastre en Chueca,Companion23991155649,"Lamentable la experiencia en este lugar. Ya está bien con este tipo de locales de hostelería. Son una auténtica engañifa. Uno se siente estafado ante una carta cortísima, unos precios más que abusivos y unas cantidades ridículas, eso sí, adornadas en unos recipientes estrafalarios y enormes. No se dejen engañar, están avisados.",3 contribuciones,3,Escrita el 11 de noviembre de 2023,,Ambiente,Calidad/precio,Comida,Servicio,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,Leer más,0,,,,,,,,,,
