web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,image,image2,image3,image4,position
1775584702-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Volver adonde has sido feliz…. Resulta,Angel C,"Hemos vuelto a Astor y la magia permaneció intacta. Gran restaurante y en el centro de Madrid.
Esta vez tomamos los embutidos españoles, la sardina ahumada gallega y el salmón en veloute garlic. Impresionante! Elegimos un borgoña que resultó genial en la relación precio-calidad. En este sitio ese adagio popular que reza que no deberías volver adonde has sido feliz… no se cumple. Volveremos!!!! Muchas gracias equipo!!!!","Angel C Gracias por volver! Ha sido un placer y un honor tenerl@s de vuelta. Muchas gracias por la cosita de Borgoña que ofrecieron. Esperamos verl@s pronto. Sabéis que nos honra que nos elijáis, habiendo tantos excelentes restaurantes por la zona. Muchas Gracias! Ojalá volváis prontito y poder brindar!",9 contribuciones,Escrita el 17 de mayo de 2025,Escrita el 18 de mayo de 2025,9 contribuciones,,restauranteastor,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e5/73/b8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/e5/73/b9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,9.0
1775584702-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Más o menos,anitafrancob,"No era lo que esperaba para mi experiencia en Madrid. Igual era delicioso pero buscaba algo más mediterráneo, más español","Estimada anitafrancob : Sentimos haberl@s hecho confundir con la clase de restaurante que somos. En la carátula figura “internacional, mediterráneo “. Con “internacional “ queremos decir “fusión “, cocina de varias latitudes. No se nos ocurre cómo podemos desambiguar ese término. Y con “mediterránea” intentamos describir todas las opciones tanto españolas, italianas y francesas que tenemos, que son más del 80% de la propuesta. (A saber, por ejemplo: croquetas de jamón ibérico -Salamanca-, Cecina de vaca - Castilla y León-, Quesos de todas partes de España, mejillones gallegos, albóndigas con la receta que aprendí en mi tierra Valladolid, las pastas italianas y el salmón a la velouté garlic -técnica francesa por donde las hubiere). Sin embargo nos esforzaremos para que no se repitan este tipo de equívocos. No es nuestra intención . En fin, nos propondremos ser más clar@s. Agradecemos que lo que haya comido le haya parecido delicioso. Ástor es vuestra casa! Saludos cordiales.",3 contribuciones,Escrita el 17 de mayo de 2025,Escrita el 18 de mayo de 2025,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",restauranteastor,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,3.0
1775584702-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Ambiente íntimo con atención espectacular,Bumper,"Ambiente íntimo. Atención por parte del personal inmejorable. Quizás a la hora de pedir los platos no acertamos del todo. Los mejillones, pasables. La hamburguesa de buey, rica. La pasta del día, excelente. Platos decorados y preparados con gusto y cariño.",DjBumper Muchas Gracias por la visita! Intentaremos seguir mejorando. Ha sido un placer tenerl@s en Ástor! Esperamos verl@s pronto y brindar por el reencuentro. Saludos de parte de todo el equipo;),207 contribuciones,Escrita el 7 de mayo de 2025,Escrita el 9 de mayo de 2025,"Marbella, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",restauranteastor,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,207.0
1775584702-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Excelente,Ezequiel A,"En un ambiente cálido, te acompaña un equipo que te entiende y te recomienda lo que realmente estás buscando del variado menú. Se puede degustar desde platos americanos hasta cocina europea de excelente calidad, amenizandolo con una excelente selección de vinos. Atendido por sus dueños. Te llevan por un recorrido culinario para recordar. Lo recomiendo 100 porciento tanto para familias como parejas. Los niños quedaron encantados con la comida.",270ezequiela Muchísimas gracias! Sois una familia hermosa! Ha sido un placer reencontrarnos. Ojalá se repita prontito;) Saludos a los peques! Reciban un afectuoso saludo de parte de todo el equipo que hacemos Ástor (vuestra casa en Madrid). Saluuuuuu,1 contribución,Escrita el 26 de abril de 2025,Escrita el 27 de abril de 2025,1 contribución,,restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,1.0
1775584702-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Una buena opción en la Cava Baja,Pablo M,"Restaurante con un trato exquisito con una decoración diferente que vale la pena disfrutar si nos encontramos por la Cava Baja.
En mi caso disfruté de un exquisito ojo de bife que, sorprendentemente, fue servido en el punto exacto que había solicitado. Buen producto.",X7190HWpablom Muchas gracias por la visita y por tan amables palabras. Hay muchas excelentes opciones por la zona y os agradecemos habernos elegido. Esperamos verl@s pronto! Saludos de parte de todo el equipo de Ástor,239 contribuciones,Escrita el 22 de abril de 2025,Escrita el 25 de abril de 2025,"San Cristóbal de La Laguna , España",,restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/c6/9f/79/pablo-m.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,239.0
1775584702-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Joya escondida en La Latina,Trail08315200897,"Astor te acogerá para tener una gran cena en el barrio de La Latina donde Raquel, Lidia y María son algunas de las personas que harán que esta increíble y acogedora cena ocurra. 
Deja que Raquel te sugiera el increíble vino que puedes tomar durante toda la comida ya que es una experta y no te defraudará, solo para seguir un gran aperitivo y deliciosa entrada. No te olvides de tomar el postre antes de salir y disfrutar de un tiempo maravilloso mientras que en Astor.","Trail08315200897 Thank you so much for such kind words (I hope we always deserve them; we'll strive to make sure you do). It was an honor and a pleasure to have you at Ástor (your home in Madrid). We'll pass on your kind words to the front-of-house staff. We hope you come back soon. Thank you so much, friends!",1 contribución,Escrita el 21 de abril de 2025,Escrita el 22 de abril de 2025,1 contribución,,restauranteastor,Traducir respuesta,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,1.0
1775584702-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Me encantaría volver.,Bruno20,"Una comida fantástica. Conseguí conseguir una reserva el día anterior, el restaurante estaba lleno. Teníamos filete y costillas que eran geniales. El servicio fue excelente y había pequeñas croquetas al inicio y cócteles de cortesía al final.",Bruno20 Thank you so much for visiting us first and then for taking the time to write such kind words. It was a pleasure having you at Ástor (your home). We hope to see you again soon! Greetings from the entire team! Enjoy Madrid! Thank you so much!,27 contribuciones,Escrita el 17 de abril de 2025,Escrita el 18 de abril de 2025,Halifax - UK,,restauranteastor,Traducir respuesta,,,,,Mostrar original,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,27.0
1775584702-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Astor lo mejor,orgullo_nacional,Una noche maravillosa desde todos los ángulos. La comida muy rica; el ambiente y la música exquisitos; pero sin dudas que la estrella es el servicio. Nos sentimos muy a gusto,"Florencia D Familia, muchas gracias por volver! Si conocer gente nueva nos alegra y regocija , el placer de los reencuentros supera esa maravillosa experiencia inicial. Ha ocurrido, muchísimas gracias por el cariño! Va a ver muchas más, lo sabemos! Salú familia hermosa!",21 contribuciones,Escrita el 13 de abril de 2025,Escrita el 14 de abril de 2025,21 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",restauranteastor,,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,21.0
1775584702-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Un restaurante especial ❤️,Norma P,"Un restaurante con un ambiente especial en el centro de Madrid, de los mejores que conocimos en nuestro viaje por España. Comimos y bebimos a gusto por un precio acorde. 
Gracias por la atención, pasamos una hermosa noche !","normapB761QP Muchas gracias por la visita, ha sido un honor y un placer tenerl@s en Ástor. Muchas gracias también por tomarse el tiempo para escribir la reseña. Ojalá volváis pronto para brindar nuevamente. porque Ástor, al fin de cuentas, no es más que eso, un lugar de encuentro entre gente amiga. Salú!",1 contribución,Escrita el 13 de abril de 2025,Escrita el 14 de abril de 2025,1 contribución,,restauranteastor,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,1.0
1775584686-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Recomendado,Mayra  N,"La comida estuvo muy buena, con sabores auténticos. La atención fue muy amable. ¡Definitivamente volveré!
Recomendado","Muchísimas gracias!!! Nuestro trabajo con personas como vosotr@s se vuelve mucho más simple y placentero. Alegría nos produce leer que volverías; acá estaremos, querid@s amig@s, para brindar por el reencuentro! Mucha Salú!",2 contribuciones,Escrita el 27 de agosto de 2025,Escrita el 3 de septiembre de 2025,2 contribuciones,restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,2.0
1775584686-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Excelente como siempre,laura,"Ya son varias las veces que he ido a Astor y nunca defrauda, en los años que lleva abierto y he ido no solo no ha bajado la calidad sino que siguen ofreciendo una comida y atención de alta calidad a precios justos. El ceviche frito y las croquetas son siempre una elección para no fallar. Fui con amigos y quedaron encantados. Por su puesto que seguiré yendo.","Muchísimas gracias por volver! Nos llena de orgullo cuando la gente vuelve. Es la más certera demostración de que les ha gustado. Ojalá haya más visitas; nosotr@s nos esforzaremos porque en cada una de ellas la paséis genial! Es un honor y un placer tenerl@s en Ástor, de sobra sabéis que es vuestra casa. Saluuu",5 contribuciones,Escrita el 21 de agosto de 2025,Escrita el 3 de septiembre de 2025,"Madrid, España",restauranteastor,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,5.0
1775584686-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,"Comida excepcional, buen ambiente",MadgeMeister,"Visita obligada si estás de vacaciones en Madrid. Daría 6 estrellas si pudiera. 5 de nosotros comimos aquí y la comida era excepcional. Todos apreciamos mucho la buena comida y comemos bien en casa. No me gustan las setas, pero el mejor plato por resto de la fiesta fue el risotto de setas. Todos se pusieron nerviosos. Sin embargo, no me sentí nada mal con mis elecciones, muy feliz. Servicio era de primera clase, hasta la tierra, reserva y comunicación fácil. Vibe era cálido, amable y nada turístico. Gran recomendación de vino. Excelente relación calidad-precio","Thank you so much! It's been an honor and a pleasure to have you at Ástor (your home in Madrid). Our risotto is already a classic; it's been with you since we opened, back in 2016. Thanks for such kind words; they give us the strength to keep improving! Cheers, friends!",10 contribuciones,Escrita el 4 de agosto de 2025,Escrita el 3 de septiembre de 2025,"Ascot, Reino Unido",restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/ae/f4/b4/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,10.0
1775584686-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Juglares de la gastronomía!!!,pepitozarate,"Otra vez volvimos a nuestro restaurante favorito de todo Madrid! No tenían sitio en mesa y nos sentamos en la barra. Experiencia espectacular! De entrante jamón de bellota con almendras, y media ración de empanadas de espinacas. De segundos el tagliatelle en beurre blanc y huevo curado en soja y el clásico risotto de hongos. Al postre no llegamos porque estabamos a tope. Brindamos con las chicas de sala y con Ángel que está en la barra. Muchas gracias! Antes de terminar el viaje amenazamos con volver!!!","pepitozarate Qué lindo reencuentro! Nos ha encantado volver a verl@s! Siempre es una fiesta tenerl@s en Ástor (vuestra casa, desde hace años ya, en Madrid)! Sabemos que les queda aún mucho viaje, pero a la vuelta esperamos verl@s nuevamente. En la barra o en una mesa atenderl@s a vosotr@s es una fiesta de guardar! Mil gracias amig@s, de verdad! Mucha salud ! Descansad y disfrutad a partes iguales (como solo vosotr@s sabéis hacerlo). Saluuu",46 contribuciones,Escrita el 28 de julio de 2025,Escrita el 29 de julio de 2025,46 contribuciones,restauranteastor,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9e/45/7b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,46.0
1775584686-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Experiencia para repetir,luisa d,"Lugar excelente para una 
velada donde se conjuga la calidad de los productos en la combinación sabrosa y creativa de los mismos y la esmerada atención de sus dueños que se esmeran en brindar una experiencia acogedora y de calidad.",luisadJ8710IR Muchísimas Gracias! Ha sido un verdadero honor tenerl@s en Ástor (vuestra casa en Madrid)! Habiendo tantos y excelentes restaurantes por la zona nos enorgullece mucho que nos hayan elegido! Disfrutad de Madrid como sabéis!,57 contribuciones,Escrita el 27 de julio de 2025,Escrita el 28 de julio de 2025,57 contribuciones,restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9b/a4/d3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,57.0
1775584686-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Sencillamente sensacional,ALW,"¡Sensacional! La comida y el personal / Servicio. Qué fusión de sabores y nos cuidaron tan bien. No tengo palabras de que fuera delicioso. No pases por este lugar, estamos tratando de averiguar cómo volver para una última comida antes de irnos. También vendían vino de nuestra región en Nueva Zelanda por una fracción del costo que podíamos conseguir para casa.",252antoinettebThank you so much for such kind words! We love New Zealand wine! It has been an honor and a pleasure to have you at Ástor (your home in Madrid). We hope to see you before your return! Thank you so much for choosing us!,344 contribuciones,Escrita el 5 de julio de 2025,Escrita el 6 de julio de 2025,"Havelock North, Nueva Zelanda",restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,344.0
1775584686-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Almuerzo en Astor,Michele M,"Esta experiencia gastronómica fue una de nuestras favoritas en España. El servicio fue impecable la comida increíble. Comimos bistec y pasta con limón y pimienta, que fueron dos de nuestros platos favoritos durante nuestro viaje de 10 días. Vale la pena caminar hasta este restaurante.","Michele M Thank you so much for such kind words! It's been a real honor and a true pleasure to have you at Ástor (your home in Madrid). We're so glad you liked the food (especially the lemon pasta, since it's a new addition). We hope to see you soon! Enjoy Madrid!",3 contribuciones,Escrita el 27 de junio de 2025,Escrita el 29 de junio de 2025,3 contribuciones,restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,3.0
1775584686-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Top de mi lista,patricia S,"Nuestro restaurante favorito de tres ciudades. No puedo decir suficiente sobre este restaurante. Todo era de primera categoría. El ambiente, la comida, el Servicio eran todos cinco estrellas. Una selección digna de su tiempo.","patricia S Wow! Thank you so much for such kind words; I hope we deserve them. It's been a huge pleasure having you at Ástor (your home in Madrid). With people like you, our work becomes easier and more enjoyable. We hope to see you soon! Enjoy! Thank you so much!",37 contribuciones,Escrita el 17 de junio de 2025,Escrita el 17 de junio de 2025,"Beaufort, Carolina del Norte",restauranteastor,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,37.0
1775584686-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Muy recomendable!,DCDolcevita,"¡Fantástico! No les quedaban mesas cuando pedimos reservaciones, pero pudimos reservar asientos en el bar, que eran perfectos. (Sólo hay unas 10 mesas y se recomienda encarecidamente hacer reservas.) El servicio fue increíble, al igual que la comida. El primer regalo del chef fueron croquetas de papa con salsa picante. Para los entrantes, pedimos char sui y croquetas de bacalao. Nuestros platos principales fueron costillas de cerdo con puré de calabaza y risotto de hongos con peras especiadas. Después del postre, nos dieron licores de cortesía, con sabor a almendra y lima. A lo largo de la comida las camareras vinieron a vernos, hablando inglés y español y dándonos recomendaciones no solo sobre la comida sino sobre qué hacer y ver en Madrid. Todo lo que comimos y bebimos era delicioso y el precio era muy razonable.","DCDolcevitaThank you so much for choosing us (with so many excellent restaurants in the area, it's an honor to have you)! It's been a true honor and a real pleasure to have you at Ástor (your home in Madrid). I must confess that with people like you, our work is not only easier but also much more enjoyable. I'd also like to thank you for the kind words you've given us; I hope we deserve them. I hope to see you again soon! Thank you so much, truly!",757 contribuciones,Escrita el 7 de junio de 2025,Escrita el 9 de junio de 2025,"Puerto Vallarta, México",restauranteastor,Traducir respuesta,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,757.0
1775584686-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,muy recomendable,Flor_ Delu,"El lugar es muy lindo y esta ubicado en una calle muy encantadora
desde el momento de entrar nos atendieron de maravillas, super servicio
los platos deliciosos, recomiendo el risoto y el ceviche
muy buena relacion calidad-precio","Flor_DeluQué alegría haberl@s tenido en Ástor! Para nosotr@s es un honor que, habiendo tantos excelentes restaurantes por la zona, nos hayáis elegido. Ojalá podamos verl@s pronto! Disfrutad mucho! Millones de gracias!",47 contribuciones,Escrita el 4 de junio de 2025,Escrita el 9 de junio de 2025,"Buenos Aires, Argentina",restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/47/16/1d/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,47.0
1775584686-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11896546-Reviews-Astor-Madrid.html,Gran lugar,Ratuchi,"Fui con mi familia para despedir nuestro viaje y no podríamos haber elegido mejor, la comida espectacular y la atención muy cálida. Recomendado",RatuchiQué honor! Muchísimas gracias! Nos reconforta el alma y el corazón saber que hemos estado a la altura de semejante acontecimiento. Ojalá hayáis tenido un viaje estupendo. Ha sido una alegría enorme conocerl@s! Muchas gracias y mucha saluuuuu,9 contribuciones,Escrita el 4 de junio de 2025,Escrita el 9 de junio de 2025,9 contribuciones,restauranteastor,,,Calidad/precio,Ambiente,Servicio,Comida,Pedir el risotto,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/fa/aa/65/avatar.jpg?w=100&h=-1&s=1,,9.0
