web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,data19,data20
1775582798-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Experiencia increíble,Lucy O,Es un lugar al que regresaré siempre cuando venga a Madrid. La atención es demasiado buena y la comida excelente y deliciosa.,5 contribuciones,5.0,Escrita el 22 de diciembre de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,
1775582798-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,"Buen ambiente y calidad precio muy buenos, el camarero Roger, creo que se llamaba muy simpático y atento",Marisa C,"Me ha gustado mucho el sitio, la comida muy buena y calidad precio estupendos.El servicio también muy bueno el camarero Roger muy atento y simpático,",1 contribución,1.0,Escrita el 15 de diciembre de 2025,"Merece la pena y el sitio muy bonito, estuvimos en la parte de abajo comiendo y es como una cueva abovedada, precioso.",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,
1775582798-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Genial,Samantha G,"Muy buena comida muy rica y además el  servicio, ambiente mega agradable, todo super espectacular y maravilloso perfecto.",1 contribución,1.0,Escrita el 13 de diciembre de 2025,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/fa/30/93/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,
1775582798-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,"Bien personal, bien comida y bebidas! 🫶🏼",diiamonds s,"Todas las personas aquí son increíblemente amables.
La comida es muy buena y, sobre todo, Steven destaca especialmente:
siempre me pregunta qué quiero comer o beber, es muy responsable, extremadamente amable y cuida mucho de su personal, algo que realmente me gusta mucho.

Pero, aparte de él, todas las demás personas también son muy simpáticas y cercanas.
Siempre hay buen ambiente, se pasa un buen rato, se ríe mucho y la atmósfera en general es muy agradable, abierta y acogedora.
Es simplemente un lugar donde uno se siente a gusto.",4 contribuciones,4.0,Escrita el 9 de diciembre de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,
1775582798-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Buena elección,Paquidermos,"Relación calidad precio perfecta. Atención estupenda, muy detallistas y profesionales. Bien situado, comida buena",3 contribuciones,3.0,Escrita el 9 de diciembre de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,
1775582798-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente cocina y servicio,Trip24058557270,"El Sur de Moratín es un restaurante con un ambiente excelente cerca del paseo del Prado. La atención y el servicio exquisitos, muy educadas y educados. La decoración muy cuidada y se respira un respeto hacia la cultura y el arte musical. La música de ambiente muy bonita. La cocina muy buena. Elejimos para 4 personas 3 entrantes, un plato principal, bebida, postre (tanto la tarta de queso con arándanos como la de chocolate espectaculares) y café e infusión por 120eur, a 30eur cada uno. Merece mucho la pena, pero hay que reservar porque el sitio no es muy grande.",1 contribución,1.0,Escrita el 8 de diciembre de 2025,Reservar con tiempo. Atienden muy bien por teléfono,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/f0/10/b0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
1775582798-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Para hacer bien el amor hay que vener al sur,Marco G,Exquisitos los risottos y el servicio de Roger y Alberto muy amables y  disponibles un 10 para repetir muy pronto y muy aconsejable para pasar una noche muy agradable,2 contribuciones,2.0,Escrita el 6 de diciembre de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,
1775582798-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Si quieren un orgasmo gastronómico pasen por aquí,Cristina V,Siempre que podemos venimos. Es para ir a la cocina y dar un abrazo al cocinero. Bravisimo!! Y nada caro. Los camareros muy amables! No irse sin pedir el risotto.,1 contribución,1.0,Escrita el 6 de diciembre de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,
1775582798-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Gran lugar!,Mariana G,"Increíble lugar auténtico, la paella deliciosa! el mesero Alberto muy amable y atento
Lo recomendamos ampliamente  🤩🤩🤩",1 contribución,1.0,Escrita el 2 de diciembre de 2025,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/e3/b0/17/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,
1775582798-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Nos encanto,Claudia B,"Precios buenísimos, comida espectacular y trato inmejorable por parte de Alberto, para repetir!! Encima el sitio es bonito y centrico",4 contribuciones,4.0,Escrita el 30 de noviembre de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
1775582798-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,"Se come muy, y Alberto te hace sentir como en casa.",Javier Sáenz de Santa María,"Nos fuimos a cenar de tapeo las alcachofas con changurro, el pulpo a la brasa y las croquetas de jamón y boletus. Todo excepcional. Pero lo mejor Alberto que nos trató con una amabilidad y atención espectacular. Sin duda volveríamos.",710 contribuciones,710.0,Escrita el 29 de noviembre de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/3d/03/a9/avatar.jpg?w=100&h=-1&s=1,,,
1775582752-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Todo en general,Loli G,"Buena comida ,buen trato,un lugar acogedor.",13 contribuciones,,Escrita el 4 de abril de 2026,13,13 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,
1775582752-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente trato por parte de Alberto,jgsinde,"Fui con mi pareja a tomar una copa y nos tomamos tres gracias al excelente trato de un camarero profesional de los que ya no quedan. Gracias Alberto por las recomendaciones, el trato y los aperitivos. Volveremos.",3 contribuciones,,Escrita el 1 de abril de 2026,3,"Majadahonda, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1775582752-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Warm Taste,rq m,"Sabores auténticos y servicio muy amable; como turista, me sentí bienvenido y disfruté mucho.",1 contribución,,Escrita el 30 de marzo de 2026,1,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,
1775582752-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Genial!!,Ana S,No sé si es mejor la atención o la comida! Nos ha encantado,6 contribuciones,,Escrita el 27 de marzo de 2026,6,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/3f/e6/09/anash3013bt.jpg?w=100&h=-1&s=1,,,,
1775582752-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,perfecto！,ruiqi Z,"La comida está deliciosa, el ambiente es fantástico. Alberto ha sido muy atento. Volveremos  sin duda！",1 contribución,,Escrita el 26 de marzo de 2026,1,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1775582752-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,¡Estupendo!,Susana G,"Excelente. Éramos un grupo numeroso (Casi 30) y nos han atendido muy bien y rápidamente. La paella era simplemente exquisita y el personal, en especial Alberto, muy amable y eficiente. El local, muy agradable.
Lo recomiendo y volveré sin duda.",1 contribución,,Escrita el 25 de marzo de 2026,1,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,
1775582752-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Super Bueno! Alberto camerero top! 🙌🏻,lina n,Super Bueno! Alberto camerero top! 🙌🏻,1 contribución,,Escrita el 20 de marzo de 2026,1,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,
1775582752-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Buena atención y comida,Wanderer21653561395,"Comimos muy bien, había buen ambiente y fueron muy atentos. Nos atendió Luna, una chica muy maja así como el resto del equipo. Para repetir",3 contribuciones,,Escrita el 19 de marzo de 2026,3,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,,,,
1775582752-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Experiencia muy grata,Bdoble H,"Hemos ido a comer hoy seis personas sin reserva y la experiencia ha sido definitivamente grata. Hemos comido muy bien, la relación calidad-precio es correcta, y lo que realmente ha hecho que nos guste así ha sido el trato de todo el personal. Especialmente de Alberto. Ha estado súper pendiente en todo momento de nosotros y su trato ha sido excelente. Mil gracias!!",2 contribuciones,,Escrita el 16 de marzo de 2026,2,"Calafell, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,
1775582752-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Todo perfecto,Olga C,Alberto ha sido un encanto con nosotras,2 contribuciones,,Escrita el 14 de marzo de 2026,2,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,
1775582752-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,"Rico, rico, rico",BLANCA ANA G,"Muy rica la cena, muy agradable el sitio y la atención de Luna estupendo
Gracias por todo.",1 contribución,,Escrita el 14 de marzo de 2026,1,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,
1775582752-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Genial,Connector61847,Nos atendio alberto que ha sido un encanto con nosotras,1 contribución,,Escrita el 14 de marzo de 2026,1,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775582752-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,La comida ha estado excelente,Luis R,Luna nos atendió super bien! La comida excelente!!!,2 contribuciones,,Escrita el 14 de marzo de 2026,2,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,
1775582752-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Excelente.,Ink F,"Luna sobresale con su servicio, súper atenta y excelente. La comida sugerida por ella además muy buena. Volveremos!!!",1 contribución,,Escrita el 9 de marzo de 2026,1,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,
1775582752-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Comida deliciosa y atención hogareña,Daniel M,"Desde el primer momento el servicio fue excelente, un ambiente muy hospitalario.  La comida fue deliciosa y servida muy rápidamente. El mesero nos dio buenas recomendaciones de lugar para continuar visitando en nuestras vacaciones, nos sentimos como en casa.",1 contribución,,Escrita el 7 de marzo de 2026,1,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1775582786-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,"Sitio muy agradable, muy buen servicio y comida bien preparada",Alfonso G,"Fuimos a un espectáculo y buscamos un lugar con buenas recomendaciones. No nos ha defraudado, servicio muy agradable, comida buena y la relación calidad precio en línea. Recomendable",6 contribuciones,6.0,Escrita el 31 de enero de 2026,6 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/b0/6c/85/alfonso-g.jpg?w=100&h=-1&s=1,,,
1775582786-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Recomendadisimooo,Maria Isabel P,"Excelente atención!!!! Deliciosa la comida, nunca había comido una tortilla de patatas tan buena! Y ni hablar de la paella!! Recomiendo sin duda!!",4 contribuciones,4.0,Escrita el 30 de enero de 2026,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/55/37/31/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,
1775582786-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Genial,Romm,"Excelente bar, muy buen ambiente y sobre todo la variedad de platos como la paella, ropa vieja, y la tarta uff todo muy way repetiré.",39 contribuciones,39.0,Escrita el 26 de enero de 2026,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,
1775582786-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Muy buena atención y comida muy rica.,RocioRuiz,"Decoración muy agradable, trato y servicio excelente. Buena relación calidad-precio. Mejor el rissoto que la paella, estaba un poco sobre cocinada. Excelente el tartar de salmón.
No dejen de probar algún postre.",5 contribuciones,5.0,Escrita el 25 de enero de 2026,"Aldeanueva de Ebro, España",Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,
1775582786-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Recomendable 100%,Elena M,Restaurante en el barrio de las letras con comida y servicio excelente. Ambiente tranquilo y personal muy atento y simpático. Recomendable sin duda!,1 contribución,1.0,Escrita el 23 de enero de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,
1775582786-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Riquísimo,Almendra Luz D,Es un hermoso lugar. Nos atendieron súper bien y la comida estuvo riquísima! Está cerca del jardín Botánico real por sí estás paseando por ahí ☺,1 contribución,1.0,Escrita el 19 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,
1775582786-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Gato y Almen en madrid,Cristian G,Excelente atención y comida! Volvería sin dudas!,1 contribución,1.0,Escrita el 19 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,
1775582786-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Mejor calidad / precio de Madrid,Romain C,"Mejor precio / calidad que he encontrado en  Madrid.  Entrada, 2 vasos de vino y 2 semi porción de plato fuerte por 25 euros con un muy buen servicio",4 contribuciones,4.0,Escrita el 18 de enero de 2026,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3d/1b/f6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,
1775582786-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Descubriendo el SUR,Ernesto v,"Las prisas para reservar algún sitio para cenar algo con mis amigos, la casualidad, y sobre todo la suerte, me han llevado a conocer el SUR DE  MORATÍN. Un establecimiento sin grandes pretensiones, pero muy acogedor, y lo más importante, atendido con una amabilidad extraordinaria. La carta, generosa pero sin ser excesiva, está muy  bien equilibrada para que todos los comensales  encuentren algo de su gusto, y lo cierto es que todo lo que probamos estaba francamente bueno. Profesionalidad, amabilidad y muy buena cocina definen este establecimiento. No quiero terminar esta reseña sin referirme a Virgilio, a quien conocí trabajando al pie del cañón sin saber que era el creador y dueño de este y otros establecimientos. Su simpatía, sencillez, y sobre todo su biografía son admirables, y sin duda le conducirán al mayor éxito en lo personal, empresarial y artístico.",1 contribución,1.0,Escrita el 18 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,
1775582786-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Comida,Fearless64709535150,"Gran servicio, gran Barman, gran Steven.
Mejores rest de tapas!",4 contribuciones,4.0,Escrita el 18 de enero de 2026,"Bogotá, Colombia",Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3c/92/3e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,
1775582786-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Una paella espectacular y una experiencia para repetir,Lilly P,"Me encantó este restaurante. La experiencia fue excelente desde el primer momento. Probé la paella y estaba buenísima, llena de sabor y en su punto perfecto. También comí  una croqueta que me sorprendió mucho, súper cremosa. Sin duda, un sitio al que volvería y que recomiendo totalmente.",2 contribuciones,2.0,Escrita el 8 de enero de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/29/22/4d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,
1775582786-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d25460152-Reviews-El_Sur_de_Moratin-Madrid.html,Buenissimo!,Andrea D,"Sítio muy central, tranquilo, el servicio atento y servicial.

He pedido una copa del vino El Sur y una Musaka. Todo por 8 euros.

Lo recomiendo!",2 contribuciones,2.0,Escrita el 5 de enero de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/22/45/09/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,
