web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data4,data17,data18,data19,data20,data21,image3,position2
1776249634-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Gran vino, comida de calidad y un servicio muy amable",Dominika B,"Sa vida es una visita obligada en tu viaje a Ibiza, especialmente si te gusta la comida de calidad, creativa y llena de sabor que está maravillosamente maridada con un poco de vino español de buena calidad. He estado aquí dos veces en mi viaje a Ibiza y no puedo esperar a volver. Muy recomendable.",Escrita el 9 de octubre de 2024,,,1,sept 2024 • Solo,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,1 contribución,,,,,,,
1776249634-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Recomendable 100%,Laura C,"Comida casera en el centro de ibiza.
Cochinillo riquísimo y tarta de queso espectacular. 
Servicio ágil y amable.
Volveremos seguro.",Escrita el 5 de octubre de 2024,,,1,oct 2024 • Parejas,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,1 contribución,,,,,,,
1776249634-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Gran comida española clásica en Ibiza ciudad,Holly A,¡Comida increíble! Ensalada clásica increíble. Patas bravas realmente único. Sabores muy ricos en arroz con gambas. Ruban era único en su clase. Sin duda recomiendo,Escrita el 4 de octubre de 2024,,,1,oct 2024 • Amigos,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,1 contribución,,,,,,,
1776249634-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Servicio 5*,Istvan_Veres,"Gran servicio amable y profesional, realmente disfrutó de la recomendación del vino y la comida era irreal lo buena que era. Muy recomendable",Escrita el 3 de octubre de 2024,,2 contribuciones,2,oct 2024 • Parejas,Mostrar original,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,"Edimburgo, Reino Unido",,,,,,,
1776249634-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,El tesoro de la isla,América B,"Fui allí solo y literalmente no tengo palabras para describir esta experiencia. Este es sin duda el tesoro de la isla, la comida era irreal, deliciosamente increíble, el vino también increíblemente maravilloso y el servicio espectacular. El propietario es muy amable y amable y ambiente encantador. Comí el sarro de salmón y el tiradito de atún para empezar seguidos del ssteak tartar y todos fueron magníficos. Si quieres tener una experiencia única en Ibiza te recomiendo este restaurante.",Escrita el 30 de septiembre de 2024,,64 contribuciones,64,sept 2024 • Solo,Mostrar original,Traducido automáticamente,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/f1/a4/4e/caption.jpg?w=200&h=-1&s=1,,Salvador,,,,,,,
1776249634-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Crudo!,Lucila Z,"Comimos carne y pescados en crudo, todo super fresco. El ceviche de lubina espectacular, y el steak tartar inmejorable.
Servicio muy amable",Escrita el 26 de septiembre de 2024,,,1,sept 2024 • En familia,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,1 contribución,,,,,,,
1776249634-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Excelente trato y comida,Álvaro C,"Restaurante con gran variedad de comida, toda ella de alta calidad. Buen ambiente, comida excelente y gran trato por parte del personal del restaurante.",Escrita el 24 de septiembre de 2024,,,2,sept 2024 • Solo,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,2 contribuciones,,,,,,,
1776249634-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Visita obligada,Carlos M,"Calidad, precio y atención de 10. Recomendable al 100%. El trato en todo momento inmejorable, el sumiller um encanto y el resto de la plantilla similar.",Escrita el 22 de septiembre de 2024,,,1,sept 2024 • En familia,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,1 contribución,,,,,,,
1776249634-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Vinos espectaculares,moritz h,Sitio ideal para cualquier amante del vino. Personal cualificado y amable. Producto muy bueno. Vinos por copa interesantes y cosas muy chulas por botella.,Escrita el 20 de septiembre de 2024,,6 contribuciones,6,sept 2024 • Solo,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,"Madrid, España",,,,,,,
1776249582-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Fantástico,nestefania,"Es la primera vez que vamos y nos ha encantado. El servicio muy bueno. Son encantadores y atienden muy bien. La comida, un 10. Hemos pedido 15 platos diferentes y estaban todos buenísimos. Muchísimo sabor y bien presentado. Volveremos seguro.",672,,,Escrita el 21 de febrero de 2026,,"Comunidad de Madrid, España",,,,,,,,,,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/20/f2/c8/nestefania.jpg?w=200&h=-1&s=1,
1776249582-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Agradable bar de vinos de alta calidad,johnmodesto,"Hermoso bar de vinos con una amplia selección de vinos por copa, así como la botella. Servidores bien informados con buenos conocimientos de inglés. Comida sabrosa, tomamos un meloso de camarones (risotto), una pegatina de olla, y foie gras. Este es un lugar de primera calidad con precios a juego.",972,,,Escrita el 9 de febrero de 2026,,"Modesto, California",,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/69/05/5a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/69/05/5b/caption.jpg?w=300&h=300&s=1,,,Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/66/0b/fa/john-m.jpg?w=100&h=-1&s=1,
1776249582-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Mejorable,atontao,"Local con decoración contemporánea agradable, mesas para dos muy pequeñas (no entiendo que, estando ocupadas solo 3 mesas y el resto, vacío, nos recluyeran en mesa tan pequeña.

Comida aceptable, destacaría las croquetas, el bacalao con tinta de calamar quemada y el cochinillo.

Muy amplia carta de vinos que ofrecen en una tableta, con filtros aplicables para facilitar la elección aunque  personalmente prefiero la carta en papel.

Servicio amable pero poco atento a pesar de estar el local casi vacío, a mejorar. 3 entrantes que incluían ostras (a 5 euros la ostra, buenas, por cierto) : No cambiaron platos ni cubiertos, se desentendieron de servir más vino aunque no estaban nada ocupados...

Precio muy razonable para la comida recibida, unos 60 euros por persona con vino, lastima del servicio que no estuvo a la altura ni en la asignación de una mesa muy pequeña ""de dos"" cuando había ( e iba a haber, por la hora) muchas mesas de 4 vacías y los otros detalles mencionados.

Quizá vuelva, pero sólo si somos 4 personas como mínimo.",2134,,,Escrita el 14 de enero de 2026,,"Madrid, España",,,,,,,,,,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
1776249582-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Sitio recomendable,Daniel B,"Buenas elaboraciones, buen vino y muy buena atención. Un sitio tranquilo donde comer bien. Totalmente recomendable.",97,,,Escrita el 8 de diciembre de 2025,,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3d/ec/53/daniel-b.jpg?w=100&h=-1&s=1,
1776249582-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Entre vino y comida, una mezcla perfecta",Adviseman,"La comida es muy original y de calidad (todos los platos sin excepción salieron muy ricos: destacan las sardinas, la hamburguesa y el crumble de manzana). No me suele gustar la cocina tipo fusión en realidad, pero aquí, ha sido todo un acierto, los sabores son muy equilibrados, y se nota la calidad de los productos. El servicio de 10, desde los camareros hasta los sommeliers. La bodega, a perderse. Y la recomendación del sommelier, un acierto. Total, una muy buena relación calidad-precio. Igual el lugar es un poco ruidoso - por lo menos para esta primera experiencia donde había grupos grandes cenando a nuestro lado -, pero a pesar de eso, no quito ni una estrella a la valoración: ha sido una experiencia de 10. Volveremos! Por cierto, mejor reservar.",42,,,Escrita el 22 de noviembre de 2025,"Reservar, y dejarse llevar.","Madrid, España",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/cf/d7/e8/caption.jpg?w=300&h=300&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/63/avatar041.jpg?w=100&h=-1&s=1,
1776249582-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Hay que ir,Cesar I,"Excelente comida y vinos, la jefa de sala excepcional y los  sommelier excelentes en general la experiencia es insuperable",5,,,Escrita el 22 de noviembre de 2025,,5 contribuciones,,,,,,,,,,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,
1776249582-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Aprendimos de vinos, y apreciamos su cocina.",joaquín O,"Nos atendió Ángel, quién  muy atento, con brevedad pero con verbo fluido.
Que imaginación para expresar con palabras los olores, sabores y sensaciones, que ofrece cada vino que probamos. Aviso del problema: Necesitas volver a menudo!
Comimos muy bien, éramos 4 y probamos muchos platos, podemos decir que la cocina es muy buena.",1,,,Escrita el 7 de noviembre de 2025,"Si vas a Madrid y quieres aprender cómo apreciar vinos, y probar buena cocina debes ir a SA VIDA, en Dr Fleming 5","Cáceres, España",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,
1776249582-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Excelente, recomendadisimo",Wander10077992941,"La verdad es que fue una experiencia maravillosa, nos atendieron los dueños (nosotras llegamos tarde, fuimos 3 amigas) pero de todas maneras, nos permitieron comer y nos atendieron de una manera muy calida, no nos presionaron en ningun momento. La comida es espectacular, nada que decir, todo muy sabroso la porcion justa, y todo estaba muy delicioso desde el plato de fondo hasta el postre, el vino muy bueno... pero fue maravillosa la atencion y en general una experiencia muy agradable, apenas podamos volveremos. 1000% recomendadisimo!!!

Comimos jiaozi de pollo, el solomillo de ternera y hamburguesa, tatin de pera, torrija y volcan de chocolate. Todo espectacular. Agradecidisima!!",2,,,Escrita el 15 de octubre de 2025,"Tratar de llegar (al menos en la noche), antes de las 10 pm",2 contribuciones,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/67/c7/18/caption.jpg?w=300&h=300&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,
1776249582-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Esperaba algo mejor,Dario L,"Elegí el lugar debido a las críticas anteriores. No he quedado satisfecho. 
El lugar es bonito. Aprecié la terraza exterior. El personal es bueno. La comida ha sido decepcionante. Realmente no me gustaba un curso de carne caro. Porciones eran así y así: En España suelen ser más abundantes, así como la factura es más barata. Pagué una cantidad que no esperaba. Hay una amplia selección de vinos y es evidente la competencia del propietario en la materia.",249,,,Escrita el 9 de octubre de 2025,,"Milán, Italia",,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/c6/8a/85/irondario.jpg?w=100&h=-1&s=1,
1776249582-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Fabulosa cena y vinos,Stephen_ArlingtonVA,"Llegamos temprano y tuvimos nuestra elección de mesa en la parte exterior del restaurante. Ángel fue excelente en la selección de vinos para nosotros (comenzando con C’an Verdura de Mallorca y progresando a Cupani de Rioja). La comida era uniformemente excelente, pero las erupciones y el cerdo cocinado lentamente iban a morir. La torrija era nuestro postre favorito. Platos realmente deliciosos, recomendaciones maravillosas, y un gran Servicio.",113,,,Escrita el 6 de octubre de 2025,,"Arlington, Virginia",,,,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f4/c7/62/stephen-arlingtonva.jpg?w=100&h=-1&s=1,
1776249582-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Excelentes tapas y vino,RazNe,Un grupo de nosotros probamos prácticamente todo en el menú. No es un extenso menú de tapas. Todo fue excelente. Muy buena selección de vinos también. Servicio increíble. Bien hecho.,623,,,Escrita el 4 de octubre de 2025,,"Londres, Reino Unido",,,,,,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/6d/dd/62/razne.jpg?w=100&h=-1&s=1,
1776249582-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Vinos y buena cocina,Juan A. López,"Nuevo restaurante en Madrid (Mayo 2025), pero con experiencia previa en Ibiza y Mallorca. Muy buena carta de vinos,  más de 800 referencias, y más de 100 vinos por copas. Carta bien estructurada, con platos creativos mediterráneos. Quizás falta de algún plato más de pescado. El sumiller, atento y cercano, hace posible una experiencia muy buena. Para volver.",1723,,,Escrita el 17 de septiembre de 2025,,"Murcia, España",,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/22/c3/38/caption.jpg?w=300&h=300&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/22/9f/99/v1785mzjuanl.jpg?w=100&h=-1&s=1,
1776249582-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Más de 100 vinos por copa!,Heidi L,"Acabo de descubrir este restaurante nuevo en Madrid y me ha encantado. La comida es de muy buena calidad, con platos sabrosos y bien presentados. Pero lo que lo hace especial de verdad es su carta de vinos: ¡más de 100 referencias por copa! Hay vinos de todo el mundo y el dueño sabe muchísimo, te recomienda con acierto y sin agobiar.

Además, tienen un reservado precioso y bastante amplio, ideal para cenas con amigos o celebraciones más íntimas. Da gusto encontrar sitios así, con buen ambiente, buena comida y una pasión real por el vino. Volveré seguro.",1,,,Escrita el 13 de julio de 2025,"Recomiendo si te gusta el buen vino, el dueño es experto en aconsejarte y además puedes comprar vino para llevar a casa.",1 contribución,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,
1776249582-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Fantástica joya oculta,Michelle H,Estábamos buscando un buen lugar para comer a poca distancia de nuestro hotel Barcélo Imagine. Encontramos una crítica fabulosa para Sa Vida y la experiencia personalizada dada por su sumiller y propietario. Nos encantó la comida y recomendaciones de vinos y maridajes. Fue muy agradable charlar con Angél y escuchar sus historias de comida y vino.,8,,,Escrita el 15 de junio de 2025,,8 contribuciones,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2c/99/87/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/2c/99/88/caption.jpg?w=300&h=300&s=1,,,Traducido automáticamente,,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,
1776249582-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Súper recomendable,Glez1987,"Nos ha encantado esta nueva apertura en Chamartín. Fuimos un grupo de amigas y desde el local, que es muy agradable, hasta la comida, que es espectacular, pasando por los vinos (Ángel es un sommelier excepcional). Lo recomiendo absolutamente.",4,,,Escrita el 7 de junio de 2025,"Dejaos guiar por las recomendaciones de Ángel, el dueño.",4 contribuciones,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/16/fa/3d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/16/fa/3e/caption.jpg?w=300&h=300&s=1,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,
1776249622-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Precioso,Hyojin J,El mejor lugar para comer fuera! El propietario recomienda un maridaje perfecto con su selección de tapas. Sin duda volveremos para esta experiencia,1 contribución,1.0,Escrita el 23 de enero de 2025,,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Traducido automáticamente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Cena muy buena,Belkis A,"Buena comida excelente personal muy atentos y amables siempre hemos cenado muy bien y súper recomendado 
Todo muy bueno","Ibiza Ciudad, España",1.0,Escrita el 15 de diciembre de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,1 contribución,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/46/27/b2/piecerro.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Cena para dos,katherine v,"Amplia variedad de vinos, comida de calidad y buena atencion. Recomendable para paladares exigentes. La tarta de queso y el steak tartar a destacar!!",1 contribución,1.0,Escrita el 15 de diciembre de 2024,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/58/3e/96/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Espectacular,Javier G,"Estuvimos en Sa Vida y nos encontramos con un servicio impecable de parte de Valentina. Siempre es maravilloso encontrar a alguien con el conocimiento profesional tanto de los platos así como su increíble bodega de 800 refencias con vinos de toda la geografía española entre otras.
Mil gracias y más pronto que tarde hasta la próxima vista.",1 contribución,1.0,Escrita el 14 de diciembre de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,"Trato excelente, buena calidad y amplia carta de vinos",Sauret P,"Trato excelente y comida con mucha calidad. Sorprendidos con la amplia variedad de vinos de todas las denominaciones de origen españolas, incluso francesas e italianas y bien aconsejados por alguien entendido en vinos. Totalmente recomendable, volveremos seguro.",2 contribuciones,2.0,Escrita el 8 de diciembre de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,De lo mojotcito en Ibiza,Pioneer65440239972,"Un sitio estupendo, con una amplia variedad de vinos y comida espectacular, el servicio de 10 muy amables y atentos, el local muy acogedor, volveremos",1 contribución,1.0,Escrita el 8 de diciembre de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Nuevo restaurante favorito,Carolina L,"En pleno centro de Ibiza da gusto encontrar un local con comida de calidad y un trato super cercano. Amplia variedad de vinos (incluidos los de nuestra tierra, Canarias) y una carta con platos muy sabrosos y cuidados.",1 contribución,1.0,Escrita el 7 de diciembre de 2024,,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0,,,,,
1776249622-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,Comida de sábado,Mónica Jiménez,Todo muy rico y especial! Se nota que esta hecho con cariño y dedicación. El personal muy amable y atento. Repetiremos sin duda!,3 contribuciones,3.0,Escrita el 7 de diciembre de 2024,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
1776249622-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9995723-Reviews-Sa_Vida_Wine_Restaurant-Madrid.html,El mejor sitio para comer en toda Ibiza.,Natxo P,Mi sitio favorito en toda la isla. Cualquiera de los platillos de la carta es una delicia y una experiencia. Os sugiero que pidáis recomendaciones al personal y os dejéis sorprender. Y dejad hueco para el postre.,1 contribución,1.0,Escrita el 5 de diciembre de 2024,Dejaros recomendar platillos por el personal.,Calidad/precio,Comida,Servicio,Ambiente,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,Leer más,0,,,,,
