web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,image3,image4,image5,position,name,data17,data18,data19,data20
1776262198-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida mejor que buena,Ana S,"Hacía mucho tiempo que no encontraba un lugar donde comida y atención fuese tan extraordinaria. Una grata sorpresa, comida con elaboración exquisita. Mil gracias por hacer que una velada con amigos, fuese genial",1 contribución,1,Escrita el 23 de diciembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,"Probarlo todo, es increíble","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,
1776262198-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Cena Navidad con amigos,ÁNGEL G,Sitio agradable con una cocina creativa elaborada con platos que no son habituales en la zona y a  buen precio. Fimos 9 personas a cenar por navidad y quedamos muy contentos.,1 contribución,1,Escrita el 23 de diciembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,
1776262198-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Volveremos,Juanjo E,"Comida elaborada y muy rica. Volveremos. 
La oreja crujiente super buena y la tempura de algas sorprendente. Muy recomendable",1 contribución,1,Escrita el 16 de diciembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,,,,,
1776262198-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Todo bien, recomendable comer alli",Richard,"La comida muy rica, con un toque especial en cada plato. El menú del día está bien. La tarta de queso espectacular. La atención perfecta.  En mi opinión recomendable.",73 contribuciones,73,Escrita el 10 de diciembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España",Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/b2/f8/66/richard-garp.jpg?w=100&h=-1&s=1,,,,,,
1776262198-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida muy rica,maribel s,"Salimos muy contentos nos encantó la comida y tenemos que volver a probar otros platos. Somos del barrio y no lo conocíamos, encantados de tener un sitio chulo donde llevar a nuestra familia y amigos.",1 contribución,1,Escrita el 10 de diciembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,,,,,,,,,,,
1776262198-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Nos encantó,Resort59742780105,"Me encanta este restaurante.
La comida está riquísima, mucha variedad y  el servicio genial.
No ha sido nuestra primera vez y seguiremos volviendo",1 contribución,1,Escrita el 26 de noviembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,
1776262198-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Gran Producto, exquisito cocinado y muy buen servicio",Martin A. A,Hemos ido varias veces ya y hemos probado varios de los platos de su carta y la opinión es siempre la misma. Un gran producto y una forma de cocinarlo que potencia todos sus sabores. El servicio es genial y sobre todo con los consejos que aporta el responsable. Por lo tanto genial en todos los sentidos.,12 contribuciones,12,Escrita el 26 de noviembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,12 contribuciones,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,,
1776262198-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Buena comida , recomendado",Rafael3000,"La comida es buena y muy creativa, los platos del menú especial son una buena opción por el precio y la calidad. La comida por la carta las raciones son muy pequeñas , hay que pedir con entrada para no quedar con hambre. Fuimos 2 personas y pusieron 1 sola rodaja de pan. Las muchachas que atienden son poco amables, deberían mejorar, mientras que el señor si es amable. Deberían actualizar algunos platos, ya que el que me dieron estaba roto. Los postres estaban muy buenos. El ambiente está agradable. Precio por persona entre 18 y 28€.",956 contribuciones,956,Escrita el 14 de noviembre de 2024,,,,,,,"Santa Clara, California",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/20/a5/9e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/20/a5/9f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/20/a5/a0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/20/a5/a1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/44/15/d2/rafael3000.jpg?w=100&h=-1&s=1,,,,,,
1776262198-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,No hay elección mala,Alvaro C,"Tortilla, pulpo, ensaladilla, costilla, tartar de salmón, tartar de vaca, entraña, tiramisú y tarta de queso

Y repetiría otra vez lo mismo porque no había plato flojo",1 contribución,1,Escrita el 12 de noviembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,,,,,,,,,,,
1776262198-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Para sorprender y sorprenderse,Guide68612125446,"Cocina innovadora, para todos los gustos, servida con presteza y atención esmerada, en una zona despejada y rodeada de parques en plena Villa de Vallecas",1 contribución,1,Escrita el 10 de noviembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,
1776262198-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Con ganas de más!,María L,"Hace una semana que fui allí con mis amigas a comer y la verdad que estamos deseando repetir 😊.
Somos de la zona y queríamos probar algo distinto y dimos en el clavo!
Todo tiene un sabor diferente, mejorado, platos de categoría y elaborados con un toque particular que hace que todo te sorprenda en el paladar y quedes con ganas de más.
Pedimos 7 u 8 platos para compartir y la oreja se llevó el 🥇.
A nivel de precio más caro que lo que te puedes encontrar por el barrio, pero acorde a la calidad y barato si este restaurante estuviera en otra zona.
Experiencia magnífica que deseamos repetir en breve.",1 contribución,1,Escrita el 9 de noviembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,
1776262160-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,,,,,,,,,,,,,,,,,,,,,,,,,,
1776262160-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Muy bien,Sheila Carolina C,Un lugar muy bonito donde hemos comido muy bien. Todos los platos estaban buenísimas y bien presentados.  Los camareros simpáticos.,1 contribución,Escrita el 14 de marzo de 2026,,"Madrid, Colombia",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,,,,1.0,,,Leer más,0.0,
1776262160-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Experiencia excelente, tanto para menú diario como para ocasiones especiales",Anahi G,"Nos ha encantado. Hemos comido el menú de siete pases por un precio muy razonable y no podemos salir más sorprendidos, para bien. Los platos son originales, creativos y sabrosos; un 10.

El servicio fue muy rápido, a pesar de estar casi llenos. Además, se nota que prestan atención a detalles que a veces se olvidan en otros sitios, como la calidad del pan chapata que nos sirvieron para acompañar o el aperitivo previo (o la amabilidad de quien te sirve).

Es un lugar perfecto tanto para ir de forma recurrente como para ocasiones especiales; se adapta a todo.",6 contribuciones,Escrita el 3 de marzo de 2026,,6 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,6.0,,,Leer más,0.0,
1776262160-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Sorprendente,Maria,"Un restaurante muy original por si propuesta. Bien elaborado, y bien atendido. Es un acierto lo que ofrecen",4 contribuciones,Escrita el 20 de febrero de 2026,,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,4.0,,,Leer más,0.0,
1776262160-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Algo decepcionado,Luis Abelardo J,"Llevaba tiempo queriendo ir y salgo algo decepcionado.  Las gyozas muy buenas, la tortilla también. Sin embargo, el lomo con el precio que tiene, no está a la altura. Una recomendación,  si me gasto 50 € por persona, espero servilletas algo mejores y que me cambien los cubiertos entre entrantes y principales. Esos detalles desmerecen cosas que están muy bien.",2 contribuciones,Escrita el 20 de febrero de 2026,,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,2.0,,,Leer más,0.0,
1776262160-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,GRAN EXPERIENCIA,Ignsanz3,"Cada vez que vamos es una gran experiencia. La comida siempre está excelente, tanto en sabor, como en cantidad como en el tiempo en el que se sirve, además bastante innovadoras las recetas. El trato al cliente es excepcional por parte de todas las personas del restaurante, siempre muy atentxs, educados pero cercanos. Solemos repetir, pero lo haríamos muchas veces más.",1 contribución,Escrita el 20 de febrero de 2026,,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,1.0,,,Leer más,0.0,
1776262160-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,San Valentín,Wa T,"Mejor decisión no pude haber tenido, celebrar San Valentín en tan excelente restaurante ha sido una experiencia fenomenal, desde la llegada el servicio por Dome, la chica que nos atendió esa noche fue muy agradable y sin duda el equipo encabezado por José Antonio.
Comida exquisita, ambiente inigualable y atención de primera. Recomendable a ojo cerrado",1 contribución,Escrita el 20 de febrero de 2026,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,1.0,,,Leer más,0.0,
1776262160-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Si reservas, no lo hagas en terraza o te moriras de hambre",LUIS F,"Negativo. Reserve en terraza y me pusieron al aire libre, despues de 1 hora me dan mesa. Dos menús 90 euros, me quede con hambre.",1 contribución,Escrita el 18 de febrero de 2026,"Ahora digamos la verdad. Reservaste en la terraza al aire libre, probablemente por error. No te gustó lo que habías reservado tu mismo. Aunque estábamos completos en interior, te ofrecimos una mesa en tu nueva ubicación preferida, en cuanto quedara libre alguna, ante tu insistencia, por hacerte el favor y para que no te quedaras sin comer, aunque el restaurante estaba completo.
En cuanto una mesa quedo libre te la ofrecimos, la ocupaste, te ofrecimos nuestra cocina, aunque ya estaba cerrada, cocinamos para vosotros. Y tú como agradecimiento nos clavas esta reseña en el corazón. Muchas gracias señor, calidad humana en su máxima expresión.",1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 21 de febrero de 2026,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,1.0,Amordmadre,Leer más,Leer más,0.0,
1776262160-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Inesperado,Santiago Denia Picazo,"Un buen restaurante con una amplia carta de comidas y de vinos, disfrutamos de varios entrantes, todos muy ricos, algunos un poco escasos, en cuanto al vino no coincidia el servido con el que se detallaba en la carta, no obstante estuvo rico, un muy buen servicio y una relación calidad precio algo elevada.",1704 contribuciones,Escrita el 15 de diciembre de 2025,,"Águilas, España",Calidad/precio,Ambiente,Servicio,Comida,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/c0/db/ec/santiago-d.jpg?w=100&h=-1&s=1,,,,,1704.0,,,Leer más,0.0,
1776262160-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Buenísima experiencia.,yupiyu p,"Totalmente recomendable.
El trato, la atención, la presentación y la comida van de la mano. 
Si quieres ir, querrás volver.",1 contribución,Escrita el 7 de octubre de 2025,,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,1.0,,,Leer más,0.0,
1776262160-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Un sitio de diez,Maria Sol A,"Siempre salimos muy contentos, un restaurante de diez el trato genial y la comida estupenda, el último día comimos menú que siempre tiene mucha variedad y está riquísimo.
Un sirio muy recomendable.
!!!!!  Volveremos !!!!!",1 contribución,Escrita el 7 de octubre de 2025,,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,1.0,,,Leer más,0.0,
1776262160-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Excelente lugar que no debes dejar de acudir.,Francisco Javie... F,"Suelo ir con cierta frecuencia, es un sitio maravilloso, donde todo es de 10.  Desde que llegas y el trato de todo el personal, la variedad de los platos, el sabor y la calidad de los mismos es espectacular; El menu es muy economico y tremendamente bueno!! si vas no dejes de pedir el yogur, el destinto de verano, todo esta exquisito!",1 contribución,Escrita el 6 de octubre de 2025,,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,1.0,,,Leer más,0.0,
1776262160-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,absolutamente increible!. Vale la pena ir a esta zona solo por visitar el Restaurante.,Syseus,"vaya experiencia agradable. Fuimos al Zoo de Faunia y luego para comer buscamos un Restaurante en la Zona. y vaya elección! comimos en la terraza. eramos 6 ( incluyendo a 1 niño) . Nos sentamos en la terraza. la comida es para dejarte con la boca abierta. tempura de langostinos con salsa kimchi, empanadas de berenjenas. steak tartar. tartar de bonito,. cada plato más bueno que el anterior con excelente combinación de materias primas y salsas orientales, soja, etc. el servicio muy bueno y el sheriff del sitio que se llama Jose Antonio ya le dije en persona y se lo repito ahora por escrito que vaya gozada que haya empresarios que montan estas historias en España echándole redaños, ganas y muchas horas de trabajo. Muchas suerte a tu hijo en Miami!",163 contribuciones,Escrita el 22 de septiembre de 2025,,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,163.0,,,Leer más,0.0,
1776262160-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida familiar,Patxi Caballero,"Una bonita experiencia gastronómica. Un servicio espectacular y muy atento, agradable y muy educado. Una cocina verdaderamente maravillosa, sorprendente y excelsa. Para mi gusto la relación calidad/precio es ajustada a la calidad de los productos.",8 contribuciones,Escrita el 26 de mayo de 2025,"Millones de gracias PatxiCaballero, es un gusto leer tus palabras. Vuestro disfrute es nuestro mejor premio. Muchas gracias por compartirlo. Nos encantará volver a sorprenderos muy pronto.",8 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,8.0,Amordmadre,Leer más,Leer más,1.0,
1776262160-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Nunca defraudan, ambiente estupendo.",Nuria L,"Como siempre, excelente. Tras años sin ir, por motivos ajenos al restaurante, he retomado, hasta el punto de ir 3 semanas consecutivas. Es un sitio ideal para reuniones con amigos, trabajo,.. A mí particularmente me encanta la terraza cubierta. En cuanto a los platos, nunca defraudan y entre mis favoritos están las costillas, la entraña, la oreja, las hamburguesas, y muchos más, ya que tienes la posibilidad de cada vez probar un plato nuevo por su gran variedad.",1 contribución,Escrita el 26 de mayo de 2025,"Muchísimas gracias por tus generosas palabras nurial906. ya sabes que con frecuencia podéis encontrar novedades en la carta, nos gusta esté viva y os sorprenda siempre. Nos encantará verte muy pronto distrutando con los que más quieres.",1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,1.0,Amordmadre,Leer más,Leer más,0.0,
1776262160-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Diferente y espectacular,GrandTour18205293126,"Comimos un menú, que tienen los miércoles, jueves y viernes, más que aconsejable por su calidad y su precio.
Otras veces hemos comido a la carta e incluso menús especiales de 7 o 9 pases, son todos los platos muy buenos, hacen un esfuerzo por crear algo diferente en el barrio y lo logran con creces.
El espacio exterior en verano es espectacular.
Pronto volveremos",2 contribuciones,Escrita el 26 de mayo de 2025,"Millones de gracias GranTout18205293126. Diferente es un concepto que nos encanta y si lo unes a espectacular, no puede gustarnos más. Muchas gracias por tu generosidad. Nos encantará verte de nuevo muy pronto.",2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,,2.0,Amordmadre,Leer más,Leer más,0.0,
1776262187-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Comida rica y original,Rosa S,"Era la primera vez que fuimos y comimos muy bien. La entraña, buenísima. Los rollitos de pato nos encantaron y el bocata negro espectacular.
Volveremos.",Escrita el 23 de febrero de 2025,"Muchas gracias rosasS3937OO, La próxima vez trataremos de hacerlo aún mejor. a ver si conseguimos tu quinta estrella! Nos vemos pronto.",2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,Amordmadre,Leer más,Leer más,0,
1776262187-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,"Gran variedad de platos, todo ellos exquisitos",Héctor P,"Fenomenal. Relación calidad precio muy buena. Gran variedad de platos, todos exquisitos, y personal muy agradable y atento",Escrita el 22 de febrero de 2025,Muchísimas gracias h_ctorp216. Es un gusto leerte. Trasladamos tu mensaje al staff de cocina y sala. Nos vemos muy pronto,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,Amordmadre,Leer más,Leer más,0,
1776262187-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Buenas experiencia,Ruben Q,"Sin duda volveré a ir buena comida y buen servicio.Platos muy buen elaborados, cantidades buenas y las camareras muy educadas y serviciales,Jose Antonio siempre pendiente ,sin agobios por su parte,os aconsejo si queréis probar un sitio nuevo por el barrio q no dudéis en acercaros,os sorprenderá.Ruben",Escrita el 22 de febrero de 2025,Muchas gracias por tus amables palabras Ruben y por efusiva recomendación. Nos encantará volver a verte pronto.,1 contribución,,,,,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,Amordmadre,Leer más,Leer más,0,
1776262187-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d18186946-Reviews-Amordmadre-Madrid.html,Riquísimo,Susana S,"Genial para cualquier comida. Súper chulo y acogedor!! Y todo muy muy rico, mejor aún de lo que esperaba! Y personal muy amable y profesional.",Escrita el 13 de febrero de 2025,Muchísimas gracias por tu recomendación susanasD6133BY. Eres muy amable. Esperamos verte pronto.,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Escrita el 5 de julio de 2025,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/de/1e/85/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/de/1e/86/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c3/3e/64/amordmadre.jpg?w=100&h=-1&s=1,,,Amordmadre,Leer más,Leer más,0,
