web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,position,image3,image4
1779688611-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Estupendo sitio con un trato excelente,Jorge G,Hemos comido estupendamente. Muy recomendable. El pollo vindaloo con un picante importante pero soportable. Si os gusta el picante no os defraudará. Las cosas que no pican también son excelentes. Las samosas riquísimas,1 contribución,1,Escrita el 9 de septiembre de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,
1779688611-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Calidad,Monica A,Me recomendaron este restaurante la verdad enos sorprendió todo al momento de entrar el personal muy amables pedimos unos entrantes para compartir de lo mejor y luego plato principal muy bueno recomiendo a todos,16 contribuciones,16,Escrita el 28 de agosto de 2022,16 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,,
1779688611-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Restaurante espectacular,Félix P,"Ha sido una cena en familia, era nuestra primera vez en un restaurante indio y la experiencia ha sido inmejorable. El trato ha sido muy amable, nos hemos dejado aconsejar y todo estaba delicioso. Calidad precio muy buena. Un sitio absolutamente recomendable.",1 contribución,1,Escrita el 12 de agosto de 2022,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,
1779688611-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Bombay en Las Tablas,Pariente,"Sorprendente. Es la primera vez que vamos y nos ha encantado (tip: en la web puedes reservar terraza). Ajustando el picante, te lo ponen como quieras , y puedes disfrutar de una comida india exquisita, con un servicio de diez y un ambiente tranquilo.
Lo hemos probado en pareja pero volveremos con los chiquillos, porque el sitio merece la pena y puedes ir con ellos sin problema (está en una calle peatonal).
Todo un descubrimiento, gracias Arpit!!",175 contribuciones,175,Escrita el 26 de julio de 2022,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/a8/d8/8f/pariente.jpg?w=100&h=-1&s=1,,,,
1779688611-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,RIQUÍSIMO !!!!,Angel M,"No somos muy entendidos de esta cocina pero teníamos ganas de ir porque habíamos leído buenas reseñas y esta cerca de casa....salimos encantados. Comida super rica y atención de 10. Volveremos sin duda porque nos quedamos con ganas de más.
Muy muy recomendable.",12 contribuciones,12,Escrita el 23 de julio de 2022,12 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,,,
1779688611-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Volveremos sin duda!!!!,pdiezsalas,"Muy buena calidad,  cantidad y el sabor de los platos que pedimos excelente. La camarera que nos atendió muy profesional y muy agradable.",2 contribuciones,2,Escrita el 20 de julio de 2022,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1779688611-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,De comida india,Angel R,"el sitio bien, limpio y sin alardes, los camareros simpáticos y aconsejandonos en todo momento, probé el picante medio por el calor y el medio, espero volver y probar el vindaloo",33 contribuciones,33,Escrita el 16 de julio de 2022,"Ávila, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
1779688683-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Santo-cumple,Jose A,"Atención, limpieza, menú degustación excelentes. Lo recomiendo sin dudarlo. El picante pica realmente.","Andalucía, España",1 contribución,Escrita el 16 de julio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,
1779688683-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,,,,,,,Leer ahora,3 días perfectos en Lisboa,"Un fin de semana largo en Lisboa es suficiente para descubrir los mejores barrios de la ciudad, desde las estrechas calles adoquinadas de Alfama y las maravillas del gótico tardío de Belém hasta la playa y los bares de Cais do Sodré. Incluso tendrás tiempo para degustar marisco, admirar artefactos antiguos y bailar hasta el amanecer.",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/7a/66/43/caption.jpg?w=400&h=400&s=1&cx=3008&cy=2000&chk=v1_ad2b0b28b29ee07b13f6,,,,
1779688683-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,De cumpleaños,C. Álvarez,"Atención, limpieza y comida riquísima. Muy recomendable el Paneer Makani y el helado de pistacho  Sin duda, repetiremos.",2 contribuciones,2 contribuciones,Escrita el 16 de julio de 2022,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
1779688683-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Todo muy rico y terraza muy agradable,Nuria D,"Repetiremos Seguro! Súper amables, nos han aconsejado qué pedir y estaba todo riquísimo. Muchas gracias",Madrid,3 contribuciones,Escrita el 13 de julio de 2022,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/a1/9a/ae/arpit.jpg?w=300&h=300&s=1,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1779688683-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,El mejor Indio de Madrid,Ichiwolf,"Fuimos 2 parejas el viernes pasado y nos trataron fenomenal los camareros. Muy muy simpáticos, agradables y alegres con muchísima calidad en la atención. La comida de 10 también, una autentica gozada. La cerveza helada y los precios ajustadisimos para una calidad de un nivel superior. Encima nos invitaron a chupitos y la terraza e interior estan decorados con mucha clase, al igual que la cuberteria.

En resumen, que este viernes ya hemos reservado de nuevo porque el antojo no nos lo quita nadie y tenemos ganas de volver a este lugar tan acogedor por el trato tan amable.","Marbella, España",3 contribuciones,Escrita el 13 de julio de 2022,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1779688683-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Ambrosía,victor m,"Dícese del manjar de los dioses. Me he comido el plato más picante, el Murg Vindaloo, y he de decir que a 37° de temperatura a las 22h, es lo único que ha conseguido refrescarme. Explosión de sabores, y el picante sólo para valientes. El resto de platos que he tenido la oportunidad de probar, de lo mejorcito. Un pequeño trocito de la India en Las Tablas. Muy recomendable si os gusta la comida y la cultura hindú.",2 contribuciones,2 contribuciones,Escrita el 12 de julio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,,,,,,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,
1779688683-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Para repetir,Miguel G,"Hemos comido unas pocas de veces y siempre bien. Trato excelente y comida muy correcta, más abundante para llevar.",MADRIS,12 contribuciones,Escrita el 12 de julio de 2022,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,12.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1779688683-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,,,,,,,Explora ahora,Descubre Jordania,Descubre por qué a los viajeros como tú les encanta Jordania,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/4f/c8/54/caption.jpg?w=400&h=400&s=1,,,,
1779688683-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Cena perfecta,Ricardo D,Buenísimo!! Volvería a comer de nuevo. Un muy buen servicio y muy atentos todos aparte de un buen ambiente.,4 contribuciones,4 contribuciones,Escrita el 7 de julio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,
1779688683-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Cena informal,Gorka,"Una cena excelente con gran atención y deliciosa comida. Se nota que todo es casero y con buenos ingredientes, el trato es muy bueno y atento y el local esta muy limpio y agradable. Repetiré sin duda",1 contribución,1 contribución,Escrita el 29 de junio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,,1.0,,
1779688683-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Muy recomendable,Ana P,Comida hindú de gran calidad. Productos caseros y atenciones esmerada. Muy amables y te recomiendan los platos en función de tus gustos ( más o menos especiado) y cantidades. Para repetir!!,1 contribución,1 contribución,Escrita el 26 de junio de 2022,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,
1779688683-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,"REDUFLACION, menos cantidad, mismo precio.",JMVERI,"Por el mismo menú te dan la mitad de comida. El mismo menú que hace 2 años pero las Samosas, el arroz y el Naan (pan hindú) son la mitad de lo que eran. No es normal que un local de aparente cierto nivel haga esto. Entendemos q todo ha subido de precio pero deberían haber subido 1 o 2 euros el menú pero no hacer lo que hacen. Han perdido muchos clientes ejecutivos de alto poder adquisitivo de Las Tablas  por el mismo motivo.","Madrid, España",127 contribuciones,Escrita el 13 de junio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,,127.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/f8/24/f4/caption.jpg?w=100&h=-1&s=1,
1779688683-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Vindaloo cordero y Madrás cordero,Neil L,"Pica como debería. Carne tierna buenas raciones. Relación calidad precio MUY bien. Sitio s
Auténtico gente muy amable. Era un domingo tranquilo.",1 contribución,1 contribución,Escrita el 12 de junio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,,1.0,,
1779688683-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,,,,,,,Leer ahora,12 experiencias y lugares de rodaje emblemáticos de Harry Potter en Londres,"20 años después, la magia del mundo mágico de Harry Potter sigue viva. Tanto si tienes los libros ya gastados como si has visto las películas hasta la saciedad (o ambas cosas; como tiene que ser), como buen fan de Harry Potter no puedes perderte Londres, donde se pueden visitar los lugares de rodaje, las fuentes de inspiración y las atracciones que evitarán que este fuego eterno se apague.",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/dc/15/52/caption.jpg?w=400&h=400&s=1&cx=700&cy=504&chk=v1_99d8403675da1a442f8d,,,,
1779688683-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Comida India,maribel,"Estaba todo riquísimo y la atención de 10, muy atentos y cuidadosos con el servicio, volveré a este sitio la estancia ha sido muy agradable","Madrid, España",3 contribuciones,Escrita el 12 de junio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,
1779688683-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Riquísimo,JOSE LUIS S,"Arpit, como siempre un placer.   Riquísima el Sheikh kebap, o como se escriba... y los curries... 

La terracita no la conocía y es súper agradable.",2 contribuciones,2 contribuciones,Escrita el 8 de junio de 2022,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/d2/4d/3d/caption.jpg?w=300&h=300&s=1,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,
1779688683-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Wowwwwww !!,Emilio ZD,"Muy Agradable  sorpresa descubrir este restaurante en Las Tablas.
Comida: REAMENTE RICA, cocinada con cariño y atención al detalle; 
Servicio: MUY AMABLE, atentos y cercanos, sin incomodar en ningún momento y cuidando muy bien los time in.
Sala: ACOGEDORA, mantelería en tela y vajilla de presentación muy elegante.
Primera visita …. VOLVEREMOS !!! 😃","Madrid, España",17 contribuciones,Escrita el 7 de junio de 2022,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,,,,,,17.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,
1779688683-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Cena en pareja,Gonzalo G,"Un restaurante indio por las tablas, muy buena atención, comida muy sabrosa, eso sí, cuidado con el picante, el cordero en su punto. Los helados son espectaculares y además caseros.",6 contribuciones,6 contribuciones,Escrita el 21 de mayo de 2022,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/78/99/09/arpit.jpg?w=300&h=-1&s=1,6.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,
1779688702-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Cena en pareja,Miguel Ángel Sánchez,"La comida buenísima como siempre, y el trato por parte del camarero inmejorable, en todo momento atento y con una gran sonrisa.
Sin duda volveremos pronto.",1 contribución,Escrita el 20 de mayo de 2022,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,
1779688702-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,,,,,,Leer ahora,3 días perfectos en Lisboa,"Un fin de semana largo en Lisboa es suficiente para descubrir los mejores barrios de la ciudad, desde las estrechas calles adoquinadas de Alfama y las maravillas del gótico tardío de Belém hasta la playa y los bares de Cais do Sodré. Incluso tendrás tiempo para degustar marisco, admirar artefactos antiguos y bailar hasta el amanecer.",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/7a/66/43/caption.jpg?w=400&h=400&s=1&cx=3008&cy=2000&chk=v1_ad2b0b28b29ee07b13f6,,,,
1779688702-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Hay que repetir,Juan Pablo A,"Tanto la comida, el sitio y la atención fueron insuperables, por ese motivo le doy 5 estrellas.
Repetiremos sin dudarlo",5 contribuciones,Escrita el 9 de abril de 2022,,,,5 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,5.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,
1779688702-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Menú degustación merece la pena,Lara,"El menú degustación merece mucho la pena, el pollo con queso está riquísimo y las carnes súper jugosas todas.
Las gambas demasiado dulces para mi gusto.",5 contribuciones,Escrita el 12 de marzo de 2022,,,,"Burgos, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,5.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/8a/62/2d/laraafh.jpg?w=100&h=-1&s=1,
1779688702-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,De los mejores hindúes de Madrid,David C,"La comida riquísima y la atención del restaurante perfecta muy recomendable, de todos los restaurantes que hemos probado, siempre volvemos a este",8 contribuciones,Escrita el 26 de febrero de 2022,,,,8 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/37/be/9e/arpit.jpg?w=300&h=300&s=1,8.0,,
1779688702-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Deliciosa experiencia,Patricio M,"Nos encantó el lugar, muy buen servicio y la comida deliciosa y muy bien preparada. Muy recomendable",3 contribuciones,Escrita el 26 de febrero de 2022,,,,3 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/37/44/a0/arpit.jpg?w=300&h=300&s=1,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,
1779688702-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente comida y muy buen servicio.,Andrés C,"Excelentes platos, buenas porciones y muy sabrosos.
Recomendado por amigos y volvería a venir sin pensarlo.",1 contribución,Escrita el 26 de febrero de 2022,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,
1779688702-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,,,,,,Explora ahora,Descubre Jordania,Descubre por qué a los viajeros como tú les encanta Jordania,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/4f/c8/54/caption.jpg?w=400&h=400&s=1,,,,
1779688702-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Para repetir.,Laura C,La comida estaba muy sabrosa. El personal ha sido muy amable. El lugar es acogedor. Volveremos seguro.,2 contribuciones,Escrita el 21 de febrero de 2022,,,,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,
1779688702-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Excelente,jose g,El pollo tandori muy bueno y los curris tambien. Los camareros super amables y atentos. Volveremos seguro!,1 contribución,Escrita el 19 de febrero de 2022,,,,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,
1779688702-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Comida India muy aceptable,Mario G,"Un restaurante bastante auténtico y comida bien elaborada, personal muy amable y atento. No me importaría repetir.",1 contribución,Escrita el 19 de febrero de 2022,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,1.0,,
1779688702-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11655913-Reviews-Arpit-Madrid.html,Exquisitos platos y cálida atención,Javier T,"Muy acogedor y atentos en la atención, nos proporcionaron un ambiente relajado, bien iluminado, ordenado y limpio para degustar unos exquisitos platos típicos hindúes de cuidadosa elaboración y presentación, y charlar cómodamente.
Alguna pega? La zona de comedor más utilizada es un poco fría por las puertas cercanas y los grandes ventanales.
Repetimos todos los años en celebraciones concretas para degustar comida hindu.",1 contribución,Escrita el 15 de febrero de 2022,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
