web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position2,image,image2,image3,data20,data21,data22,name
1777310086-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Recomendable 100%,Cesar S,"Trato y servicio excelente!! Muy buenas hamburguesas, recomendable 100% tanto comidas familiares como con amigos!!","Muchas gracias por tu comentario. Nos alegra saber que disfrutasteis de vuestra visita a nuestro restaurante. Nos encantará veros de nuevo muy pronto.
Saludos.",1 contribución,1.0,Escrita el 21 de julio de 2024,Escrita el 26 de julio de 2024,1 contribución,SteakBurger C,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310086-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Recomiendo a todos.,Odyssey05369198853,"Buena comida (especialmente, trufa de queso derretido) , gran ambiente, ubicación y servicio. 
¡Recomiendo a todos!","Thank you so much for your review. We are pleased to know you enjoyed your meal at our restaurant.
See you soon!",1 contribución,1.0,Escrita el 21 de julio de 2024,Escrita el 26 de julio de 2024,1 contribución,SteakBurger C,Calidad/precio,Ambiente,Servicio,Comida,,,,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310086-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Costillar maravilloso,Stay47171747550,Fiorela nos dió una atención especial. El costillar y la ensalada Cesar estaban riquísimas. Creo que es uno de los costillares más gustosos que he probado,"Muchas gracias por tu comentario. Nos alegra saber que disfrutasteis con nuestros productos y con la atención de nuestra compañera Fiorella. Nos encantará recibiros de nuevo muy pronto.
Saludos.",1 contribución,1.0,Escrita el 11 de julio de 2024,Escrita el 12 de julio de 2024,1 contribución,SteakBurger C,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310086-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Un costillar delicioso,Juan Carlos J,"El costillar estuvo delicioso. Y la atención de Fiorela fue excelente. Si te gusta el costillar, está es una gran opción.","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste con nuestro Costillar BBQ. Estaremos encantados de recibirte de nuevo siempre que desees.
¡Hasta pronto!",5 contribuciones,5.0,Escrita el 11 de julio de 2024,Escrita el 12 de julio de 2024,"Caracas, Venezuela",SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310086-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Agradable,Yiruzky S,"La comida 10/10 y la atención de rocio nos encantó, súper carismática, agradable y atenta la verdad pasábamos de coincidencia por el lugar pero nos encantó, volveríamos.","Muchas gracias por tu comentario. Nos alegra saber que disfrutaste de tu visita a nuestro restaurante. Nos encantará recibirte de nuevo muy  pronto.
Saludos.",1 contribución,1.0,Escrita el 8 de julio de 2024,Escrita el 12 de julio de 2024,1 contribución,SteakBurger C,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,
1777310074-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Atención muy lenta. Sinceramente mejorable. Muy mejorable.,David Joaquin C,"Tras haber pedido la comida y haber recogido la comanda, una hora (60 minutos) hasta tener la comida en la mesa.
Cuando les preguntas si falta mucho, el camarero  hace como que te escucha, para luego no hacer nada: ni preguntar a cocina, ni pedir disculpas, ni NADA.",2 contribuciones,Escrita el 7 de noviembre de 2024,2.0,"David, muchas gracias por tu comentario. Lamentamos mucho que tu experiencia en nuestro restaurante no haya sido satisfactoria. Te pedimos disculpas por el tiempo de espera para recibir vuestra comida. Hablaremos con nuestro equipo de camareros para que estén más pendientes de las peticiones de los clientes. Nos gustaría que nos dieras una nueva oportunidad para demostrarte que lo podemos hacer mucho mejor.
Hasta pronto.",Escrita el 10 de noviembre de 2024,SteakBurger C,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Pozuelo de Alarcón, España","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1777310074-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Muy buen servicio en el steak burger de la castellana la comida muy buena,Raiza M,Excelente servicio la comida Divina en su punto 100% recomendado nelsy y angela las mejores en atención steak burger de la castellana!,4 contribuciones,Escrita el 1 de noviembre de 2024,4.0,,,,,,,4 contribuciones,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/f4/ec/79/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,,,,
1777310074-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Muy agradable experiencia.,Miguel F,"He probado la hamburguesa Melting Cheese y me ha encantado.
El servicio ha sido muy atento y ràpido(Fiorella y Nell).
Todo perfecto.
Volveré.",1 contribución,Escrita el 31 de octubre de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,
1777310074-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Top,Nicolas C,Muy buena atención por parte del equipo y la burger muy buena . Ya he venido varias veces y siempre top . Nos atendió Pilar y muy simpática y atenta.,1 contribución,Escrita el 27 de octubre de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,,
1777310074-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Curiosidad,Mario D,"Atención 10/10
Comida 10/10
Calidad 10/10
Todo excelente, sin duda alguna repetiremos, recomendado el chuletón, exquisito.",1 contribución,Escrita el 17 de octubre de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,
1777310074-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Gran elección para una cena de celebración,Kelly O,Elegimos este restaurante para celebrar nuestro aniversario de bodas. Fue una elección perfecta! La comida era deliciosa y Angela nos cuidó bien. Sin duda recomiendo este restaurante.,1 contribución,Escrita el 16 de octubre de 2024,1.0,,,,Mostrar original,,Traducido automáticamente,1 contribución,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,,,,,
1777310074-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,45min tiempo de espera para la hamburguesa,Sinan F,"Mal servicio, 2 hamburguesas y 2 filetes tardaron 45 minutos, el sabor y la calidad de la comida no importa después de un tiempo de espera tan largo. En realidad no estaba muy lleno, me gustaría ver cuánto tiempo tomaría si este lugar está funcionando a plena capacidad.",2 contribuciones,Escrita el 6 de octubre de 2024,2.0,,,,Mostrar original,,Traducido automáticamente,2 contribuciones,,,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b7/74/a1/caption.jpg?w=300&h=300&s=1,,,,,,
1777310074-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Buena cena,victor l,Muy buena atención y todo muy rico. Sitio tranquilo de estar. Hay pan sin gluten osea que un sitio apto para celíacos. Muy recomendable !!!,6 contribuciones,Escrita el 27 de septiembre de 2024,6.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,6 contribuciones,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/3e/f9/3c/victor-l.jpg?w=100&h=-1&s=1,,,,,
1777310074-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Excelente,María N,"Vinimos de visita a Madrid y nos apareció esta opción para comer porque tenía buena pinta, y es que todo fue excelente. La comida muy buena y una perfecta relación calidad precio. Nos atendió Nel y estuvo muy pendiente de nosotros, se preocupó mucho porque nuestra experiencia en este restaurante fuera óptima. Nuestros dieces",1 contribución,Escrita el 22 de septiembre de 2024,1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,,,,,
1777310074-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,¡Sorprendentemente delicioso!,Emily C.,"La comida era tan deliciosa, nos quedamos impactados! El restaurante es precioso, limpio y accesible. El servicio fue genial, y el camarero fue muy paciente con nuestro español en dificultades.",11 contribuciones,Escrita el 11 de septiembre de 2024,11.0,Thank you so much for your review. We are happy to know you enjoyed your meal at our restaurant. See you soon!,Escrita el 17 de septiembre de 2024,SteakBurger C,Mostrar original,,Traducido automáticamente,11 contribuciones,,Leer más,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6e/ca/89/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1777310074-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Todo perfecto,Giovanni D,Comida excelente y con mucho sabor. No son las clásicas hamburguesas sin alma de otros sitios. A destacar la atención impecable de Rocío! Seguid así!,1 contribución,Escrita el 9 de septiembre de 2024,1.0,"Muchas gracias por tu comentario. Nos alegra saber que disfrutaste con nuestros productos y con la atención de nuestra compañera Rocío. Estaremos encantados de recibirte de nuevo muy pronto.
Saludos.",Escrita el 17 de septiembre de 2024,SteakBurger C,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1777310074-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Atención excelente de Fiorela,Jose Antonio M,"La comida súper rica,en especial la costilla y el chuletón.La atención estupenda en especial Fiorela la camarera.
Lo recomiendo muchísimo.",1 contribución,Escrita el 7 de septiembre de 2024,1.0,"Muchas gracias por tu comentario. Nos alegra saber que disfrutasteis con nuestro chuletón y nuestra costilla. Nos encantará recibiros de nuevo siempre que deseéis.
¡Hasta pronto!",Escrita el 17 de septiembre de 2024,SteakBurger C,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1777310074-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Excelente atención de Fiolela,Claudia,La comida  excelente y la atención perfecta con la camarera  Fiorela y la costilla exquisita y el chuletón súper recomendable y repetiremos gracias,2 contribuciones,Escrita el 7 de septiembre de 2024,2.0,"Muchas gracias por tu comentario. Nos complace saber que disfrutasteis con nuestros productos y con la atención de nuestra compañera Fiorella. Estaremos encantados de recibiros de nuevo muy pronto.
Saludos.",Escrita el 17 de septiembre de 2024,SteakBurger C,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1777310074-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Comida sabrosa!,Mike77,"4 de nosotros fuimos aquí después del partido del Real Madrid. Gran comida y a un precio razonable. Servicio muy servicial. Costillas, filete de solomillo, filete de entrecote y tiras de pollo todo muy sabroso. Sin duda merece la pena una visita!",2 contribuciones,Escrita el 27 de agosto de 2024,2.0,"Thank you so much for your review. We are pleased to know you enjoyed your meal at our restaurant. 
See you soon!",Escrita el 30 de agosto de 2024,SteakBurger C,Mostrar original,,Traducido automáticamente,2 contribuciones,,Leer más,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1777310074-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Buena comida y agradable lugar,Héctor N,"Muy buena la comida y la atención. En particular Rocío ha sido muy atenta y amable. El sandwich de pulled pork lo recomiendo. Pica un poco, pero está muy bueno",2 contribuciones,Escrita el 14 de agosto de 2024,2.0,"Muchas gracias por tu comentario. Nos alegra saber que disfrutaste con la atención de nuestra compañera Rocío. Estaremos encantados de recibirte de nuevo siempre que desees.
Saludos.",Escrita el 27 de agosto de 2024,SteakBurger C,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c6/7e/85/hector-n.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,
1777310023-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Buen almuerzo,andrea v,Fiorella nos atendio super bien!! Delicioso todo,1 contribución,Escrita el 8 de abril de 2026,1.0,,"Lima, Perú",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/fe/1e/andrea-v.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1777310023-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Delicioso y seguiría volviendo,Memphismaxx,La comida era deliciosa y el servicio era increíble. No hay fallas aquí este lugar es fantástico,8 contribuciones,Escrita el 14 de marzo de 2026,8.0,,"Waterloo, Canadá",,,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/d5/7e/49/memphismaxx.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1777310023-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Excelente casa de carne cerca de Barnabeu,Vincent R,"Excelente carne y hamburguesas. Fui mi familia (2 niños) nos encantó. Buen servicio, la gente era acogedor. Lo recomendaría",14 contribuciones,Escrita el 19 de febrero de 2026,14.0,,"Berck, Francia",,,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,0.0,
1777310023-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Delicioso,GTenorioZ,Delicioso!!! Ana y Sol nos atendieron increíble!! Las hamburguesas espectaculares! Y las ensaladas no se quedan atrás! Gracias!,28 contribuciones,Escrita el 28 de octubre de 2025,28.0,,"Ciudad de México, México",,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1777310023-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Súper amables y muy buena comida,Scenic47457188816,"Toda la comida excelente y rapido, la hamburguesa estaba excelente y las papas aún más, volvería cada vez que pueda y la relación calidad precio está perfecta",1 contribución,Escrita el 5 de octubre de 2025,1.0,,1 contribución,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1777310023-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,"Excelente Ambiente y Servicio, pero la Hamburguesa Decepcionado",José,"Excelente Ambiente y Servicio, pero la Hamburguesa Decepcionado

Este es un gran lugar con un ambiente fantástico y un Servicio verdaderamente excelente. El personal fue increíblemente atento y hizo la experiencia del almuerzo muy agradable. 

Sin embargo, el inconveniente significativo fue la calidad de la carne. Para un restaurante llamado ""SteakBurger"", tenía grandes expectativas, pero la empanada no era tan tierna como debería haber sido y contenía demasiada grasa. Es una verdadera pena, ya que la gran ubicación y Servicio merecen un producto de mejor calidad.",11 contribuciones,Escrita el 20 de septiembre de 2025,11.0,,"Lisboa, Portugal",,,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1777310023-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Hamburguesas cocinadas en microondas,OnAir429692,"Calentaron nuestras hamburguesas en el microondas. Experiencia muy desafortunada. Esperábamos con ansias el restaurante ya que tenía una calificación alta, pero desafortunadamente fue decepcionante y decepcionante.",3 contribuciones,Escrita el 5 de julio de 2025,3.0,,"Los Ángeles, California",,,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1777310023-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Exelente comida y muy buen servicio,David G,"Me encanto la comida, me atendio Fiorela con un excelente servicio, fue muy amable y diligente.
La ubicacion del restaurante es perfecta.",2 contribuciones,Escrita el 1 de julio de 2025,2.0,"Muchas gracias por tu comentario. Nos alegra saber que disfrutasteis con la atención de nuestra compañera Fiorella. Nos encantará recibiros de nuevo siempre que queráis. 
¡Hasta pronto!","Bogota, Colombia",Escrita el 4 de julio de 2025,SteakBurger C,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,Leer más,Leer más,0.0,
1777310023-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Muy buena experiencia,paula g,"Una muy buena experiencia, nuestra camarera Fiorela fue un encanto y estuvo todo el rato ofrenciendonos un servicio excelente y con una sonrisa",1 contribución,Escrita el 30 de junio de 2025,1.0,"Paula, muchas gracias por tu comentario. Estamos encantados de saber que disfrutasteis con la atención de nuestra compañera Fiorella. Os esperamos de nuevo muy pronto.
Saludos.",1 contribución,Escrita el 4 de julio de 2025,SteakBurger C,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,Leer más,Leer más,0.0,
1777310023-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Hamburguesa sabrosa,Liam B,"Fiorella ka mejor servicio superior, comida amable y encantadora Estoy deseando el próximo, cuando vuelva a la zona volveré de nuevo. Muchas gracias. .",2 contribuciones,Escrita el 28 de junio de 2025,2.0,Thank you so much for your review. We are glad to know you enjoyed your meal and the service provided by Fiorella. We hope to see you soon.,2 contribuciones,Escrita el 4 de julio de 2025,SteakBurger C,Mostrar original,,,,,Traducido automáticamente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,Leer más,Leer más,0.0,
1777310023-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d26864756-Reviews-SteakBurger_Castellana_89-Madrid.html,Hamburguesas deliciosas y mas...,Alejandro B,"Las hamburguesas y los entrantes espectaculares!!!
ELAYNE ha sido encantadora y acertó 100% con las recomendaciones!!",9 contribuciones,Escrita el 11 de junio de 2025,9.0,"Muchas gracias por tu comentario. Nos encanta saber que disfrutasteis con las recomendaciones de nuestra compañera Elayne. Estaremos encantados de recibiros de nuevo siempre que deseéis.
¡Hasta pronto!","Madrid, España",Escrita el 12 de junio de 2025,SteakBurger C,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,Leer más,Leer más,0.0,
