web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4
1779691811-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Lo han vendido a San Gines....la churrería.,Jorge F,"Una pena, uno de los mejores italianos de Madrid cuando lo regentaban los antiguos propietarios, que si eran Italianos. Ahora, lo han debido de vender a San Gines, si, la churrería de al lado, y tienen hasta paellas.....de esas para los turistas.....un Italiano con paellas...???? con esto se dice todo.
Comimos pizzas y no estaban mal pero nada que ver.
Antes, un sábado, era imposible reservar el mismo día. Ahora tienes todo el sitio que quieras.",1 contribución,1.0,Escrita el 2 de abril de 2023,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,
1779691811-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,"Daba gusto ir, ahora no",Rara 66,"La comida correcta, pero en 25' ventilaos, como k tenían mucha prisa x acabar y la reserva era para las 22, entrante, pizza y foca cía a una pastilla que no moló nada, era uno de mis restaurantes italianos favoritos del centro de Madrid y se acabó un mito, sino queréis currar de esto dedicaros a otra cosa, lo dice un cocinero de profesión, que os vaya bien, pero chaoo",12 contribuciones,12.0,Escrita el 18 de febrero de 2023,Corvera,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,
1779691811-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Frio en restaurante y trato del responsable lamentable e irrespetuoso,Paloma N,"En este restaurante ya habiamos estado y repetimos porque teniamos una buena opinion en general de él. Estuvimos el ultimo fin de semana de enero un grupo de amigos y la primera impresión fue el frio que hacia que era incomodisimo para tener una comida agradable. Al camarero que nos atendió se lo comentamos y nos dijo que estaba el aire estropeado y que ellos eran los primeros que lo sufrian. Llamamos al encargado y nos encendió el aire y se caldeó un poco el ambiente.
Despues de pagar 28 € por cabeza , pedimos la hoja de reclamacion para poner la queja del frio del local y nuestra sorpresa fue el trato que recibimos del encargado al traernos la hoja de reclamacion. Nos dijo que si no habiamos estado a gusto que nos hubieramos ido (es lo que teniamos que haber hecho), que cuando hicimos la reserva que deberiamos preguntar si habia calefaccion y que eramos unos histericos .
Lo minimo que tenia que haber hecho despues de cobrar la cuenta es pedir disculpas por el frio .
En resumen , comida correcta , pero el no sitio no resulta agradable por el frio",1 contribución,1.0,Escrita el 29 de enero de 2023,1 contribución,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,
1779691811-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,No recomiendo,diana45,"Hacia tiempo que no iba y después de casi más de año y medio hoy hemos regresado a este restaurante que para mi era uno de los mejores Italianos por el centro de Madrid .Después de la experiencia de hoy no voy a volver en mi vida .Dentro un frío horrible con la chaquetas puestas y los camareros riendo en nuestra caras y bromeando que no hay luz por esto hace frío .El restaurante es Italiano o era ,,,dentro de la barra el camarero con su teléfono escuchando salsa y bachata a toda potencia y mirándonos como que le debemos la vida ,la comida nada que ver con lo que yo sabía que era ,, entre el trato de los cameros que ha sido horrible del principio al fin y la comida 🥗 que dejó mucho que desear no recomiendo a nadie que lo pruebe .Una gran pena que un restaurante que daba gusto ir se ha convertido en lo que me encontré hoy .",70 contribuciones,70.0,Escrita el 23 de enero de 2023,"Comunidad de Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,
1779691811-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Exquisitez y amabilidad,Lolita,"Comida excelente con 100% productos italianos. Ambiente muy agradable y la atención del personal muy buena, en especial los camareros Michael y Gabriel. Recomiendo probar los Tagliatelle de la Casa y los Gnocci del Bosco. Repetiremos seguro.",5 contribuciones,5.0,Escrita el 21 de enero de 2023,5 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1779691811-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,,,,,,,,Leer ahora,3 días en Cancún,"Es posible que conozcas Cancún por ser un destino recurrente para las vacaciones de primavera, pero es mucho más que su vida nocturna. La ciudad alberga algunas de las mejores playas del Caribe, excelentes lugares para hacer esnórquel y submarinismo y, en las afueras, descubrirás la increíble cultura maya, en lugares como las pirámides de Chichén Itzá. Pero no te preocupes, no necesitas invertir una semana completa para verlo todo. Con tres días tienes tiempo suficiente para hacerte una idea de todo lo que la ciudad te puede ofrecer, desde arrecifes de coral hasta ruinas mayas, mercados locales y discotecas nocturnas.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/b6/98/46/caption.jpg?w=400&h=400&s=1&cx=1000&cy=664&chk=v1_f6e890fe40e6ec6ed122,,,
1779691811-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Buena comida italiana,Rubén V,"Buena experiencia la que tuvimos dos parejas en este restaurante. Platos abundantes y ricos. Atención muy correcta y amable. El único pero por el que no le pongo las 5 estrellas es porque pedimos los Tagliatelle de la casa que llevan boletus, pero no fui capaz de encontrarlos, ya que eran níscalos, por lo demás muy bien. 
Dos platos de pasta y dos pizzas para cuatro, con cuatro postres y salimos súper llenos, comida más que suficiente.",387 contribuciones,387.0,Escrita el 17 de diciembre de 2022,"Santa Marina del Rey, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/68/ef/0b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,
1779691811-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Falta de entusiasmo para un restaurante tan bonito,Raquel P,"Al momento de reservar por teléfono el trato fue excelente. Al llegar, fuimos a la parte de abajo, un sitio bonito y muy acogedor. 
Pedimos dos carbonaras (es un intento de carbonara: pasta calentada al microondas, el huevo se había hecho dando lugar a que la pasta fuera aún más seca, sin dejar un poco de salsa en el fondo del plato), una pizza y unos gnoccis (estos si estaban muy buenos). Primero trajeron los dos platos de carbonara y 10 minutos después trajeron los demás platos. El camarero no nos comunicó en ningún momento la causa de la tardanza de la comida, no nos preguntó cómo estaba, le preguntamos si podía traernos queso pecorino y nos dijo que ese no tenía,  que “solo tenia queso”. Le preguntamos por el wifi y nos dijo “que no funcionaba”. Una atención que dejó mucho que desear, y que no está a la altura del restaurante. Aunque cabe destacar que los demás camareros si parecían agradables y tenían una buena carta de vinos. Esperamos volver un día y poder degustar una cocina 100% italiana porque el ambiente si lo era.",25 contribuciones,25.0,Escrita el 9 de diciembre de 2022,"Cala Ratjada, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/17/9f/e2/caption.jpg?w=100&h=-1&s=1,
1779691811-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Muy buena pasta,Maria GM,"La comida resultó exquisita, los raviolis, la milhoja de berenjenas, los tiramisús. El sitio es muy agradable y Flor lo hace todavía más. Una profesional. Un gusto ser atendida por ella.Repetiremos",49 contribuciones,49.0,Escrita el 15 de noviembre de 2022,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,,
1779691811-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Decepcionante,Mel,"Después de llevar 2 años sin ir,realmente decepcionante. Entrante frío,primer plato frío y seco(sin salsa) y pizza relativamente fría. Antes ponían jamón de parma y ahora jamón cocido. Realmente decepcionante",8 contribuciones,8.0,Escrita el 9 de noviembre de 2022,"Madrid, España",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,
1779691811-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Excelente y super recomendable,Neus,"Hemos estado en este restaurante la pasada semana y volvería mil veces. Las pizzas son brutales, el servicio atento y simpático.
El local es monisimo. Y la parte del sotano te recuerda a una bodega.
Un 10!!",19 contribuciones,19.0,Escrita el 7 de noviembre de 2022,"Navata, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/cd/92/86/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,
1779691811-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,,,,,,,,Explora ahora,Descubre Egipto,Descubre por qué a los viajeros como tú les encanta Egipto,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=400&h=400&s=1,,,
1779691811-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,"Comida buena ,servicio pésimo",Chabe73,"La comida muy correcta ,con sabores italianos .
Pero  aunque el servicio nunca fue estupendo ,porque no son muy simpáticos, está vez sin duda lo hemos notado mucho peor .
Nos pusieron a comer 4 persona en la terraza ,pese a estar la sala de dentro vacía, en una mesa ,que más que para comer 4 ,era para tomar un té, 2 personas .
La atención del personal deja mucho pero mucho mucho que desear   .
No son simpáticos, no son atentos ,no son agradables . .....lamentable ...",1475 contribuciones,1475.0,Escrita el 13 de octubre de 2022,"Vaciamadrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/5c/17/8a/helio2007.jpg?w=100&h=-1&s=1,
1779691811-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Para repetir!!!,PSS,"Fuimos al ver las buenas críticas que tenía por aquí y tienen toda la razón!!! Tomamos pasta y pizza, riquísimo todo y no os olvidéis de tomar el chupito de melonchelo... es exquisito!!! La atención ha sido de 10, gracias a la profesionalidad de Flor.",5 contribuciones,5.0,Escrita el 16 de julio de 2022,"Cádiz, España",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,
1779691811-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Me ha encantado!,Monalisa M,"Restaurante muy bueno

Muy buen trato, comida riquísima. Merece la pena reservar un hueco para probarlo!! 

Los camareros son muy amables y tienen buenas recomendaciones.",7 contribuciones,7.0,Escrita el 9 de julio de 2022,"Barcelona, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/87/c6/e1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1779691811-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Excelente descubrimientl,Lucia P,"Llegamos de casualidad porque teniamos ganas de comer pasta, y realmente un gran descubrimiento! Excelente!!! La pizza no la probamos pero parecia tambien muy buena",93 contribuciones,93.0,Escrita el 3 de julio de 2022,"Montevideo, Uruguay",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/72/25/c4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,
1779691826-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Almuerzo,Ana G,"Excelente almuerzo, todos los platos exquisitos, un trato súper amable sobre todo por parte de Leo que nos atendió en todo momento de una forma excepcional, Trattoria 100% recomendable.",15 contribuciones,,15,Escrita el 21 de mayo de 2022,15 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/78/62/8e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/78/62/8d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/78/62/8c/caption.jpg?w=300&h=300&s=1,
1779691826-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Excelente italiano.,Teresa O,Buen servicio y buena comida . Local encantador en el centro de Madrid.Muy bien  de precio. La pasta  con salsa de la casa es de lo mejor que he comido . Siempre que visito Madrid voy.,1 contribución,,1,Escrita el 19 de mayo de 2022,"Santiago de Compostela, España",Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1
1779691826-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Restaurante bueno y muy centrico,ladycc-307,Italiano donde tanto ensaladas como la pasta esta muy buena. El local es muy bonito y super centrico. El servicio muy amables y rapidos. Teneis que reservar o difícilmente encontrareis mesa,217 contribuciones,,217,Escrita el 1 de mayo de 2022,"Barcelona, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/a0/f7/9b/ladycc-307.jpg?w=100&h=-1&s=1
1779691826-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,De las mejores pizzerias de Madrid,Rubén Rodríguez Martínez,"¡Me ha encantado! Acabamos de ir con la familia y hemos quedado encantados con sus platos y sus productos.

La ensalada de burrata es brutal y la pizza Leonardo (picante) está en un nivel superior.

La relación calidad precio es immejorable y realmente hemos podido degustar comida 100% italiana.

Por cierto, mejor reservar con antelación. 

¡Lo recomiendo encarecidamente!",3702 contribuciones,,3702,Escrita el 15 de abril de 2022,"Vilanova i la Geltrú, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/08/2e/b7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/08/2e/b6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/08/2e/b5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/e1/01/1d/caption.jpg?w=100&h=-1&s=1
1779691826-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Buena Trattoria en el centro de Madrid,Africa M,"Muy buena Trattoria en el centro de Madrid, buena ubicación, muy buen servicio, buena comida y lugar con encanto.",15 contribuciones,,15,Escrita el 29 de marzo de 2022,"Barcelona, España",Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1
1779691826-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Gran acierto,Claudia Valle - Visitas guiadas en Ronda,"De casualidad, buscando una pizzería por el centro de Madrid, topamos con Malatesta y bendito acierto. Pizzas riquísimas, tiramisú casero para repetir, nos invitaron a un meloncello que estaba buenísimo, y el trato no pudo ser mejor. ¡Recomendado al 100%! Amenazamos con volver :)",19 contribuciones,,19,Escrita el 21 de marzo de 2022,"Ronda, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/8d/3f/c3/visitasguiadasronda.jpg?w=100&h=-1&s=1
1779691826-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Trattoria en el centro de Madrid: espectacular!!,Alba,"Acudí a cenar a este restaurante con una amiga, gracias a la sugerencia de una tercera persona. Todo un acierto.

La comida estaba deliciosa. Pedimos espagueti a la carbonara, tagliatelle a la boloñesa y de postre tiramisú. 

El personal muy muy amable; el servicio muy bueno y el local es super bonito, de ladrillo, con unos techos altísimos y un ambiente muy chic.

Relación calidad - precio (para ser Madrid centro) excelente. ¡Repetiré!",344 contribuciones,,344,Escrita el 7 de marzo de 2022,"Galicia, España",Calidad/precio,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/6a/22/c9/alba-g.jpg?w=100&h=-1&s=1
1779691826-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Rica pasta!,JOSE IGNACIO C,"Buena atención. Precios algo elevados y, en nuestro caso, un pésima ubicación, donde la puerta golpeaba permanentemente en mi oído.",44 contribuciones,,44,Escrita el 3 de marzo de 2022,44 contribuciones,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d5/e1/6b/jose-ignacio-c.jpg?w=100&h=-1&s=1
1779691826-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,MUY BUEN LUGAR,Gabriela A,"Muy buena propuesta gastronómica. Bien ubicado con una destacada atención del personal. La atención de Flor se destaca por su simpatía y calidez. Fuimos en dos oportunidades, volveré cuando regresemos a Madrid.",7 contribuciones,,7,Escrita el 27 de febrero de 2022,Montevideo,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/37/e5/73/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/37/e5/72/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/37/e5/71/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1
1779691826-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Espectacular,Victoria34,"Una parada en mitad del camino que merece la pena. Personal encantador, buen ambiente y comida excelente, desde luego repetiremos!",1 contribución,,1,Escrita el 22 de febrero de 2022,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1
1779691826-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Buena,Borja Mallada Pérez,"La verdad es que habíamos pedido una pizza para llevar y he de decir que hemos quedado satisfechos, pizza boloñesa muy rica.",159 contribuciones,,159,Escrita el 14 de febrero de 2022,"Oviedo, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/22/46/33/borja-m.jpg?w=100&h=-1&s=1
1779691826-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d1963635-Reviews-Trattoria_Malatesta-Madrid.html,Excelente comida,Carmen,La comida fue excelente y todos los platos que probamos estaban muy buenos. Y hay que destacar la amabilidad de Flor y de Gabriel que nos atendieron y fueron en todo momento muy amables y eficientes. Un restaurante muy recomendable.,6 contribuciones,,6,Escrita el 8 de febrero de 2022,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/60/0c/16/passenger36760694318.jpg?w=100&h=-1&s=1
