web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,image,image2,image3,image4,data22,data23,data24,data25,data26,image5
1776249140-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Lola Mola Regular,David Castaño,"Puente de octubre con Madrid a tope, reserva en Lola si Mola y llegamos a la hora... sin embargo la mesa no está ni se la espera, la atención por parte del único camarero fue excelente aunque demasiado quejoso por su compañero que no fue a trabajar... por algo parecido a una resaca.

Una vez pasado unos 20-30 minutos nos sentamos en una mesa y cuando ya tenemos la bebida y los platos en la mesa nos preguntan si podemos cambiarnos a otra más pequeña para que entre más gente que estaba esperando fuera. 

El local es muy pequeñito, en los baños apenas se cabe y tienes que tropezarte con los camareros para entrar al baño.  Demasiadas mesas para poco espacio.

La comida, que es a lo que vamos.  Somos 2 adultos y 2 niños, que comen la cazuelita de huevos rotos con jamón.  Los mayores tomamos tacos con gambas, burrata con pesto y alcachofas en tempura.  En general bastante rico todo y bien preparado, es lo que salvó un poco la crítica del restaurante.

Con refrescos, agua, cerveza y sin postres la cuenta salió por 70,80 €, bastante razonable para la calidad y cantidad de la comida.

D","El Entrego, España",5713,,Escrita el 14 de diciembre de 2023,"Estimado David, lamento que su experiencia no haya sido la esperada. Apreciamos mucho sus comentarios y nos gustaría solucionar el problema. Por favor, póngase en contacto con nuestro servicio al cliente.",5713 contribuciones,,Escrita el 8 de enero de 2024,Lola Sí Mola,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/05/86/6b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/af/88/47/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,0,,,,,
1776249140-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Un lugar muy agradable y con comida de fusión con buena materia prima a buen precio,GONZALO O,"A pesar de un mal inicio por un problema con la reserva, gracias a la profesionalidad de Alejandro, quien lo resolvió en poco tiempo, pudimos disfrutar de una muy agradable comida, con nuevos sabores en platos tradicionales. Unas espectaculares Alcachofas en tempura Sobre cogollos de lechuga acompañada de salsa  romesco y huevo de codorniz y trufa, unos muy sabrosos tacos de cochinita (de los mejores que he probado) y un curioso y a la vez exquisito Pulpo rebozado
con salsa de piquillo y patatas revolconas mezcladas en aceite, pimentón dulce y ajo, terminado con lechuga kale frita.","Santander, España",3,,Escrita el 29 de noviembre de 2023,"Estimado Gonzalo, agradecemos tus amables palabras. Nos alegra saber que disfrutaste de nuestra comida y servicio, especialmente de nuestros platos de fusión. Es un placer contar con clientes como tú. ¡Esperamos verte pronto!",3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 15 de diciembre de 2023,Lola Sí Mola,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,0,,,,,
1776249140-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Unos chicos TOP! y una comida deliciosa,RUTH F,"Fuimos a comer un grupo grande (al que se molestaron por adaptar en el local y con las horas) y nos trataron con mimo! y llevabamos  niños pequeños.  No dejaron de explicarnos atentamente los platos, nos sirvieron con buena atencion y mino y la comida estaba buenisima!  Tomamos varios platos , nos recomendaron alguno (como las alcachofas que estaban deliciosas!!) .  Un encanto de gente la que atiende el local! Lo recomiendo!","Burgos, España",163,,Escrita el 28 de noviembre de 2023,"Querida Ruth, estamos encantados de que hayas disfrutado de tu experiencia con nosotros. Nos alegra haber cumplido tus expectativas, especialmente con las alcachofas. ¡Gracias por recomendarnos! Esperamos verte de nuevo pronto.",163 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 15 de diciembre de 2023,Lola Sí Mola,,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/11/87/b6/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,0,,,,,
1776249140-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Sabores nuevos con productos tradicionales,maribel,"Buen descubrimiento. Muy agradable y excelente atención. La comida riquísima y original. Elaboraciones muy sabrosas. No dejes de probar el pan bao con carne mechada, el taco de gambas, las alcachofas y el postre de mousse con maracuyá. Calidad precio  bien y experiencia recomendable. Gracias","Andorra la Vella, Andorra",38,,Escrita el 26 de noviembre de 2023,"Estimada Maribel, agradecemos profundamente tus amables palabras. Estamos encantados de que disfrutaste nuestro menú y la atención de nuestro equipo. Esperamos poder servirte nuevamente pronto. ¡Gracias!",38 contribuciones,,Escrita el 15 de diciembre de 2023,Lola Sí Mola,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,0,,,,,
1776249140-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Pequeño restaurante muy recomendable.,artevcano,"Muy buena su apuesta culinaria. Local chiquito pero muy acogedor.  el chico que nos atendió genial, amable y muy solicito a cualquier necesidad. Sitio muy recomendable y a buen precio. Seguro que volveremos.","Argamasilla de Alba, España",12,,Escrita el 26 de noviembre de 2023,"Estimado artevcano, agradecemos enormemente su amable comentario. Nos complace que disfrutara de nuestra comida y servicio. ¡Será un placer darle la bienvenida de nuevo! Muchas gracias.",12 contribuciones,,Escrita el 15 de diciembre de 2023,Lola Sí Mola,Calidad/precio,Comida,Servicio,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/10/79/ab/lolasimola.jpg?w=100&h=-1&s=1,,0,,,,,
1776249122-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Calidad única en Madrid,Amy P,"Gran ambiente y comida. Gracias Alex por alojarnos sin una reserva. Mi marido es pescador pero no come mariscos así que pidió la ensalada Lola. Fue súper sabroso. Compartimos la burrata, bey good, infundida con una jeringa de albahaca. El filete servido chisporroteando era muy grande. Un tanto espeluznante pero logró conseguir más que suficientes bocados tiernos. Buen condimento salado. Yo recomendaría",It was a pleasure having you! Thank you for the kind review. We're excited to welcome you back for another great experience at Lola!,71 contribuciones,,71,Escrita el 1 de noviembre de 2024,,Redes LOLA SI MOLA,Escrita el 1 de noviembre de 2024,Traducir respuesta,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/f7/5c/03/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/f7/5c/02/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0,
1776249122-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Garantizado para amar!,Frank C,"Nos detuvimos para cenar en base a las críticas de Trip Advisor y no decepcionó. ¡Wow! El servicio era fantástico con el propietario - Alex y la comida era aún mejor. Fue de lejos la mejor paella que tuvimos en todos los lugares donde comemos. Además, los postres eran excelentes. Ve y disfruta del ambiente divertido también.",Your kind words made our day! We're so glad you enjoyed everything and we can't wait to have you back.,"Galesville, Maryland",,68,Escrita el 17 de octubre de 2024,68 contribuciones,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,Traducir respuesta,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/d0/7c/f1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0,
1776249122-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Gran restaurante de barrio,Derek R,"Nos encantó todo! Las gambas al ajillo eran increíbles, y Alex era tan divertido y servicial! El servicio hizo una gran experiencia increíble!",Thank you so much for visiting and sharing your experience with us!,"Boston, Massachusetts",,2,Escrita el 13 de octubre de 2024,2 contribuciones,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,Traducir respuesta,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/0f/ee/c3/q3146jlderekr.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0,
1776249122-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Como la familia,Maiyas A,"Alex era amable y era muy servicial. Se sentó con nosotros y nos explicó los platos y en qué consistían. El restaurante es agradable y pequeño, así que dio un ambiente tan cómodo y acogedor. La comida estaba deliciosa, solo seguimos pidiendo comida.",Thank you for your glowing review! We're so pleased to know you loved the food and service. We look forward to seeing you again soon.,"Milwaukee, Wisconsin",,5,Escrita el 7 de octubre de 2024,5 contribuciones,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0,
1776249122-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Sabores auténticos y calidez italiana: Una joya de visita obligada en Madrid!,Mauro G,"Tuvimos una cena absolutamente increíble en Lola si Mola! El propietario, de origen italiano, es muy amable y nos dio algunas recomendaciones fantásticas sobre qué pedir. Habla italiano perfecto, lo que nos hace sentir como en casa. La comida era creativa, fresca y simplemente deliciosa. Si estás en Madrid y buscas un lugar con un ambiente acogedor y comida de primera, aquí está. Sin duda volveremos!","We're so happy to hear you had a fantastic time! It was a pleasure serving you, and we hope to see you again soon.","Varazze, Italia",,7,Escrita el 4 de octubre de 2024,7 contribuciones,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,Traducir respuesta,Mostrar original,,,,,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/e9/a5/f7/mauro-g.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0,
1776249122-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Sabores inolvidables y servicio excepcional,Lizya,"Fue una experiencia increíble! Todo lo que probamos fue delicioso, especialmente el pulpo, la burrata y las gambas al ajillo. Cada plato era sabroso y muy bien presentado. 

El servicio fue excepcional, con Tonino proporcionando un ambiente acogedor que hizo nuestra visita aún más agradable. Estamos ansiosos por volver y recomiendo este lugar a cualquiera que busque comida increíble!","We’re thrilled that you enjoyed your visit! It’s always our goal to provide a memorable experience, and we’re happy to hear we hit the mark. Hope to see you soon!",7 contribuciones,,7,Escrita el 28 de septiembre de 2024,,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,Traducir respuesta,Mostrar original,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a6/47/ad/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a6/47/ac/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0,
1776249122-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,"Céntrico, con encanto y camareros de 10, pero un poco caro.",Fernando R,"Local pequeño y céntrico, decorado con mucho gusto. La comida está bien y sabrosa, a destacar la burrata con pesto y el patacón. Los camareros unos cracks, super simpáticos. El postre de Macaracuya muy bueno. Una pena que el precio, es algo alto para las cantidades. Sitio recomendable para pasar un buen rato de buen rollo y probar cosas distintas.",¡Mil gracias por tu apoyo! Nos alegra saber que te ha gustado. Tomaremos en cuenta tu comentario sobre los precios. Gracias!!!,90 contribuciones,,90,Escrita el 22 de septiembre de 2024,,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,
1776249122-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Una opción diferente en el corazón de Madrid,Cindy G,El restaurante es pequeño pero acogedor y el servicio excelente; Alejandro el dueño nos recibió y nos sirvió en persona la paella. La burrata con pesto y salsa de tomates naturales de entrada estaba deliciosa. Realmente una excelente opción para comer y pasárselo bonito en Madrid.,Fue un placer tenerte con nosotros. Gracias por tus palabras tan amables. ¡Estamos emocionados de recibirte de nuevo para otra gran experiencia!,2 contribuciones,,2,Escrita el 16 de septiembre de 2024,,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7b/7e/f4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7b/7e/f3/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,
1776249122-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,"Recomendable, buena experiencia",Susana A,"Pequeño local en el barrio de la letras de Madrid. Ambiente agradable y buena carta. La burrata y las alcachofas muy buenas, las patatas bravas no las recomiendo, realmente no son bravas. Posiblemente repitamos para probar el resto de la carta.","Apreciamos mucho tu opinión y tomaremos en cuenta tu comentario, ¡esperamos volver a verte pronto!","Madrid, España",,41,Escrita el 15 de septiembre de 2024,41 contribuciones,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,,,Calidad/precio,Comida,Servicio,Ambiente,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e2/33/d4/susana-a.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,
1776249122-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,¡No te puedes perder Lola Si Mola!,Cindy B,"Este lugar se encuentra cerca del Prado y ofrece un menú ecléctico. Tomamos una deliciosa burrata con una fantástica salsa pesto inyectada y rociada alrededor del queso. La mejor parte fue la reducción secreta de tomate debajo de la cama de la rúcula del bebé. El pulpo estaba genial y el filete chisporroteó a la perfección. Si estás en Madrid, tienes que buscar a Lola Si Mola. La comida no es lo único para mirar hacia adelante a Lola; Alejandro es el mejor anfitrión y sabe hacer la mejor sangría de la ciudad.",It was a pleasure having you! Thank you for the kind review. We're excited to welcome you back for another great experience!,1 contribución,,1,Escrita el 12 de septiembre de 2024,,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,Traducir respuesta,Mostrar original,Calidad/precio,Comida,Servicio,Ambiente,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/72/ab/d8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/72/ab/d7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0.0,
1776249122-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Cocina de autor de lo mejor,Alvaro Fagalde,"Llegamos de casualidad. El lugar no decía nada pero tenía muy buena calificación. Nos sorprendió tanto los platos como la excelente atención de Alex . Absolutamente recomendable. No se pueden perder la burrata, el pulpo , las alcachofas,  tacos y pan bao.","Gracias por tu maravillosa reseña. Nos alegra que tu experiencia haya sido tan positiva, y te esperamos para otra gran comida.","Trinidad, Uruguay",,120,Escrita el 9 de septiembre de 2024,120 contribuciones,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6b/08/a6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6b/08/a4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,
1776249122-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Como Mola Lola!!!,Federico Viñoly,"Un lugar que no se puede dejar de visitar y degustar su excelente  servicio, por la atención recibida y la experiencia gastronómica fusion realizada. Sigan por más medallas!!!! Muchas gracias Alex y todo el equipo!!!","Nos encanta saber que pasaste un buen momento con nosotros. Tu opinión es muy valiosa, y estaremos encantados de recibirte nuevamente.",17 contribuciones,,17,Escrita el 9 de septiembre de 2024,,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,
1776249122-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Muy detallistas con los clientes,Enrique M,"Sitio muy acogedor, buena cocina y el servicio de mesas genial, no se puede ser más agradable. 
Aconsejable cien por cien.","¡Tus palabras nos alegraron el día! Estamos encantados de que todo haya sido de tu agrado, y no vemos la hora de volver a recibirte.",1 contribución,,1,Escrita el 10 de agosto de 2024,,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0.0,
1776249122-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Excelente,cgtrujillourol,"La atención fue rápida. El sitios es  muy bonito y la atención de Alex, 1A. Comimos una Burrata como entrada, que estaba excelente. Los tacos de gamba, excelentes y el lomo  de vaca demasiado bueno. La carta de vinos es limitada, pero muy buena.",¡Gracias por elegirnos! Nos alegra que te haya gustado la comida y el servicio. ¡Esperamos volver a verte pronto!,"Bogotá, Colombia",,64,Escrita el 9 de agosto de 2024,64 contribuciones,Redes LOLA SI MOLA,Escrita el 31 de octubre de 2024,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,1.0,
1776249122-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Espectacular,Joaquin M,"Lo encontramos por la aplicación y no nos ha defraudado. La burrata, el pan bao , las alcachofas.....y el postre espectacular.
La atención del dueño de 10. Muy muy recomendable sin lugar a dudas. Repetiremos cuando subamos a Madrid","Gracias por tu maravillosa reseña. Nos alegra que tu experiencia haya sido tan positiva, y te esperamos para otra gran comida en Lola Sí Mola.",2 contribuciones,,2,Escrita el 1 de agosto de 2024,,Redes LOLA SI MOLA,Escrita el 5 de noviembre de 2024,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/05/7d/8c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,Leer más,Leer más,0.0,
1776249071-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d20266458-Reviews-Lola_Si_Mola-Madrid.html,Un lugar maravilloso,Sandra M,"La comida es deliciosa. El servicio increíble. El propietario Alex es muy atento y también muy agradable. Lo recomendamos encarecidamente. También probaron su sangría. Es maravilloso. Comimos paella, tacos, y nuestro entrante fueron alcachofas. Te arrepentirás.",Thank you so much for your visit. It was a pleasure serving you. We hope to see you again soon at Lola Si Mola.,1,,Escrita el 20 de marzo de 2026,Escrita el 22 de marzo de 2026,1 contribución,,Redes LOLA SI MOLA,Traducir respuesta,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/43/45/c6/dg-e.jpg?w=100&h=-1&s=1,,,Leer más,Leer más,0,,
