web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,position2,image,image2,image3
1775582049-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente lugar y atención,Cherry P,Es mi primera vez que visito este lugar y volveré sin dudarlo además de recomendarlo. Peter es excelente al igual que todos los muchachos que nos atendieron .,2 contribuciones,Escrita el 20 de enero de 2026,2.0,1000000000% recomendado. Gracias Peter por tu amable atención.,Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/40/e0/7c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,
1775582049-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Recomiendo 100%,Camille h,"Comida muy rica, comí un pulpo y la portion estuvo muy bien! El servicio muy bueno!! Muy amables",3 contribuciones,Escrita el 19 de enero de 2026,3.0,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3f/05/90/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775582049-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Bueno,Brian Z,"Buen risotto y servicio. buena ensalada y comida fresca. servicio un poco lento, pero el risotto vale la pena",1 contribución,Escrita el 15 de enero de 2026,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,
1775582049-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Paella deliciosa,ricard0davidv,La paella de mariscos deliciosa y con unos buenos tintos de verano más.,5 contribuciones,Escrita el 14 de enero de 2026,5.0,,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/35/20/a7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,
1775582049-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Buenos precios y deliciosa comida,Carmen T,Fui con mi familia. Los precios están bastante accesibles probamos la ropa vieja y los gambones con ajo deliciosos platos. Un sitio que recomiendo si están por el centro de Madrid.,1 contribución,Escrita el 13 de enero de 2026,1.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,
1775582049-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,"La atención de Peter, lo máximo",Maria Jose C,"Espectacular la comida, y el lugar hermoso, la atención de Peter, excelente, un 1000000 de 10.
100% recomendado.",3 contribuciones,Escrita el 13 de enero de 2026,3.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,
1775582049-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Recomiendo los gambones al ajillo,Rosales,"Vinimos a comer en el centro de Madrid y probamos ropa vieja, y gambones al ajillo. Todo muy delicioso lo recomiendo, y por último probamos la crema de orujo.",4 contribuciones,Escrita el 10 de enero de 2026,4.0,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/8d/0b/99/janne-casilda.jpg?w=100&h=-1&s=1,
1775582049-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Delicioso,María M,"Comida deliciosa y buena atención, para ir a comer tapas en la ciudad cuando estás de visita…. Volvería a ir sin dudarlo..",1 contribución,Escrita el 10 de enero de 2026,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,
1775582049-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Comida rica,jenny e,"El pulpo era muy rica, y las patatas bravas tambien. Voy a volver pronto. 
Bueno ambiente y servicio. Te recomiendo las gambas y el pulpo.",1 contribución,Escrita el 10 de enero de 2026,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,
1775582049-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Muy bueno,Mario H,"Delicioso, la comida muy buena y muy buena atención, comimos varias entradas y dos fuertes, volveremos sin duda cuando estemos por Madrid",1 contribución,Escrita el 9 de enero de 2026,1.0,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,Leer más,,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,
1775581849-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Todo muy bueno,Daniel A,"Excelente trato y buen servicio , todo muy bueno , el chico llamado Andrés genial con la atención. Lo recomiendo para pasar un buen rato",1 contribución,Escrita el 5 de abril de 2026,1.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1
1775581849-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Cena para dos en la terraza.,Edik C,"Una experiencia excelente en todos los sentidos. La calidad de la comida es alta: platos típicos españoles elaborados con ingredientes frescos y con una presentación impecable. Las tapas son abundantes y sabrosas, con una excelente relación calidad-precio.

El servicio es rápido, amable y atento, incluso en horas punta. El ambiente es auténtico, acogedor y con el típico estilo madrileño, ideal tanto para una cena tranquila como para una velada más animada.",1 contribución,Escrita el 5 de abril de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/df/13/ab/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/df/13/ac/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1
1775581849-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,10/10,lea h,Comida deliciosa y cosas increíbles,1 contribución,Escrita el 4 de abril de 2026,1.0,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1
1775581849-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Me encantó aquí!,Maria,Excelente comida y precios razonables. Las porciones eran grandes y el personal era muy agradable.,3 contribuciones,Escrita el 3 de abril de 2026,3.0,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1
1775581849-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Muy recomendable,Jessica B,"Gran ambiente, buena comida y bebidas!",1 contribución,Escrita el 2 de abril de 2026,1.0,,,,,Mostrar original,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1
1775581849-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Lugar super,diegofeather,"Lugar muy bonito y relajado, comida y cockteles muy ricos y e camarero super guapo ;)",11 contribuciones,Escrita el 31 de marzo de 2026,11.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/c4/5d/df/diego-b.jpg?w=100&h=-1&s=1
1775581849-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Buena atención,Maia F,"Muy lindo ambiente y muy rica comida! La atención excelente, específicamente de Osman que nos atendió con muchísima alegría. 100% recomendado",1 contribución,Escrita el 31 de marzo de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/d3/7f/f9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/d3/7f/fa/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1
1775581849-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Cocteles muy buenos,Alejandro Nava B,"Cocteles excelentes y muy buena comida. La atención es maravillosa, los camareros son excelentes. Estoy muy agradecido, seguro que volvere",1 contribución,Escrita el 30 de marzo de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/d1/e7/80/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1
1775581849-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Celebración,Maria Grazia S,Cenamos aquí para celebrar el cumpleaño de mi hermanita Benedicta y aconsejamos esta taberna con camareros muy amables y comida muy buena.,1 contribución,Escrita el 30 de marzo de 2026,1.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1
1775581849-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente atención,Jonathan A,"Muy buena comida y atención, he ido dos veces y las dos veces ha sido muy buena experiencia, la atención del chico osman es muy amable y atento, la comida estaba súper buena, sin duda volvería a ir con mis amigos.",2 contribuciones,Escrita el 29 de marzo de 2026,2.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1
1775581849-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente descubrimiento,Tourist52016434851,"Excelente servicio, rápido, el ambiente agradable, la comida de 10, risotto con boletus y el bacalao excelente.
Los camareros EXCELENTES!!",1 contribución,Escrita el 28 de marzo de 2026,1.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1
1775581849-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Una nueva experiencia,Jhon D,Fui a este restaurante que me recomendaron y la verdad quedé satisfecho muy buena atención del camarero osman muy buen trato,1 contribución,Escrita el 28 de marzo de 2026,1.0,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1
1775581849-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Muy buena comida,Lety S,"Excelente comida y muy buen servicio, la tortilla española fenomenal y la tarta de chocolate !!  También muy buenos los huevos rotos, gambones a la plancha y las croquetas de jamón ! Super recomendable!",10 contribuciones,Escrita el 25 de marzo de 2026,10.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c7/0b/cc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c7/0b/cd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1
1775581849-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Perfectamente bien,tinkers234,"Tuvimos una buena cena aquí con algo de buena comida / tapas, en particular el salmorejo, pero hay mejores lugares en Madrid. El servicio fue amable y rápido. Preciosos cócteles y vinos.",460 contribuciones,Escrita el 20 de marzo de 2026,460.0,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,Traducido automáticamente,,Leer más,0,,,,,,,
1775581849-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Los sabores,Liceth C,Excelente la comida y el personal muy amable,3 contribuciones,Escrita el 20 de marzo de 2026,3.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bc/79/8b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bc/79/8c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1
1775582032-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Muy buena atención,Miguel Angel B,"Sin reserva y en pocos minutos nos hicieron un hueco, camareros muy atentos y amables, precios ajustados y todouy bueno",1 contribución,Escrita el 21 de febrero de 2026,1.0,Calidad/precio,Servicio,Comida,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,
1775582032-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Todo perfecto - comida - lugar - camareros,Louise H,"Vine con mi hermana que estaba de visita en Madrid y nos encantó tanto el lugar como la comida y los camareros
Sin duda regresar con otros de mis visitantes en las próximas semanas 
Muchas gracias",1 contribución,Escrita el 20 de febrero de 2026,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,
1775582032-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Ambiente,michael s,Los camareros burda de panas y la comida está cadela,3 contribuciones,Escrita el 17 de febrero de 2026,3.0,Servicio,Comida,Ambiente,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/73/24/7b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,
1775582032-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Genial,Reina G,"Los camareros fueron muy amables, la comida deliciosa volveré 💓",3 contribuciones,Escrita el 17 de febrero de 2026,3.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/73/23/79/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775582032-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excelente sabor y atención,Adriana M,Excelente sabor y atención. Recomendado,1 contribución,Escrita el 12 de febrero de 2026,1.0,Calidad/precio,Servicio,Comida,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,1,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,
1775582032-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Buena experiencia.,Tarragona,"Tomamos un par de platos, berenjenas fritas y wok de verduras. Las dos cosas estaban muy buenas y la cantidad era también muy correcta.",348 contribuciones,Escrita el 11 de febrero de 2026,348.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/08/4e/1f/tarragona.jpg?w=100&h=-1&s=1,
1775582032-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Excellente dato,Eli,"¡Muy buen dato, tanto por la calidad como por el trato ! Personal muy profesional, acogedor y simpático. ¡Muy buen ambiente y comida exquisita! 
Y lo mejor el postre, igual de bueno que el camarero !",1 contribución,Escrita el 5 de febrero de 2026,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
1775582032-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,"Buena comida, buen ambiente...",Paula,"Se come muy bien, un ambiente familiar y de amigos. Los precios bien y tienen medias raciones para gente que va sola.
Muy recomendable!",8 contribuciones,Escrita el 1 de febrero de 2026,8.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/59/61/9f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,
1775582032-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Buena Paella,FarAway27200101817,"Buen sitio! Muy rica la paella, buena música y ambiente! Lugar fácil de llegar, buenos precios y las bebidas también ricas.",2 contribuciones,Escrita el 1 de febrero de 2026,2.0,Calidad/precio,Servicio,Comida,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/58/a7/f3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,
1775582032-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Un lugar para volver,Mabel d,"Excelente atención, excelente comida. Me encanta, he venido bastantes veces ya y siempre igual, nunca bajan la calidad.",1 contribución,Escrita el 1 de febrero de 2026,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,
1775582032-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Lo recomiendo!!,Victor M,"Todo muy bueno, la comida la han traído muy rápido, precios razonables para la cantidad de comida, tanto en raciones grande como en las pequeñas y los camareros han sido muy amables. Un punto a favor más es lo céntrico que está",2 contribuciones,Escrita el 31 de enero de 2026,2.0,Calidad/precio,Servicio,Comida,Ambiente,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/57/7d/42/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,
1775582032-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Comida típica buena y barata,Aleix I,Todo muy bueno y animado. La comida te llega rápido a la mesa y está muy rica. Los camareros muy amables. Lugar muy céntrico.,1 contribución,Escrita el 31 de enero de 2026,1.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,
1775582032-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Trato genial,David g,"Nos atendió Rebeca, la jefa ya solo pro su trato merece la pena muy simpática y amable.
Comimos 4 personas un wok de verduras, tabla de quesos, croquetas de boletus y el risotto. Y de segundo dos lomos bajos. Tarta de queso y dos cafés. Todo muy bueno. Lo recomiendo.",2 contribuciones,Escrita el 31 de enero de 2026,2.0,Calidad/precio,Servicio,Comida,Ambiente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,
1775582032-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14109792-Reviews-Taberna_El_Sur_De_Huertas-Madrid.html,Todo muy bien,may r,"Hemos cenado muy rico , lomo rico empanadas volveremos, estamos al lado de casa y bueno la prima vez y todo muy bien gracias",3 contribuciones,Escrita el 30 de enero de 2026,3.0,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
