web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,data18,data19,data20,data21,data22,data23,position
1779692082-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Restaurante de obligada visita .,Roberto G,"Fantástico restaurante en todos los sentidos , ubicación en la mejor zona de retiro, sitio elegante bien decorado servicio atento y profesional , y la comida 5 estrellas , cocina exquisita , buenas salsas buen producto .
Mero a la brasa delicioso, arroz con salmónetes perfecto, empanada típica gallega , colas de cigalas.

Carta de vinos extensa y precios moderados , de los mejores restaurantes de Madrid sin duda .",240 contribuciones,240,Escrita el 3 de febrero de 2024,Gracias  por vuestra visita y valoración. Qué alegría leer tus palabras. Y qué felicidad saber que disfrutasteis así de nuestra cocina.Esperamos teneros de nuevo muy pronto. Un saludo.,"Zaragoza, España",GrupoAmicalia,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/59/d6/23/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/59/d6/24/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/59/d6/26/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/59/d6/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/59/d6/27/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/53/56/01/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,2.0,
1779692082-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Fantástico,Kiko Fuentes,"Calidad, excelencia , servicio perfecto . Una gran experiencia , producto top, tratado con cariño y profesionalidad . Siempre entre mis restaurantes preferidos.",107 contribuciones,107,Escrita el 3 de enero de 2024,Gracias Francisco por vuestra visita y valoración. Qué alegría leer tus palabras. Y qué felicidad saber que disfrutasteis así de nuestra cocina.Esperamos teneros de nuevo muy pronto. Un saludo.,"Valladolid, España",GrupoAmicalia,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/24/7b/71/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/24/7b/72/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/24/7b/73/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/55/6b/d4/francisco-f.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,
1779692082-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,"Producto excelente, preparación impecable. Servicio perfecto",Esperanza D,"Bonita decoración, ambiente muy agradable, servicio impecable, profesional y muy atento. Producto excelente, perfectamente preparado; cocina tradicional con toques de modernidad. Disfrutamos de unas riquísimas zamburiñas con salsa de tuétano y migas, gambon con huevo frito y patatas, mero a la parrilla y corvina con escabeche de calabaza, todo exquisito. El soufle de limón, una delicia. Y no perderse el vermout casero, con un sabor muy original y buenísimo. Absolutamente recomendable!!",1440 contribuciones,1440,Escrita el 12 de diciembre de 2023,Gracias Esperanza por vuestra visita y valoración. Qué alegría leer tus palabras. Y qué felicidad saber que disfrutasteis así de nuestra cocina.Esperamos teneros de nuevo muy pronto. Un saludo.,"Zaragoza, España",GrupoAmicalia,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/5f/80/c9/esperanza-d.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,Escrita el 17 de mayo de 2024,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,
1779692082-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,"Gran gran restaurante, aspirante a estrella Michelin",mario g,"muy bueno, buen producto y muy atentos, espectacular los carabineros.
El camarero nos recomendó un buen vino y nos dio todo tipo de explicaciones sobre los platos.",182 contribuciones,182,Escrita el 3 de noviembre de 2023,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,"Madrid, España",GrupoAmicalia,,Calidad/precio,Ambiente,Servicio,Comida,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,
1779692082-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Todo riquísimo,JORGE,"Magnifico restaurante cerca del retiro, fachada pequeña pero grandísimo por dentro con varios salones y un gran equipo de profesionales, la materia prima de primer nivel ,cocina abierta y el trato al comensal es muy agradable y cercano , un lugar para volver sin duda .",531 contribuciones,531,Escrita el 5 de septiembre de 2023,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,"Aguadulce, España",GrupoAmicalia,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/40/c9/f5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/40/c9/f6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/40/c9/f8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/40/c9/f7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/40/c9/f9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6b/b1/c4/j0m0be62.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,3.0,
1779692082-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Buena comida,Sightsee05979286843,"Me encantó el sitio, comida de muy buena calidad y la presentación excelente. Muy buena calidad precio",1 contribución,1,Escrita el 13 de agosto de 2023,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,1 contribución,GrupoAmicalia,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,
1779692082-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Sorpresa de cocina gallega.,javier20172017,"Fuimos por primera vez y quedamos gratamente sorprendidos, conserva lo autentico de la cocina gallega, con toques muy imaginativos y con muy buen resultado.
El servicio impecable, la comida de ""10"", volveremos sin duda.",19 contribuciones,19,Escrita el 7 de agosto de 2023,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,"Sant Feliu de Guixols, España",GrupoAmicalia,,Calidad/precio,Ambiente,Servicio,Comida,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a2/2e/40/javier20172017.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,0.0,
1779692108-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Materia prima de calidad,mario g,"Sitio muy recomendable, donde prima la.buena calidad del producto , cocina sencilla y se calidad, riquisimo el huevo con carabineros y la merluza. Muy atentos y amables explicando el vino elegido, tienen opción menú degustación con maridaje. Muy amplia carta de vinos.
Genial para darte un capricho con tu pareja o como cómoda de trabajo.",182 contribuciones,182,Escrita el 3 de agosto de 2023,"Madrid, España",GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,Calidad/precio,Servicio,Comida,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/f0/1c/97/caption.jpg?w=300&h=300&s=1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,,Leer más,Leer más,0,,,
1779692108-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,"Lugar, comida y trato. Muy recomendable.",MONICA B,"Me gustó todo, la comida excelente especialmente las zamburiñas y la merluza, el sitio muy acogedor y el servicio muy atento recalcando a Jaime por su profesionalidad y simpatía.
Muy recomendable!",2 contribuciones,2,Escrita el 17 de julio de 2023,2 contribuciones,GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,,,,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,,Leer más,Leer más,0,,,
1779692108-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Experiencia fantástica: Comida y Servicio de 10!,Javier A,"Extraordinaria experiencia con un servicio impecable, la comida fabulosa y todo muy recomendable. Destacar la merluza, es increible!!!!",37 contribuciones,37,Escrita el 2 de julio de 2023,"Madrid, España",GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,Calidad/precio,Servicio,Comida,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,
1779692108-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,¡Una experiencia gastronómica excepcional en Alabaster Restaurante!,Maria Laura Ortiz Chiavetta,"Recientemente tuve el placer de asistir a una presentación de Errazuriz de Chile en Alabaster Restaurante y quedé impresionado por la calidad y el sabor del menú que nos sirvieron.

Gracias a Gabi Lucas por la organización y a la conducción de Cees Van Casteren MW.
El menú, diseñado especialmente para complementar los vinos de Errazuriz, fue una delicia para los sentidos. Cada plato estaba cuidadosamente elaborado, resaltando los sabores y la frescura de los ingredientes. Desde los entrantes hasta los postres, cada bocado fue una experiencia culinaria extraordinaria.",86 contribuciones,86,Escrita el 20 de junio de 2023,España,GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,Calidad/precio,Servicio,Comida,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/86/03/c9/marialauraortiz.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,
1779692108-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Repetiremos!!!,Lisbey B,"Todo TOP!!!! Personal profesional, carta que no sabes que elegir, es diferente, tomamos navajas a la brasa, carabineros con patatas y huevos fritos es un plato Wow 🤩 y por último Mero a la brasa un olato perfecto!!! Y por último el postre que nos ayudó a elegir Dani que se conoce a la coma la carta😉un flan de palomitas, un postre divertido y delicioso!! Acompañamos con un gran vino Cruz del pendón de bodega Dominio de Cair, espectacular!!!",56 contribuciones,56,Escrita el 25 de marzo de 2023,56 contribuciones,GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,,,,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/9f/a9/c1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/9f/a9/c4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/9f/a9/c2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/9f/a9/c3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/0b/27/fe/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,0,,,
1779692108-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Gran descubrimiento,OscariG,"Gran sitio para gran carta de comida
Tiene platos diferentes con un puntito 
Todo está bueno
La carta de vinos es extensa
El único punto del sitio es el precio 
Es muy muy elevado
Pero la experiencia es buena
Personal muy amable",36 contribuciones,36,Escrita el 4 de marzo de 2023,"Madrid, España",GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,,,,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/9c/avatar.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,,Leer más,Leer más,0,,,
1779692108-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Almuerzo en el reservado probando medias raciones,Jesus Garcia,Almorzamos ayer en un reservado seleccionando un menú de degustación de medias raciones y fue simplemente inmejorable.,1 contribución,1,Escrita el 16 de febrero de 2023,"Cataratas del Niágara, Canadá",GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,Calidad/precio,Servicio,Comida,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,,Leer más,Leer más,0,,,
1779692108-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Rico pero algo subido de precio,Javier Delgado,"Local muy bien ubicado, acogedor. La Musica algo alta, sobre todo si estás justo debajo del altavoz. Servicio muy profesional, bien aconsejando y bien servido. Navajas, judias, bien. Sardina muy bien. Carabinero con huevos Excelente. Merluza muy rica pero en casa de tamaño. Postre tarta de queso y merengue, no me llamo demasiado, tabla de queso muy rica. Buen cafe. Bodega extensa, bien surtida, pero subidos de precio. Se equivocaron con la cuenta. De precio medio, pero las raciones son pequeñas y lo hacen algo caro",6826 contribuciones,6826,Escrita el 11 de febrero de 2023,"Madrid, España",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/24/f9/98/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/24/f9/9b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/24/f9/99/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/24/f9/9a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/ab/6d/03/caption.jpg?w=100&h=-1&s=1,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,9,,,
1779692108-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,BUEN RESTAURANTE,Felix S,"Hemos comido en el Restaurante Alabaster situado en el barrio los Jerónimos, muy buen producto, los chipirones los bordan.
Muy recomendable",16759 contribuciones,16759,Escrita el 19 de enero de 2023,"Valencia, España",GrupoAmicalia,Gracias por tu opinión y tu visita esperamos verte de vuelta muy pronto!,,,,Escrita el 9 de diciembre de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/a6/avatar077.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/f4/ba/a7/grupoamicalia.jpg?w=100&h=-1&s=1,,,,,,,Leer más,Leer más,6,,,
1779692108-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Muy buen servicio,Yolanda S,"A destacar la sardina ahumada y el San Martín. Espectacular la brandada de bacalao con chip de su piel, espectacular y me quedo corta.",46 contribuciones,46,Escrita el 9 de noviembre de 2022,"Madrid, España",,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/bb/09/8b/yolanda-s.jpg?w=100&h=-1&s=1,,,,,,,,Leer más,,0,,,
1779692108-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Restaurante recomendable,Antonio F,Restaurante cerca de alcalá.bien montado aunque decoración moderna y funcional.cicina descubierta.amplitud y sensación de limpieza . personal muy atento y pendiente.comida negocios menú cerrado tipo degustación.todo bien preparado y de calidad,2130 contribuciones,2130,Escrita el 6 de octubre de 2022,"Alicante, España",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/5b/a1/d3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/5b/a1/d8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/5b/a1/d4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/5b/a1/d6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,9,,,
1779692108-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,EN SU LÍNEA. EXCELENTE COMIDA,Lesanjo,"Tengo que reconocer que me puede la devoción por este restaurante. Ahora que viajo menos a Madrid llevaba tiempo sin ir a comer allí pero en cuanto tuve la ocasión, la aproveché. En algunos restaurantes no hacen falta estrellas Michelin para ser un referente. Todo sigue igual, calidad a raudales, servicio esmeradisimo, local agradable, en suma, excelente comida. Optamos por un clásico como son las sardinas ahumadas para seguir con un excelente plato de boletus y terminar, en mi caso, con mero a la brasa, en su punto equilibrado los sabores del mero y la brasa. Amplia bodega. Como siempre, muy recomendable y siempre lleno al medio día por lo que requiere hacer reserva.",195 contribuciones,195,Escrita el 25 de septiembre de 2022,"Palencia, España",,,Calidad/precio,Servicio,Comida,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/77/af/71/chulapo.jpg?w=100&h=-1&s=1,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,2,,,
1779692108-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Excelente restaurante,Roberto A,"La comida y el servicio perfectos como siempre, le quito un punto simplemente por la mala educación de la sommelier que le recriminó a gritos a uno de los camareros (que por cierto es una de las razones por las que hemos repetido varias veces en este restaurante, por su amabilidad y profesionalidad), el haber abierto una botella de vino, todo esto delante de todos los comensales",9 contribuciones,9,Escrita el 17 de septiembre de 2022,"Madrid, España",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e8/90/81/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e8/90/82/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/e8/90/83/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,
1779692108-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Muy recomendable aunque no perfecto,MsHepburn,"El local no es especialmente bonito pero sí consigue un entorno muy agradable para estar cómodo, distanciado de otras mesas y poder mantener una buena conversación. El servicio es atentísimo y muy profesional (por ejemplo, siempre se atiende antes a las señoras, lo que no se ve en todas partes). Solo eché un poco en falta que nos atendieran antes cuando acabábamos de sentarnos ya que tardaron con las bebidas y para traernos las cartas. Luego el servicio fue excelente.
La calidad de la comida es indiscutible. Las raciones con correctas excepto, en nuestro caso, el salpicón, que era de un tamaño ridículo. El postre de limón, sin embargo, era especialmente generoso.
Las croquetas de cigala son espectaculares. Las zamburiñas gustaron mucho aunque me resultaron un poco ácidas. El arroz de cigala, el bonito y el pichón estaban muy buenos. El solomillo de vaca rubia era fabuloso. Parking en la misma calle. Muy recomendable. Repetiremos.",146 contribuciones,146,Escrita el 5 de septiembre de 2022,"Madrid, España",,,Calidad/precio,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/9b/avatar.jpg?w=100&h=-1&s=1,,,,,,,,Leer más,,0,,,
1779692108-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d6161596-Reviews-Restaurante_Alabaster-Madrid.html,Producto excelente aunque un poco escaso,EME,"Local muy elegante con separación en dos ambientes, mesas altas para picar a la entrada y restaurante en la parte más profunda. Local muy bien ambientado.

Excelente producto, sin duda alguna. Precios altos y raciones relativamente pequeñas, incluso la de arroz. Fuimos en temporada de bonito, falló la cocción de la ventresca a la brasa, demasiado poco hecha y no sabía a brasa, aunque como la otra opción era haberla pedido en tartar, pues al final pudimos probarla de dos maneras :-). No creo que sea muy indicativo este fallo porque el resto de platos estaban muy bien, aunque escasos en cantidades para mi gusto. 

Personal de sala muy atento a todo, super profesionales, intentaron incluso arreglar lo del bonito, saliendo de ellos su devolución a cocina, no hizo falta, el producto estaba excelente, ¿lo he dicho ya?. En todo caso esto penalizó un poco mi experiencia y las expectativas que tenía.",247 contribuciones,247,Escrita el 18 de julio de 2022,"Leganés, España",,,Calidad/precio,Servicio,Comida,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/54/4f/64/emecol.jpg?w=100&h=-1&s=1,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,
