web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,data18,data19,data20,data21,data22,data23,data24
1779690910-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Relación calidad precio excelente,Vesper1978,"Ultra recomendable. Fuimos un grupo de amigos y disfrutamos muchísimo. El servicio tuvo algún pequeño problema en algún momento, por ser solo una camarera para todas las mesas, pero salieron adelante y todo fluyó.","Elche, España",,17 contribuciones,17.0,Escrita el 27 de mayo de 2024,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/67/01/8d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,"Un gran descubrimiento, estaba todo muy bueno y el trato muy agradable.",Agustin V,"Un buenísimo descubrimiento. Muy amables y la comida está muy buena.
Nos dejaron estar con nuestro perro dentro del restaurante que es muy cómodo.","San Sebastián de los Reyes, España",,32 contribuciones,32.0,Escrita el 3 de mayo de 2024,,,,Calidad/precio,Ambiente,Servicio,Comida,La comida está buenísima. Te aconsejan  para probar platos y compartir. Nos dejaron llevar a nuestro perro dentro del restaurante.,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/0d/25/b0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/bf/f2/11/agustin-v.jpg?w=200&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Sitio e,Francisco P,"Es un sitio muy agradable tanto para cenar o sólo tomar un cocktail. Las camareras son de 10
Tomamos corvina Jaguar y estaba estupenda, así como la michelada",2 contribuciones,,2 contribuciones,2.0,Escrita el 1 de mayo de 2024,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Buena experiencia,LIDIA R,"Buena comida y el personal muy muy agradable, nos atendieron con mucha profesionalidad.Buena música y decoración. Lo recomiendo sin duda alguna.",1 contribución,,1 contribución,1.0,Escrita el 18 de febrero de 2024,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Sabrosa comida latina,Monaim,"Un local genial. La comida estaba bastante buena y el servicio genial, fueron un encanto. Absolutamente recomendable","Cartagena, España",,32 contribuciones,32.0,Escrita el 28 de enero de 2024,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/4e/b6/2c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,,,,,,,,,Explora ahora,Descubre Marruecos,Descubre por qué a los viajeros como tú les encanta Marruecos,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fb/25/a5/caption.jpg?w=400&h=400&s=1,,,,,,,,,,
1779690910-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Comida caribeña a buen precio,AnaMadrid22,"Comida caribeña.
Un sitio muy agradable, con  buen precio y con buen trato. 
La comida esta buena, y tiene mucha varieda.","Madrid, España",,510 contribuciones,510.0,Escrita el 7 de enero de 2024,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/41/a6/a8/anamadrid22.jpg?w=200&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Personal fantástico y comida deliciosa,A M,"Me encanta este sitio, siempre vuelvo con familia y amigos, la comida es deliciosa, el trato del personal fantástico y está muy bien ubicado junto a la plaza de ópera. Recomiendo especialmente el plátano macho y la bondiola de cerdo",3 contribuciones,,3 contribuciones,3.0,Escrita el 30 de diciembre de 2023,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/10/1c/0c/azucena-m.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,5✨✨✨✨✨,pedro m,Los mejores! Cocktails bonísimos! La comida excelente y los camareros majisimos !!! Aconsejo a todos,1 contribución,,1 contribución,1.0,Escrita el 25 de noviembre de 2023,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Gran hallazgo,Viajero_tenaz,"Fuimos a comer a mediodía, un sitio muy acogedor -hacía un poco de frio cuando nos sentamos, pero al rato mejoró-. Comida genial, servicio atento y encantador. Un acierto.","Madrid, España",,31 contribuciones,31.0,Escrita el 13 de noviembre de 2023,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Excelente calidad y servicio,albagcordero,"Es el lugar ideal para una cena con amigos o unos cócteles. Nosotros pedimos la arepas, el ceviche y el bobo de camarao. ¡Todo riquísimo! Eso sí, ¡merece la pena hacerle hueco al postre!","León, España",,106 contribuciones,106.0,Escrita el 19 de octubre de 2023,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,,,,,,,,,Explora ahora,Descubre Finnish Lakeland,Descubre por qué a los viajeros como tú les encanta Finnish Lakeland,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/f7/f2/32/caption.jpg?w=400&h=-1&s=1,,,,,,,,,,
1779690910-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Otra vez,avallier.,"Para nosotros es un clásico.
Un estupendo ceviche, aunque yo lo prefiero con un poco de leche de coco.
Platano macho delicioso.
Taco de queso al que yo le pediría un poco más, porque ellos saben.
Tostá de corvina. Fríen el taco y es imposible comerlo sin que se rompa en pedacito. El relleno sabroso con un toque dulzón. Si mezclarán la masa de maiz con trigo conseguirían un taco más flexible (en Gandia lo tenemos) con un estupendo sabor.
Volveremos.","Gandía, España",,476 contribuciones,476.0,Escrita el 11 de octubre de 2023,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/85/e8/ed/ceviche.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Sabroso,Luis Manuel G,Estaba buscando un lugar donde fuera fácil ir un grupo grande y quedé asombrado y satisfecho. Trato muy amable y atento. Amplio repertorio de comida latinoamericana tratada con mimo y suculenta. Para repetir.,"Alcorcón, España",,4 contribuciones,4.0,Escrita el 14 de septiembre de 2023,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Cena de cine,david s,"Brutal el plátano macho!!!
A qué esperan para darle una estrella Michelin???
Y el servicio: de Diez",1 contribución,,1 contribución,1.0,Escrita el 26 de agosto de 2023,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690910-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Encantador,aritz a,"Buena comida, buen trato, económico, asequible para cualquiera. La apariencia y el ambiente del restaurante juegan un papel fundamental en la manera de lo que percibimos",1 contribución,,1 contribución,1.0,Escrita el 16 de agosto de 2023,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,Leer más,0.0,,,,,
1779690926-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,No tienen salsa picante!!,Maria S,"Esperaba encontrar una salsa picante especial (por eso vine)...pero me dicen que no tienen ninguna.
Decepción.",,1.0,1 contribución,Escrita el 4 de agosto de 2023,1 contribución,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,,,,Leer más,,0.0
1779690926-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,,,,,,,,,Leer ahora,7 lugares imprescindibles que aparecen en tus películas y series favoritas,"¿Sueñas con adentrarte en los mundos de tus películas y series favoritas? Si quieres explorar desiertos lejanos, adentrarte en sitios de interés religioso o seguir los pasos de los famosos shoguns, puedes visitar muchos de los lugares que dieron vida a los mundos ficticios de las producciones más exitosas del año pasado. A continuación, te mostramos un resumen de algunos de los mejores lugares de rodaje a los que puedes viajar, desde el bullicioso corazón de la Nueva York de Bob Dylan hasta los insólitos desiertos de Dune: parte dos.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/af/54/a3/caption.jpg?w=400&h=400&s=1&cx=1920&cy=1080&chk=v1_9eb295b36de3afdf42c8,,,,,,,,,,
1779690926-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Súper recomendable,Yanina L,"Excelentes opciones de brunch! Muy completo. Café colombiano, agua de jamaica, arepas, todo muy rico!. Recomiendo probar los cócteles también!. El ambiente y la atención súper!.",,2.0,2 contribuciones,Escrita el 20 de julio de 2023,2 contribuciones,,,,,Calidad/precio,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/cd/d1/21/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0
1779690926-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Muy recomendable,José Carlos P,"Comida excelente (carne sabrosa), ambiente acogedor y agradable. La carta es muy sugerente. El pisco sour está muy bueno.",,1.0,1 contribución,Escrita el 2 de julio de 2023,1 contribución,,,,,Calidad/precio,Servicio,Comida,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0
1779690926-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Excelente,Buenaventura I,"La comida, excelente. El ambiente, la música jazz de fondo y la atención, un 10. No lo conocíamos y ha sido una muy grata sorpresa.  Repetiremos, sin duda.",Buenas !!! Muchisimas gracias por tu comentario !!! Esperamos verlos pronto por Casa Jaguar !!!,9.0,9 contribuciones,Escrita el 11 de junio de 2023,9 contribuciones,,,,Casa jaguar madrid,,,,Escrita el 13 de junio de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/72/3b/1f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/75/fe/79/avatar.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0.0
1779690926-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Comida con amigos,Eva M,"Comida muy buena y cócteles excepcionales.

Muy buen sitio para una comida diferente.
Único fallo los postres, esperábamos que fueran caseros.","Hola evam, muchisimas gracias por tu tiempo y reseña. Solo una cosita, los postres son caserisimos !!! Los hacemos todos los dias. Tanto los postres como la reposteria.  El flan, la tarta de lima que es el clasico desde que abrimos y la tarta de chocolate !!! Lo puedes ver en nuestras redes como
Los preparamos !!! 

Gracias y cuando vuelvas nos conocemos !!!!

Un saludo !!!",2.0,2 contribuciones,Escrita el 11 de junio de 2023,2 contribuciones,,,,Casa jaguar madrid,Calidad/precio,Servicio,Comida,Escrita el 13 de junio de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/75/fe/79/avatar.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0.0
1779690926-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Un sitio de 10!,MarcitaSea,Todo buenísimo! Nos ha encantado. Las arepas y la corvina espectaculares! . Los camareros súper atentos. El restaurante muy bonito y ponen muy buena música. La relación calidad precio fantástica. Un sitio de 10! Volveremos seguro.,,17.0,17 contribuciones,Escrita el 21 de mayo de 2023,17 contribuciones,,,,,Calidad/precio,Servicio,Comida,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0
1779690926-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,,,,,,,,,Explora ahora,Descubre Marruecos,Descubre por qué a los viajeros como tú les encanta Marruecos,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/fb/25/a5/caption.jpg?w=400&h=400&s=1,,,,,,,,,,
1779690926-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Riquísima comida latina e inmejorable servicio,carlos d,"Nos dejamos aconsejar por Sebastián que nos hizo un repaso de platos argentinos, mexicanos, brasileños y peruanos, a cual más rico. El servicio fue inmejorable. Volveremos seguro",,26.0,26 contribuciones,Escrita el 1 de mayo de 2023,"Jerez de la Frontera, España",,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/f9/92/00/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0
1779690926-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Explosión de sabores y contrastes,borja g,"Excelente en general 
El ceviche de corvina con salsa de mango impresionante, el plátano macho con queso fundido y veedurías estaba olímpico, pedimos una cochinita pibil y siendo muy buena, no era lo mejor, exceso de canela y un poco seca
Los cócteles correctos
Calidad precio perfecto 30 euros cada uno aprox",,2.0,2 contribuciones,Escrita el 21 de abril de 2023,2 contribuciones,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,Leer más,,0.0
1779690926-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Día de Ballet en Teatro Real,Lourdes C. G.,"Una cocina con una mezcla de sabores latinos diferentes. Tomamos entre otros platos una Bondiola de cerdo (aguja de cerdo con salsa colombiana de café y puré de boniato al tomillo). Prácticamente sin necesidad de cuchillo, se deshacía sola. Probamos una cerveza con pimienta de Jamaica, la Malquerida. Y una atención muy profesional. Y sobre todo agradecimos una música latina con grandes artistas que aquí se desconocen.",Hola !! Mil gracias por tu comentario !!!! Los esperamos siempre !!!,81.0,81 contribuciones,Escrita el 3 de abril de 2023,"A Coruña, España",,,,Casa jaguar madrid,Calidad/precio,Servicio,Comida,Escrita el 20 de abril de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/b7/a3/91/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/de/3c/6a/viajar-disfrutar.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/75/fe/79/avatar.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,Leer más,,0.0
1779690926-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,"Olé, olé y olé",Mancheguita gourmet,"Los sitios de moda siempre me dan algo de reparo porque al final suelen ser fachada y nada más. Pero no es este el caso. Maison Jaguar es un Sobresaliente y Matrícula de Honor, empezando por la atención de los camareros, de una profesionalidad y calidad en el servicio insuperables. Fueron cercanos sin ser invasivos, simpáticos, colaboradores. Ellos son de lo mejor del local sin duda. La comida, fabulosa. No es un mexicano más, todo estaba delicioso. La decoración es impresionante, cona detalles por todas partes. Para hacer fotos sin parar! La música de ambiente: acertada y con una calidad de sonido inmejorable. El precio es quizá un poco más elevado de la idea que tenemos de un mexicano, pero como ya he dicho, no es un ""simple mexicano"". Es mucho más. Se paga con gusto y con la grata sensación de haberlo disfrutado. Cuando un producto es bueno (y este es MUY bueno), vale lo que cuesta. Tenemos pendiente volver para disfrutar el ambiente de las cenas, ya tenemos la reserva hecha!!! En resumen, le doy un cinco y un 10 si hubiera más estrellas.","Hola que tal !?   Te has confundido de perfil. Nosotros somos CASA JAGUAR MADRID. Estamos en Opera. Tu has ido a MAISON JAGUAR en Goya. 
Abrieron hace poco y nos han medio copiado el nombre. 
Os esperamos para probarnos cuando quieran !!!

Gracias.",31.0,31 contribuciones,Escrita el 3 de abril de 2023,"Madrid, España",,,,Casa jaguar madrid,Calidad/precio,Servicio,Comida,Escrita el 20 de abril de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/67/3a/e4/mjmancheguita.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/75/fe/79/avatar.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0.0
1779690926-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Volveré seguro,aliciaviajera,"Hemos comido una amiga y yo y hemos salido encantadas. El sitio es bonito y agradable, los camareros muy simpáticos y atentos, y la comida riquísima. Hemos comido ceviche y un plato de cerdo que no recuerdo el nombre pero eran parecidos a carrilleras. La tarta de Lima espectacular.
Repetiremos seguro",Mil gracias por tu comentario !!!! Os esperamos siempre !!!,66.0,66 contribuciones,Escrita el 26 de marzo de 2023,"Madrid, España",,,,Casa jaguar madrid,,,,Escrita el 20 de abril de 2023,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/a3/80/0b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/75/fe/79/avatar.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0.0
1779690926-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,,,,,,,,,Explora ahora,Descubre Finnish Lakeland,Descubre por qué a los viajeros como tú les encanta Finnish Lakeland,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/f7/f2/32/caption.jpg?w=400&h=-1&s=1,,,,,,,,,,
1779690926-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,increíble sorpresa!,Enia E,"Espectacular!!! la entrada no te dice lo que encuentras.. INCREÍBLE DECORACIÓN!! y una vez sentados? MAGNÍFICO SERVICIO la comida buenísima y los tragos.. Tremendos!!! ahh y la música, pero claro poniendo Luis Miguel y Alejandro Fernández simplemente porque lo he pedido y me fascinan.. termina de rematar una experiencia buenísimas!!!! repetir es un Si o si!!!! 
Solo tienen que añadir alguna salsa picante más…
que lo hemos dicho irnos… por decir algo para aportar.. Un lujo la verdad! repito seguro!!!",,25.0,25 contribuciones,Escrita el 26 de marzo de 2023,"Boca Ratón, Florida",,,,,Calidad/precio,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/a3/04/df/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6c/ed/e6/enia-e.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0.0
1779690926-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d10382291-Reviews-Casa_Jaguar_Madrid-Madrid.html,Comida riquísima en un sitio bonito,juditta99,"Tomamos la ensalada, las arepas y los langostinos, a compartir entre dos. Los sabores son espectaculares y todos los platos, grandes. El local es muy acogedor y la música muy agradable. Le damos un 10.",,5.0,5 contribuciones,Escrita el 16 de febrero de 2023,Madrid,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0
