web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,image,image2,image3,image4,data19
1775662713-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Visita en pareja,Jose luis U,"5/5 es lo máximo que se puede evaluar,aunque podría 10/10 tanto en recepción como los camareros muy amables una atención muy cordial  sobretodo de Cristian que  nos sugirió el postre . La comida está exquisita y bien de precio .Volveremos aunque me hubiese encantado encontrar estrella Galicia.",1 contribución,1.0,Escrita el 28 de junio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,
1775662713-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,,,,,,,Leer ahora,Quédate y descubre los tesoros ocultos de Hiroshima — de la paz a la aventura,"Ruta dorada, final de platino — Hiroshima eleva tu viaje por Japón.",,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/67/dd/ae/caption.jpg?w=400&h=400&s=1&cx=4096&cy=2752&chk=v1_4cc8bb50a02acd7b87cb,,,,
1775662713-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Buen descubrimiento!,Manuel S,"El lugar está decorado muy bonito, la comida muy rica  y el servicio genial, nos atendió Mica, encantados con su amabilidad.",12 contribuciones,12.0,Escrita el 28 de junio de 2025,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/0e/62/54/manuel-s.jpg?w=100&h=-1&s=1,,,
1775662713-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Muy buena comida y local muy bonito,victor b,"Tod muy bien, el local espectacular y muy buen ambiente. Recomiendo la pasta carbonara y la pizza originale. 

Los camareros muy amables y atentos.",1 contribución,1.0,Escrita el 25 de junio de 2025,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,,
1775662713-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Lamentable trato,Ignacio M,"Fui recomendado a cenar un domingo y fue una experiencia lamentable, nos sentaron en el medio del salón y nos fueron tomando las comandas diferentes camareros a desorden y sin conocer lo que había salido a mesa y lo que faltaba.

Una de las camareras tuvo un trato muy despectivo poniendo caras de desgana y tratándonos con muchísima prepotencia. 

Hablamos con la encargada nos pidió disculpas incluso ofreciendo un postre gratis, pero no aceptamos porque la mala actuación de la camarera nos amargó la noche.

Sin duda no volveré!",5 contribuciones,5.0,Escrita el 23 de junio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,
1775662713-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,OVEN,Manuel Saldaña M,"Muy buena comida! Todo lo que pedimos estuvo delicioso! El servicio un poco lento, pero porque estaba muy lleno, pero todos muy amables y haciendo muy buen servicio!",1 contribución,1.0,Escrita el 13 de junio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,
1775662713-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,"Gigi the best, Gigi the best Gigi the best Gigi the best Gigi the best!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",Daniela T,Sitio precioso con una decoración italiana bella! La comida muy rica y atención de Gigi espectacular! Recomendado 100%,1 contribución,1.0,Escrita el 5 de junio de 2025,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,,,
1775662713-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,,,,,,,Explora ahora,Descubre Egipto,Descubre por qué a los viajeros como tú les encanta Egipto,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=400&h=400&s=1,,,,
1775662713-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,A por ese premio Gigi ❤️,Marlen P,"Pasamos un rato muy ameno, comida riquísima, y una excelente atención de parte de Gigii! 
Gigi ojalá ganes el concurso 🥰🥳",1 contribución,1.0,Escrita el 5 de junio de 2025,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,
1775662713-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Gigi la mejor,Mariel M,"Increíble!! Gracias a la atención de Gigi :)
Comida buenísima y lugar de encanto. Repetiría sin duda!!!!!!!!!!!!!!!!",2 contribuciones,2.0,Escrita el 5 de junio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,
1775662713-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,"La comida ha sido de 10, calidad precio increíble, el ambiente tranquilo y favorable.",Alfonso P,Pedimos la Tagliatella de Pesto y la Estrella del Oven de estrella Michelin y de postre el Biscotti y la tarta de queso. La comida estuvo muy rica y el ambiente muy acogedor.,5 contribuciones,5.0,Escrita el 5 de junio de 2025,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,
1775662713-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Mi lugar favorito para los cumpleaños,Bem Haja D,"Este sitio está genial, comida deliciosa, la atención del personal excelente buena música ambiente.
Eduardo siempre nos hace sentir como en casa.",1 contribución,1.0,Escrita el 30 de mayo de 2025,,,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,
1775662647-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Experiencia en restaurante,Daniela U,"Alonso un camarero encantador! Es súper agradable, me encantó su energía, actitud y trato con nosotras!",1 contribución,1.0,Escrita el 29 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,
1775662647-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Comida rica. Servicios pésimo,Maria V,Ma comida es muy rica lamentablemente el servicio es horroroso.,36 contribuciones,36.0,Escrita el 29 de marzo de 2026,"Puerto Lopez, Colombia",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/d5/a5/ac/maria-v.jpg?w=100&h=-1&s=1,
1775662647-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Una comida en familia muy buena,Natalia H,"Un sitio espectacular, con una comida y un servio exquisito!!! Sin duda Alonso nos atendió genial, y nos recomendó un postre que sin duda cumplió las expectativas que teníamos. Volveremos!!",2 contribuciones,2.0,Escrita el 29 de marzo de 2026,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
1775662647-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Este lugar era muy bueno.,Dewayne V,"Decidimos probar Oven el restaurante hermano de Steakburger. Steakburger está arriba y Oven abajo. Pedimos la cesta de pan para empezar. El pan no estaba caliente, pero todavía muy bueno. Mi esposa pidió el paccheri cacio e Pepe y ella dijo que era excelente. Pedí una limonada de fresa para beber con mi comida y fue muy refrescante. Para mi comida pedí la lasaña. Tenía un sabor único y era muy bueno. El tamaño de la porción era justo. El servicio fue proporcionado por Alba que nos trató muy bien. Los dos restaurantes son muy buenos.",739 contribuciones,739.0,Escrita el 23 de marzo de 2026,"Pittsboro, Carolina del Norte",Mostrar original,,,,,,,Traducido automáticamente,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c2/3c/eb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c2/3c/ec/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/c2/3c/ea/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/58/34/18/caption.jpg?w=100&h=-1&s=1,
1775662647-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Buena atención,Francisco C,Alonso nos atendió muy bien y es muy amable y atento.,1 contribución,1.0,Escrita el 22 de marzo de 2026,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,
1775662647-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,"ESTÁ BIEN, BUENA EXPERIENCIA",Maria Antonia Oneto Veny,"Estuvo bien, buena experiencia. Mi marido le gustó el pollo picata y mi plato de pasta no estuvo mal. El tiramisú fue delicioso. Un consejo, es conveniente reservar para asegurar mesa y no tener que esperar.",117 contribuciones,117.0,Escrita el 22 de marzo de 2026,"Mallorca, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bf/e3/0d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bf/e3/0e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bf/e3/0c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/3b/d6/fb/maria-antonia-o.jpg?w=100&h=-1&s=1,
1775662647-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,No cumplió las expectativas,iespeleta,"Comida correcta con una cantidad tirando a escasa.
Los entrantes llegaron al mismo tiempo que los primeros limitando el espacio de la mesa a nulo o casi nulo.
Lo mismo sucedió al final cuando retiraron los platos casi sin haber terminado el último bocado.
No se entiende que por el precio que pagas por plato, se ponga en algunos de ellos vajilla de plásticos.
No volveremos a repetir en este restaurante ni en la cadena.",158 contribuciones,158.0,Escrita el 21 de marzo de 2026,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/6c/b0/0b/iespeleta.jpg?w=100&h=-1&s=1,
1775662647-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Todo muy bien,Sofía T,"Nos atendió Alonso, todo de 10! Muy amable y gran rapidez",1 contribución,1.0,Escrita el 21 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,
1775662647-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Gran experiencia!,Amanda R,"Gran comida, gran personal! La pizza y las bebidas eran excelentes. Sin duda volvería!",2 contribuciones,2.0,Escrita el 20 de marzo de 2026,2 contribuciones,Mostrar original,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,
1775662647-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,¡Servicio de parte de Rosi muy bueno y postre Bizcotti riquísimo!,Alejandro S,"Muy atentos en el servicio, Comida muy rica. Para entrar tienen disponible un elevador para silla de ruedas.",3 contribuciones,3.0,Escrita el 20 de marzo de 2026,3 contribuciones,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/bc/49/3c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,
1775662647-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Todo perfecto,Noelia J,"Hemos venido a comer en familia y nos ha atendido Lavinia ,y ha sido muy atenta y muy amable ,y la comida super bien ,como otras veces q ya habíamos estado,seguiremos visitando este sitio.",1 contribución,1.0,Escrita el 15 de marzo de 2026,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
1775662647-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Gran pasta,Christine F,"Estaba de humor para pasta así que encontré este lugar a través de una búsqueda en mi computadora. La mejor parte fue que el hotel en el que nos alojamos estaba en 53 Gran Vía, así que este lugar estaba muy cerca. Hice una reserva para el 8 / 24 / 2025 para el 8 : 00 pm. 

Cuando llegamos nos llevaron a una mesa encantadora. A pesar de que esta vez es tarde para nosotros los mayores para la cena el lugar no estaba muy ocupado, pero para cuando nos fuimos estaba ocupado. 

El menú tenía muchas opciones e incluso tenía anotaciones / imágenes de alérgenos para platos como nueces, lácteos, etc. 

Mi esposo que está tomando medicina optó por la limonada. Yo, sin embargo, hice la sangría prosecco. ¡Qué refrescante! Los dos pedimos los espaguetis de la nona y el pan de ajo. Ese pan de ajo estaba genial. La comida se servía en cuencos. A primera vista no parecía ser mucho, pero la porción era la correcta. Había mucha pasta en esos tazones junto con 4 sabrosas albóndigas. Acompañamiento de queso parmesano para añadir si quieres. Piping caliente y delicioso. Sazonar bien, así que no hay necesidad de sal y / o pimienta. No hay lugar para el postre a pesar de que algunas de las opciones del menú sonaban tentadoras. 

El servicio era genial y la comida era increíble. Precios razonables. Coste 52. 40 €. Sin duda recomendaría y sin duda volveríamos.",12630 contribuciones,12630.0,Escrita el 21 de febrero de 2026,"Colden, Estado de Nueva York",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,,,Traducido automáticamente,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/80/9a/e5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/80/9b/11/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/80/9a/e4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/a4/5f/f6/chris45ny.jpg?w=100&h=-1&s=1,
1775662647-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Reseña para Oven Madrid,vaneydani,"Acudimos a Oven Madrid el 24 de enero, día de mi cumpleaños, invitada por una amiga con todo el cariño antes de viajar a Japón, y la experiencia fue profundamente decepcionante. La espera para la mesa fue excesiva y, una vez sentados, colocaron a tres mesas a la vez, lo que colapsó completamente el servicio. Las bebidas llegaron desordenadas y con mucha diferencia de tiempo entre comensales, pese a tratarse de pedidos sencillos.

Tanto mi amiga —jefa de cocina— como yo, con años de experiencia en hostelería, entendemos bien lo que implica un buen servicio, y aquí fue claramente deficiente. La comida llegó fría: los linguini que tanto recomiendan, fríos; la focaccia, fría; incluso vimos cómo llegaban platos a mesas que se habían sentado después y habían pedido lo mismo antes que nosotros. La espera fue interminable y frustrante.

Finalmente, las tres mesas afectadas acabamos comentando entre nosotros el mal servicio recibido. El personal fue amable, pero se notaba claramente la falta de experiencia y coordinación. Para un restaurante de esta categoría, con estos precios y en plena Gran Vía, la expectativa era mucho mayor. Muy decepcionante.",15 contribuciones,15.0,Escrita el 8 de febrero de 2026,"Marbella, España",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,
1775662647-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,De lo peor,Relax779122,"Lo había leído en otros comentarios y me ocurrió,  pasta fría,  pedí ración de pan y nunca la trajeron pero estaba en la factura al igual que  un agua con gas , de lo peor , no vuelvo ni recomiendo",1 contribución,1.0,Escrita el 23 de enero de 2026,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,"Cierren ese local , está feo y viejo",,,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
1775662647-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,¡Muy buena pizza!,RyanM31,"Este lugar era una excelente opción, los dos optamos por la pizza y estaban muy bien cocinados y sabían tan bien. El servicio fue rápido y eficiente. Bien hecho",240 contribuciones,240.0,Escrita el 18 de enero de 2026,"Nairn, Reino Unido",Mostrar original,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/a6/avatar077.jpg?w=100&h=-1&s=1,
1775662696-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Comida y servicio excelente,Joel M,"Todo riquísimo y Adriana nos atendió genial, muy simpática y atenta! La tarta de queso super buena. Volveremos seguro!",1 contribución,1.0,Escrita el 12 de septiembre de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,
1775662696-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,"No te acerques a cerrar, de lo contrario, tira los dados supongo.",catherine M,"Fui aquí mi primera noche en Madrid. Definitivamente es un lugar rápido, habitual y de gran volumen, pero la pizza de esa noche fue increíblemente genial. Fue tan bueno que terminé volviendo, esta vez a los 50 minutos de su hora de cierre. Esta vez la energía frenética se amplió más allá del 1000 %. Los servidores claramente temblaban para que me sentara y saliera por la puerta lo más rápido posible. La pizza terminó siendo no comestible. No había suficiente salsa. No había suficiente queso, y la masa estaba apenas cocida como para que no pudiera ser devuelta. Básicamente fue una desagradable experiencia gastronómica casual rápida como yo sospechaba que habría sido la primera vez. 

Uno pensaría que si un establecimiento se considerara a sí mismo como algo más que eso, habría preguntado por qué su cliente comió un solo bocado de cada rebanada de pizza, antes de rendirse con todos ellos y devolver todo como una pérdida. Pero eso no sucedió... Tan pronto como me senté se apresuraron a preguntarme si había terminado, y me trajeron mi cheque. Estuve entrando y saliendo y volviendo en mi habitación de hotel con tiempo suficiente para escribir esta opinión 4 minutos después de su hora de cierre declarada.",5 contribuciones,5.0,Escrita el 12 de septiembre de 2025,Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,,,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,
1775662696-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Muy buena experiencia,Leyre C,"La comida está muy buena, no tardan en servirla y los camareros muy atentos. En concreto nos atendió Cristian, muy amable.",1 contribución,1.0,Escrita el 3 de septiembre de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,
1775662696-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,No podría fallarlo,Ben S,"Comida excelente Servicio genial no podía faltar. Visitamos en agosto una familia de cuatro y sin duda volvería, muy recomendable.",1 contribución,1.0,Escrita el 5 de agosto de 2025,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1775662696-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Cena en Gran Vía,lorena d,"Cenamos muy bien, el restaurante muy bonito y la atención excelente. Todo estaba muy bueno y nos atendió Carlos fenomenal. Súper amable y agradable. Volveremos!",1 contribución,1.0,Escrita el 5 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,
1775662696-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Recomendable y una sangría increíble,Lidia E,"El día anterior probamos Strearburguer y al día siguiente no dudamos en ir al que estaba a su lado. Sin duda otra acierto, comida diferente estilo italiana pero nos encantó. Decoración y trato muy bueno. Recomendable. La sangría más rica que he probado",216 contribuciones,216.0,Escrita el 4 de agosto de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,,,
1775662696-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21067924-Reviews-Oven_Mozzarella_Gran_Via_55-Madrid.html,Delicioso,Graciela R,"Buen servicio, deliciosa comida y acogedor espacio. Nuestra mesera Mica fue muy amable. Sin dudarlo lo visitaría nuevamente.",1 contribución,1.0,Escrita el 26 de julio de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,
