web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18,image3,image4,position
1776264240-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Un restaurante al que regresar,Nando,"Uno de los mejores restaurantes japoneses de Madrid. Y no solo por su carta -excelente y llena de platos magníficamente elaborados-, sino también por la gran amabilidad de quienes lo llevan. Un sitio al que no dejo de volver y que, sin duda, es un 10.",27 contribuciones,27,Escrita el 12 de septiembre de 2024,Es muy agradable la mesa para 4 que hay junto a la ventana.,27 contribuciones,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/71/44/3a/caption.jpg?w=300&h=300&s=1,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/1d/d8/5e/caption.jpg?w=100&h=-1&s=1,
1776264240-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Sushi top!,Lucia&Javier,"La comida muy rica!!!!!
Todo lo que pedimos lo repetiríamos sin duda.
Pedimos gyozas (rabo de toro y de marisco, increibles ambas), diferentes rolls de sushi (tamaño perfecto), nem de gambón y pan bao de pollo (el mejor que hemos probado hasta el momento). De postre comimos mochis.
Camareros atentos y ambiente agradable.
Precio razonable.
Sitio al que volveremos seguro.",55 contribuciones,55,Escrita el 9 de septiembre de 2024,,55 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6b/af/94/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6b/af/95/caption.jpg?w=300&h=300&s=1,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,
1776264240-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Un lugar con encanto,Vagyon,"Teníamos pendiente probar este pequeñísimo restaurante en el corazón de Chueca y por fin lo hemos visitado. Decidimos ponernos en la barra aunque habíamos reservado porque nos pareció 1 poco más acogedor. La chica que nos atendió fue un amor, el vino estaba rico, y platos como el nem o el japotaco nos conquistaron totalmente. No tanto fue así con los rolls, que no aportaron demasiado a la experiencia (creo que podrían ponerle un poco más de imaginación y hacerlos más sabrosos como otras cosas de la carta) y muy buenos nigiris. Tendría un excelente si el precio fuese 2-3€ menos por plato, ya que para 50€ por barba quizás uno espera comer algo más.",413 contribuciones,413,Escrita el 5 de agosto de 2024,,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/0e/d5/70/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/0e/d5/71/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/0e/d5/72/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/34/e1/34/vagyon.jpg?w=100&h=-1&s=1,
1776264240-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Excelente… como siempre,CARLOS T,"La comida es increíble, una mezcla de sabores que te impresiona en casa planta. No es la primera vez que voy… y nunca defrauda.",2 contribuciones,2,Escrita el 2 de agosto de 2024,"Tapotaco, las vieiras de entrantes y los makis Srito",2 contribuciones,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/08/00/a2/carlos-t.jpg?w=100&h=-1&s=1,
1776264240-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Deliciosa experiencia siempre,Cris L,"Inmejorable la experiencia y los sabores y, todo ello, acompañado de la encantadora y cariñosa atención de David. Volvemos una y otra vez. Gracias de corazón.",8 contribuciones,8,Escrita el 26 de julio de 2024,Dejaros aconsejar por David.,"Madrid, España",Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,
1776264240-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,De los mejores restaurantes Japo - Fusión de Madrid,rnunezsagredo,"Fui a cenar con mi chica para celebrar su cumple. Primera vez que íbamos. Nos habían hablado de lo bien que se comía, pero la realidad superó ampliamente a las expectativas. Local acogedor, mejor parte de arriba. Tremendo de bueno el tiradito de corvina, los japotacos, las gyozas de rabo de toro, los distintos tipos de pan bao relleno, (el de langostino), y el sushi, (de centollo😋).Todo buenísimo. Carta amplia. Nosotros nos pusimos en manos del maitre que nos fue guiando con mucha profesionalidad, amabilidad y muy bien tino. 
Buena calidad - precio. 
Para mí de los mejores restaurantes de fusión de Madrid. 
Enhorabuena a todo el equipo de Sr.Ito. 
Sin duda, volveremos.",4 contribuciones,4,Escrita el 26 de julio de 2024,"Acudir con reserva.
Dejarse guiar por los sabios consejos del maitre.",4 contribuciones,Consejo:,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,
1776264240-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Joyas del barrio en Chueca,bombaymark,"Maravillosa cena, probablemente la mejor en Madrid en un pequeño restaurante de barrio recomendado por nuestro anfitrión Airbnb. Los pocos platos que pedimos eran impecables en sabor y presentación - tacos japoneses de salmón, gyoza de cola de buey, nigiri de sushi flamígero y camarón bao. El servicio fue educado, amable y servicial. Volveríamos si tuviéramos unos días más aquí.",147 contribuciones,147,Escrita el 11 de junio de 2024,,"Saratoga, California",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/89/ae/fb/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/89/ae/fc/caption.jpg?w=300&h=300&s=1,Leer más,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/89/ae/fd/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8e/25/c6/bombaymark.jpg?w=100&h=-1&s=1,
1776264199-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,,,,,,,,,,,,,,,,,,,,,,
1776264199-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Lentos y gluten-unfriendly,Raúl,"Veníamos a este sitio con antojo de Japonés siendo mi pareja celíaca. En teoría el sitio era gluten friendly y, si bien es cierto que tenían opciones sin gluten, estas eran limitadas y no tenían carta de alérgenos por lo que la camarera tuvo que decirnos uno a uno los platos que podíamos comer y los que no. 20 minutos después de pedir nos llega un carpaccio que, en teoría habla tardado más por tener un aliño especial para celíacos, y no porque se les había comido algo a juzgar por el pronunciado olor a chamusquina que había. Luego llegaron rolls y nigiris, los cuales también se hicieron de rogar y cuyo sabor era simplemente decente. Nos vamos 1:30 después de haber entrado con mucha hambre y con 26 euros menos en la cuenta cada uno, con los cuales habríamos comido mucho mejor en cualquier otro sitio. Decepcionados es poco.",4 contribuciones,Escrita el 15 de marzo de 2026,"Leganés, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,,,4.0
1776264199-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,"Un acierto, he disfrutado un montón en un japonés de “10” y a un precio justo! Sin duda volveremos pronto! 👏🏻👏🏻👏🏻",DUDUMIX,"Dade el primer momento el servicio ha sido profesional. Te atienden con educación, empatía y te ayudan para elegir los platos más reconocidos y valorados de su cocina. 
Os recomiendo el tartar de langostinos, el bao de pato, y el nigiri de vieira. 
Todos los platos han llegado a la mesa en su temperatura y bien presentados. 
Ha sido un descubrimiento, y hemos comido muy bien, con un servicio de “10” y a un precio justo y razonable.
Sin duda volveremos! 
Y os recomiendo que no os lo perdáis, pero reservar o no tendréis mesa.",155 contribuciones,Escrita el 18 de febrero de 2026,"Valencia, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,155.0
1776264199-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Sitio top en madrid,pilar c,"Muy buena atención y consejos por parte de todo el personal. Comida de calidad, platos originales. Un japonés algo diferente y muy recomendable. Hemos ido varias veces y repetiremos sin duda.",1 contribución,Escrita el 25 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,1.0
1776264199-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Experiencia Súper!!!  Unos de los mejores restaurantes japoneses de Madrid.,Lola V,"Comida excelente.
Servicio impecable.
Ambiente muy agradable.
Relación precio-calidad perfecta.
Recomendable en todo.",2 contribuciones,Escrita el 25 de enero de 2026,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,2.0
1776264199-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Experiencia única,Tamara M,"Sr.ito nunca defrauda. Es de nuestros restaurantes preferidos desde hace muchos años y aún no hemos encontrado otro que lo supere. Sabores únicos, bocados que quitan el sueño, sumado a la calidad de la atención de todo su equipo… Hacen que este restaurante sea tan especial. 100%recomendable",2 contribuciones,Escrita el 25 de enero de 2026,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,,2.0
1776264199-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Siempre extraordinario,Esmeralda B,"Un restaurante excelente tanto a la carta como menú, atención muy amigable, servicio extraordinario y ambiente informal, relajado. No puede ser mejor.
Nuestras visitas a Madrid incluyen siempre una comida o cena en Sr. Ito. Muchas gracias",1 contribución,Escrita el 6 de enero de 2026,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Imprescindible reservar,,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,1.0
1776264199-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Fabuloso,Martin B,"¡Fabulosa experiencia! Comida increíble y entorno. Restaurante poco generoso en calles secundarias de madrid , recomendaría altamente , fresco y delicioso",15 contribuciones,Escrita el 19 de diciembre de 2025,Linköping,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,,,15.0
1776264199-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Buen ambiente y original sushi,ViajeSky,Un ambiente muy acogedor y fenomenal.  Carta original con variedad de sushi. Me encantó el de anguila con foa todo un acierto. Llegamos unos 15 minutos tarde porque fuimos al teatro y no pusieron problema a pesar de ser lunes. Seguro volveremos.,2 contribuciones,Escrita el 7 de diciembre de 2025,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,,2.0
1776264199-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Absolutamente recomendable,Ignacio D,"Todo buenísimo. Ni miramos la carta, nos dejamos aconsejar por el encargado, que  nos preparó una excelente selección (no hay que perderse el vermouth!) a un precio realmente moderado. Comida, servicio y ambiente sobresalientes.",3 contribuciones,Escrita el 23 de noviembre de 2025,3 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,,,,,,,3.0
1776264199-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Nunca defrauda,CARLOS T,"La comida es un espectáculo, desde la presentación hasta la mezcla de sabores. Siempre mantiene el mismo nivel de calidad. La atención es inmejorable.",2 contribuciones,Escrita el 2 de noviembre de 2025,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/08/00/a2/carlos-t.jpg?w=100&h=-1&s=1,,,,,,2.0
1776264199-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Buenísimo,JoseMadridibiza,"Pequeño y coqueto restaurante de cocina fusión. La comida es espectacular, con opciones exquisitas. Pero tengo que destacar la atención y profesionalidad del servicio, porque fue sencillamente perfecta.
Muy recomendable.",6125 contribuciones,Escrita el 5 de octubre de 2025,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f9/99/bc/caption.jpg?w=100&h=-1&s=1,,,,,,6125.0
1776264199-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Inmejorable.,Inspire08483834978,"Ha sido una experiencia deliciosa en todos los sentidos. Además, el personal es maravilloso y te hace la experiencia gastronómica aún más increíble. Un 10 en todos y para todos los sentidos.",1 contribución,Escrita el 27 de septiembre de 2025,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,,1.0
1776264199-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Linda experiencia,BelénL,"Es un lugar pequeño pero con detalles en la deci que lo hacen hermoso. La atención fue espectacular, y todo lo que probamos FM estuvo muy rico con sabores de comida nikei que destacaban. Relación precio calidad excelente.",136 contribuciones,Escrita el 14 de septiembre de 2025,"Formosa, Argentina",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,,,,,,136.0
1776264199-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Rico y original,Alberto,"Todo muy bueno y original, buen tamaño. Buena atención y ambiente muy bueno. Repetía y volveré. Entre amigos y en familia muy recomendable",5 contribuciones,Escrita el 14 de septiembre de 2025,5 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,5.0
1776264199-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Muy recomendable,Sonia G,"Nos gustó todo. Los japotacos de lo mejor, un sabor muy agradable, nos sorprendió. El sushi muy bueno, nos quedamos con el que tenía menos salsa porque se aprecia mejor el producto pero el que tenía más salsa también muy bueno. El nigiri de pez mantequilla y trufa muy bueno tambión. Los baos ricos. De gyozas tomamos el de marisco, no estaba mal pero sabía solo a fumet de marisco, la próxima vez probaremos el de rabo de toro. La tarta de queso espectacular. La atención muy buena y con muy buenas recomendaciones. Bastantes vinos para elegir por copas, que no siempre es habitual.",43 contribuciones,Escrita el 6 de septiembre de 2025,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/df/36/58/sonia-g.jpg?w=100&h=-1&s=1,,,,,,43.0
1776264229-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Cena en pareja,rnunezsagredo,"Segunda ocasión. Magnífica experiencia, de nuevo. 
La comida es un deleite y la atención, de diez.
Seguiremos volviendo a sr. Ito, sin duda.",4 contribuciones,4,Escrita el 2 de marzo de 2025,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,
1776264229-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Buena comida japo fusión,Joaquin,"Ya hemos ido 2 veces. Buena atención, buenísima comida, variedad y calidad.
Seguiremos repitiendo cada vez que vayamos a Madrid.",2 contribuciones,2,Escrita el 25 de febrero de 2025,"Sant Vicent del Raspeig, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,
1776264229-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Excelente japonés.,Victor Dacazu,Sitio excelente en Madrid donde probar cosas diferentes dentro de la cocina japonesa. Impresionante el nuevo tartar de atún.,14 contribuciones,14,Escrita el 17 de febrero de 2025,"Zaragoza, España",Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/b9/4c/dc/caption.jpg?w=100&h=-1&s=1,,,,,,
1776264229-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Espectacular,soleespinosa,"Comida buenísima y el concepto es diferente a lo que conocemos por comida japonesa y nos gusta mucho.

El trato es excelente se está muy tranquilo y agradable.

Ya hemos estado dos veces y estamos encantados.

Volvemos.
Gracias!!",3 contribuciones,3,Escrita el 17 de febrero de 2025,3 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/c1/04/bb/soleespinosa.jpg?w=100&h=-1&s=1,,,,,,
1776264229-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,No dejes de ir,Marta T,Excelente comida japonesa e inmejorables servicio y trato. Buenísima ubicación en el centro de Madrid. Muy muy recomendable.,1 contribución,1,Escrita el 16 de febrero de 2025,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,
1776264229-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,La cocina me pareció espectacular. No hubo nada de lo que nos recomendó David que nos encantara.,Diego P.,"Local sin pretensiones, pequeño y acogedor, muy del estilo de esa zona de Madrid. Ideal para una comida o cena informal.",11 contribuciones,11,Escrita el 16 de febrero de 2025,"Madrid, España",Calidad/precio,Ambiente,Servicio,Comida,,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,,,,,,
1776264229-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Japonés buenísimo en madrid,David L,"Es un japonés espectacular, con un servicio magnífico. Un sitio donde ir a menudo!!!!
Si vas, déjate guiar por Leire o David y comerás como nunca.",1 contribución,1,Escrita el 13 de enero de 2025,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,
1776264229-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Nuestro restaurante japo fusion favorito.,anuskaav,"Sin duda uno de nuestros restaurantes favoritos de Madrid. Carta variada, calidad excelente y trato profesional y super amable. No sé puede pedir más.",14 contribuciones,14,Escrita el 17 de diciembre de 2024,14 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,
1776264229-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Increíble para repetir,Carlos D,"Un restaurante japonés excepcional. La comida, de calidad sobresaliente, refleja auténticos sabores y una presentación impecable. El trato del personal es cálido y atento, creando una experiencia memorable. Ideal para disfrutar de la gastronomía japonesa en un ambiente acogedor.",4 contribuciones,4,Escrita el 16 de diciembre de 2024,4 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,,
1776264229-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,La comida buenísima y el trato espectacular,A.Galan,"Es un lugar totalmente recomendable para ir en pareja o grupo de amigos. 
La comida fue excelente y el trato espectacular! 
Volveremos seguro",1 contribución,1,Escrita el 15 de diciembre de 2024,"Jerez de la Frontera, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/59/58/36/nalagxe.jpg?w=100&h=-1&s=1,,,,,,
1776264229-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Perfecto,ainhoa,"Todo genial, perfecto!!!! Desde la comida que está increíble, a los camareros. 
Volveré seguro.  
Sitio recomendable 100%",2 contribuciones,2,Escrita el 15 de diciembre de 2024,"Ordizia, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,,
1776264229-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10232563-Reviews-Sr_Ito-Madrid.html,Trato pésimo y lamentable - no volveremos nunca más,david n,"Pésimo trato recibido y falta de respeto. Ha habido una confusión con nuestra reserva para cenar, y al no tener mesa reservada por un error - que nos han achacado a nosotros con bastante soberbia, hemos intentado dialogar con el personal.

Lejos de encontrar una solución, nos han tratado de manera extremadamente descortés. Nos han abierto la puerta de forma poco amable, invitándonos a salir del establecimiento. 

Entiendo que pueden ocurrir errores, pero siempre deben manejarse con educación y consideración hacia el cliente. Lamentable",1 contribución,1,Escrita el 14 de diciembre de 2024,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,,,
