web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,image3,data16,data17,data18,data19,image4
1776263737-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Recomendado,Alexia A,"Muy buena atención de Jairo y muy buena comida. Pedimos un trilogía de causa y asado de cerdo, muy recomendados. También de postre el suspiro limeño",1 contribución,Escrita el 14 de enero de 2025,1 contribución,1,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Exceñente,Oswaldo F,Excelente comida peruana!!! 1mil puntos. La causa limeña es lo máximo. Recomiendo el pisco sour de cóctel y de comida la chaufa de ternera. Platos muy generosos y la atención muy personalizada. Gracias a Javier por su atención. Muy recomendado el sitio.,1 contribución,Escrita el 12 de enero de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Excelente atención y comida.,Jessica Bornas,"Mi ensalada mixta y arroz chaufa de pollo estuvieron deli! El pisco sour estuvo dulce, pregunté cómo lo hicieron y agregaron más pisco que lo mejoró. ¡Salud!",4 contribuciones,Escrita el 11 de enero de 2025,4 contribuciones,4,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Cenar excelente,Alexander T,El ceviche y el lomo saltado estaban excelentes. El servicio también fue muy atento y amable. ¡Lo pasamos muy bien y nos encantaría volver! Una recomendación para todos,1 contribución,Escrita el 10 de enero de 2025,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/0f/2a/fb/alexander-t.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Comida exquisita y buen servicio,Elena P,"Muy buen servicio y la comida excelente, un trato muy bueno.

Pedimos ceviche, tequeños y patata rellena. Muy rico 

Gracias",1 contribución,Escrita el 10 de enero de 2025,1 contribución,1,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Comida muy rica y un ambiente muy acogedor,Gustavo G,"La comida sensacional, el anticucho y la tarta de 4 leches me han encantado. Todo muy bien atendido por nuestra camarera flor, cuando vuelva por el centro volveré",1 contribución,Escrita el 5 de enero de 2025,1 contribución,1,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,0,,,,
1776263737-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Un bien ceviche a muy buen precio,Pedro A,"Servicio buenísimo 
Flor lo hace genial
El ceviche buenísimo 
Solo podría mejorar la oferta de vinos
Recomiendo el ceviche misto",11 contribuciones,Escrita el 5 de enero de 2025,"Madrid, España",11,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,0,,,,
1776263737-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Comida Peruana muy rica,Veronica S,"Hoy hemos comido delicioso!  La causa limeña muy bien hecha, el ceviche muy rico, el arroz chaufa de pollo y marisco sabroso.  Todo muy bien servido y atendidos rápido por Ricardo, muy amable!",35 contribuciones,Escrita el 4 de enero de 2025,"Madrid, España",35,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/c7/5f/19/monterrico.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Pésimo lugar,frank s,"Una vergüenza , esperamos 1 hora con 20 minutos por la comida y nunca llegó, tuvimos que cancelar el pedido e irnos con hambre , decepcionante y una vergüenza que se llamen restaurante de comida peruana",3 contribuciones,Escrita el 31 de diciembre de 2024,"Piura, Perú",3,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,"Penoso, tiempo de espera insufrible",Luis Angel,"Penoso, los tiempos de espera son mortales, 
Entramos a comer a las 14:44  y había pasado casi una hora cuando nos trajera un picoteo porque ellos mismos notaron el malestar de la gente. Y eso que el comedor no estaba ni a la mitad.
Lo siento por el lugar pero después de una hora nos levantamos y nos fuimos porque la comida nunca llegó?",41 contribuciones,Escrita el 29 de diciembre de 2024,"Villacastín, España",41,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/d1/7f/bb/lalvarezdj.jpg?w=100&h=-1&s=1,,,0,,,,
1776263737-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Un insulto a la comida peruana,pr0dygy,La verdad que todo no vale. Si sirves pollo con papas y poco más no deberían enarbolar e insultar la cocina peruana. Además los postres todos medios congelados y muy malos,35 contribuciones,Escrita el 29 de noviembre de 2024,"Manchester, Reino Unido",35,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,0,,,,
1776263694-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buen almuerzo,Alan S,Buena comida y servicio. Precios muy razonables,8 contribuciones,8,Escrita el 4 de marzo de 2026,"Middleborough, Massachusetts",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1776263694-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Decepcionante..,Anita,"Fui a este restaurante porque me lo habían recomendado, pero la experiencia fue muy decepcionante. La atención fue muy mala, claramente por falta de personal: tiempos de espera largos y poca preocupación por el cliente. En cuanto a la comida, dejó mucho que desear: llegó fría, pasada y sin buen sabor. Lamentablemente, no cumplió con las expectativas que tenía. No lo recomendaría.",1 contribución,1,Escrita el 1 de febrero de 2026,"Segovia, España",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,
1776263694-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Relación calidad-precio muy recomendable,Julia E,"La comida está muy rica. El local es sencillo pero el servicio es muy amable, y la comida está muy buena. Es una buena opción cerca de Sol cuando todos los restaurantes están llenos. La chaufa con mariscos exquisita.",1 contribución,1,Escrita el 2 de enero de 2026,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,
1776263694-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buen restaurant peruano,luis c,"En nuestra visita a este restaurant pedimos dos pisco sour (€18), un agua con gas (€2,7), tallarines a la huancaína (€21), un lomo saltado (€21) y para terminar un te negro (€2) y un café americano (€1,75).
En general, la comida estuvo buena y contundente y en total pagamos €66,45.",1290 contribuciones,1290,Escrita el 15 de diciembre de 2025,"Santiago, Chile",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/fd/3e/25/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/bd/f3/0c/luis-c.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1776263694-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Mala,Nicolas M,"Local sin calefacción, hacía frío frío tardaron más de cuarenta y cinco minutos r sacar el primer plato, ya nos íbamos a ir, para no volver",2 contribuciones,2,Escrita el 29 de noviembre de 2025,2 contribuciones,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,
1776263694-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Muy buena comida peruana.,Ana Maria M,El Restaurante es agradable con una amplia selección de auténticos platos peruanos. Las porciones son generosas y llenas de sabor. Sin duda recomiendo venir a Kausa Madrid. Gracias Luis por su gran servicio,16 contribuciones,16,Escrita el 21 de noviembre de 2025,"Espoo, Finlandia",Mostrar original,,,,,Traducido automáticamente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/38/52/bc/caption.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,
1776263694-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Excelente,Isaac F,"Excelente comida , buenos precios, excelente ubicación. 
Realmente recomiendo este lugar , la única sugerencia que puedo dar es evitar el postre . y no hay dieta INCA KOLA",6 contribuciones,6,Escrita el 12 de octubre de 2025,"Tel Aviv, Israel",Mostrar original,Calidad/precio,Ambiente,Servicio,Comida,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1776263694-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Comida muy rica,Ricardo S,"Muy buena atención, calidad y precio. Muy contento con el ambiente del lugar además todo estaba muy limpio y con buena presentación",1 contribución,1,Escrita el 22 de septiembre de 2025,1 contribución,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,
1776263694-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Espectacular restaurante peruano,Nacho C,"Restaurante muy agradable. Comida espectacular y el trato inmejorable. Ha sido nuestra primera vez, volveremos seguro!!",1 contribución,1,Escrita el 16 de septiembre de 2025,1 contribución,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,
1776263694-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Grata sorpresa,Carlos L,"Muy buena atención por parte del personal, el camarero que nos atendió muy servicial y amable , estaba pendiente a nuestras peticiones. La comida tenia un sabor muy bueno con buena combinacion de alimentos de calidad.En resumen muy buena experiencia sin esperarlo.",2 contribuciones,2,Escrita el 6 de septiembre de 2025,2 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,
1776263694-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Maravilloso!!!!,Adriana C,"Excelente la comida y mejor la atencion! Se esforzaron por atender nuestras necesidades ofreciendonos opciones sin gluten  
Super recomendado",6 contribuciones,6,Escrita el 16 de julio de 2025,6 contribuciones,,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,
1776263694-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Excelente atención,Brando R,"Excelente sitio , La atención de Geraldine es la mejor, muy amable y atenta!!! La carta muy variada y estuvo todo muy rico.",2 contribuciones,2,Escrita el 13 de julio de 2025,"Madrid, España",,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/75/67/91/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/75/6c/70/brando-r.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1776263694-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Excelente 👌,Jhordy A,Excelente comida buena atención comida con sabor identifico a Perú buen espacio grande y agradable recomendado la causa limeña,1 contribución,1,Escrita el 13 de julio de 2025,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/75/66/db/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,
1776263694-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,"Decepcionante no, lo siguiente...",María R,Muchísimos restaurantes peruanos y lamentablemente entré al peor... decoración cutre y comida demasiado condimentada. Una perdida de dinero.,1 contribución,1,Escrita el 2 de julio de 2025,1 contribución,,Calidad/precio,Ambiente,Servicio,Comida,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,
1776263694-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Sabor auténtico,MIGUEL ANGEL M,"Excelente sitio y trato inmejorable de Marcelo, la persona que nos atendio 
Pedimos causa limeña y ceviche causa Madrid y ambos nos encantaron",3 contribuciones,3,Escrita el 21 de junio de 2025,3 contribuciones,,,,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0.0,
1776263722-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Excelente Restaurante Peruano,Asier B,"Fuimos dos adultos y dos niños y salimos encantados. Está todo muy muy rico, la atención excelente, y los postres brutales.",Escrita el 22 de abril de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/ab/a0/7e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Excelente comida y ambiente,Patricia C,"Muy buena atención y la comida está de 10 . Leo magnífica atención, nos recomendó platos exquisitos . Repetiremos fijo !",Escrita el 20 de abril de 2025,1 contribución,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Cena,Fearless51946960719,La comida era increíble y un gran servicio. Leo era muy atento y el servicio de primera categoría. Muy recomendable! Si visitas Madrid debes cenar aquí.,Escrita el 20 de abril de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,Traducido automáticamente,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Increíble,dreem r,¡Subestimado! ¡Comida increíble! Mi familia y yo no podíamos dejar de hablar de ello. Sin duda el mejor restaurante que paramos en toda la visita.,Escrita el 19 de abril de 2025,1 contribución,1 contribución,,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Recomendable,Hola Q,"Todo muy bien, muy rico, muy muy buena calidad/cantidad/ precio, los camareros muy agradables y atentos, 100% recomendable no hay queja",Escrita el 18 de abril de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Magnífico.,Nacho R,"Este sitio está genial para venir con amigos. La tarta cuatro leches muy rica, recomendar compartirla. El lomo salteado muy rico también.",Escrita el 18 de abril de 2025,1 contribución,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,genial la comida,Miguel Eduardo F,muy buena la antencion y la comida  igual que en mi peru su chaufa muy rico y el cebiche exelente  y que decir de las yucas fritas con su crema de aji maravilloso,Escrita el 18 de abril de 2025,1 contribución,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buena comida,Felipe M,Muy buena comida. Tuve un excelente lomo salteado y ceviche. El lugar está en una muy buena ubicación y los camareros proporcionaron un buen servicio.,Escrita el 17 de abril de 2025,1 contribución,"Río de Janeiro, RJ",,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,La comida y el excelente servicio,Georgina D,"Muy buena comida, súper amable el servicio y la verdad súper rico , muy recomendado y la verdad unos productos 100% de calidad peruana !",Escrita el 13 de abril de 2025,1 contribución,1 contribución,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/96/62/5f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Comida Peruana,Gabriela J,Todo súper rico. El chico de Bumble era muy majo y guapo y gracioso y voy a ganar todos los vídeos juegos de él. Me enseñó sobre la escalada y el barrio del pardo.,Escrita el 12 de abril de 2025,2 contribuciones,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,2,Leer más,0,,
1776263722-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Buen rincón de Perú en Madrid,Voyager30474184627,Buenísima atención de Luisa nuestra camarera para la ocasión ( en general todo servicio) nos recomendó un menú bueno para probar y todo estupendo. Recomiendo pasarse.,Escrita el 12 de abril de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Comida y servicio,VICTOR R,"Excelente servicio y calidad precios. Nos atendió Luisa y nos hizo recomendaciones muy buen , el pisco souer muy bueno preparado por Jonathan.",Escrita el 11 de abril de 2025,1 contribución,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
1776263722-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Peruano muy recomendable,Maria V,"Todo super rico! Ambiente agradable.
 Y el servicio de 10. Repetiremos seguro cuando volvamos a Madrid.
¡Gracias Kenia por tu atención!",Escrita el 6 de abril de 2025,6 contribuciones,6 contribuciones,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/8a/1c/c0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,6,Leer más,0,,
1776263722-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d14045953-Reviews-Kausa_Madrid_1-Madrid.html,Mal cocido y demasiado cocido,Jake,No recomendaría una visita. . patatas mal cocidas y carne demasiado cocida. Sin embargo el pescado sabía muy bien. Un poco raro recibir patatas y arroz en el mismo plato,Escrita el 14 de marzo de 2025,1 contribución,Suecia,,,,,Mostrar original,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,1,Leer más,0,,
