web_scraper_order,web_scraper_start_url,data,data2,data3,data5,position,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,image,image2,image3,data24
1775659953-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,"Gran lugar, buena comida, servicio increíble",Lucia,"Realmente me encantó el lugar. Fuimos en familia con adolescentes y fue un momento fantástico. El servidor, Patricia, era muy agradable y la calidad de la comida era muy buena también.",20 contribuciones,20.0,Escrita el 7 de junio de 2025,Thank you so much! We're thrilled to hear that you and your family had such a fantastic time. We'll be sure to pass along your kind words to Patricia; she'll be delighted to hear it. We hope to see you all again soon!,,20 contribuciones,,Jaime Vicente,,,,,Mostrar original,,Escrita el 2 de agosto de 2025,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Review,Saray P,"Fui con mi hermana a cenaru os nachos y un abanico estaba muy buena  la comida y el servicio 
Sebastian nos atendió muy amablemente gracias",1 contribución,1.0,Escrita el 7 de junio de 2025,"¡Muchas gracias por tu reseña! Nos alegra mucho saber que disfrutaron de la comida y el servicio, y que la atención de Sebastián fue tan amable. ¡Esperamos verlas de nuevo muy pronto!",,1 contribución,,Jaime Vicente,,,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Super recomendado,GMG6780,"Super bonito, clima perfecto y buena música. El mesero Ricky, muy amable y atento. El precio está muy bien, se siente poco por todo lo que recibes.",1 contribución,1.0,Escrita el 2 de junio de 2025,"¡Nos alegra mucho que te haya gustado tanto el ambiente, la música y que el precio te pareciera justo! Le haremos llegar tus amables palabras a Ricky. ¡Esperamos verte de nuevo muy pronto!",Todo super,1 contribución,Consejo:,Jaime Vicente,Calidad/precio,Ambiente,Servicio,Comida,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Escrita el 2 de agosto de 2025,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,0.0
1775659953-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Gracias Diana por todo,Asleiry F,"este sitio me ha encantado gracias a la atención de Diana, que fue una persona muy amable y comprensible, nos atendió todo el rato con una sonrisa.",1 contribución,1.0,Escrita el 25 de mayo de 2025,,,1 contribución,,,Calidad/precio,Ambiente,Servicio,Comida,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,0.0
1775659953-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Diana gran empleada,Gabriel Isaac F,Diana nos a atendido muy bien fue muy amable conmigo y con mi familia estuvo al tanto de todo nos cuido muy bien no se tardaba nada en antardernos,1 contribución,1.0,Escrita el 25 de mayo de 2025,,,1 contribución,,,,,,,,,,,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,0.0
1775659953-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Comida Buena,Adrian P,"Cris nos ayudó y fue muy amable, primera cena en Madrid y la pasamos buenisima. La comida era muy rica y el servicio excelente.",2 contribuciones,2.0,Escrita el 25 de mayo de 2025,,,2 contribuciones,,,,,,,,,,,,,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,0.0
1775659934-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Madeline M M,Trato de Rocío y la comida espectacular,Rocío fue excelente en su trato para con todos nosotros. La comida estuvo exquisita. Definitivamente volvería a este lugar sin pensarlo.,¡Muchísimas gracias por tu comentario! Nos alegra saber que Rocío hizo que tu experiencia fuera especial y que disfrutaste de nuestra comida. Esperamos verte de nuevo muy pronto.,1.0,Escrita el 9 de agosto de 2025,1 contribución,Jaime Vicente,Escrita el 18 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,MAR A,El servicio maravilloso,"El servicio es excelente y la comida está estupenda un 10/10, sin duda un imprescindible de Madrid, volvería sin dudarlo.",¡Muchísimas gracias por tu reseña! Nos alegra un montón que el servicio y la comida te hayan gustado tanto. ¡Esperamos verte de nuevo muy pronto!,1.0,Escrita el 2 de agosto de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Mtros,Excelente servicio y calidad,"Nos gustó en primer lugar la decoración del lugar, que te atrae para querer probar algo diferente. Al llegar nos sorprendemos de que hay dos tipos de comida, italiana y americana, decantándonos por la segunda.
Estuvimos esperando a ser atendidos en la barra central tomando una cerveza, siendo atendidas por William, mostrándose en todo momento amable, explicándonos el servicio, así como le pedimos recomendación, para llegar a la mesa y poder pedir. Así que mejor servicio al llegar no pudimos tener, y luego también se mostró muy amable cuando nos íbamos.
Nos recomendó los nachos y la alcachofa, espectaculares los dos platos!!! Lo mejor que los nachos eran nachos y salsa, no como en otros sitios, que te ponen la salsa encima y luego solo quedan los nachos.",¡Nos alegra muchísimo que les haya gustado tanto la decoración como la comida! Es fantástico saber que la atención de William fue tan buena y que les encantaron los nachos y las alcachofas. Agradecemos mucho sus amables palabras sobre nuestro servicio. ¡Esperamos verles de nuevo muy pronto para que sigan probando más platos!,161.0,Escrita el 27 de julio de 2025,161 contribuciones,Jaime Vicente,Escrita el 2 de agosto de 2025,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/9a/17/a8/caption.jpg?w=300&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Bruno J,,"Hemos estado en el local, nos ha atendido Isabella. La comida ha estado muy bien y la atención 10!! Recomendamos, si estas buscando un sitio de carnes a la brasa.",¡Nos alegra mucho que hayan disfrutado de la comida y de la atención de Isabella! Le haremos llegar sus amables palabras. Agradecemos su recomendación y esperamos verlos de nuevo muy pronto.,4.0,Escrita el 25 de julio de 2025,4 contribuciones,Jaime Vicente,Escrita el 2 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Dann P,Isabella mola,Isabella es una chica muy maja y toda la comida estaba buenísima. Las camareras han sido muy cercanas y amables. Excelente servicio.,¡Muchísimas gracias por tu reseña! Nos alegra un montón que te haya gustado tanto la comida y que Isabella y el resto del equipo hayan sido tan amables y cercanas. ¡Esperamos verles de nuevo muy pronto!,1.0,Escrita el 25 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/95/91/a2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Kathe G,,"Fui con mi pareja y la comida estuvo espectacular 
Nos atendió Isabela, creo que ha sido de las mejores experiencias que he tenido, su atención, su amabilidad y su simpatía es sin duda lo mejor del lugar.",¡Muchísimas gracias por tu reseña! Nos alegra un montón que la comida les haya parecido espectacular y que la atención de Isabella hiciera de su visita una experiencia tan buena. ¡Le haremos llegar tus amables palabras! Esperamos verles de nuevo muy pronto.,1.0,Escrita el 25 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/95/92/b0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Ivan D,Comida y trato genial,"Bonito local..muy atentos  y amables en el servicio ...
Buena comida, y muy cuidadosos con el tema de las alergias, pues mi hija es alérgica al trigo","¡Nos alegra mucho que les haya gustado el local y la comida! Es un placer saber que nuestro personal fue atento, especialmente con el tema de las alergias. Nos tomamos muy en serio el cuidado de todos nuestros clientes. ¡Esperamos verles de nuevo muy pronto!",1.0,Escrita el 25 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,mussad a,,"La comida era muy buena! 
El servicio de Rosario es increíble y muy acogedor! 
Comimos ensalada César y palitos de mozzarella y filete.",Thank you so much! We're thrilled to hear that you enjoyed the food and that Rosario provided such amazing service. We'll be sure to pass along your kind words. We hope to see you again soon!,1.0,Escrita el 25 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,Traducir respuesta,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Delfina S,,"Isabela fue una genia nos atendió muy bien, con mucho respeto ,entusiasmo a su trabajo , con muy buena onda 10 de 10 
Y la comida muy rica  

LO RECOMIENDO",¡Nos alegra un montón que Isabela les haya atendido tan bien! Le haremos llegar sus amables palabras. Es fantástico saber que disfrutaron de la comida y que su entusiasmo hizo de su visita una gran experiencia. ¡Esperamos verles de nuevo muy pronto!,2.0,Escrita el 23 de julio de 2025,2 contribuciones,Jaime Vicente,Escrita el 2 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Patricia H,,"La comida estaba deliciosa
Isabella es camarera era muy atenta amable servicial. Conoció muy bien el menú y guió a la familia en tomar decisiones satisfactorias. ¡Isa estuvo genial! 😊",Thank you for the lovely review! We're so glad you enjoyed the food and that Isabella took such great care of you. We'll be sure to let her know how much you appreciated her helpful and kind service. We hope to see you again soon!,1.0,Escrita el 23 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,Traducir respuesta,Calidad/precio,Ambiente,Servicio,Comida,Mostrar original,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Eva M,Buena atención y comida,"Nos atendió Isabella y fue muy amable y atenta, estuvo siempre atenta se si necesitábamos algo. La comida estaba muy rica. Volveremos 100%.","¡Muchísimas gracias por tu reseña! Nos alegra mucho saber que Isabella fue tan amable y atenta, y que disfrutaste de la comida. Nos hace felices saber que piensan volver, ¡aquí los esperamos con gusto!",1.0,Escrita el 13 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,renos s,La noche perfecta,"Todo estuvo genial y nuestro camarero Kenny fue muy educado, amable y simpático. La comida estaba deliciosa y el lugar era fantástico. Fue una gran noche.","Thank you so much! We're thrilled to hear that you had such a great night. We'll be sure to let Kenny know how much you appreciated his polite, kind, and friendly service. We're so happy you enjoyed the food and the fantastic atmosphere. We hope to see you again soon!",1.0,Escrita el 8 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,Traducir respuesta,,,,,Mostrar original,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Traducido automáticamente,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Dream68177362058,Todo buenísimo!,Hamburguesa genial! La de trufa estaba increíble. Carne madurada buenísima. Gracias Cris por atendernos hoy :) :) !!!,¡Nos alegra un montón que la hamburguesa de trufa les haya gustado tanto! Es genial saber que disfrutaron de nuestra carne madurada. Le haremos llegar sus agradecimientos a Cris. ¡Esperamos verles de nuevo muy pronto!,1.0,Escrita el 5 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Patri A,Buena experiencia,El servicio muy bueno. La camarera muy atenta. Recomiendo pedir Sangría cualquiera de sus modalidades .............,¡Qué bien que disfrutaste del servicio! Nos alegra mucho saber que nuestra camarera fue atenta. ¡Gracias por la recomendación de la sangría! Esperamos verte de nuevo muy pronto.,1.0,Escrita el 5 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659934-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Maria Jose C,Uno de los mejores restaurantes de Madrid,"Personal al 100%. Y la comida un 1.000/10. Volveremos siempre que estemos en Madrid.
Keny y Lady, unos encargados siempre pendientes del cliente",¡Muchísimas gracias por tu reseña tan fantástica! Nos alegra un montón que la comida les haya encantado y que la atención de Kenny y Lady haya sido tan excelente. Es genial saber que se sintieron tan bien atendidos. ¡Esperamos verles de nuevo cada vez que estén en Madrid!,1.0,Escrita el 4 de julio de 2025,1 contribución,Jaime Vicente,Escrita el 2 de agosto de 2025,,Calidad/precio,Ambiente,Servicio,Comida,,Reservar por si acaso.,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,0.0
1775659868-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Las mejores Hamburguesas,Mariana B,"Nos atendió muy amablemente Juli.
 Steak Burger nunca falla, 100% recomendado.",1 contribución,1.0,Escrita el 26 de marzo de 2026,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,
1775659868-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Buena comida y buen servicio,Chris,"Excelente comida, a un precio muy responsable teniendo en cuenta que está en la franja principal de Madrid",25 contribuciones,25.0,Escrita el 17 de marzo de 2026,Mostrar original,,,,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/97/avatar.jpg?w=100&h=-1&s=1,,
1775659868-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,10/10,Bogdan A,"El lugar es muy hermoso, la comida deliciosa y el servicio encantador. El tiempo de espera no fue superior a 15 20 minutos
Nuestra camarera Patricia era muy encantadora",1 contribución,1.0,Escrita el 17 de marzo de 2026,Mostrar original,,,,,Traducido automáticamente,,,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/b5/b9/8a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,
1775659868-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,buen servicio,Ainhoa C,muy buen servicio en especial recalcar a el camarero william,1 contribución,1.0,Escrita el 11 de marzo de 2026,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,
1775659868-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Excelente,Victoria S,"Muy buena experiencia en este restaurante. Desde que llegas te atienden muy bien. Tardaron muy poco en atendernos en la mesa, el servicio fue muy rápido, Patricia fue muy amable y profesional. Los nachos estaban muy buenos y las hamburguesas deliciosas y enormes!!. Sin duda repetiremos.",3 contribuciones,3.0,Escrita el 10 de marzo de 2026,,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/45/7b/a5/victoria-s.jpg?w=100&h=-1&s=1,,
1775659868-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Filete hermoso,missO,"Absolutamente increíble relación calidad-precio, el personal es tan amable y atento sin duda volver!",3 contribuciones,3.0,Escrita el 9 de marzo de 2026,Mostrar original,,,,,Traducido automáticamente,,,Leer más,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/a4/0f/d4/caption.jpg?w=300&h=300&s=1,,,
1775659868-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d21090214-Reviews-SteakBurger_Gran_Via_55-Madrid.html,Buen trato,laura a,"Restaurante con bonita decoración.
El trato de Andrés fue muy atento y amable.
La comida estaba muy rica.",1 contribución,1.0,Escrita el 7 de marzo de 2026,,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,0,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,
